,player_name,club_name,city_name
619,A. Yarmolenko,West Ham United,London
620,W. Khazri,AS Saint-Étienne,Saint-Étienne
621,P. Jones,Manchester United,Manchester
622,E. Pérez,River Plate,Buenos Aires
623,D. Caligiuri,FC Schalke 04,Gelsenkirchen
624,S. Aurier,Tottenham Hotspur,London
625,R. Barkley,Chelsea,London
626,Danilo,Juventus,Turin
627,N. Pallois,FC Nantes,Nantes
628,Vitolo,Atlético de Madrid,Madrid
629,M. Badelj,Fiorentina,Florence
630,C. Tătărușanu,Olympique Lyonnais,Lyon
631,J. Murillo,U.C. Sampdoria,Genoa
632,E. Dier,Tottenham Hotspur,London
633,D. da Costa,Eintracht Frankfurt,Frankfurt
634,J. Tarkowski,Burnley,Burnley
635,W. Boly,Wolverhampton Wanderers,Wolverhampton
636,L. Spinazzola,Roma,Rome
637,Zé Luís,FC Porto,Porto
638,L. Karius,Beşiktaş JK,Istanbul
639,N. Pope,Burnley,Burnley
640,D. Suárez,Getafe CF,Getafe
641,J. Brooks,VfL Wolfsburg,Wolfsburg
642,K. Lala,RC Strasbourg Alsace,Strasbourg
643,S. Arias,Atlético de Madrid,Madrid
644,Roque Mesa,CD Leganés,Leganés
645,M. Batshuayi,Chelsea,London
646,Mário Rui,Napoli,Naples
647,T. Inui,SD Eibar,Eibar
648,D. Baselli,Torino F.C.,Turin
649,J. Ward-Prowse,Southampton,Southampton
650,T. Savanier,Montpellier Hérault SC,Montpellier
651,B. Davies,Tottenham Hotspur,London
652,Leo Baptistao,Wuhan FC,Wuhan
653,D. Cheryshev,Valencia CF,Valencia
654,M. Arnold,VfL Wolfsburg,Wolfsburg
655,L. Trossard,Brighton & Hove Albion,Brighton
656,C. Bacca,Villarreal CF,Villarreal
657,S. Kolašinac,Arsenal,London
658,J. Veltman,Ajax,Amsterdam
659,A. Samaris,SL Benfica,Lisbon
660,A. Januzaj,Real Sociedad,San Sebastián
661,J. Hector,1. FC Köln,Cologne
662,Fred,Manchester United,Manchester
663,F. Schär,Newcastle United,Newcastle upon Tyne
664,De Tomás,SL Benfica,Lisbon
665,Otávio,FC Porto,Porto
666,Jonny,Wolverhampton Wanderers,Wolverhampton
667,M. Sanson,Olympique de Marseille,Marseille
668,Rubén Peña,Villarreal CF,Villarreal
669,N. Stark,Hertha BSC,Berlin
670,R. Zobnin,Spartak Moskva,Moscow
671,Ricardo Horta,SC Braga,Braga
672,A. Iwobi,Everton,Liverpool
673,R. Loftus-Cheek,Chelsea,London
674,A. Hamdallah,Al Nassr,Riyadh
675,J. Lerma,AFC Bournemouth,Bournemouth
676,J. Gbamin,Everton,Liverpool
677,D. Benedetto,Olympique de Marseille,Marseille
678,L. Sigali,Racing Club,Avellaneda
679,L. Alario,Bayer 04 Leverkusen,Leverkusen
680,D. Zappacosta,Chelsea,London
681,A. Saint-Maximin,Newcastle United,Newcastle upon Tyne
682,S. Lobotka,RC Celta de Vigo,Vigo
683,L. Dubois,Olympique Lyonnais,Lyon
684,M. Samatta,KRC Genk,Genk
685,Diego Carlos,Sevilla FC,Seville
686,J. Denayer,Olympique Lyonnais,Lyon
687,Munir,Sevilla FC,Seville
688,Angeliño,Manchester City,Manchester
689,J. Maddison,Leicester City,Leicester
690,Wu Lei,RCD Espanyol de Barcelona,Barcelona
691,Raúl,SC Braga,Braga
692,Mariano,Real Madrid CF,Madrid
693,L. Klostermann,RB Leipzig,Leipzig
694,Petros,Al Nassr,Riyadh
695,R. Aguilar,AS Monaco,Monaco
696,K. Toko-Ekambi,Villarreal CF,Villarreal
697,Dyego Sousa,Shenzhen FC,Shenzhen
698,C. Pavón,LA Galaxy,Los Angeles
699,Merino,Real Sociedad,San Sebastian
700,A. Golovin,AS Monaco,Monaco
701,A. Diallo,Paris Saint-Germain,Paris
702,T. Kehrer,Paris Saint-Germain,Paris
703,B. Pavard,FC Bayern München,Munich
704,Soares,FC Porto,Porto
705,R. Bentancur,Juventus,Turin
706,C. Pulisic,Chelsea,London
707,S. Berge,KRC Genk,Genk
708,F. Balbuena,West Ham United,London
709,L. Pellegrini,Roma,Rome
710,F. Grillitsch,TSG Hoffenheim,Sinsheim
711,André Silva,AC Milan,Milan
712,M. Rashica,SV Werder Bremen,Bremen
713,Rubén Alcaraz,Real Valladolid CF,Valladolid
714,A. Wan-Bissaka,Manchester United,Manchester
715,B. Chilwell,Leicester City,Leicester
716,Maikel Catarino,Clube Atlético Mineiro,Belo Horizonte
717,Antônio Chiamuloira,Internacional,Porto Alegre
718,Melvin Parrela,Centro Sportivo Alagoano,Maceio
719,Gabri Prestão,Internacional,Porto Alegre
720,Luimo Boas Santos,Santos,Santos
721,F. Kessié,AC Milan,Milan
722,A. Lafont,FC Nantes,Nantes
723,Richarlison,Everton,Liverpool
724,R. Malinovskyi,Atalanta,Bergamo
725,Wesley,Aston Villa,Birmingham
726,S. Nakajima,FC Porto,Porto
727,Raphinha,Sporting CP,Lisbon
728,Lucas Paquetá,AC Milan,Milan
729,A. Hakimi,Borussia Dortmund,Dortmund
730,D. Samassékou,TSG Hoffenheim,Sinsheim
731,F. Chiesa,Fiorentina,Florence
732,Marc Roca,RCD Espanyol de Barcelona,Barcelona
733,T. Souček,SK Slavia Praha,Prague
734,I. Konaté,RB Leipzig,Leipzig
735,D. Zagadou,Borussia Dortmund,Dortmund
736,Vinícius Jr.,Real Madrid CF,Madrid
737,Junior Firpo,FC Barcelona,Barcelona
738,Dani Olmo,Dinamo Zagreb,Zagreb
739,V. Tsygankov,Dynamo Kyiv,Kyiv
740,E. Belözoğlu,Fenerbahçe SK,Istanbul
741,G. Ochoa,Club América,Mexico City
742,C. Tévez,Boca Juniors,Buenos Aires
743,J. Sosa,Trabzonspor,Trabzon
744,Raffael,Borussia Mönchengladbach,Mönchengladbach
745,Andrés Fernández,Villarreal CF,Villarreal
746,J. Pinola,River Plate,Buenos Aires
747,M. Zárate,Boca Juniors,Buenos Aires
748,Hilton,Montpellier Hérault SC,Montpellier
749,G. Hoarau,BSC Young Boys,Bern
750,A. Granqvist,Helsingborgs IF,Helsingborg
751,R. Babel,Galatasaray SK,Istanbul
752,T. Vermaelen,Vissel Kobe,Kobe
753,D. Abraham,Eintracht Frankfurt,Frankfurt
754,S. Nasri,RSC Anderlecht,Brussels
755,I. Khune,Kaizer Chiefs,Johannesburg
756,A. Masiello,Atalanta,Bergamo
757,R. Bertrand,Southampton,Southampton
758,J. dos Santos,LA Galaxy,Los Angeles
759,Gervinho,Parma,Parma
760,N. Şahin,SV Werder Bremen,Bremen
761,S. Defour,Burnley,Burnley
762,K. Mirallas,Everton,Liverpool
763,Manu García,Deportivo Alavés,Vitoria-Gasteiz
764,Coke,Levante Unión Deportiva,Valencia
765,V. Moses,Fenerbahçe SK,Istanbul
766,C. Ansaldi,Torino F.C.,Turin
767,S. Mignolet,Club Brugge KV,Bruges
768,J. Tomkins,Crystal Palace,London
769,F. Caicedo,Lazio,Rome
770,V. Birsa,Cagliari,Cagliari
771,D. Mbokani,Royal Antwerp FC,Antwerp
772,C. Zapata,Genoa,Genoa
773,J. Hernández,West Ham United,London
774,P. Diop,SD Eibar,Eibar
775,M. Sulejmani,BSC Young Boys,Bern
776,D. Da Silva,Stade Rennais FC,Rennes
777,Marcelo,Olympique Lyonnais,Lyon
778,Guilherme,FC Lokomotiv Moscow,Moscow
779,S. Jovetić,AS Monaco,Monaco
780,M. Cáceres,Lazio,Rome
781,J. Holebas,Watford,Watford
782,N. Amrabat,Al Nassr,Riyadh
783,T. Deeney,Watford,Watford
784,L. Fejsa,SL Benfica,Lisbon
785,D. Schwaab,PSV,Eindhoven
786,O. Karnezis,Napoli,Naples
787,N. Petersen,Sport-Club Freiburg,Freiburg
788,P. Piatti,RCD Espanyol de Barcelona,Barcelona
789,S. Wagner,Tianjin Jinmen Tiger FC,Tianjin
790,Bruno,Villarreal CF,Villarreal
791,Adrien Silva,Leicester City,Leicester
792,Mikel San José,Athletic Club de Bilbao,Bilbao
793,D. Welbeck,Watford,Watford
794,R. Zieler,Hannover 96,Hannover
795,A. Barnes,Burnley,Burnley
796,Rafael Tolói,Atalanta,Bergamo
797,C. Grenier,Stade Rennais FC,Rennes
798,Camacho,VfL Wolfsburg,Wolfsburg
799,Rafael Carioca,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
800,Alan Carvalho,Tianjin Quanjian FC,Tianjin
801,R. Boudebouz,AS Saint-Étienne,Saint-Étienne
802,A. Mehmedi,VfL Wolfsburg,Wolfsburg
803,V. Wanyama,Tottenham Hotspur,London
804,Daniel Carriço,Sevilla FC,Seville
805,S. Rudy,TSG Hoffenheim,Sinsheim
806,Souza,Al Ahli,Jeddah
807,B. Hübner,TSG Hoffenheim,Sinsheim
808,Iborra,Villarreal CF,Villarreal
809,J. Baumgartlinger,Bayer 04 Leverkusen,Leverkusen
810,Rafael,Olympique Lyonnais,Lyon
811,B. Mee,Burnley,Burnley
812,De Marcos,Athletic Club de Bilbao,Bilbao
813,M. Hitz,Borussia Dortmund,Dortmund
814,C. Kabasele,Watford,Watford
815,N. Clyne,Liverpool,Liverpool
816,B. André,LOSC Lille,Lille
817,M. Antonio,West Ham United,London
818,P. Groß,Brighton & Hove Albion,Brighton
819,J. Guðmundsson,Burnley,Burnley
820,D. Ginczek,VfL Wolfsburg,Wolfsburg
821,S. Duffy,Brighton & Hove Albion,Brighton
822,S. Cook,AFC Bournemouth,Bournemouth
823,Jaume Costa,Valencia CF,Valencia
824,R. Soriano,Bologna,Bologna
825,G. Medel,Beşiktaş JK,Istanbul
826,D. Didavi,VfB Stuttgart,Stuttgart
827,A. Delort,Montpellier Hérault SC,Montpellier
828,Hugo Mallo,RC Celta de Vigo,Vigo
829,A. Townsend,Crystal Palace,London
830,T. Cairney,Fulham,London
831,A. Finnbogason,FC Augsburg,Augsburg
832,Joel Robles,Real Betis Balompié,Seville
833,N. Lodeiro,Seattle Sounders FC,Seattle
834,G. Krychowiak,FC Lokomotiv Moscow,Moscow
835,F. Lejeune,Newcastle United,Newcastle upon Tyne
836,Sérgio Oliveira,FC Porto,Porto
837,B. Stambouli,FC Schalke 04,Gelsenkirchen
838,K. Malcuit,Napoli,Naples
839,V. Aboubakar,FC Porto,Porto
840,M. Gregoritsch,FC Augsburg,Augsburg
841,Nolito,Sevilla FC,Seville
842,M. Sels,RC Strasbourg Alsace,Strasbourg
843,L. Dunk,Brighton & Hove Albion,Brighton
844,S. Rode,Eintracht Frankfurt,Frankfurt
845,M. Uth,FC Schalke 04,Gelsenkirchen
846,A. Soumaoro,LOSC Lille,Lille
847,Pedro Mendes,Montpellier Hérault SC,Montpellier
848,A. Marchesín,FC Porto,Porto
849,M. Doherty,Wolverhampton Wanderers,Wolverhampton
850,David López,RCD Espanyol de Barcelona,Barcelona
851,G. Ramírez,U.C. Sampdoria,Genoa
852,J. Veretout,Roma,Rome
853,M. Rojo,Manchester United,Manchester
854,R. Freuler,Atalanta,Bergamo
855,Naldo,RCD Espanyol de Barcelona,Barcelona
856,J. Gouweleeuw,FC Augsburg,Augsburg
857,D. Demme,RB Leipzig,Leipzig
858,Fernando,Beijing Guoan FC,Beijing
859,A. Schwolow,Sport-Club Freiburg,Freiburg
860,J. Vestergaard,Southampton,Southampton
861,G. Defrel,Roma,Rome
862,Álvaro,Olympique de Marseille,Marseille
863,J. Butland,Stoke City,Stoke-on-Trent
864,A. Carrillo,Al Hilal,Riyadh
865,J. Lascelles,Newcastle United,Newcastle upon Tyne
866,V. Fischer,F.C. København,Copenhagen
867,K. Fortounis,Olympiacos CFP,Piraeus
868,S. García,Godoy Cruz,Mendoza
869,Denis Suárez,RC Celta de Vigo,Vigo
870,K. Rekik,Hertha BSC,Berlin
871,O. Yokuşlu,RC Celta de Vigo,Vigo
872,S. Meïté,Torino F.C.,Turin
873,J. Boëtius,1. FSV Mainz 05,Mainz
874,Djaniny,Al Ahli,Jeddah
875,Z. Feddal,Real Betis Balompié,Seville
876,L. Pavoletti,Cagliari,Cagliari
877,R. Olsen,Roma,Rome
878,G. Pizarro,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
879,B. Traoré,Olympique Lyonnais,Lyon
880,B. Cristante,Roma,Rome
881,C. Hérelle,OGC Nice,Nice
882,M. de Roon,Atalanta,Bergamo
883,H. Sakai,Olympique de Marseille,Marseille
884,Omar Mascarell,FC Schalke 04,Gelsenkirchen
885,Óliver Torres,Sevilla FC,Seville
886,F. Mollet,Montpellier Hérault SC,Montpellier
887,G. Laborde,Montpellier Hérault SC,Montpellier
888,J. Hofmann,Borussia Mönchengladbach,Mönchengladbach
889,D. Berardi,U.S. Sassuolo Calcio,Sassuolo
890,Bruma,PSV,Eindhoven
891,I. Amadou,Norwich City,Norwich
892,V. Grifo,TSG Hoffenheim,Sinsheim
893,M. Meyer,Crystal Palace,London
894,R. Gagliardini,Inter,Milan
895,José Sá,Olympiacos CFP,Piraeus
896,L. Dendoncker,Wolverhampton Wanderers,Wolverhampton
897,R. De Paul,Udinese Calcio,Udine
898,D. Selke,Hertha BSC,Berlin
899,M. Lemina,Southampton,Southampton
900,D. Origi,Liverpool,Liverpool
901,G. Kanga,AC Sparta Praha,Prague
902,F. Tait,Stade Rennais FC,Rennes
903,D. Laxalt,AC Milan,Milan
904,E. Pulgar,Fiorentina,Florence
905,A. Selikhov,Spartak Moskva,Moscow
906,F. Fabra,Boca Juniors,Buenos Aires
907,A. Miranchuk,FC Lokomotiv Moscow,Moscow
908,G. Cano,Independiente Medellín,Medellín
909,C. Izquierdoz,Boca Juniors,Buenos Aires
910,J. Musso,Udinese Calcio,Udine
911,A. Donatti,Racing Club,Avellaneda
912,R. Saravia,FC Porto,Porto
913,Rúben Vezo,Levante Unión Deportiva,Valencia
914,N. Maksimović,Napoli,Naples
915,Ayoze Pérez,Leicester City,Leicester
916,A. Mitrović,Fulham,London
917,I. Fernández,River Plate,Buenos Aires
918,N. Domínguez,Racing Club,Avellaneda
919,Capa,Athletic Club de Bilbao,Bilbao
920,Marcelo Goiano,Demir Grup Sivasspor,Sivas
921,J. Seri,Galatasaray SK,Istanbul
922,Bastos,Lazio,Rome
923,M. Dahoud,Borussia Dortmund,Dortmund
924,G. Maripán,Deportivo Alavés,Vitoria-Gasteiz
925,R. Battaglia,Sporting CP,Lisbon
926,B. Santamaria,Angers SCO,Angers
927,H. Hateboer,Atalanta,Bergamo
928,M. Diagne,Galatasaray SK,Istanbul
929,Y. Mina,Everton,Liverpool
930,N. Elvedi,Borussia Mönchengladbach,Mönchengladbach
931,M. Ødegaard,Real Sociedad,San Sebastián
932,G. Arias,Racing Club,Avellaneda
933,Joelinton,Newcastle United,Newcastle upon Tyne
934,O. Al Soma,Al Ahli,Jeddah
935,J. Andersen,Olympique Lyonnais,Lyon
936,Joan Jordán,Sevilla FC,Seville
937,J. Bamba,LOSC Lille,Lille
938,A. Meret,Napoli,Naples
939,E. Skhiri,1. FC Köln,Cologne
940,N. Amiri,Bayer 04 Leverkusen,Leverkusen
941,M. Campaña,Club Atlético Independiente,Avellaneda
942,B. Verbič,Dynamo Kyiv,Kyiv
943,G. Martínez,Atlanta United,Atlanta
944,Daniel Podence,Olympiacos CFP,Piraeus
945,L. Tousart,Olympique Lyonnais,Lyon
946,O. Zinchenko,Manchester City,Manchester
947,S. Deli,Club Brugge KV,Bruges
948,D. Zakaria,Borussia Mönchengladbach,Mönchengladbach
949,G. Dzhikiya,Spartak Moskva,Moscow
950,Ronaldo Esler,Clube Atlético Mineiro,Belo Horizonte
951,Claudio Coíntra,Internacional,Porto Alegre
952,Everticinho,Grêmio,Porto Alegre
953,Sidney Pessinho,Internacional,Porto Alegre
954,I. Diop,West Ham United,London
955,Y. Yazıcı,LOSC Lille,Lille
956,D. Dumfries,PSV,Eindhoven
957,H. Onyekuru,AS Monaco,Monaco
958,Bruno Viana,SC Braga,Braga
959,D. Rice,West Ham United,London
960,J. Ikoné,LOSC Lille,Lille
961,F. Neuhaus,Borussia Mönchengladbach,Mönchengladbach
962,I. Sarr,Watford,Watford
963,C. Ünder,Roma,Rome
964,M. Zaracho,Racing Club,Avellaneda
965,Aarón Martín,1. FSV Mainz 05,Mainz
966,J. Mateta,1. FSV Mainz 05,Mainz
967,M. Ngadeu,KAA Gent,Ghent
968,E. Bardhi,Levante Unión Deportiva,Valencia
969,N. Maksimović,Getafe CF,Getafe
970,Calero,RCD Espanyol de Barcelona,Barcelona
971,Ferro,SL Benfica,Lisbon
972,Júnior Moraes,Shakhtar Donetsk,Donetsk
973,D. Baier,FC Augsburg,Augsburg
974,Jô,Nagoya Grampus,Nagoya
975,A. Pyatov,Shakhtar Donetsk,Donetsk
976,Iván Ramis,SD Eibar,Eibar
977,Iván Cuéllar,CD Leganés,Leganés
978,K. Huntelaar,Ajax,Amsterdam
979,J. Hart,Burnley,Burnley
980,G. Clichy,İstanbul Başakşehir FK,Istanbul
981,A. Young,Manchester United,Manchester
982,R. Civelli,Club Atlético Banfield,Banfield
983,D. Cvitanich,Racing Club,Avellaneda
984,J. Farfán,FC Lokomotiv Moscow,Moscow
985,Gelson Fernandes,Eintracht Frankfurt,Frankfurt
986,Javi García,Real Betis Balompié,Seville
987,V. Ibišević,Hertha BSC,Berlin
988,G. Pellè,Shandong Taishan,Jinan
989,B. Wright-Phillips,New York Red Bulls,Harrison
990,G. Cahill,Crystal Palace,London
991,T. Walcott,Everton,Liverpool
992,Danilo,Bologna,Bologna
993,I. Scocco,River Plate,Buenos Aires
994,E. Elia,İstanbul Başakşehir FK,Istanbul
995,L. Schøne,Genoa,Genoa
996,G. Murray,Brighton & Hove Albion,Brighton
997,Z. Junuzović,FC Red Bull Salzburg,Salzburg
998,C. Bravo,Manchester City,Manchester
999,V. Odjidja-Ofoe,KAA Gent,Ghent
1000,P. Wernbloom,PAOK,Thessaloniki
1001,R. Gurtner,Amiens SC,Amiens
1002,M. Schneiderlin,Everton,Liverpool
1003,Miguel Veloso,Hellas Verona,Verona
1004,M. Layún,CF Monterrey,Monterrey
1005,J. Lens,Beşiktaş JK,Istanbul
1006,Varela,PAOK,Thessaloniki
1007,L. Rémy,LOSC Lille,Lille
1008,M. Suchý,FC Augsburg,Augsburg
1009,S. De Maio,Udinese Calcio,Udine
1010,P. Aguilar,Cruz Azul,Mexico City
1011,G. Sio,Gençlerbirliği SK,Ankara
1012,F. Delph,Everton,Liverpool
1013,N. Subotić,1. FC Union Berlin,Berlin
1014,Roberto,West Ham United,London
1015,M. Dossevi,Toulouse Football Club,Toulouse
1016,A. Ogbonna,West Ham United,London
1017,I. Traoré,Borussia Mönchengladbach,Mönchengladbach
1018,M. Carcela-González,Standard de Liège,Liège
1019,R. Alessandrini,LA Galaxy,Los Angeles
1020,Alan Kardec,Chongqing Liangjiang Athletic,Chongqing
1021,Maurício,PAOK,Thessaloniki
1022,A. Poli,Bologna,Bologna
1023,O. Ighalo,Shanghai Shenhua FC,Shanghai
1024,D. Drinkwater,Burnley,Burnley
1025,Claudemir,SC Braga,Braga
1026,Douglas,Vitória de Guimarães,Guimarães
1027,A. Dzagoev,PFC CSKA Moscow,Moscow
1028,M. Suárez,River Plate,Buenos Aires
1029,D. Janmaat,Watford,Watford
1030,G. Bou,New England Revolution,Foxborough
1031,A. Dragović,Bayer 04 Leverkusen,Leverkusen
1032,S. Aziz,Fenerbahçe SK,Istanbul
1033,J. Shelvey,Newcastle United,Newcastle upon Tyne
1034,A. Westwood,Burnley,Burnley
1035,D. Latza,1. FSV Mainz 05,Mainz
1036,Victor Sánchez,RCD Espanyol de Barcelona,Barcelona
1037,T. Pukki,Norwich City,Norwich
1038,J. Kucka,Parma,Parma
1039,T. Rincón,Torino F.C.,Turin
1040,C. Wood,Burnley,Burnley
1041,Johnathan,Tianjin Jinmen Tiger FC,Tianjin
1042,M. Plattenhardt,Hertha BSC,Berlin
1043,Y. Mallı,VfL Wolfsburg,Wolfsburg
1044,Carlos Eduardo,Al Hilal,Riyadh
1045,L. Rodríguez,Club Atlético Colón,Santa Fe
1046,C. Tosun,Everton,Liverpool
1047,D. Pröpper,Brighton & Hove Albion,Brighton
1048,N. Gudelj,Sevilla FC,Seville
1049,G. Burgstaller,FC Schalke 04,Gelsenkirchen
1050,Rômulo,Genoa,Genoa
1051,Y. El Arabi,Olympiacos CFP,Piraeus
1052,Renan Ribeiro,Sporting CP,Lisbon
1053,Fransérgio,SC Braga,Braga
1054,O. Özyakup,Beşiktaş JK,Istanbul
1055,J. Martin,RC Strasbourg Alsace,Strasbourg
1056,Juanmi,Real Betis Balompié,Seville
1057,P. Herrmann,Borussia Mönchengladbach,Mönchengladbach
1058,R. Funes Mori,CF Monterrey,Monterrey
1059,Tomás Pina,Deportivo Alavés,Vitoria-Gasteiz
1060,Cláudio Ramos,CD Tondela,Tondela
1061,Sergio León,Levante Unión Deportiva,Valencia
1062,N. Redmond,Southampton,Southampton
1063,Lucas Pérez,Deportivo Alavés,Vitoria-Gasteiz
1064,André André,Vitória de Guimarães,Guimarães
1065,R. Funes Mori,Villarreal CF,Villarreal
1066,Wilson Eduardo,SC Braga,Braga
1067,M. van Ginkel,Chelsea,London
1068,P. Hernández,Club Atlético Independiente,Avellaneda
1069,Arbilla,SD Eibar,Eibar
1070,Pedro Obiang,U.S. Sassuolo Calcio,Sassuolo
1071,M. Bizot,AZ Alkmaar,Alkmaar
1072,M. Esser,Hannover 96,Hannover
1073,Bruno,Getafe CF,Getafe
1074,T. Koubek,FC Augsburg,Augsburg
1075,J. Forrest,Celtic,Glasgow
1076,D. Sidibé,Everton,Liverpool
1077,R. Saponara,Genoa,Genoa
1078,L. Tonelli,Napoli,Naples
1079,Pablo,FC Girondins de Bordeaux,Bordeaux
1080,L. Kurzawa,Paris Saint-Germain,Paris
1081,E. Bičakčić,TSG Hoffenheim,Sinsheim
1082,C. Piccini,Valencia CF,Valencia
1083,C. Coady,Wolverhampton Wanderers,Wolverhampton
1084,R. Knoche,VfL Wolfsburg,Wolfsburg
1085,L. Bittencourt,TSG Hoffenheim,Sinsheim
1086,A. Trebel,RSC Anderlecht,Brussels
1087,M. Niang,Stade Rennais FC,Rennes
1088,B. Reynet,Toulouse Football Club,Toulouse
1089,Luís Neto,Sporting CP,Lisbon
1090,K. Stöger,Fortuna Düsseldorf,Düsseldorf
1091,O. Selnæs,Shenzhen FC,Shenzhen
1092,M. Pereyra,Orlando City Soccer Club,Orlando
1093,F. Fajr,Getafe CF,Getafe
1094,N. Füllkrug,SV Werder Bremen,Bremen
1095,L. Ocampos,Sevilla FC,Seville
1096,L. Castro,Cagliari,Cagliari
1097,V. Chiricheș,Napoli,Naples
1098,S. Ristovski,Sporting CP,Lisbon
1099,A. Younes,Napoli,Naples
1100,M. De Sciglio,Juventus,Turin
1101,W. Hughes,Watford,Watford
1102,J. Grealish,Aston Villa,Birmingham
1103,M. Weiser,Bayer 04 Leverkusen,Leverkusen
1104,Sergio Rico,Sevilla FC,Seville
1105,E. Vargas,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
1106,J. Lukaku,Lazio,Rome
1107,Marçal,Olympique Lyonnais,Lyon
1108,Roger,Levante Unión Deportiva,Valencia
1109,K. Ayhan,Fortuna Düsseldorf,Düsseldorf
1110,T. Strobl,Borussia Mönchengladbach,Mönchengladbach
1111,R. Saïss,Wolverhampton Wanderers,Wolverhampton
1112,Andreas Pereira,Manchester United,Manchester
1113,Rubén Sobrino,Valencia CF,Valencia
1114,Y. Bounou,Girona FC,Girona
1115,K. Mbabu,VfL Wolfsburg,Wolfsburg
1116,Emerson,Chelsea,London
1117,R. Pizarro,CF Monterrey,Monterrey
1118,R. Centurión,Club Atlético de San Luis,San Luis Potosí
1119,M. Benassi,Fiorentina,Florence
1120,S. Boufal,Southampton,Southampton
1121,M. Elneny,Arsenal,London
1122,C. Vargas,Club Atlas,Guadalajara
1123,Nacho,Real Valladolid CF,Valladolid
1124,P. Max,FC Augsburg,Augsburg
1125,P. Sisto,RC Celta de Vigo,Vigo
1126,B. Mechele,Club Brugge KV,Bruges
1127,A. Djiku,RC Strasbourg Alsace,Strasbourg
1128,Y. Gerhardt,VfL Wolfsburg,Wolfsburg
1129,Diego Llorente,Real Sociedad,San Sebastian
1130,W. Cyprien,OGC Nice,Nice
1131,C. Salcedo,Tigres U.A.N.L.,"San Nicolás, Nuevo León"
1132,F. Acheampong,Tianjin Jinmen Tiger FC,Tianjin
1133,N. Bentaleb,FC Schalke 04,Gelsenkirchen
1134,F. Ferreyra,RCD Espanyol de Barcelona,Barcelona
1135,P. Højbjerg,Southampton,Southampton
1136,B. Bourigeaud,Stade Rennais FC,Rennes
1137,L. Miranda,Club Tijuana,Tijuana
1138,L. López,Boca Juniors,Buenos Aires
1139,M. Casco,River Plate,Buenos Aires
1140,P. Pérez,Club Atlético Independiente,Avellaneda
1141,A. Petagna,SPAL,Ferrara
1142,M. Sportiello,Atalanta,Bergamo
1143,I. Bebou,TSG Hoffenheim,Sinsheim
1144,K. Tete,Olympique Lyonnais,Lyon
1145,Wendell,Bayer 04 Leverkusen,Leverkusen
1146,Paulinho,SC Braga,Braga
1147,M. Meza,CF Monterrey,Monterrey
1148,G. Simeone,Fiorentina,Florence
1149,J. Palomino,Atalanta,Bergamo
1150,Pedro Henrique,Vitória de Guimarães,Guimarães
1151,G. Escalante,SD Eibar,Eibar
1152,A. Sanabria,Genoa,Genoa
1153,D. Brooks,AFC Bournemouth,Bournemouth
1154,J. Bednarek,Southampton,Southampton
1155,R. Borré,River Plate,Buenos Aires
1156,A. Schöpf,FC Schalke 04,Gelsenkirchen
1157,D. Calvert-Lewin,Everton,Liverpool
1158,O. Duda,Hertha BSC,Berlin
1159,A. Miranchuk,FC Lokomotiv Moscow,Moscow
1160,Jorge Meré,1. FC Köln,Cologne
1161,E. Ünal,Real Valladolid CF,Valladolid
1162,B. Fernández,Portland Timbers,Portland
1163,M. Pašalić,Atalanta,Bergamo
1164,S. Lainer,Borussia Mönchengladbach,Mönchengladbach
1165,P. Bernardoni,Nîmes Olympique,Nîmes
1166,M. Lopez,Olympique de Marseille,Marseille
1167,A. Marušić,Lazio,Rome
1168,R. Bensebaini,Borussia Mönchengladbach,Mönchengladbach
1169,L. Cook,AFC Bournemouth,Bournemouth
1170,E. Boateng,Dalian Professional Football Club,Dalian
1171,K. Lasagna,Udinese Calcio,Udine
1172,Vallejo,Wolverhampton Wanderers,Wolverhampton
1173,Alex Berenguer,Torino F.C.,Turin
1174,K. Laimer,RB Leipzig,Leipzig
1175,G. Rodríguez,Club América,Mexico City
1176,C. Domínguez,Club Atlético Independiente,Avellaneda
1177,Trezeguet,Aston Villa,Birmingham
1178,N. Mukiele,RB Leipzig,Leipzig
1179,Aritz Elustondo,Real Sociedad,San Sebastian
1180,R. Ábila,Boca Juniors,Buenos Aires
1181,O. Colley,U.C. Sampdoria,Genoa
1182,E. Audero,U.C. Sampdoria,Genoa
1183,Borja Mayoral,Levante Unión Deportiva,Valencia
1184,M. Vargas,RCD Espanyol de Barcelona,Barcelona
1185,D. Calabria,AC Milan,Milan
1186,D. Upamecano,RB Leipzig,Leipzig
1187,Sergi Guardiola,Real Valladolid CF,Valladolid
1188,G. Pereiro,PSV,Eindhoven
1189,Córdoba,Athletic Club de Bilbao,Bilbao
1190,S. Sensi,Inter,Milan
1191,P. Lees-Melou,OGC Nice,Nice
1192,Gazzolisco,Internacional,Porto Alegre
1193,Vieirundinho,Santos,Santos
1194,Simão Acunha,Clube Atlético Mineiro,Belo Horizonte
1195,Formosandrinho,Botafogo,Rio de Janeiro
1196,M. Gaćinović,Eintracht Frankfurt,Frankfurt
1197,M. Diakhaby,Valencia CF,Valencia
1198,E. Akbaba,Galatasaray SK,Istanbul
1199,N. Nández,Cagliari,Cagliari
