,entity1,entity2,common_entity,entity3
554,Melendo,RCD Espanyol de Barcelona,barcelona,"1992,"
555,M. Gómez,Valencia CF,valencia, 
556,Rúben Dias,SL Benfica,lisbon, 
557,D. Livaković,Dinamo Zagreb,zagreb, 
558,Loren,Real Betis Balompié,seville, 
559,João Félix,Atlético de Madrid,madrid, 
560,David Villa,Vissel Kobe,kobe, 
561,B. Yılmaz,Beşiktaş JK,istanbul, 
562,A. Mirante,Roma,rome,"1960,"
563,S. Kalou,Hertha BSC,berlin,"1936,"
564,Dante,OGC Nice,nice, 
565,M. Debuchy,AS Saint-Étienne,saint-étienne, 
566,E. Lavezzi,Hebei FC,shijiazhuang, 
567,Borja Valero,Inter,milan, 
568,M. Škrtel,Atalanta,bergamo, 
569,J. Evans,Leicester City,leicester, 
570,D. Valeri,Portland Timbers,portland, 
571,N. Moisander,SV Werder Bremen,bremen, 
572,D. Criscito,Genoa,genoa, 
573,A. Candreva,Inter,milan, 
574,Marcano,FC Porto,porto, 
575,K. Boateng,Fiorentina,florence, 
576,A. Fernández,Beijing Renhe FC,beijing,"2008,"
577,N. Guzmán,Tigres U.A.N.L.,"san nicolás, nuevo león", 
578,Nacho Monreal,Arsenal,london,"2012,1948,1908,"
579,Ángel,Getafe CF,getafe, 
580,Granero,RCD Espanyol de Barcelona,barcelona,"1992,"
581,Éder,Jiangsu FC,nanjing, 
582,R. Vormer,Club Brugge KV,bruges, 
583,S. Coleman,Everton,liverpool, 
584,A. Lallana,Liverpool,liverpool, 
585,A. Modeste,1. FC Köln,cologne, 
586,M. Gradel,Toulouse Football Club,toulouse, 
587,M. Sakho,Crystal Palace,london,"2012,1948,1908,"
588,Yuri Berchiche,Athletic Club de Bilbao,bilbao, 
589,Mariano,Galatasaray SK,istanbul, 
590,Ö. Toprak,SV Werder Bremen,bremen, 
591,J. King,AFC Bournemouth,bournemouth, 
592,N. Kalinić,Atlético de Madrid,madrid, 
593,C. Stuani,Girona FC,girona, 
594,S. Ulreich,FC Bayern München,munich,"1972,"
595,K. Asamoah,Inter,milan, 
596,Alex Teixeira,Jiangsu FC,nanjing, 
597,S. Lulić,Lazio,rome,"1960,"
598,S. Rondón,Dalian Professional Football Club,dalian, 
599,S. Kagawa,Real Zaragoza,zaragoza, 
600,J. Wilshere,West Ham United,london,"2012,1948,1908,"
601,Guaita,Crystal Palace,london,"2012,1948,1908,"
602,Cote,SD Eibar,eibar, 
603,Iago Falqué,Torino F.C.,turin, 
604,J. Pastore,Roma,rome,"1960,"
605,Maicon,Al Nassr,riyadh, 
606,S. Mustafi,Arsenal,london,"2012,1948,1908,"
607,F. Orellana,SD Eibar,eibar, 
608,Elkeson,Guangzhou FC,guangzhou, 
609,Kike García,SD Eibar,eibar, 
610,Escudero,Sevilla FC,seville, 
611,Mario Gaspar,Villarreal CF,villarreal, 
612,L. Cabrera,Getafe CF,getafe, 
613,Herrerín,Athletic Club de Bilbao,bilbao, 
614,H. Seferović,SL Benfica,lisbon, 
615,Víctor Ruiz,Beşiktaş JK,istanbul, 
616,G. Pezzella,Fiorentina,florence, 
617,Laguardia,Deportivo Alavés,vitoria-gasteiz, 
618,I. Belfodil,TSG Hoffenheim,sinsheim, 
619,A. Yarmolenko,West Ham United,london,"2012,1948,1908,"
620,W. Khazri,AS Saint-Étienne,saint-étienne, 
621,P. Jones,Manchester United,manchester, 
622,E. Pérez,River Plate,buenos aires, 
623,D. Caligiuri,FC Schalke 04,gelsenkirchen, 
624,S. Aurier,Tottenham Hotspur,london,"2012,1948,1908,"
625,R. Barkley,Chelsea,london,"2012,1948,1908,"
626,Danilo,Juventus,turin, 
627,N. Pallois,FC Nantes,nantes, 
628,Vitolo,Atlético de Madrid,madrid, 
629,M. Badelj,Fiorentina,florence, 
630,C. Tătărușanu,Olympique Lyonnais,lyon, 
631,J. Murillo,U.C. Sampdoria,genoa, 
632,E. Dier,Tottenham Hotspur,london,"2012,1948,1908,"
633,D. da Costa,Eintracht Frankfurt,frankfurt, 
634,J. Tarkowski,Burnley,burnley, 
635,W. Boly,Wolverhampton Wanderers,wolverhampton, 
636,L. Spinazzola,Roma,rome,"1960,"
637,Zé Luís,FC Porto,porto, 
638,L. Karius,Beşiktaş JK,istanbul, 
639,N. Pope,Burnley,burnley, 
640,D. Suárez,Getafe CF,getafe, 
641,J. Brooks,VfL Wolfsburg,wolfsburg, 
642,K. Lala,RC Strasbourg Alsace,strasbourg, 
643,S. Arias,Atlético de Madrid,madrid, 
644,Roque Mesa,CD Leganés,leganés, 
645,M. Batshuayi,Chelsea,london,"2012,1948,1908,"
646,Mário Rui,Napoli,naples, 
647,T. Inui,SD Eibar,eibar, 
648,D. Baselli,Torino F.C.,turin, 
649,J. Ward-Prowse,Southampton,southampton, 
650,T. Savanier,Montpellier Hérault SC,montpellier, 
651,B. Davies,Tottenham Hotspur,london,"2012,1948,1908,"
652,Leo Baptistao,Wuhan FC,wuhan, 
653,D. Cheryshev,Valencia CF,valencia, 
654,M. Arnold,VfL Wolfsburg,wolfsburg, 
655,L. Trossard,Brighton & Hove Albion,brighton, 
656,C. Bacca,Villarreal CF,villarreal, 
657,S. Kolašinac,Arsenal,london,"2012,1948,1908,"
658,J. Veltman,Ajax,amsterdam,"1928,"
659,A. Samaris,SL Benfica,lisbon, 
660,A. Januzaj,Real Sociedad,san sebastián, 
661,J. Hector,1. FC Köln,cologne, 
662,Fred,Manchester United,manchester, 
663,F. Schär,Newcastle United,newcastle upon tyne, 
664,De Tomás,SL Benfica,lisbon, 
665,Otávio,FC Porto,porto, 
666,Jonny,Wolverhampton Wanderers,wolverhampton, 
667,M. Sanson,Olympique de Marseille,marseille, 
668,Rubén Peña,Villarreal CF,villarreal, 
669,N. Stark,Hertha BSC,berlin,"1936,"
670,R. Zobnin,Spartak Moskva,moscow,"1980,"
671,Ricardo Horta,SC Braga,braga, 
672,A. Iwobi,Everton,liverpool, 
673,R. Loftus-Cheek,Chelsea,london,"2012,1948,1908,"
674,A. Hamdallah,Al Nassr,riyadh, 
675,J. Lerma,AFC Bournemouth,bournemouth, 
676,J. Gbamin,Everton,liverpool, 
677,D. Benedetto,Olympique de Marseille,marseille, 
678,L. Sigali,Racing Club,avellaneda, 
679,L. Alario,Bayer 04 Leverkusen,leverkusen, 
680,D. Zappacosta,Chelsea,london,"2012,1948,1908,"
681,A. Saint-Maximin,Newcastle United,newcastle upon tyne, 
682,S. Lobotka,RC Celta de Vigo,vigo, 
683,L. Dubois,Olympique Lyonnais,lyon, 
684,M. Samatta,KRC Genk,genk, 
685,Diego Carlos,Sevilla FC,seville, 
686,J. Denayer,Olympique Lyonnais,lyon, 
687,Munir,Sevilla FC,seville, 
688,Angeliño,Manchester City,manchester, 
689,J. Maddison,Leicester City,leicester, 
690,Wu Lei,RCD Espanyol de Barcelona,barcelona,"1992,"
691,Raúl,SC Braga,braga, 
692,Mariano,Real Madrid CF,madrid, 
693,L. Klostermann,RB Leipzig,leipzig, 
694,Petros,Al Nassr,riyadh, 
695,R. Aguilar,AS Monaco,monaco, 
696,K. Toko-Ekambi,Villarreal CF,villarreal, 
697,Dyego Sousa,Shenzhen FC,shenzhen, 
698,C. Pavón,LA Galaxy,los angeles,"1984,1932,"
699,Merino,Real Sociedad,san sebastian, 
700,A. Golovin,AS Monaco,monaco, 
701,A. Diallo,Paris Saint-Germain,paris,"1924,1900,"
702,T. Kehrer,Paris Saint-Germain,paris,"1924,1900,"
703,B. Pavard,FC Bayern München,munich,"1972,"
704,Soares,FC Porto,porto, 
705,R. Bentancur,Juventus,turin, 
706,C. Pulisic,Chelsea,london,"2012,1948,1908,"
707,S. Berge,KRC Genk,genk, 
708,F. Balbuena,West Ham United,london,"2012,1948,1908,"
709,L. Pellegrini,Roma,rome,"1960,"
710,F. Grillitsch,TSG Hoffenheim,sinsheim, 
711,André Silva,AC Milan,milan, 
712,M. Rashica,SV Werder Bremen,bremen, 
713,Rubén Alcaraz,Real Valladolid CF,valladolid, 
714,A. Wan-Bissaka,Manchester United,manchester, 
715,B. Chilwell,Leicester City,leicester, 
716,Maikel Catarino,Clube Atlético Mineiro,belo horizonte, 
717,Antônio Chiamuloira,Internacional,porto alegre, 
718,Melvin Parrela,Centro Sportivo Alagoano,maceio, 
719,Gabri Prestão,Internacional,porto alegre, 
720,Luimo Boas Santos,Santos,santos, 
721,F. Kessié,AC Milan,milan, 
722,A. Lafont,FC Nantes,nantes, 
723,Richarlison,Everton,liverpool, 
724,R. Malinovskyi,Atalanta,bergamo, 
725,Wesley,Aston Villa,birmingham, 
726,S. Nakajima,FC Porto,porto, 
727,Raphinha,Sporting CP,lisbon, 
728,Lucas Paquetá,AC Milan,milan, 
729,A. Hakimi,Borussia Dortmund,dortmund, 
730,D. Samassékou,TSG Hoffenheim,sinsheim, 
731,F. Chiesa,Fiorentina,florence, 
732,Marc Roca,RCD Espanyol de Barcelona,barcelona,"1992,"
733,T. Souček,SK Slavia Praha,prague, 
734,I. Konaté,RB Leipzig,leipzig, 
735,D. Zagadou,Borussia Dortmund,dortmund, 
736,Vinícius Jr.,Real Madrid CF,madrid, 
737,Junior Firpo,FC Barcelona,barcelona,"1992,"
738,Dani Olmo,Dinamo Zagreb,zagreb, 
739,V. Tsygankov,Dynamo Kyiv,kyiv, 
740,E. Belözoğlu,Fenerbahçe SK,istanbul, 
741,G. Ochoa,Club América,mexico city,"1968,"
742,C. Tévez,Boca Juniors,buenos aires, 
743,J. Sosa,Trabzonspor,trabzon, 
744,Raffael,Borussia Mönchengladbach,mönchengladbach, 
745,Andrés Fernández,Villarreal CF,villarreal, 
746,J. Pinola,River Plate,buenos aires, 
747,M. Zárate,Boca Juniors,buenos aires, 
748,Hilton,Montpellier Hérault SC,montpellier, 
749,G. Hoarau,BSC Young Boys,bern, 
750,A. Granqvist,Helsingborgs IF,helsingborg, 
751,R. Babel,Galatasaray SK,istanbul, 
752,T. Vermaelen,Vissel Kobe,kobe, 
753,D. Abraham,Eintracht Frankfurt,frankfurt, 
754,S. Nasri,RSC Anderlecht,brussels, 
755,I. Khune,Kaizer Chiefs,johannesburg, 
756,A. Masiello,Atalanta,bergamo, 
757,R. Bertrand,Southampton,southampton, 
758,J. dos Santos,LA Galaxy,los angeles,"1984,1932,"
759,Gervinho,Parma,parma, 
760,N. Şahin,SV Werder Bremen,bremen, 
761,S. Defour,Burnley,burnley, 
762,K. Mirallas,Everton,liverpool, 
763,Manu García,Deportivo Alavés,vitoria-gasteiz, 
764,Coke,Levante Unión Deportiva,valencia, 
765,V. Moses,Fenerbahçe SK,istanbul, 
766,C. Ansaldi,Torino F.C.,turin, 
767,S. Mignolet,Club Brugge KV,bruges, 
768,J. Tomkins,Crystal Palace,london,"2012,1948,1908,"
769,F. Caicedo,Lazio,rome,"1960,"
770,V. Birsa,Cagliari,cagliari, 
771,D. Mbokani,Royal Antwerp FC,antwerp,"1920,"
772,C. Zapata,Genoa,genoa, 
773,J. Hernández,West Ham United,london,"2012,1948,1908,"
774,P. Diop,SD Eibar,eibar, 
775,M. Sulejmani,BSC Young Boys,bern, 
776,D. Da Silva,Stade Rennais FC,rennes, 
777,Marcelo,Olympique Lyonnais,lyon, 
778,Guilherme,FC Lokomotiv Moscow,moscow,"1980,"
779,S. Jovetić,AS Monaco,monaco, 
780,M. Cáceres,Lazio,rome,"1960,"
781,J. Holebas,Watford,watford, 
782,N. Amrabat,Al Nassr,riyadh, 
783,T. Deeney,Watford,watford, 
784,L. Fejsa,SL Benfica,lisbon, 
785,D. Schwaab,PSV,eindhoven, 
786,O. Karnezis,Napoli,naples, 
787,N. Petersen,Sport-Club Freiburg,freiburg, 
788,P. Piatti,RCD Espanyol de Barcelona,barcelona,"1992,"
789,S. Wagner,Tianjin Jinmen Tiger FC,tianjin, 
790,Bruno,Villarreal CF,villarreal, 
791,Adrien Silva,Leicester City,leicester, 
792,Mikel San José,Athletic Club de Bilbao,bilbao, 
793,D. Welbeck,Watford,watford, 
794,R. Zieler,Hannover 96,hannover, 
795,A. Barnes,Burnley,burnley, 
796,Rafael Tolói,Atalanta,bergamo, 
797,C. Grenier,Stade Rennais FC,rennes, 
798,Camacho,VfL Wolfsburg,wolfsburg, 
799,Rafael Carioca,Tigres U.A.N.L.,"san nicolás, nuevo león", 
800,Alan Carvalho,Tianjin Quanjian FC,tianjin, 
801,R. Boudebouz,AS Saint-Étienne,saint-étienne, 
802,A. Mehmedi,VfL Wolfsburg,wolfsburg, 
803,V. Wanyama,Tottenham Hotspur,london,"2012,1948,1908,"
804,Daniel Carriço,Sevilla FC,seville, 
805,S. Rudy,TSG Hoffenheim,sinsheim, 
806,Souza,Al Ahli,jeddah, 
807,B. Hübner,TSG Hoffenheim,sinsheim, 
808,Iborra,Villarreal CF,villarreal, 
809,J. Baumgartlinger,Bayer 04 Leverkusen,leverkusen, 
810,Rafael,Olympique Lyonnais,lyon, 
811,B. Mee,Burnley,burnley, 
812,De Marcos,Athletic Club de Bilbao,bilbao, 
813,M. Hitz,Borussia Dortmund,dortmund, 
814,C. Kabasele,Watford,watford, 
815,N. Clyne,Liverpool,liverpool, 
816,B. André,LOSC Lille,lille, 
817,M. Antonio,West Ham United,london,"2012,1948,1908,"
818,P. Groß,Brighton & Hove Albion,brighton, 
819,J. Guðmundsson,Burnley,burnley, 
820,D. Ginczek,VfL Wolfsburg,wolfsburg, 
821,S. Duffy,Brighton & Hove Albion,brighton, 
822,S. Cook,AFC Bournemouth,bournemouth, 
823,Jaume Costa,Valencia CF,valencia, 
824,R. Soriano,Bologna,bologna, 
825,G. Medel,Beşiktaş JK,istanbul, 
826,D. Didavi,VfB Stuttgart,stuttgart, 
827,A. Delort,Montpellier Hérault SC,montpellier, 
828,Hugo Mallo,RC Celta de Vigo,vigo, 
829,A. Townsend,Crystal Palace,london,"2012,1948,1908,"
830,T. Cairney,Fulham,london,"2012,1948,1908,"
831,A. Finnbogason,FC Augsburg,augsburg, 
832,Joel Robles,Real Betis Balompié,seville, 
833,N. Lodeiro,Seattle Sounders FC,seattle, 
834,G. Krychowiak,FC Lokomotiv Moscow,moscow,"1980,"
835,F. Lejeune,Newcastle United,newcastle upon tyne, 
836,Sérgio Oliveira,FC Porto,porto, 
837,B. Stambouli,FC Schalke 04,gelsenkirchen, 
838,K. Malcuit,Napoli,naples, 
839,V. Aboubakar,FC Porto,porto, 
840,M. Gregoritsch,FC Augsburg,augsburg, 
841,Nolito,Sevilla FC,seville, 
842,M. Sels,RC Strasbourg Alsace,strasbourg, 
843,L. Dunk,Brighton & Hove Albion,brighton, 
844,S. Rode,Eintracht Frankfurt,frankfurt, 
845,M. Uth,FC Schalke 04,gelsenkirchen, 
846,A. Soumaoro,LOSC Lille,lille, 
847,Pedro Mendes,Montpellier Hérault SC,montpellier, 
848,A. Marchesín,FC Porto,porto, 
849,M. Doherty,Wolverhampton Wanderers,wolverhampton, 
850,David López,RCD Espanyol de Barcelona,barcelona,"1992,"
851,G. Ramírez,U.C. Sampdoria,genoa, 
852,J. Veretout,Roma,rome,"1960,"
853,M. Rojo,Manchester United,manchester, 
854,R. Freuler,Atalanta,bergamo, 
855,Naldo,RCD Espanyol de Barcelona,barcelona,"1992,"
856,J. Gouweleeuw,FC Augsburg,augsburg, 
857,D. Demme,RB Leipzig,leipzig, 
858,Fernando,Beijing Guoan FC,beijing,"2008,"
859,A. Schwolow,Sport-Club Freiburg,freiburg, 
860,J. Vestergaard,Southampton,southampton, 
861,G. Defrel,Roma,rome,"1960,"
862,Álvaro,Olympique de Marseille,marseille, 
863,J. Butland,Stoke City,stoke-on-trent, 
864,A. Carrillo,Al Hilal,riyadh, 
865,J. Lascelles,Newcastle United,newcastle upon tyne, 
866,V. Fischer,F.C. København,copenhagen, 
867,K. Fortounis,Olympiacos CFP,piraeus, 
868,S. García,Godoy Cruz,mendoza, 
869,Denis Suárez,RC Celta de Vigo,vigo, 
870,K. Rekik,Hertha BSC,berlin,"1936,"
871,O. Yokuşlu,RC Celta de Vigo,vigo, 
872,S. Meïté,Torino F.C.,turin, 
873,J. Boëtius,1. FSV Mainz 05,mainz, 
874,Djaniny,Al Ahli,jeddah, 
875,Z. Feddal,Real Betis Balompié,seville, 
876,L. Pavoletti,Cagliari,cagliari, 
877,R. Olsen,Roma,rome,"1960,"
878,G. Pizarro,Tigres U.A.N.L.,"san nicolás, nuevo león", 
879,B. Traoré,Olympique Lyonnais,lyon, 
880,B. Cristante,Roma,rome,"1960,"
881,C. Hérelle,OGC Nice,nice, 
882,M. de Roon,Atalanta,bergamo, 
883,H. Sakai,Olympique de Marseille,marseille, 
884,Omar Mascarell,FC Schalke 04,gelsenkirchen, 
885,Óliver Torres,Sevilla FC,seville, 
886,F. Mollet,Montpellier Hérault SC,montpellier, 
887,G. Laborde,Montpellier Hérault SC,montpellier, 
888,J. Hofmann,Borussia Mönchengladbach,mönchengladbach, 
889,D. Berardi,U.S. Sassuolo Calcio,sassuolo, 
890,Bruma,PSV,eindhoven, 
891,I. Amadou,Norwich City,norwich, 
892,V. Grifo,TSG Hoffenheim,sinsheim, 
893,M. Meyer,Crystal Palace,london,"2012,1948,1908,"
894,R. Gagliardini,Inter,milan, 
895,José Sá,Olympiacos CFP,piraeus, 
896,L. Dendoncker,Wolverhampton Wanderers,wolverhampton, 
897,R. De Paul,Udinese Calcio,udine, 
898,D. Selke,Hertha BSC,berlin,"1936,"
899,M. Lemina,Southampton,southampton, 
900,D. Origi,Liverpool,liverpool, 
901,G. Kanga,AC Sparta Praha,prague, 
902,F. Tait,Stade Rennais FC,rennes, 
903,D. Laxalt,AC Milan,milan, 
904,E. Pulgar,Fiorentina,florence, 
905,A. Selikhov,Spartak Moskva,moscow,"1980,"
906,F. Fabra,Boca Juniors,buenos aires, 
907,A. Miranchuk,FC Lokomotiv Moscow,moscow,"1980,"
908,G. Cano,Independiente Medellín,medellín, 
909,C. Izquierdoz,Boca Juniors,buenos aires, 
910,J. Musso,Udinese Calcio,udine, 
911,A. Donatti,Racing Club,avellaneda, 
912,R. Saravia,FC Porto,porto, 
913,Rúben Vezo,Levante Unión Deportiva,valencia, 
914,N. Maksimović,Napoli,naples, 
915,Ayoze Pérez,Leicester City,leicester, 
916,A. Mitrović,Fulham,london,"2012,1948,1908,"
917,I. Fernández,River Plate,buenos aires, 
918,N. Domínguez,Racing Club,avellaneda, 
919,Capa,Athletic Club de Bilbao,bilbao, 
920,Marcelo Goiano,Demir Grup Sivasspor,sivas, 
921,J. Seri,Galatasaray SK,istanbul, 
922,Bastos,Lazio,rome,"1960,"
923,M. Dahoud,Borussia Dortmund,dortmund, 
924,G. Maripán,Deportivo Alavés,vitoria-gasteiz, 
925,R. Battaglia,Sporting CP,lisbon, 
926,B. Santamaria,Angers SCO,angers, 
927,H. Hateboer,Atalanta,bergamo, 
928,M. Diagne,Galatasaray SK,istanbul, 
929,Y. Mina,Everton,liverpool, 
930,N. Elvedi,Borussia Mönchengladbach,mönchengladbach, 
931,M. Ødegaard,Real Sociedad,san sebastián, 
932,G. Arias,Racing Club,avellaneda, 
933,Joelinton,Newcastle United,newcastle upon tyne, 
934,O. Al Soma,Al Ahli,jeddah, 
935,J. Andersen,Olympique Lyonnais,lyon, 
936,Joan Jordán,Sevilla FC,seville, 
937,J. Bamba,LOSC Lille,lille, 
938,A. Meret,Napoli,naples, 
939,E. Skhiri,1. FC Köln,cologne, 
940,N. Amiri,Bayer 04 Leverkusen,leverkusen, 
941,M. Campaña,Club Atlético Independiente,avellaneda, 
942,B. Verbič,Dynamo Kyiv,kyiv, 
943,G. Martínez,Atlanta United,atlanta,"1996,"
944,Daniel Podence,Olympiacos CFP,piraeus, 
945,L. Tousart,Olympique Lyonnais,lyon, 
946,O. Zinchenko,Manchester City,manchester, 
947,S. Deli,Club Brugge KV,bruges, 
948,D. Zakaria,Borussia Mönchengladbach,mönchengladbach, 
949,G. Dzhikiya,Spartak Moskva,moscow,"1980,"
950,Ronaldo Esler,Clube Atlético Mineiro,belo horizonte, 
951,Claudio Coíntra,Internacional,porto alegre, 
952,Everticinho,Grêmio,porto alegre, 
953,Sidney Pessinho,Internacional,porto alegre, 
954,I. Diop,West Ham United,london,"2012,1948,1908,"
955,Y. Yazıcı,LOSC Lille,lille, 
956,D. Dumfries,PSV,eindhoven, 
957,H. Onyekuru,AS Monaco,monaco, 
958,Bruno Viana,SC Braga,braga, 
959,D. Rice,West Ham United,london,"2012,1948,1908,"
960,J. Ikoné,LOSC Lille,lille, 
961,F. Neuhaus,Borussia Mönchengladbach,mönchengladbach, 
962,I. Sarr,Watford,watford, 
963,C. Ünder,Roma,rome,"1960,"
964,M. Zaracho,Racing Club,avellaneda, 
965,Aarón Martín,1. FSV Mainz 05,mainz, 
966,J. Mateta,1. FSV Mainz 05,mainz, 
967,M. Ngadeu,KAA Gent,ghent, 
968,E. Bardhi,Levante Unión Deportiva,valencia, 
969,N. Maksimović,Getafe CF,getafe, 
970,Calero,RCD Espanyol de Barcelona,barcelona,"1992,"
971,Ferro,SL Benfica,lisbon, 
972,Júnior Moraes,Shakhtar Donetsk,donetsk, 
973,D. Baier,FC Augsburg,augsburg, 
974,Jô,Nagoya Grampus,nagoya, 
975,A. Pyatov,Shakhtar Donetsk,donetsk, 
976,Iván Ramis,SD Eibar,eibar, 
977,Iván Cuéllar,CD Leganés,leganés, 
978,K. Huntelaar,Ajax,amsterdam,"1928,"
979,J. Hart,Burnley,burnley, 
980,G. Clichy,İstanbul Başakşehir FK,istanbul, 
981,A. Young,Manchester United,manchester, 
982,R. Civelli,Club Atlético Banfield,banfield, 
983,D. Cvitanich,Racing Club,avellaneda, 
984,J. Farfán,FC Lokomotiv Moscow,moscow,"1980,"
985,Gelson Fernandes,Eintracht Frankfurt,frankfurt, 
986,Javi García,Real Betis Balompié,seville, 
987,V. Ibišević,Hertha BSC,berlin,"1936,"
988,G. Pellè,Shandong Taishan,jinan, 
989,B. Wright-Phillips,New York Red Bulls,harrison, 
990,G. Cahill,Crystal Palace,london,"2012,1948,1908,"
991,T. Walcott,Everton,liverpool, 
992,Danilo,Bologna,bologna, 
993,I. Scocco,River Plate,buenos aires, 
994,E. Elia,İstanbul Başakşehir FK,istanbul, 
995,L. Schøne,Genoa,genoa, 
996,G. Murray,Brighton & Hove Albion,brighton, 
997,Z. Junuzović,FC Red Bull Salzburg,salzburg, 
998,C. Bravo,Manchester City,manchester, 
999,V. Odjidja-Ofoe,KAA Gent,ghent, 
1000,P. Wernbloom,PAOK,thessaloniki, 
1001,R. Gurtner,Amiens SC,amiens, 
1002,M. Schneiderlin,Everton,liverpool, 
1003,Miguel Veloso,Hellas Verona,verona, 
1004,M. Layún,CF Monterrey,monterrey, 
1005,J. Lens,Beşiktaş JK,istanbul, 
1006,Varela,PAOK,thessaloniki, 
1007,L. Rémy,LOSC Lille,lille, 
1008,M. Suchý,FC Augsburg,augsburg, 
1009,S. De Maio,Udinese Calcio,udine, 
1010,P. Aguilar,Cruz Azul,mexico city,"1968,"
1011,G. Sio,Gençlerbirliği SK,ankara, 
1012,F. Delph,Everton,liverpool, 
1013,N. Subotić,1. FC Union Berlin,berlin,"1936,"
1014,Roberto,West Ham United,london,"2012,1948,1908,"
1015,M. Dossevi,Toulouse Football Club,toulouse, 
1016,A. Ogbonna,West Ham United,london,"2012,1948,1908,"
1017,I. Traoré,Borussia Mönchengladbach,mönchengladbach, 
1018,M. Carcela-González,Standard de Liège,liège, 
1019,R. Alessandrini,LA Galaxy,los angeles,"1984,1932,"
1020,Alan Kardec,Chongqing Liangjiang Athletic,chongqing, 
1021,Maurício,PAOK,thessaloniki, 
1022,A. Poli,Bologna,bologna, 
1023,O. Ighalo,Shanghai Shenhua FC,shanghai, 
1024,D. Drinkwater,Burnley,burnley, 
1025,Claudemir,SC Braga,braga, 
1026,Douglas,Vitória de Guimarães,guimarães, 
1027,A. Dzagoev,PFC CSKA Moscow,moscow,"1980,"
1028,M. Suárez,River Plate,buenos aires, 
1029,D. Janmaat,Watford,watford, 
1030,G. Bou,New England Revolution,foxborough, 
1031,A. Dragović,Bayer 04 Leverkusen,leverkusen, 
1032,S. Aziz,Fenerbahçe SK,istanbul, 
1033,J. Shelvey,Newcastle United,newcastle upon tyne, 
1034,A. Westwood,Burnley,burnley, 
1035,D. Latza,1. FSV Mainz 05,mainz, 
1036,Victor Sánchez,RCD Espanyol de Barcelona,barcelona,"1992,"
1037,T. Pukki,Norwich City,norwich, 
1038,J. Kucka,Parma,parma, 
1039,T. Rincón,Torino F.C.,turin, 
1040,C. Wood,Burnley,burnley, 
1041,Johnathan,Tianjin Jinmen Tiger FC,tianjin, 
1042,M. Plattenhardt,Hertha BSC,berlin,"1936,"
1043,Y. Mallı,VfL Wolfsburg,wolfsburg, 
1044,Carlos Eduardo,Al Hilal,riyadh, 
1045,L. Rodríguez,Club Atlético Colón,santa fe, 
1046,C. Tosun,Everton,liverpool, 
1047,D. Pröpper,Brighton & Hove Albion,brighton, 
1048,N. Gudelj,Sevilla FC,seville, 
1049,G. Burgstaller,FC Schalke 04,gelsenkirchen, 
1050,Rômulo,Genoa,genoa, 
1051,Y. El Arabi,Olympiacos CFP,piraeus, 
1052,Renan Ribeiro,Sporting CP,lisbon, 
1053,Fransérgio,SC Braga,braga, 
1054,O. Özyakup,Beşiktaş JK,istanbul, 
1055,J. Martin,RC Strasbourg Alsace,strasbourg, 
1056,Juanmi,Real Betis Balompié,seville, 
1057,P. Herrmann,Borussia Mönchengladbach,mönchengladbach, 
1058,R. Funes Mori,CF Monterrey,monterrey, 
1059,Tomás Pina,Deportivo Alavés,vitoria-gasteiz, 
1060,Cláudio Ramos,CD Tondela,tondela, 
1061,Sergio León,Levante Unión Deportiva,valencia, 
1062,N. Redmond,Southampton,southampton, 
1063,Lucas Pérez,Deportivo Alavés,vitoria-gasteiz, 
1064,André André,Vitória de Guimarães,guimarães, 
1065,R. Funes Mori,Villarreal CF,villarreal, 
1066,Wilson Eduardo,SC Braga,braga, 
1067,M. van Ginkel,Chelsea,london,"2012,1948,1908,"
1068,P. Hernández,Club Atlético Independiente,avellaneda, 
1069,Arbilla,SD Eibar,eibar, 
1070,Pedro Obiang,U.S. Sassuolo Calcio,sassuolo, 
1071,M. Bizot,AZ Alkmaar,alkmaar, 
1072,M. Esser,Hannover 96,hannover, 
1073,Bruno,Getafe CF,getafe, 
1074,T. Koubek,FC Augsburg,augsburg, 
1075,J. Forrest,Celtic,glasgow, 
1076,D. Sidibé,Everton,liverpool, 
1077,R. Saponara,Genoa,genoa, 
1078,L. Tonelli,Napoli,naples, 
1079,Pablo,FC Girondins de Bordeaux,bordeaux, 
1080,L. Kurzawa,Paris Saint-Germain,paris,"1924,1900,"
1081,E. Bičakčić,TSG Hoffenheim,sinsheim, 
1082,C. Piccini,Valencia CF,valencia, 
1083,C. Coady,Wolverhampton Wanderers,wolverhampton, 
1084,R. Knoche,VfL Wolfsburg,wolfsburg, 
1085,L. Bittencourt,TSG Hoffenheim,sinsheim, 
1086,A. Trebel,RSC Anderlecht,brussels, 
1087,M. Niang,Stade Rennais FC,rennes, 
1088,B. Reynet,Toulouse Football Club,toulouse, 
1089,Luís Neto,Sporting CP,lisbon, 
1090,K. Stöger,Fortuna Düsseldorf,düsseldorf, 
1091,O. Selnæs,Shenzhen FC,shenzhen, 
1092,M. Pereyra,Orlando City Soccer Club,orlando, 
1093,F. Fajr,Getafe CF,getafe, 
1094,N. Füllkrug,SV Werder Bremen,bremen, 
1095,L. Ocampos,Sevilla FC,seville, 
1096,L. Castro,Cagliari,cagliari, 
1097,V. Chiricheș,Napoli,naples, 
1098,S. Ristovski,Sporting CP,lisbon, 
1099,A. Younes,Napoli,naples, 
1100,M. De Sciglio,Juventus,turin, 
