,common_entity,entity1,entity2,entity3,entity4
309,Tomorrow Is Mom's Birthday,"Dorflinger, Carolyn and Trapani, Iza (ILT)",February,1996,Whispering Coyote Press
310,Capital Classics,Junior League of Washington (EDT),October,1997,Junior League of Washington
311,New Testament Survey,Merrill C. Tenney,January,1982,Wm. B. Eerdmans Publishing Co.
312,Delphi,Manolis Andronicos,January,1976,Ekdotike Athenon
313,The New California Cuisine: Great Recipes from the Los Angeles Times,"Dosti, Rose",April,1987,Harry N Abrams Inc
314,Help,"Stockett, Kathryn",January,2010,Penguin Canada
315,The Lost Chronicles: The Official Companion Book with Bonus DVD Behind the Scenes of LOST,"Vaz, Mark Cotta",September,2005,Hyperion
316,Taking Charge: The Dynamics of Personal Decision Making and Self Management,"McMinn, Gordon",June,1980,Accent Pubns
317,Perfect Business: How To Make A Million From Home With No Payroll No Debts No: How To Make A Million From Home With No Payroll No Employee Headaches No Debt,"Leboeuf, Michael (NRT)",July,1996,Sound Ideas
318,Ten Stupid Things Men Do to Mess Up Their Lives,"Schlessinger, Laura",August,1997,HarperCollins
319,The Corporate Closet: The Professional Lives of Gay Men in America,"Woods, James D. and Lucas, Jay H.",August,1993,The Free Press
320,The pathology of leadership,"L'Etang, Hugh",January,1970,Hawthorn Books
321,Better Homes and Gardens Quick and Easy Woodcrafts,Better Homes and Gardens Books,August,1987,Better Homes & Gardens Books
322,Taylor's Guide to Ornamental Grasses,"Holmes, Roger (EDT)",September,1996,Houghton Mifflin Harcourt
323,Disappearances,"Wiser, William",April,1984,Plume
324,Memoirs of a Scandalous Red Dress,"Boyle, Elizabeth",April,2009,Avon
325,Up Where You Belong: A God's Eye View Devotional,"Tenney, Tommy",October,2002,Thomas Nelson Inc
326,SCANDINAVIA: A Picture Book to Remember,Gibbon,June,1988,Crescent
327,Henry and Mudge and the Forever Sea,"Rylant, Cynthia",July,1997,Simon Spotlight
328,Tertio Millennio Adveniente: of His Holiness Pope John Paul II,Pope John Paul II,January,1994,Pauline Books & Media
329,Bradshaw on the Family: A Revolutionary Way of Self Discovery,"Bradshaw, John",January,1988,Hci
330,Antonia Saw The Oryx First,"Thomas, Maria",January,1988,Soho Press
331,James McNair's Fish Cookbook,"McNair, James",October,1991,Chronicle Books
332,Alaska and the Yukon,"Walker, Joyce",March,1992,Smithmark Pub
333,Genomic Medicine: Articles from the New England Journal of Medicine,"Guttmacher, Alan E., M.D., Collins, Francis S. (EDT), Drazen, Jeffrey M. (EDT), and Zerhouni, Elias (FRW)",March,2004,John Hopkins University Press
334,The Cat Who Dropped a Bombshell,"Braun, Lilian Jackson",January,2006,Putnam
335,Discovering Maryland Wineries,"Atticks, Kevin M.",December,1998,Resonant Pub
336,Living Through the Meantime: Learning to Break the Patterns of the Past and Begin the Healing Process,"Vanzant, Iyanla",August,2001,Atria Books
337,Troublemaker,"Vecsey, George and Wu, Hongda Harry",March,1998,Ballantine Books
338,The Boy Who Dared to Rock: The Definitive Elvis,"Lichter, Paul",July,1978,Doubleday
339,College Knowledge: What It Really Takes for Students to Succeed and What We Can Do to Get Them Ready,"Conley, David T.",April,2005,Jossey-Bass
340,Dogs For Dummies 2e,"Spadafori, Gina",November,2000,John Wiley &Sons
341,I Call the Shots: Straight Talk About the Game of Golf Today,"Miller, Johnny and Yocom, Guy",May,2004,Gotham
342,No Time for Tears,"Freeman, Cynthia",October,1981,Arbor House Pub Co
343,Void Moon,"Connelly, Michael",December,1999,"Little, Brown and Company"
344,Where There's Smoke,"Hunter, Evan",June,1975,Random House
345,Tiger Burning Bright,"Lackey, Mercedes, Bradley, Marion Zimmer, and Norton, Andre",October,1996,Avon Books
346,Winning at Work Without Losing at Love,"Arterburn, Stephen",January,1995,Thomas Nelson Inc
347,Building Your Church,"Cousins, Don",November,1992,Zondervan
348,Matt Christopher's Baseball Jokes and Riddles,"Christopher, Matt, Vasconcellos, Daniel (ILT), and True, S. (EDT)",April,1996,"Little, Brown Books for Young Readers"
349,Oasis: A Spa for Body and Soul,"Everson, Eva Marie",March,2007,Revell
350,Poseidon's Shadow,"Kobryn, A. P.",July,1979,Scribner
351,The Master of all Desires,"Riley, Judith Merkle",November,1999,Viking Adult
352,Stepping Stones,"Marshall, Lillian",March,1984,Peter Pauper Pr
353,Standard Operating Procedure,"Gourevitch, Philip and Morris, Errol",April,2008,Penguin Press
354,New Mercies: A Novel,"Dallas, Sandra",February,2006,St. Martin's Griffin
355,Honey Moon,"Phillips, Susan Elizabeth",June,1993,Pocket Books
356,Manual of Clinical Psychopharmacology,"Schatzberg, Alan F. and Cole, Jonathan O.",May,1986,Amer Psychiatric Pub
357,While Shepherds Washed Their Flocks : And Other Funny Things Kids Say and Do,"Higas, Liz Curtis",January,1998,Thomas Nelson Inc
358,The Prince of Egypt,"McCafferty, Catherine",January,1998,Landoll
359,The Pursuit of Loneliness: American Culture at the Breaking Point,"Slater, Philip",January,1971,Houghton Mifflin Co
360,Sweet Summer: Growing Up With and Without My Dad,"Campbell, Bebe Moore",May,1990,Ballantine Books
361,Think You're the Only One? Oddball Groups Where Outsiders Fit In,"Brown, Seth",January,2004,Barnes & Noble
362,Two Little Lies,"Carlyle, Liz",January,2006,Pocket Star
363,Tales of the South Carolina Low Country,"Rhyne, Nancy",January,1982,Blair
364,If I Were President,Peggy Gavan,January,1994,troll 1994
365,Cape Cod,"Martin, William",July,1992,Grand Central Publishing
366,A history of economic thought,"Bell, John Fred",January,1953,Ronald Press Co
367,Gone: An FBI Profiler Novel,"Gardner, Lisa",December,2006,Bantam
368,Stencil Source Book 2: Over 200 New Designs,"Meehan, Patricia",September,1995,North Light Books
369,Child's Garden of Verses,"Stevenson, Robert Louis",January,1989,Princess House
370,The Very Best Hanukkah Gift,"Rocklin, Joanne and O'Neill, Catharine (ILT)",October,1999,Delacorte Books for Young Readers
371,American Blessings: A Celebration of Our Country's Spirit,"Running Press, Washburn, Michael (EDT), and Oyama, Susan (EDT)",February,1994,Courage Books
372,Kingdom of Cages,"Zettel, Sarah",June,2002,Aspect
373,Crockpot Recipe Collection,Publications International (COR),September,2008,"Publications International, Ltd."
374,Another Language: Poetry,"Elkind, Sue Saniel and Burkhalter-Lackey, Lori (PHT)",March,1989,Papier Mache Pr
375,Villages: A novel,"Updike, John",October,2004,Knopf
376,Prayers from a Mother's Heart,"Graham, Ruth Bell (EDT)",March,1999,Thomas Nelson Inc
377,Children of the Storm,"Peters, Elizabeth",March,2004,Avon
378,Abe Lincoln and the Muddy Pig,"Krensky, Stephen and Griffith, Greshom (ILT)",January,2002,Simon Spotlight
379,Dinosaur and Other Prehistoric Animal Fact Finder,"Benton, M. J.",August,1993,Kingfisher
380,Palace Circle: A Novel,"Dean, Rebecca",March,2009,Broadway Books
381,Approval Addiction: Overcoming Your Need to Please Everyone,"Meyer, Joyce",April,2005,FaithWords
382,Angels Fall,"Roberts, Nora",May,2007,Berkley
383,The Passionate Gardener,"Raimondi, Georgia",February,1999,Readers Digest
384,Women and Psychotherapy: An Assessment of Research and Practice,"Brodsky, Annette M. and Hare-Mustin, Rachel T.",October,1980,The Guilford Press
385,The Most Important Thing I've Learned in Life,"Bauman, Beau (COM)",June,1994,Fireside
386,The Ultimate Book of Martial Arts,Fay And Mike James Goodman,January,2004,Hermes House
387,Gestures: The Do's and Taboos of Body Language Around the World,"Axtell, Roger E. and Fornwald, Mike (ILT)",August,1991,Wiley
388,Dear John,"Sparks, Nicholas",December,2009,Grand Central Publishing
389,Christmas Ornaments to Make: 101 Sparkling Holiday Trims,"Better Homes and Gardens Books, Dahlstrom, Carol Field (EDT), and Banker, Susan (EDT)",July,2002,Better Homes and Gardens
390,All New People,"Lamott, Anne",December,1999,Counterpoint
391,Outsmart High Cholesterol,Prevention Magazine Health Books (EDT),March,2003,St. Martin's Paperbacks
392,Pictures of You,"Leavitt, Caroline",January,2011,Algonquin Books
393,Daniel in the Lions' Den,The Clever Factory,January,2007,The Clever Factory
394,The Power of Positive Productivity,Dennis E. Hensley,June,2006,Possibility Press
395,Complete Book of Home Decorating,"Mayer, Barbara",January,1992,BDD Promotional Books Company
396,Under and Alone: The True Story of the Undercover Agent Who Infiltrated America's Most Violent Outlaw Motorcycle Gang,"Queen, William",April,2005,Random House
397,Annuals You Should Grow,"King, Julius",January,1937,Whitman
398,Aupres De Ma Blonde,"Freeling, Nicolas",August,1979,Vintage
399,Stained glass primer,Peter Mollica,January,1971,Mollica Stained Glass Press
400,Aunts: A Celebration of Those Special Women in Our Lives,"Cunningham, Annette Sara",November,1997,Contemporary Books
401,The Final Judgment,"Patterson, Richard North and Mehta, Sonny (EDT)",November,1995,Knopf
402,The Trial Lawyers: The Nation's Top Litigators Tell How They Win,"Couric, Emily",October,1990,St. Martin's Griffin
403,Armchair Reader: The Amazing Book of History: Extraordinary Facts and Stories,"J.K. Kelley, Jonathan W. Jordan, William David, Robert Bullington, William Martin, William Sasser",July,2008,West Side Publishing
404,Dies the Fire: A Novel of the Change,"Stirling, S. M.",September,2005,Ace
405,Just Wait Till You Have Children of Your Own,"Bombeck, Erma and Keane, Bil",January,1972,"Fawcett, 1972"
406,The Secret Between Us,"Delinsky, Barbara",November,2008,Broadway Books
407,24: The Unofficial Guide,"Sangster, Jim",April,2003,Contender Entertainment Group
408,The Nativity Story,"Voiland, Stephanie (EDT)",October,2006,"Tyndale House Publishers, Inc."
409,More Memories,"Emery, Ralph and Carter, Tom",September,1993,Putnam Adult
410,False Impression,"Archer, Jeffrey",November,2006,St. Martin's Paperbacks
411,Dear Birthmother: Thank You for Our Baby,"Silber, Kathleen and Speedlin, Phylis",May,1991,Corona Pub Co
412,Many Loves Have I,William Brown Meloney,January,1955,Popular Library
413,The Body: Being Light in Darkness,"Colson, Charles and Vaughn, Ellen Santilli",August,1992,W Pub Group
414,These Demented Lands,"Warner, Alan",January,1997,Jonathan Cape
415,Child's Play,"Hamilton, Leslie",May,1989,Three Rivers Press
416,The Shirley Temple Story,"David, Lester",March,1983,Putnam Pub Group (T)
417,On Economics and Society,Harry G. Johnson,January,1975,University of Chicago Press
418,Balance Of Power,"Patterson, Richard North",October,2003,Ballantine Books
419,Fifty Great American Short Stories,"Crane, Milton (EDT)",August,1984,Bantam Classics
420,Hollywood Musicals,"Sennett, Ted",November,1985,ABRADALE PRESS
421,Do You Want to Know a Secret?,"Clark, Mary Jane",November,1998,St Martins Pr
422,Whitney Museum of American Art: Selected works from the permanent collection,Whitney Museum of American Art,January,1985,The Museum in association with W.W. Norton
423,Single Over Thirty,"Husband, John D.",February,2007,Talywain Press
424,Great Carrier Aircraft,"Darman, Peter",January,1996,Hunter Publishing+inc
425,Monet: The Artist Speaks,"Monet, Claude and Morgan, Genevieve (EDT)",April,1996,Harper
426,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,January,1967,Newfield Publications
427,Dancing at the Rascal Fair: A Novel,"Doig, Ivan",September,1988,HarperCollins
428,Concerning Death: A Practical Guide for the Living,"Grollman, Earl A.",May,1974,Beacon Pr
429,Awakening Corporate Soul: Four Paths to Unleash the Power of People at Work,"Izzo, John B. and Klein, Eric",December,1998,Fairwinds Press
430,Big Doctoring in America: Profiles in Primary Care,"Mullan, Fitzhugh",October,2002,University of California Press
431,The Magnificent Seven: The Authorized Story of American Gold,"Kleinbaum, N. H.",October,1996,Delacorte Books for Young Readers
432,In pictures Death Valley: The Continuing Story,"Cinkoske, Cheri and Cook, Kayci",June,1997,"KC Publications, Inc."
433,A Fierce Green Fire: The American Environmental Movement,"Shabecoff, Philip",January,1993,Hill & Wang Pub
434,Complete 35Mm Sourcebook,"Busselle, Michael",August,1992,Amphoto Books
435,The Peacemaking Struggle,"Stone, Ronald and Wilbanks, Dana",June,1985,UPA
436,Timeless Healing: The Power and Biology of Belief,"Stark, Marg and Benson, Herbert",April,1996,Scribner
437,Portfolio Planner,"Jasmine, Julia",July,1995,Teacher Created Resources
438,The World's Worst Cars,"Cheetham, Craig",January,2005,Barnes & Noble Books
439,Captain Grey,,August,1993,Beech Tree Books
440,Give to Live: How Giving Can Change Your Life,"Lawson, Douglas M.",April,1998,Alti Publishing
441,The Carousel: A Novel,"Evans, Richard Paul",October,2000,Simon & Schuster
442,Quiet Places With Mary,"Powers, Isaias",September,1986,Twenty Third Pubns
443,Photography Catalog,"Snyder, Norman, Kismaric, Carole, and Myrus, Donald",January,1976,Harper & Row
444,The Book of Breakfasts and Brunches,"Harries, Karenza and Newnham, Alan (PHT)",January,1990,HP Trade
445,They Flew to Fame,"Bowen, Robert Sidney",January,1963,Whitman Publishing Company
446,SELECTED WORKS OF JOHN DRYDEN,ed. William Frost,January,1963,Holt Rienhat And Winston
447,Duende Meadow,"Cook, Paul",October,1985,Bantam Books
448,Crude World: The Violent Twilight of Oil,"Maass, Peter",August,2010,Vintage
449,Home Lands: Portraits of the New Jewish Diaspora,"Tye, Larry",September,2001,Henry Holt and Co.
450,Cooking With Hot Flashes: And Other Ways to Make Middle Age Profitable,"Bolton, Martha",September,2004,Bethany House
451,Intrusions,"Hegi, Ursula",March,1997,Touchstone
452,Lost Horizon,"Hilton, James",June,2004,HarperCollins
453,The Potato Experience,"Tanner, Lisa",May,1986,Ten Speed Press
454,Skills for New Managers,"Stettner, Morey",April,2000,McGraw-Hill
455,Guests of the Ayatollah: The First Battle in America's War with Militant Islam,"Bowden, Mark",April,2006,Atlantic Monthly Press
456,The Woman Who Cut Off Her Leg at the Maidstone Club and Other Stories,"Slavin, Julia",July,1999,Henry Holt and Co.
457,Power Networking: 55 Secrets for Personal and Professional Success,"Vilas, Sandy",December,1992,Bard Press
458,Quench not the spirit,"Augsburger, Myron S.",January,1975,Herald Press
459,100 Things You Should Know About Weather,"Oliver, Clare",March,2004,Miles Kelly Pub
460,Questions of Heaven: The Chinese Journeys of an American Buddhist,"Ehrlich, Gretel",April,1997,Beacon Press
461,West Meets East: Americans Adopt Chinese Children,"Tessler, Richard C., Gamache, Gail, and Liu, Liming",May,1999,Praeger
462,Jesus,"Wangerin, Walter",November,2005,Zondervan
463,Stolen Figs: And Other Adventures in Calabria,"Rotella, Mark",May,2004,North Point Press
464,MLA Handbook for Writers of Research Papers,"Gibaldi, Joseph",April,1995,Modern Language Assn of Amer
465,The Widow's Club,"Cannell, Dorothy",April,1988,BANTAM
466,Israel's fateful hour,"Harkabi, Yehoshafat",January,1988,Harper & Row
467,In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,"Kessler, Ronald",August,2009,Crown Forum
468,Goliath:The Life of Robert Schuller,"Penner, James",September,1992,New Hope Publishing
469,McSweeney's Mammoth Treasury of Thrilling Tales,"Chabon, Michael (EDT)",March,2003,Vintage
470,Charms for the Easy Life,"Gibbons, Kaye",June,1995,Harper Perennial
471,MY VERY FIRST NUMBER BOOK,"Wilkes, Angela",March,2001,DK Preschool
472,Pate the New Main Course for the Eighties,"Cutler, Carol",July,1983,Scribner
473,The Rising Hope,"Swindoll, Charles R.",December,2008,Thomas Nelson Inc
474,The Cat Who Came to Breakfast,"Braun, Lilian Jackson",February,1994,Putnam
475,The Giant Hug,"Horning, Sandra and Gorbachev, Valeri (ILT)",September,2008,Dragonfly Books
476,Champions of American Sport,Marc Pachter,January,1981,H.N. Abrams
477,The Turkey Cookbook,"Rodgers, Rick",October,1991,Perennial
478,Oriental Antiques and Collectibles: A Guide,"Chu, Arthur",January,1973,Crown
479,Deep Breath,"Kent, Alison",April,2006,Kensington
480,Earth From Space: Smithsonian National Air and Space Museum,"Johnston, Andrew K.",October,2004,Firefly Books
481,Barbie: The Pyramid Adventure,Rita Balducci,January,1998,Grolier Books
482,At Play in the Fields of the Lord,"Matthiessen, Peter",December,1987,Vintage
483,The Wealth of Choices: How the New Economy Puts Power in Your Hands and Money in Your Pocket,"Murray, Alan S.",June,2000,Crown Business
484,Hidden Prey,"Sandford, John",May,2004,Putnam Adult
485,The Killer Angels,"Shaara, Michael",October,1980,Ballantine Books
486,Glorious Needlepoint: Extraordinary Stitchery Designs from the Author of Glorious Knits,"Fassett, Kaffe and Lovi, Steve",August,1987,Clarkson Potter
487,Photographing baby and child,"Hornby, George",January,1977,Crown Publishers
488,Louisiana Real and Rustic,"Lagasse, Emeril, Bienvenu, Marcelle, and Smale, Brian (PHT)",September,1996,William Morrow Cookbooks
489,London from the Air,Barbara Roveda,January,2005,VMB Publishers
490,Lonely Planet Italy,"Williams, Nicola (EDT), Simonis, Damien (EDT), Adams, Fiona (EDT), Roddis, Miles (EDT), and Webb, Sally (EDT)",March,2002,Lonely Planet
491,Today's Military Wife,"Cline, Lydia Sloan",January,2003,Stackpole Books
492,Family Words: The Dictionary for People Who Don't Know a Frone from a Brinkle,"Dickson, Paul",October,1988,Addison-Wesley
493,Bless This Food: Ancient and Contemporary Graces from Around the World,"Butash, Adrian",September,2007,New World Library
494,The Twelve Teas of Christmas,"Barnes, Emilie and Clough, Sandy Lynam (ILT)",June,1999,Harvest House Pub
495,Congratulations Graduate,Hallmark,January,2002,Honor Books
496,The Presidential Transcripts with Commentary by the staff of the Washington Post,"Bob Woodward, Carl Bernstein, Haynes Johnson, Lawrence Meyer",May,1974,Dell 6057
497,Sexual Healing,"Nelson, Jill",June,2003,Agate
498,The Quickie,"Patterson, James and Ledwidge, Michael",April,2008,Grand Central Publishing
499,550 Home Landscaping Ideas,"Fell, Derek and Erler, Catriona",February,1992,Simon & Schuster
500,Out of the Ashes: The Resurrection of Saddam Hussein,"Cockburn, Andrew and Cockburn, Patrick",March,1999,Harper
501,The Country Bride Quilt,"Pellman, Rachel T. and Heisey, Craig N.",May,2013,Good Books
502,The Wilson Plot,"Leigh, David",December,1988,Pantheon Books
503,The Broker,"Grisham, John",November,2005,Arrow Books
504,What Jackie Taught Us: Lessons from the Remarkable Life of Jacqueline Kennedy Onassis,"Flaherty, Tina Santi",March,2004,Perigee Trade
505,The Winged Horse Anthology,"Joseph Auslander, Frank Ernest Hill",January,1929,"Doubleday, Doran & Company, inc."
506,Hide This French Book,"Roustang-Stoller, Eve-Alice",August,2004,Hide This
507,How To Start A Conversation And Make Friends,"Gabor, Don and Power, Mary (ILT)",January,2001,Touchstone
508,A Photographic and Comprehensive Guide to Yellowstone National Park,Editor,January,1976,National Parks Division of World-Wide Research & Pub.
509,Bridges Not Walls: A Book About Interpersonal Communication,"Stewart, John Robert (EDT)",January,1990,Mcgraw-Hill College
510,Inside the Real Estate Deal,"Miller, Peter G",August,1991,Harpercollins Publisher
511,The Abby Aldrich Rockefeller Folk Art Collection Gallery Book,Various,January,1965,W. S. Cowell Ltd
512,The Fannie Farmer Baking Book,"Cunningham, Marion",September,1984,"Alfred A. Knopf,"
513,The Garden Angel,"Friddle, Mindy",June,2005,Picador
514,The Oxford Companion to the Theatre,"Hartnoll, Phyllis (EDT)",October,1983,Oxford University Press
515,Different Mothers: Sons and Daughters of Lesbians Talk About Their Lives,"Rafkin, Louise (EDT)",November,1990,Cleis Pr
516,The Maytrees: A Novel,"Dillard, Annie",June,2008,Harper Perennial
517,The Obvious Diet: Your Personal Way to Lose Weight Fast Without Changing Your Lifestyle,"Victor, Ed",September,2002,Arcade Publishing
518,Breastfeeding Pure and Simple:,"Gotsch, Gwen",January,2000,La Leche League International
519,The Consultant's Guide to Proposal Writing: How to Satisfy Your Client and Double Your Income,"Holtz, Herman",March,1990,Wiley
520,Come to the farm,"Tensen, Ruth Marjorie",January,1949,Reilly & Lee Co.
521,The New Yorkers: A Novel,"Schine, Cathleen",April,2008,Picador
522,Faithful Travelers,"Dodson, James",May,1998,Bantam
523,Potatoes: A Special Collection,,January,2000,Lansdowne
524,Joy of Parenthood,"Blaustone, Jan",May,1993,Meadowbrook
525,The Stones Of Summer,"Mossman, Dow",January,2004,Overlook Books
526,License to Sell,"Ilvento, Joe, Price, Doug",September,1999,Applied Business Communications
527,Golf Resorts of the World,"McCallen, Brian",September,1993,Harry N. Abrams
528,Combat,"Coonts, Stephen",September,2003,Forge Books
529,Silent Night,"Clark, Mary Higgins",November,1996,Pocket Books
530,Watergate: The Full Inside Story,"Shawcross, William, Chester, Lewis, McCrystal, Cal, and Aris, Stephen",September,1973,Ballantine Books
531,I have a friend,"Muntean, Michaela",January,1993,Children's Television Workshop
532,Mirror and Mirage: Fiction By Nineteen,Albert J. (editor) Guerard,January,1980,Stanford Alumni Association
533,Secrets of a Fulfilled Woman: Finding True Contentment in Your Life,"Peretti, Barbara, Missler, Nancy, Thomas, Bonnie, Impe, Rexella Van, Barker, Barbara, McDowell, Dottie, Ankerberg, Darlene, Newbold, Elizabeth, and Perkins, Susie (COM)",September,1997,New Leaf Pr
534,That None Should Perish: How to Reach Entire Cities for Christ Through Prayer Evangelism,"Silvoso, Ed",April,1995,Regal
535,Navigating Through Change,"Woodward, Harry, Ph.D. and Woodward, Mary Beckman",April,1994,McGraw-Hill
536,The Complete Book of the Horse,"Roberts, Peter (EDT)",April,1994,Smithmark Pub
537,Plutonium Murders: An Alex Seacourt Thriller,"Davis, Robert Charles",March,1997,Horizon Press
538,O'Hara: A biography,"Farr, Finis",January,1973,Little Brown & Co
539,The Teddy Bear Story,"Keyes, Josephine",November,1985,Gallery Books
540,Too Much Tuscan Sun: Confessions Of A Chianti Tour Guide,"Castagno, Dario",September,2004,Globe Pequot
541,CURE FOR THE COMMON LIFE,"Lucado, Max",November,2010,Thomas Nelson
542,Max and Ruby Play School: Picture Reader,"Wells, Rosemary",July,2003,Grosset & Dunlap
543,King Charles III: A Biography,"Holden, Anthony",December,1988,Grove Pr
544,How to Read the Financial Pages,"Passell, Peter",April,1989,Grand Central Publishing
545,Tenderwire,"Kilroy, Claire",June,2006,Mariner Books
546,The Story of the Night: Studies in Shakespeare's Major Trajedies,"Holloway, John",January,1961,University of Nebraska
547,Brewing Quality Beers: The Home Brewer's Essential Guidebook,"Burch, ron",January,1989,Joby Books
548,Greenland: Island at the Top of the World,"Anderson, Madelyn Klein",August,1983,Cliffs Notes
549,Nothing But the Truth,"Keating, Karl",October,1999,Catholic Answers Inc
550,All About the Sea,Ferdinand C. Lane,January,1953,Random House
551,And Then They Were Nuns: A Novel,"Leonardi, Susan J.",June,2003,Firebrand Books
552,Handbook Plus: The Handbook for Today's Driver,Charles D. Torreiro,January,1997,Propulsion International Inc.
553,The Five Minute Hair Stylist,"Moodie, Christine",February,1991,Crown
554,Matter of Opinion,"Navasky, Victor S.",May,2006,Picador
555,Two Men from Eden,Morris Cerullo,January,1977,Morris Cerullo World Evangelism Headquarters
556,The Breakdown Lane,"Mitchard, Jacquelyn",April,2005,HarperCollins
557,Prevention's New Foods for Healing: Capture the Powerful Cures of More Than 100 Common Foods,"Prevention Magazine Health Books (COR), Vantine, Julia, Yeager, Selene, and Mount, Bridget",February,1998,Rodale Pr
558,What to Write to Make Meaningful Albums,,January,2004,Chatterbox LLC
559,Ageless: Take Control of Your Age and Stay Youthful for Life,"Miles, Elizabeth and Schneider, Edward L.",April,2003,Rodale Books
560,True Green Kids: 100 Things You Can Do to Save the Planet,"Mckay, Kim, Bonnin, Jenny, and De Rothschild, David (FRW)",September,2008,National Geographic Kids
561,The Coming Conflict with China,"Bernstein, Richard and Munro, Ross H.",February,1998,Vintage
562,The Frequency of Souls,"Zuravleff, Mary Kay",April,1996,Farrar Straus Giroux
563,Where She Came From: A Daughter's Search for Her Mother's History,"Epstein, Helen",November,1998,Holmes and Meier edition
564,Match Wits with Mensa®: Test Your Trivia Smarts,"Gordon, Peter",September,2004,Sterling
565,Partnerships for Profit: Structuring and Managing Strategic Alliances,"Lewis, Jordan D.",April,1990,Free Press
566,The Reluctant Belligerent: American Entry Into World War II,"Divine, Robert A",July,1979,McGraw-Hill College
567,Scarlet Feather,"Binchy, Maeve",January,2001,Dutton Adult
568,Bech: a Book,"Updike, John",January,1970,Knopf
569,The Girl with the Golden Gun,"Major, Ann",October,2005,MIRA
570,A Christmas Treasury,"Elder, Sam",January,1985,HarperCollins Publishers
571,The Elements of Feng Shui,Man-Ho Kwok,January,1997,Barnes & Noble
572,Awesome Facts About Sharks,"Llewellyn, Claire",January,2004,Flying Frog Publishing
573,The Gift of Asher Lev,"Potok, Chaim",June,1991,Fawcett
574,Zen for Americans,"Shaku, Soyen",August,1989,Metro Books
575,Quintessence,"Edwards, Owen and Cornfeld, Betty",February,1983,Three Rivers Press
576,The Way Home,"Rossiter, Nan Parson",September,1999,Dutton Books for Young Readers
577,Dream Makers: UntamedLess Of A Stranger,"Roberts, Nora",October,2006,Silhouette
578,Jericho's Fall,"Carter, Stephen L.",July,2009,Knopf
579,Stones from the River,"Hegi, Ursula",April,1995,Scribner
580,Icky Bug Shapes,"Pallotta, Jerry and Bersani, Shennen (ILT)",April,2004,"Scholastic, Inc."
581,The Deity Formerly Known as God,"Stevens, Jarrett",August,2006,Zondervan
582,Friendship 911 Helping Friends Who Struggle With Life's Toughest Issues,"McDowell, Josh, Hostetler, Bob, and Bellis, Dave",July,2000,Thomas Nelson Publishers
583,Halliwell's Film Guide,"Walker, James",January,1992,HarperCollins Publishers
584,A River Town,"Keneally, Thomas",May,1996,Plume
585,The Little Engine That Could,"Piper, Watty and Smouse, Phil A. (ILT)",December,2002,"Barbour Publishing, Incorporated"
586,The Wild Christmas Reindeer,"Brett, Jan",November,1990,G.P. Putnam's Sons Books for Young Readers
587,The Virgin of Small Plains: A Novel of Suspense,"Pickard, Nancy",April,2006,Ballantine Books
588,Fete Fatale,"Barnard, Robert",November,1985,Scribner
589,Computer Wars: The Fall of IBM and the Future of Western Technology,"Morris, Charles R. and Ferguson, Charles H.",February,1993,Crown
590,The Gift of Nothing,"McDonnell, Patrick",October,2005,"Little, Brown Books for Young Readers"
591,How to Use Qualitative Methods in Evaluation,"Patton, Michael Quinn",December,1987,"SAGE Publications, Inc"
592,Litanies and Other Prayers for the Revised Common Lectionary Year B,"Cole, Phyllis and Tilson, Everett.",August,1993,Abingdon Press
593,Low Back Pain Syndrome,"Cailliet, Ren'e",January,1968,"Davis, Fa Co"
594,Keep It Simple,"Burros, Marian",May,1981,William Morrow & Co
595,The Cat Owner's Manual,"Allan, Eric and Bonning, Lynda",May,1994,Random House Value Publishing
596,Nice Work If You Can Get It: My Life in Rhythm and Rhyme,"Feinstein, Michael",October,1995,Hyperion
597,Seducing the Duchess,"March, Ashley",October,2010,Berkley
598,A More Perfect Constitution: Why the Constitution Must Be Revised: Ideas to Inspire a New Generation,"Sabato, Larry J.",September,2008,Bloomsbury USA
599,Hiking the Big Sur Country: The Ventana Wilderness,"Schaffer, Jeffrey P.",May,1988,Wilderness Pr
600,The Prayer of Jabez: Devotional,"Wilkinson, Bruce and Kopp, David",May,2001,Multnomah Books
601,The College Dorm Survival Guide: How to Survive and Thrive in Your New Home Away from Home,"Devillers, Julia",May,2006,Crown
602,Perfect Women: Hidden Fears of Inadequacy and the Drive to Perform,"Dowling, Colette",September,1988,Summit Books
603,Beauty from Ashes,"Price, Eugenia",June,1996,St. Martin's Paperbacks
604,Janet's Horses,"Denton, Kady MacDonald",March,1991,Clarion Books
605,Unlikely Friendships: 47 Remarkable Stories from the Animal Kingdom,"Holland, Jennifer S.",June,2011,Workman Publishing Company
606,No Second Chance,"Coben, Harlan",April,2003,Dutton Adult
607,Steel Guitar,"Barnes, Linda",December,1992,Dell
608,Pippi in the South Seas,"Lindgren, Astrid",January,1974,Scholastic
609,Letters from Vatican City,"Rynne, Xavier",January,1963,"Farrar, Straus & Company"
610,52 Dates for You and Your Mate,"Arp, Dave and Arp, Claudia",January,1993,Thomas Nelson Inc
611,What Research Has to Say About Reading Instruction,"Farstrup, Alan E. (EDT), Samuels, S. Jay (EDT), and Samuels, Jay (EDT)",March,2002,International Reading Association
612,The Darwin Awards Evolution In Action,"Norcutt, Wendy.",January,2000,Dutton Books
