,common_entity,entity1,entity2,entity3,rag_text
308,cold war,death from above 1979,2004,blues/jazz,
309,she belongs to me,leon russell,1971,country/folk,
310,the guitar man,cake,2004,pop/rock,
311,i feel love (every million miles),the dead weather,2015,blues/jazz,"""I Feel Love (Every Million Miles)"" is a single by the Dead Weather from their third studio album, Dodge and Burn. The song was first released on the streaming service Tidal, but was made available to download when pre-ordering the album on August 21. ""I Feel Love (Every Million Miles)"" and its B-side ""Cop and Go"" were released exclusively in physical format through Third Man Records' subscription service The Vault as a 7-inch vinyl single in September 2015.The music video for the ""I Feel Love (Every Million Miles)"" was nominated for the 2016 Grammy Award for Best Music Video."
312,the archetypal man,judee sill,1971,country/folk,
313,a boy's best friend,the white stripes,2000,blues/jazz,
314,planetary duality i: hideous revelation,the faceless,2008,blues/jazz,"Planetary Duality is the second studio album by American death metal band The Faceless. It was released on November 11, 2008 through Sumerian Records (in Europe through Lifeforce Records). It is a concept album with the lyrics following a science fiction theme of an extraterrestrial and extra-dimensional race controlling the world and is loosely inspired by the book The Children of the Matrix by David Icke. The album debuted at number 119 on the Billboard 200, selling around 5,600 copies in its first week."
315,long gone,brownie mcghee,1951,country/folk,
316,national finals rodeo,chris ledoux,1973,country/folk,
317,should've ran after you,cole swindell,2015,country/folk,"Down Home Sessions II is the second extended play album from American country music artist Cole Swindell.  The album includes five tracks, all co-written by Swindell."
318,tear in my heart,twenty one pilots,2015,pop/rock,"""Tear in My Heart"" is a song written and recorded by American musical duo Twenty One Pilots, for their fourth studio album Blurryface (2015). The song was released as a single on April 6, 2015 and was released to radio on April 14 of the same year."
319,ghosts,the jam,1982,pop/rock,
320,hoes mad,famous dex,2016,pop/rock,
321,ain't times hard,nick moss & the flip tops,2003,blues/jazz,
322,above and beyond (the call of love),conway twitty,1961,country/folk,
323,outta here,kenny chesney,2004,country/folk,
324,i was doing all right,louis armstrong,1957,blues/jazz,
325,send me a friend,anders osborne,2012,blues/jazz,
326,intolerance,tool,1993,pop/rock,"Undertow is the debut studio album by the American rock band Tool, released on April 6, 1993, by Zoo Entertainment. Produced by the band and Sylvia Massy, it was recorded from October to December 1992 at Sound City Studios in Van Nuys and Grandmaster Recorders in Hollywood. The album includes some tracks the band decided to not release on their debut EP Opiate. This is their only album to feature original bassist Paul D'Amour.
According to AllMusic, Undertow helped heavy metal remain prominent as a mainstream musical style, and allowed several later bands to break through to the mainstream. It was released at a time when grunge was at the height of its popularity, and pop punk was slowly beginning to gather mainstream attention. AllMusic saw the album's success in the ""striking, haunting visuals that complemented the album's nihilistic yet wistful mood.""As of 2020, Undertow has sold over three million copies in the United States, and is certified triple platinum by the Recording Industry Association of America.

"
327,when the shit hits the fan / sunset blvd.,todd rundgren,1972,pop/rock,
328,reasons,chris rea,1984,blues/jazz,
329,to lay me down,grateful dead,1981,pop/rock,
330,gangsta,8ball & mjg,2018,hip hop/reggae,
331,very special love,alabama,1980,country/folk,
332,ocean breakup / king of the universe,electric light orchestra,1973,pop/rock,"On the Third Day is the third studio album by Electric Light Orchestra (ELO), and the first to be recorded without input from Roy Wood. It was released in the United States in November 1973 by United Artists Records, and in the United Kingdom on 14 December 1973 by Warner Bros. Records. From this album on, the word The was dropped from the band's name. The album was reissued on 12 September 2006."
333,just for a thrill,ray charles,1959,blues/jazz,
334,stuck in the moment,justin bieber,2010,pop/rock,
335,knocks me off my feet,donell jones,1996,pop/rock,"""Knocks Me Off My Feet"" is a song written and performed by American recording artist Stevie Wonder, from his 1976 album Songs in the Key of Life. It was not released as a single, though it was released as a B-side to ""I Ain't Gonna Stand for It"" four years later, in 1980. The song has also been covered by numerous artists, including R&B singer Donell Jones, who released his version as a single in 1996. Other notable recordings include those by Tevin Campbell and Luther Vandross, both also released in 1996.
It is a love song, in which the narrator tells his paramour that her love for him ""makes me weak, and knocks me off my feet"". Despite websites stating the song is in F Major, the song was actually composed in the Key of C Major."
336,sick of being lonely,field mob,2002,pop/rock,"""Sick of Being Lonely"" is a song written and performed by American hip hop group Field Mob, issued as the official lead single from their second studio album From tha Roota to tha Toota. It was the group's first entry on the Billboard Hot 100, peaking at #18 in 2002."
337,beautiful,kenny g,1986,blues/jazz,
338,sickening,meshuggah,1991,blues/jazz,
339,oldest story in the world,the plimsouls,1983,pop/rock,
340,panic station,muse,2012,pop/rock,"""Panic Station"" is a song by English rock band Muse, released as the fifth single from their sixth studio album The 2nd Law on 31 May 2013. The song was written by Matthew Bellamy. It is featured as the third track on the album."
341,compared to what,roberta flack,1969,blues/jazz,"""Compared to What"" is a protest song written by Gene McDaniels. It was recorded by Roberta Flack in February 1969 for her debut album First Take, but became better known following a performance by Les McCann (piano and vocals) and Eddie Harris (tenor saxophone) at the Montreux Jazz Festival in June of that year. The song appeared as the opening track on their 1969 album Swiss Movement on the Atlantic label, which was certified Gold in sales in the United States. The song has been recorded by more than 270 performers, including Ray Charles and Brian Auger."
342,attracted to pain,earl thomas conley,1986,country/folk,
343,time to say goodbye,b.b. king,1958,blues/jazz,
344,running with a gun,slightly stoopid,2003,country/folk,
345,roads girdle the globe,xtc,1979,pop/rock,"Drums and Wires is the third studio album by the English rock band XTC, released in 1979 on Virgin Records. It is a more pop-orientated affair than the band's previous, Go 2 (1978), and was named for its emphasis on guitars (""wires"") and expansive-sounding drums. The album was their first issued in the United States and their first recorded with guitarist Dave Gregory, who had replaced keyboardist Barry Andrews earlier in 1979. It features a mix of pop, art rock, new wave and punk styles with much rhythmic interplay between XTC's two guitarists.
Bassist Colin Moulding's dissatisfaction with XTC's ""quirky"" reputation inspired the group to take a more accessible approach, starting with the non-album single ""Life Begins at the Hop"". Drums and Wires was recorded in four weeks at the newly built Town House studio in London with producer Steve Lillywhite and engineer Hugh Padgham, who were beginning to develop their signature gated reverb production technique, as demonstrated on the album opener and lead single ""Making Plans for Nigel"". Lyrically, the album focuses on the trappings or titillations of the modern world, with several songs about submitting to external forces. Frontman and guitarist Andy Partridge designed the cover artwork, which depicts the band logo forming the outline of a face.
Drums and Wires reached number 34 on the UK Albums Chart and number 176 on the US Billboard 200. ""Making Plans for Nigel"" reached number 17 on the UK Singles Chart and marked the band's commercial breakthrough. In 1980, Partridge recorded Take Away / The Lure of Salvage, an LP consisting mostly of dub remixes of Drums and Wires tracks. In later years, Drums and Wires became the best-known of XTC's albums. In 2004 it was ranked number 38 on Pitchfork's list of ""The Top Albums of the 1970s"", and in 2019, it was ranked number 31 in a similar list by Paste."
346,vitamin r (leading us along),chevelle,2004,pop/rock,"""Vitamin R (Leading Us Along)"" is a song by American rock band Chevelle. It was released in August 2004 as the lead single from their third studio album, This Type of Thinking (Could Do Us In). It was their second number-one hit on the Billboard Hot Mainstream Rock Tracks chart and reached number three on the Billboard Hot Modern Rock Tracks chart."
347,clash,caravan palace,2012,blues/jazz,
348,one big family,half pint,1997,country/folk,
349,disparate youth,santigold,2012,pop/rock,"""Disparate Youth"" is a song from American musician Santigold. The track was released in the United States on 14 February 2012 as the lead single from the artist's second studio album, Master of My Make-Believe (2012).In September 2012, ""Disparate Youth"" became the soundtrack to insurance company Direct Line's latest television advertisement. In December 2012, an instrumental version of the song was used by Honda for their television advertisement, ""Things Can Always Be Better"". Direct Line also utilised the track for a range of adverts between 2012 and 2014. The song is also featured in the video games Forza Horizon and NBA 2K16. It has also been used to advertise YouTube's Geek Week in August 2013. The song was also used in the Netflix original series Atypical, in season one, episode six, during the end credits, and featured in Good Girls. “Disparate Youth” was featured in the 2020 trailer for the Netflix series “Unorthodox.”"
350,if you're gonna play in texas (you gotta have a fiddle in the band),alabama,1980,country/folk,"""If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)"" is a song written by Murry Kellum and Dan Mitchell, and recorded by American country music band Alabama.  It was released in July 1984 as the B-side of the third single from their Roll On album.  Though ""I'm Not That Way Anymore"" was released as the A-side, radio programmers preferred the flipside and the song became Alabama's 14th consecutive number-one single on the Billboard Hot Country Singles chart.During the first weeks the song was on the Billboard chart, ""I'm Not That Way Anymore"" charted concurrently, being listed as a tag-along B-side.  Since ""I'm Not That Way"" was intended as the A-side, the song had an accompanying music video which was filmed at Fort Payne High School.
The chorus references ""Faded Love"" by Texas musician Bob Wills and ""Louisiana Man"" by Doug Kershaw repeatedly throughout the song.
The song was used as the basis of ""If You're Gonna Run in Texas"", a radio campaign advertisement produced as part of U.S. Senator Ted Cruz's reelection campaign in 2018."
351,red sector a,rush,1984,pop/rock,"""Red Sector A"" is a song by Rush that provides a first-person account of a nameless protagonist living in an unspecified prison camp setting. ""Red Sector A"" first appeared on the band's 1984 album Grace Under Pressure.
Lyricist Neil Peart has stated that the detailed imagery in the song intentionally evokes concentration camps of the Holocaust, although he left the lyrics ambiguous enough that they could deal with any similar prison camp scenario.
The song was inspired in part by Geddy Lee's mother's accounts of the Holocaust.
In a rare instance for Rush's music, the track features no bass guitar, with Lee instead completely focusing on synthesizers and vocals."
352,whutcha want?,nine,2019,hip hop/reggae,"""Whutcha Want?"" is the lead single released from Nine's debut album, Nine Livez. Produced by Rob Lewis, ""Whutcha Want?"" was Nine's most successful single, becoming his only one to make it to the Billboard Hot 100, peaking at 50 on the chart, as well as making it to 3 on the Rap charts.""Whutcha Want?"" sampled four different songs. ""The Dock of the Bay"" by The Staple Singers, ""Spinning Wheel"" by Dr. Lonnie Smith, ""Catch a Groove"" by Juice and ""Best of My Love"" by The Emotions. There are also five samples that as yet remain unidentified that appear around the 2:33 mark. The song also has been sampled itself by the Beastie Boys on their song ""Putting Shame in Your Game"" and ""Natalie's Rap"" by The Lonely Island and Natalie Portman.Several remixes were made for the song. Rob Lewis made a street remix that appeared as a B-Side on the single, while three European bands also made remixes, each of which were released on a separate maxi-single entitled Whutcha Want: The Remixes. Portishead, Dark Globe and The Brotherhood each contributed a remix to the song.  At the moment, it is the only Nine song available on iTunes, appearing on Profile Records' compilation album Profilin - the Hits."
353,eight miles high,the byrds,1965,pop/rock,"""Eight Miles High"" is a song by the American rock band the Byrds, written by Gene Clark, Jim McGuinn (a.k.a. Roger McGuinn), and David Crosby. It was first released as a single on March 14, 1966. Musically influenced by sitar player Ravi Shankar and jazz saxophonist John Coltrane, the song was influential in developing the musical styles of psychedelia and raga rock. Accordingly, critics often cite ""Eight Miles High"" as being the first bona fide psychedelic rock song, as well as a classic of the counterculture era.
The song was subject to a U.S. radio ban shortly after its release, following allegations published in the broadcasting trade journal the Gavin Report regarding perceived drug connotations in its lyrics. The band strenuously denied these allegations at the time, but in later years both Clark and Crosby admitted that the song was at least partly inspired by their drug use. The failure of ""Eight Miles High"" to reach the Billboard Top 10 is usually attributed to the broadcasting ban, but some commentators have suggested the song's complexity and uncommercial nature were greater factors.
""Eight Miles High"" reached number 14 on the Billboard Hot 100 chart and number 24 on the UK Singles Chart. The song was also included on the band's third album, Fifth Dimension, which was released on July 18, 1966. ""Eight Miles High"" became the Byrds' third and final U.S. Top 20 hit, and was their last release before the departure of Clark, who was the band's principal songwriter at the time."
354,thomas,a perfect circle,2000,pop/rock,
355,journey,black uhuru,1981,country/folk,
356,long distance call,muddy waters,1957,blues/jazz,
357,king george,roy ayers,1973,blues/jazz,
358,tongue tied,wanda jackson,1961,pop/rock,
359,where your road leads,garth brooks,1998,country/folk,"""Where Your Road Leads"" is a song written by Victoria Shaw and Desmond Child, and recorded by American country music artists Trisha Yearwood and Garth Brooks. It was released in September 1998 as the second single and title track from Yearwood's album Where Your Road Leads.  The song reached #18 on the Billboard Hot Country Singles & Tracks chart.Shaw previously recorded the song on her 1995 album In Full View."
360,a girl is a gun,old dominion,2017,country/folk,
361,blue thunder,galaxie 500,1989,pop/rock,
362,fire and brimstone,link wray,1971,blues/jazz,
363,blame the moon,beth hart,1996,blues/jazz,
364,hail mi idren,ini kamoze,1984,country/folk,
365,mansard roof,vampire weekend,2008,pop/rock,"""Mansard Roof"" is the debut single by indie rock band Vampire Weekend, released on October 23, 2007."
366,motivation,t.i.,2004,pop/rock,
367,lunar wilderness,between the buried and me,2011,blues/jazz,
368,where's da bud,three 6 mafia,1997,pop/rock,"The End is the second studio album by American hip hop group Three 6 Mafia. It is the follow-up to their debut album Mystic Stylez. The album was released on December 3, 1996, by Prophet Entertainment. This album shows a distinct change in production from their debut album.
“Walk Up 2 Yo House” is a re-recorded song of the same name, which originally appeared on the group’s 1994 mixtape Smoked Out, Loced Out.

"
369,pessimistic lines,bad religion,1988,pop/rock,
370,carry me on,arc angels,1992,blues/jazz,
371,bare bones,madeleine peyroux,2009,blues/jazz,
372,wake up and live,bob marley & the wailers,1979,country/folk,
373,my broken souvenirs,pussycat,1977,pop/rock,
374,so a child may follow,damian marley,2017,country/folk,
375,grow old with me,mary chapin carpenter,1989,country/folk,
376,"cody, cody",the flying burrito brothers,1970,pop/rock,
377,"hey, good lookin'",mose allison,1994,blues/jazz,
378,fox on the run,sweet,1974,pop/rock,"""Fox on the Run"" is a 1975 song by the British glam rock band Sweet, first recorded in 1974. It was the first Sweet single written by the band, rather than producers Nicky Chinn and Mike Chapman, and was their 14th single overall. The song became the best charting single in Australia in 1975, with six weeks at number one.Two versions were recorded by Sweet. The original version was produced by Mike Chapman in association with Nicky Chinn on the European version of the 1974 album Desolation Boulevard. Sweet also recorded and produced a more pop-oriented version as a 7"" single in 1975, which is the more familiar version of the song. The 1975 single version was included on the Capitol Records version of Desolation Boulevard.
The song's inclusion in the trailer for Guardians of the Galaxy Vol. 2 led to the song reaching number one on the iTunes Rock Chart in late 2016."
379,the pros and cons of breathing,fall out boy,2003,pop/rock,
380,judgement day,raging fyah,2015,country/folk,
381,i can't stop loving you,diane schuur,1994,blues/jazz,
382,what a diff'rence a day made,aretha franklin,1964,blues/jazz,
383,gun down,bounty killer,1996,country/folk,
384,5-10-15 hours,ruth brown,1957,blues/jazz,"""5-10-15 Hours"" is a rhythm-and-blues song written by Rudy Toombs in 1952 for Ruth Brown and was one of several number-one R&B hits he wrote for her.  When Brown was inducted into the Rock and Roll Hall of Fame, her induction  said that ""her best work was to be found on such red-hot mid-Fifties R&B sides as '5-10-15 Hours'"".

"
385,situation crazy,pato banton,1990,country/folk,
386,goodnight chicago,rainbow kitten surprise,2015,pop/rock,
387,elouise,the lumineers,2013,pop/rock,
388,beyond the realms of death,judas priest,1978,pop/rock,"""Beyond the Realms of Death"" is a power ballad by English heavy metal band Judas Priest from their 1978 album Stained Class. The song is considered a Judas Priest classic by fans and critics, with further recordings included in Priest, Live and Rare, '98 Live Meltdown, Live in London, A Touch of Evil: Live, Live Insurrection and a number of compilation albums. Drummer Les Binks has his only songwriting credit with the band for the main riff."
389,two kinds of happiness,the strokes,2011,pop/rock,
390,when the lights gone out,ziggy marley & the melody makers,1992,country/folk,
391,calling all the people,4 non blondes,1992,pop/rock,
392,thick & thin,stick figure,2009,country/folk,
393,r.i.p. 2 my youth,the neighbourhood,2015,pop/rock,"""R.I.P. 2 My Youth"" is a song by American alternative pop group the Neighbourhood. It was released on August 20, 2015 as the lead single of their second album Wiped Out! A music video for the track, directed by Hype Williams was released on September 16, 2015. The song entered the UK Singles Chart at No. 85. It was their first time to enter this chart after their hit single ""Sweater Weather""."
394,she-wolf,megadeth,1997,pop/rock,
395,pity party,melanie martinez,2015,pop/rock,"""Pity Party"" is a song by American recording artist Melanie Martinez based on the 1963 Lesley Gore hit ""It's My Party"". It was released as the lead single from her debut album, Cry Baby (2015), on June 2, 2015. The music video was released on June 1, 2015. It impacted contemporary hit radio on March 22, 2016."
396,seasick emotions,the wood brothers,2018,blues/jazz,
397,lonely blue boy,conway twitty,1960,country/folk,"""Lonely Blue Boy"" (originally entitled ""Danny"" and sung by Elvis Presley) is a song written by Ben Weisman and Fred Wise and performed by Conway Twitty. It reached #6 on the U.S. pop chart and #27 on the U.S. R&B chart in 1960.  It was featured on his 1960 album Lonely Blue Boy.The song ranked #38 on Billboard magazine's Top 100 singles of 1960."
398,it might as well be spring,dinah washington,1995,blues/jazz,
399,heartbreaker,crazy p,2011,blues/jazz,
400,for the love of money,bulletboys,1988,pop/rock,
401,big all around,gregory isaacs,1989,country/folk,
402,eldorado finale,electric light orchestra,1974,pop/rock,Eldorado (subtitled A Symphony by the Electric Light Orchestra) is the fourth studio album by the Electric Light Orchestra (ELO). It was released in the United States in September 1974 by United Artists Records and in the United Kingdom in October 1974 by Warner Bros. Records.
403,give it time,bachman-turner overdrive,1973,country/folk,
404,cry baby,melanie martinez,2015,pop/rock,
405,just a lil bit,50 cent,2005,pop/rock,"""Just a Lil Bit"" is the third single from 50 Cent's second album, The Massacre. The song was produced by Scott Storch. Released on May 17, 2005, the single reached number three in the United States, becoming 50 Cent's sixth solo top-ten single, and ninth overall. It also reached number ten in the United Kingdom. The B-side is a live recording of ""Disco Inferno"" for AOL Sessions."
406,moneytalks,ac/dc,1990,pop/rock,"""Moneytalks"" is a song written by Malcolm and Angus Young and produced by Bruce Fairbairn for the hard rock band AC/DC. Originally released on 21 September 1990 on the album The Razors Edge, it was later released as a single in December later that year. A live version of the song recorded on the band's 1990–1991 Razors Edge World Tour appeared on AC/DC's 1992 live album, Live.The song is one of AC/DC's biggest hits, breaking the top 40 on the Billboard Hot 100, (becoming the band's 1st top 40 hit on the Hot 100 since Back in Black in 1981) the UK Singles Charts, and the Australian ARIA Singles Chart. It is the band's highest charting single to date in the United States, peaking at #23. During their subsequent world tour, thousands of ""Angus Bucks"" were dropped on the audience during the song. A music video of the song, directed by David Mallet, was also released, featuring a live performance during the tour. Despite its popularity, it has not been performed in concert by the band since the tour."
407,white trash story,casey donahew,2006,country/folk,
408,after all,al jarreau,1984,blues/jazz,
409,sittin' in the balcony,eddie cochran,1957,pop/rock,"""Sittin' in the Balcony"" is a song written and performed by John D. Loudermilk under his artist name Johnny Dee. It was released in January 1957 on the Colonial Records label. Eddie Cochran had a Top 40 hit in the U.S. with his recording on Liberty Records in 1957.

"
410,the one you belong to,the sheepdogs,2010,blues/jazz,
411,tender lover,babyface,1989,pop/rock,"""Tender Lover"" is a song performed and produced by  R&B and soul singer Babyface (born as Kenneth Edmonds).  It was the title track from the 1989 namesake album and the second single.  Featuring backing vocals by Troop, it was Babyface's second single and last number one single on the Hot Black Singles chart.  As his previous single had done, ""Tender Lover"", was also a Top 40 hit, peaking at number fourteen for the week of February 3rd, 1990. A remix released for radio features a rap verse by Bobby Brown."
412,welcome,phil collins,2003,pop/rock,
413,river of time,the judds,1989,country/folk,
414,arhegh danagh,tinariwen,2014,blues/jazz,
415,nine tonight,bob seger,1981,pop/rock,"Nine Tonight is a live album by American rock band Bob Seger & The Silver Bullet Band, released in 1981 (see 1981 in music). The album was recorded at Cobo Hall in Detroit, Michigan, in June 1980 and at the Boston Garden in Boston, Massachusetts in October 1980. With the exception of three tracks — ""Nine Tonight"", ""Tryin' To Live My Life Without You"" and ""Let It Rock"" — the album is composed entirely of songs drawn from Seger's three previous studio albums. Only ""Let It Rock"" was repeated from the previous live album Live Bullet. ""Tryin' to Live My Life Without You"" was released as a single and peaked at number five on the Billboard Hot 100 in the US. The album's title track was originally recorded for the Urban Cowboy soundtrack album.
The 2011 remastered album has a bonus track called ""Brave Strangers"", which was originally released on Seger's 1978 album Stranger in Town. This live version was originally released as the B-side of the ""Tryin' to Live My Life Without You"" live single."
416,flaws,bastille,2013,pop/rock,"""Flaws"" is a song by British band Bastille. It is the third single from their debut studio album Bad Blood. The song was the band's debut single; it was first released in 2011 through the independent label Young and Lost Club as a double A-side 7-inch single with their song ""Icarus"". The single was later re-released through Virgin Records as a digital download on 21 October 2012, featuring remixes and new B-side track ""Durban Skies"", peaking at number 21 on the UK Singles Chart on this occasion. ""Flaws"" was released for a third time on 3 March 2014, but did not improve upon its previous peak."
417,freedom for my people,adam gussow,1988,blues/jazz,
418,"you stay (feat. meek mill, j balvin, lil baby & jeremih)",dj khaled,2019,pop/rock,"""You Stay"" is a song by American record producer DJ Khaled, featuring guest vocals from Colombian singer J Balvin and American musicians Meek Mill, Lil Baby, and Jeremih. Released on May 17, 2019, it is the fifth single from Khaled's eleventh studio album Father of Asahd (2019)."
419,when i'm small,phantogram,2009,pop/rock,
420,tonight's not the night,randy rogers band,2004,country/folk,
421,night hunting time,santana,1983,blues/jazz,
422,stay,madonna,1984,pop/rock,
423,no more hot dogs,hasil adkins,2002,blues/jazz,
424,let you down,seether,2017,pop/rock,
425,long time to forget,george jones,1955,country/folk,
426,stick up,grandson,2018,pop/rock,
427,burning up,bad company,1986,blues/jazz,
428,evil has no boundaries,slayer,1983,pop/rock,
429,son of a rotten gambler,emmylou harris,1981,country/folk,
430,falling for you,merle haggard,1965,country/folk,
431,eleanor,louis prima,1951,blues/jazz,
432,every generation,ronnie laws,1980,blues/jazz,Every Generation is the fifth studio album by American saxophonist Ronnie Laws released in 1980 by United Artists Records. The album reached No. 4 on the Billboard Top Soul Albums chart.
433,why i am,dave matthews band,2009,pop/rock,"""Why I Am"" is the second single from American rock band Dave Matthews Band's album Big Whiskey & the GrooGrux King. It hit radio stations on July 27, 2009. The song is a tribute to former band member LeRoi Moore, who died on August 19, 2008. The song discusses death and the urgency of living. It was written before Moore's death and features his playing on it.The song debuted live on April 14, 2009, at Madison Square Garden, alongside two other album songs, ""Funny the Way It Is"" (the first single) and ""Spaceman"".  The song was performed by the band on The Today Show, Late Show with David Letterman, The Tonight Show with Conan O'Brien, Late Night with Jimmy Fallon, Austin City Limits and Ellen, as well as Fuse Presents..., a show on the US television channel Fuse, which occurred on the same day as the release of Big Whiskey and the GrooGrux King (June 2, 2009).  
A music video for the song was recorded live in London, England, and made its American debut on August 14, 2009, via MySpace."
434,nobody other,kadhja bonet,2016,blues/jazz,
435,philly,spyro gyra,1980,blues/jazz,
436,so what,ministry,1989,pop/rock,
437,most i,chronixx,2013,country/folk,
438,laid back and wasted,david allan coe,1977,country/folk,
439,i love your lovin' ways,nina simone,1966,blues/jazz,
440,waist,sonic youth,1994,blues/jazz,
441,my favorite heart to break,the parlor mob,2008,blues/jazz,
442,rastaman chant,bob marley & the wailers,1982,country/folk,
443,"if you gotta go, go now (or else you got to stay all night)",bob dylan,1965,pop/rock,"""If You Gotta Go, Go Now"" (sometimes subtitled ""(Or Else You Got to Stay All Night)"") is a song written by Bob Dylan in 1964. The first released version was as a single in the US by the UK group the Liverpool Five in July 1965, but this did not chart in the US despite receiving much airplay, particularly in the Pacific Northwest. Another British band, Manfred Mann, then issued the song as a single in September 1965 and had a number 2 hit. Fairport Convention also had a chart hit, with a French version, in 1969."
444,step by step,mikey dread,1979,country/folk,
445,forgive me,hank thompson,1963,country/folk,
446,red white & blue,lynyrd skynyrd,2003,country/folk,
447,"please help me, i'm falling",hank locklin,1965,country/folk,"""Please Help Me, I'm Falling"" is a 1960 song written by Don Robertson and Hal Blair and first recorded by Hank Locklin. The single was Locklin's most successful recording and was his second number one on the country charts. ""Please Help Me, I'm Falling"" spent 14 weeks at the top spot and spent nine months on the country chart and crossed over to the Hot 100 peaking at number eight."
448,push and shove,the subdudes,1991,blues/jazz,
449,time changes everything,carl smith,1957,country/folk,
450,hiding,breakestra,2005,blues/jazz,
451,there's a new kid in town,george strait,1986,country/folk,
452,love is alive,gary wright,1975,country/folk,"""Love Is Alive"" is a song by Gary Wright taken from the 1975 album The Dream Weaver. It features Wright on vocals and keyboards and Andy Newmark on drums, with all music except for the drums produced on the keyboards. The album's title cut and ""Love Is Alive"" both peaked at No. 2 on the Billboard Hot 100 singles chart. ""Love Is Alive"" spent 27 weeks on the chart, seven weeks longer than ""Dream Weaver"".  Billboard ranked ""Love Is Alive"" as the No. 9 song of 1976.
In the US, ""Love Is Alive"" peaked at number two on the Hot 100, tied with ""Dream Weaver"" as his highest chart-topping single on that chart. ""Kiss and Say Goodbye"" by The Manhattans and ""Don't Go Breaking My Heart"" by Elton John and Kiki Dee kept it from the number one spot.  In Canada, the song reached No. 6."
453,uncle pen,bill monroe,1999,country/folk,"""Uncle Pen"" is a song written and originally recorded by Bill Monroe.  Besides Monroe, the song was recorded by Porter Wagoner in 1956, Goose Creek Symphony in 1971, Michael Nesmith of The Monkees in 1973 on his solo album Pretty Much Your Standard Ranch Stash, and Ricky Skaggs in 1984. The song was Skaggs' ninth #1 single on the country chart. The single went to #1 for one week and spent a total of 13 weeks on the country chart. Bill Monroe played a character named ""Uncle Pen"" disappointed at the citification of Ricky Skaggs in the 1985 video for ""Country Boy"". The improvisational-rock band Phish has performed their version of ""Uncle Pen"" over 200 times in the band's 30+ year career. Leon Russell recorded the song as ""Hank Wilson"" in 1973."
454,another year,labi siffre,1975,pop/rock,
455,mattie's rag,gerry rafferty,1978,pop/rock,"City to City is the second solo studio album by Scottish singer-songwriter Gerry Rafferty, released on 20 January 1978 by United Artists Records. It was Rafferty's first solo release in six years—and first release of any kind since 1975—due to his tenure in the band Stealers Wheel and subsequent legal proceedings which prevented Rafferty from releasing any new solo recordings for the next three years. The album was well received, peaking at No. 1 in the US and going Platinum, as well as reaching No. 6 in the UK Albums Chart and achieving Gold status. ""Baker Street"", ""Right Down the Line"" and ""Home and Dry"" were successfully released as singles.

"
456,out of the blue,george benson,1984,blues/jazz,
457,the a team,ed sheeran,2011,pop/rock,"""The A Team"" is the debut single by English singer Ed Sheeran. It was released as a digital download in the United Kingdom on 10 June 2011, serving as the lead single from his debut album, + (2011). ""The A Team"" is a folk ballad about a sex worker addicted to crack cocaine, a Class A drug. It was written after Sheeran visited a homeless shelter and heard some of the stories of the lives people had been living. He wrote the song following a last-minute performance at an event for the homeless. The chorus of ""The A Team"" was also used by Sheeran in the track ""Little Lady"", which features Mikill Pane. ""Little Lady"" is available on the EP No. 5 Collaborations Project.
It became a top 10 hit in Australia, Germany, Ireland, Israel, Japan, Luxembourg, New Zealand, Norway, the Netherlands, and the United Kingdom. It debuted at number three on the UK Singles Chart, with sales of 57,607 copies. The song was serviced to US radio formats in late 2012 and became a sleeper hit there, gradually rising up the Billboard Hot 100 to peak at number 16, becoming Sheeran's first single on that chart. On 5 December, the song received a Grammy Award nomination for Song of the Year, Sheeran's first Grammy Award nomination. At the 2012 Brit Awards, it was nominated for Best British Single."
458,why,jason aldean,2005,country/folk,
459,still losing you,ronnie milsap,1984,country/folk,"""Still Losing You"" is a song written by Mike Reid, and recorded by American country music singer Ronnie Milsap.  It was released in May 1984 as the first single from the album One More Try for Love."
460,oh what it did to me,tanya tucker,2000,country/folk,"""Oh What It Did to Me"" is a song written by Jerry Crutchfield, and recorded by American country music artist Tanya Tucker.  It was released in February 1991 as the fourth single from her album Tennessee Woman.  The song reached number 12 on the Billboard Hot Country Singles & Tracks chart in June 1991."
461,one slip,pink floyd,1987,pop/rock,"""One Slip"" is a song from Pink Floyd's 1987 album A Momentary Lapse of Reason."
462,highway's holding me now,samantha fish,2015,blues/jazz,
463,asteroid,passafire,2007,country/folk,
464,jump,madonna,2005,pop/rock,
465,listen to your heartbeat,gary moore,1985,blues/jazz,
