,rag,common_entity,entity1,entity2,entity3,entity4
1293,Albin Ekdal,A. Ekdal,U.C. Sampdoria,6,Sweden,Italian Serie A
1294,Dale Stephens,D. Stephens,Brighton & Hove Albion,6,England,English Premier League
1295,António Alberto Bastos Pimparel,Beto,Göztepe SK,13,Portugal,Turkish Süper Lig
1296,Roberto José Rosales Altuve,R. Rosales,CD Leganés,16,Venezuela,Spain Primera Division
1297,Marc Albrighton,M. Albrighton,Leicester City,11,England,English Premier League
1298,Mathias Jattah-Njie Jørgensen,M. Jørgensen,Fenerbahçe SK,32,Denmark,Turkish Süper Lig
1299,Jean-Eric Maxim Choupo-Moting,E. Choupo-Moting,Paris Saint-Germain,17,Cameroon,French Ligue 1
1300,Simon Terodde,S. Terodde,1. FC Köln,9,Germany,German 1. Bundesliga
1301,Maximiliano Nicol Moralez,M. Moralez,New York City FC,10,Argentina,USA Major League Soccer
1302,Facundo Sebastián Roncaglia,F. Roncaglia,CA Osasuna,12,Argentina,Spain Primera Division
1303,Kyriakos Papadopoulos,K. Papadopoulos,Hamburger SV,9,Greece,German 2. Bundesliga
1304,Michael Lang,M. Lang,Borussia Mönchengladbach,3,Switzerland,German 1. Bundesliga
1305,Nicolás Gabriel Sánchez,N. Sánchez,CF Monterrey,4,Argentina,Mexican Liga MX
1306,Ádám Szalai,Á. Szalai,TSG Hoffenheim,28,Hungary,German 1. Bundesliga
1307,Miroslav Stoch,M. Stoch,PAOK,99,Slovakia,Rest of World
1308,Patrick John Miguel van Aanholt,P. van Aanholt,Crystal Palace,3,Netherlands,English Premier League
1309,Fabio Borini,F. Borini,AC Milan,11,Italy,Italian Serie A
1310,Elías Hernán Hernández Jacuinde,E. Hernández,Cruz Azul,11,Mexico,Mexican Liga MX
1311,Theodor Gebre Selassie,T. Gebre Selassie,SV Werder Bremen,23,Czech Republic,German 1. Bundesliga
1312,Ivan Radovanović,I. Radovanović,Genoa,21,Serbia,Italian Serie A
1313,Francisco José Olivas Alba,Kiko Olivas,Real Valladolid CF,4,Spain,Spain Primera Division
1314,Cheikhou Kouyaté,C. Kouyaté,Crystal Palace,8,Senegal,English Premier League
1315,Omar El Kaddouri,O. El Kaddouri,PAOK,7,Morocco,Rest of World
1316,Rubén Rochina Naixes,Rochina,Levante Unión Deportiva,16,Spain,Spain Primera Division
1317,Lautaro Germán Acosta,L. Acosta,Club Atlético Lanús,7,Argentina,Argentina Primera División
1318,Diogo Filipe Guerreiro Viana,Diogo Viana,SC Braga,11,Portugal,Portuguese Liga ZON SAGRES
1319,Carlos Andrés Villanueva Roland,C. Villanueva,Al Ittihad,10,Chile,Saudi Abdul L. Jameel League
1320,Marcel Schmelzer,M. Schmelzer,Borussia Dortmund,29,Germany,German 1. Bundesliga
1321,Hugo Miguel Almeida Costa Lopes,Miguel Lopes,Yukatel Kayserispor,13,Portugal,Turkish Süper Lig
1322,Etrit Berisha,E. Berisha,SPAL,99,Albania,Italian Serie A
1323,Alex McCarthy,A. McCarthy,Southampton,1,England,English Premier League
1324,Ander Iturraspe Derteano,Iturraspe,RCD Espanyol de Barcelona,8,Spain,Spain Primera Division
1325,Aaron Cresswell,A. Cresswell,West Ham United,3,England,English Premier League
1326,Tom Cleverley,T. Cleverley,Watford,8,England,English Premier League
1327,Francisco Femenía Far,Kiko Femenía,Watford,21,Spain,English Premier League
1328,Łukasz Skorupski,Ł. Skorupski,Bologna,28,Poland,Italian Serie A
1329,Timothée Kolodziejczak,T. Kolodziejczak,Tigres U.A.N.L.,98,France,Mexican Liga MX
1330,Steven Zuber,S. Zuber,TSG Hoffenheim,17,Switzerland,German 1. Bundesliga
1331,Rubén Salvador Pérez del Mármol,Rubén Pérez,CD Leganés,21,Spain,Spain Primera Division
1332,André Hansen,A. Hansen,Rosenborg BK,1,Norway,Norwegian Eliteserien
1333,Tony Jantschke,T. Jantschke,Borussia Mönchengladbach,24,Germany,German 1. Bundesliga
1334,Eliaquim Mangala,E. Mangala,Valencia CF,25,France,Spain Primera Division
1335,Sebastián Marcelo Blanco,S. Blanco,Portland Timbers,10,Argentina,USA Major League Soccer
1336,Carlos Darwin Quintero Villalba,D. Quintero,Minnesota United FC,25,Colombia,USA Major League Soccer
1337,Isaác Brizuela Muñoz,I. Brizuela,Club Deportivo Guadalajara,11,Mexico,Mexican Liga MX
1338,Kévin Théophile-Catherine,K. Théophile-Catherine,Dinamo Zagreb,28,France,Rest of World
1339,Adam Smith,A. Smith,AFC Bournemouth,15,England,English Premier League
1340,大迫 勇也,Y. Ōsako,SV Werder Bremen,8,Japan,German 1. Bundesliga
1341,Leandro Chichizola,L. Chichizola,Getafe CF,1,Argentina,Spain Primera Division
1342,Diego Antonio Reyes Rosales,D. Reyes,Fenerbahçe SK,2,Mexico,Turkish Süper Lig
1343,Néstor Alejandro Araújo Razo,N. Araújo,RC Celta de Vigo,4,Mexico,Spain Primera Division
1344,Edwin Andrés Cardona Bedoya,E. Cardona,Pachuca,10,Colombia,Mexican Liga MX
1345,Sergio Padt,S. Padt,FC Groningen,1,Netherlands,Holland Eredivisie
1346,Uílson de Souza Paula Júnior,Júnior Caiçara,İstanbul Başakşehir FK,80,Brazil,Turkish Süper Lig
1347,Mato Jajalo,M. Jajalo,Udinese Calcio,7,Bosnia and Herzegovina,Italian Serie A
1348,Romain Hamouma,R. Hamouma,AS Saint-Étienne,21,France,French Ligue 1
1349,André Schürrle,A. Schürrle,Spartak Moskva,20,Germany,Rest of World
1350,Aitor Fernández Abarisketa,Aitor,Levante Unión Deportiva,13,Spain,Spain Primera Division
1351,Nick Viergever,N. Viergever,PSV,4,Netherlands,Holland Eredivisie
1352,Francisco Portillo Soler,Portillo,Getafe CF,8,Spain,Spain Primera Division
1353,Andre Gray,A. Gray,Watford,18,England,English Premier League
1354,Pontus Jansson,P. Jansson,Brentford,18,Sweden,English League Championship
1355,Martín Montoya Torralbo,Montoya,Brighton & Hove Albion,22,Spain,English Premier League
1356,Adrián San Miguel del Castillo,Adrián,Liverpool,13,Spain,English Premier League
1357,Aaron Frank Mooy,A. Mooy,Brighton & Hove Albion,18,Australia,English Premier League
1358,Daniel William John Ings,D. Ings,Southampton,9,England,English Premier League
1359,Dorlan Mauricio Pabón Ríos,D. Pabón,CF Monterrey,8,Colombia,Mexican Liga MX
1360,Jackson Arley Martínez Valencia,J. Martínez,Portimonense SC,9,Colombia,Portuguese Liga ZON SAGRES
1361,Giovanni Andrés Moreno Cardona,G. Moreno,Shanghai Shenhua FC,10,Colombia,Chinese Super League
1362,Teófilo Antonio Gutiérrez Roncancio,T. Gutiérrez,Junior FC,29,Colombia,Colombian Liga Postobón
1363,Edson André Sitoe,Mexer,FC Girondins de Bordeaux,4,Mozambique,French Ligue 1
1364,Héldon Augusto Almeida Ramos,Héldon,Al Taawoun,20,Cape Verde Islands,Saudi Abdul L. Jameel League
1365,Anga Dedryck Boyata,D. Boyata,Hertha BSC,20,Belgium,German 1. Bundesliga
1366,Marco Höger,M. Höger,1. FC Köln,6,Germany,German 1. Bundesliga
1367,Celso Fabián Ortiz Gamarra,C. Ortíz,CF Monterrey,16,Paraguay,Mexican Liga MX
1368,Raúl Rodríguez Navas,Raúl Navas,CA Osasuna,3,Spain,Spain Primera Division
1369,Manolo Gabbiadini,M. Gabbiadini,U.C. Sampdoria,23,Italy,Italian Serie A
1370,Saphir Sliti Taïder,S. Taïder,Club de Foot Montréal,8,Algeria,USA Major League Soccer
1371,João Pedro Geraldino dos Santos Galvão,João Pedro,Cagliari,10,Brazil,Italian Serie A
1372,Harun Tekin,H. Tekin,Fenerbahçe SK,35,Turkey,Turkish Süper Lig
1373,Jordy Clasie,J. Clasie,AZ Alkmaar,20,Netherlands,Holland Eredivisie
1374,Roberto Inglese,R. Inglese,Parma,9,Italy,Italian Serie A
1375,Oriol Romeu Vidal,Oriol Romeu,Southampton,14,Spain,English Premier League
1376,John Guidetti,J. Guidetti,Deportivo Alavés,10,Sweden,Spain Primera Division
1377,Dennis Praet,D. Praet,Leicester City,26,Belgium,English Premier League
1378,Lars Unnerstall,L. Unnerstall,PSV,13,Germany,Holland Eredivisie
1379,Nicolai Mick Jørgensen,N. Jørgensen,Feyenoord,9,Denmark,Holland Eredivisie
1380,Adam Maher,A. Maher,FC Utrecht,6,Netherlands,Holland Eredivisie
1381,Benito Raman,B. Raman,FC Schalke 04,9,Belgium,German 1. Bundesliga
1382,Christopher Schindler,C. Schindler,Huddersfield Town,26,Germany,English League Championship
1383,Juan Guilherme Nunes Jesus,Juan Jesus,Roma,5,Brazil,Italian Serie A
1384,Alhassan Wakaso,A. Wakaso,Vitória de Guimarães,25,Ghana,Portuguese Liga ZON SAGRES
1385,Emmanuel Gigliotti,E. Gigliotti,Deportivo Toluca,9,Argentina,Mexican Liga MX
1386,Cédric Ricardo Alves Soares,Cédric,Southampton,2,Portugal,English Premier League
1387,Ravel Morrison,R. Morrison,Sheffield United,14,England,English Premier League
1388,Vladimír Darida,V. Darida,Hertha BSC,6,Czech Republic,German 1. Bundesliga
1389,Robbie Brady,R. Brady,Burnley,12,Republic of Ireland,English Premier League
1390,Federico Fernández,F. Fernández,Newcastle United,18,Argentina,English Premier League
1391,Felix Klaus,F. Klaus,VfL Wolfsburg,11,Germany,German 1. Bundesliga
1392,Aleix Vidal Parreu,Aleix Vidal,Deportivo Alavés,18,Spain,Spain Primera Division
1393,Ogenyi Eddy Onazi,O. Onazi,Trabzonspor,6,Nigeria,Turkish Süper Lig
1394,Thomas Monconduit,T. Monconduit,Amiens SC,6,France,French Ligue 1
1395,Mohamed Amine Elyounoussi,M. Elyounoussi,Southampton,11,Norway,English Premier League
1396,Anthony Knockaert,A. Knockaert,Fulham,24,France,English League Championship
1397,Jan Bořil,J. Bořil,SK Slavia Praha,18,Czech Republic,Czech Republic Gambrinus Liga
1398,Sékou Junior Sanogo,S. Sanogo,Al Ittihad,35,Côte d'Ivoire,Saudi Abdul L. Jameel League
1399,Jürgen Locadia,J. Locadia,Brighton & Hove Albion,9,Netherlands,English Premier League
1400,Raúl Mario Ruidíaz Misitich,R. Ruidíaz,Seattle Sounders FC,9,Peru,USA Major League Soccer
1401,Joel Nathaniel Campbell Samuels,J. Campbell,Club León,8,Costa Rica,Mexican Liga MX
1402,Alex Renato Ibarra Mina,R. Ibarra,Club América,30,Ecuador,Mexican Liga MX
1403,Antonio García Aranda,Toño García,Levante Unión Deportiva,3,Spain,Spain Primera Division
1404,Charlie Taylor,C. Taylor,Burnley,3,England,English Premier League
1405,Naïm Sliti,N. Sliti,Ettifaq FC,23,Tunisia,Saudi Abdul L. Jameel League
1406,Solomon Kverkvelia,S. Kverkvelia,FC Lokomotiv Moscow,33,Georgia,Rest of World
1407,Alberto Moreno Pérez,Alberto Moreno,Villarreal CF,18,Spain,Spain Primera Division
1408,Dwight Gayle,D. Gayle,Newcastle United,21,England,English Premier League
1409,Stefano Denswil,S. Denswil,Bologna,4,Netherlands,Italian Serie A
1410,Marko Livaja,M. Livaja,AEK Athens,10,Croatia,Rest of World
1411,Yvon Landry Mvogo Nganoma,Y. Mvogo,RB Leipzig,28,Switzerland,German 1. Bundesliga
1412,Isaac Hayden,I. Hayden,Newcastle United,14,England,English Premier League
1413,Dominique Heintz,D. Heintz,Sport-Club Freiburg,23,Germany,German 1. Bundesliga
1414,Denys Garmash,D. Garmash,Dynamo Kyiv,19,Ukraine,Rest of World
1415,Yunis Abdelhamid,Y. Abdelhamid,Stade de Reims,5,Morocco,French Ligue 1
1416,Paulo Henrique Soares dos Santos,Paulinho,Portimonense SC,8,Brazil,Portuguese Liga ZON SAGRES
1417,Matheus Lima Magalhães,Matheus,SC Braga,1,Brazil,Portuguese Liga ZON SAGRES
1418,Giancarlo González Castro,G. González,LA Galaxy,21,Costa Rica,USA Major League Soccer
1419,Adrien Thomasson,A. Thomasson,RC Strasbourg Alsace,26,France,French Ligue 1
1420,Guilherme dos Santos Torres,Guilherme,Olympiacos CFP,8,Brazil,Rest of World
1421,Dimitrios Siovas,D. Siovas,CD Leganés,22,Greece,Spain Primera Division
1422,Eugenio Esteban Mena Reveco,E. Mena,Racing Club,5,Chile,Argentina Primera División
1423,Garry Mendes Rodrigues,Garry Rodrigues,Fenerbahçe SK,24,Cape Verde Islands,Turkish Süper Lig
1424,Jhon Andrés Córdoba Copete,J. Córdoba,1. FC Köln,15,Colombia,German 1. Bundesliga
1425,Alexander Szymanowski,A. Szymanowski,CD Leganés,11,Argentina,Spain Primera Division
1426,Albert Rusnák,A. Rusnák,Real Salt Lake,11,Slovakia,USA Major League Soccer
1427,Renato Steffen,R. Steffen,VfL Wolfsburg,8,Switzerland,German 1. Bundesliga
1428,Paulo André Rodrigues de Oliveira,Paulo Oliveira,SD Eibar,12,Portugal,Spain Primera Division
1429,Björn Engels,B. Engels,Aston Villa,22,Belgium,English Premier League
1430,Callum William McGregor,C. McGregor,Celtic,42,Scotland,Scottish Premiership
1431,Rubén Blanco Veiga,Rubén Blanco,RC Celta de Vigo,13,Spain,Spain Primera Division
1432,费南多,Fernandinho,Hebei FC,32,Brazil,Chinese Super League
1433,Karol Linetty,K. Linetty,U.C. Sampdoria,7,Poland,Italian Serie A
1434,Luiz Phellype Luciano Silva,Luiz Phellype,Sporting CP,29,Brazil,Portuguese Liga ZON SAGRES
1435,Pierluigi Gollini,P. Gollini,Atalanta,95,Italy,Italian Serie A
1436,Pere Pons Riera,Pere Pons,Deportivo Alavés,20,Spain,Spain Primera Division
1437,Rani Khedira,R. Khedira,FC Augsburg,8,Germany,German 1. Bundesliga
1438,Dominik Kohr,D. Kohr,Eintracht Frankfurt,28,Germany,German 1. Bundesliga
1439,Ricardo Sousa Esgaio,Ricardo Esgaio,SC Braga,47,Portugal,Portuguese Liga ZON SAGRES
1440,Arthur Masuaku,A. Masuaku,West Ham United,26,Congo DR,English Premier League
1441,Hans Carl Ludwig Augustinsson,L. Augustinsson,SV Werder Bremen,5,Sweden,German 1. Bundesliga
1442,DeAndre Roselle Yedlin,D. Yedlin,Newcastle United,22,United States,English Premier League
1443,Jorrit Hendrix,J. Hendrix,PSV,8,Netherlands,Holland Eredivisie
1444,Óscar Esau Duarte Gaitán,Ó. Duarte,Levante Unión Deportiva,6,Costa Rica,Spain Primera Division
1445,Federico Di Francesco,F. Di Francesco,SPAL,31,Italy,Italian Serie A
1446,Andrés Mateus Uribe Villa,M. Uribe,FC Porto,16,Colombia,Portuguese Liga ZON SAGRES
1447,Federico Andrés Mancuello,F. Mancuello,Deportivo Toluca,11,Argentina,Mexican Liga MX
1448,Martín Nicolás Benítez,M. Benítez,Club Atlético Independiente,10,Argentina,Argentina Primera División
1449,Alan Joaquín Aguerre,A. Aguerre,Newell's Old Boys,1,Argentina,Argentina Primera División
1450,Guido Gabriel Herrera,G. Herrera,Club Atlético Talleres,22,Argentina,Argentina Primera División
1451,Deniz Türüç,D. Türüç,Fenerbahçe SK,23,Turkey,Turkish Süper Lig
1452,Gnaly Maxwel Cornet,M. Cornet,Olympique Lyonnais,27,Côte d'Ivoire,French Ligue 1
1453,Silvan Dominic Widmer,S. Widmer,FC Basel 1893,5,Switzerland,Swiss Super League
1454,Angus Gunn,A. Gunn,Southampton,28,England,English Premier League
1455,Wallace Fortuna dos Santos,Wallace,Lazio,13,Brazil,Italian Serie A
1456,Gonçalo Mendes Paciência,Gonçalo Paciência,Eintracht Frankfurt,39,Portugal,German 1. Bundesliga
1457,Rúben Afonso Borges Semedo,Rúben Semedo,Olympiacos CFP,3,Portugal,Rest of World
1458,Andre Jason Blake,A. Blake,Philadelphia Union,18,Jamaica,USA Major League Soccer
1459,Nuno Miguel Ribeiro Cruz Jerónimo Sequeira,Sequeira,SC Braga,5,Portugal,Portuguese Liga ZON SAGRES
1460,Théo Bongonda Mbul'Ofeko Batombo,T. Bongonda,KRC Genk,27,Belgium,Belgian Jupiler Pro League
1461,José Heriberto Izquierdo Mena,J. Izquierdo,Brighton & Hove Albion,19,Colombia,English Premier League
1462,Ignacio Pussetto,I. Pussetto,Udinese Calcio,23,Argentina,Italian Serie A
1463,Víctor Camarasa Ferrando,Camarasa,Crystal Palace,23,Spain,English Premier League
1464,Samuel Gigot,S. Gigot,Spartak Moskva,2,France,Rest of World
1465,Thomas Didillon,T. Didillon,RSC Anderlecht,16,France,Belgian Jupiler Pro League
1466,Adrián Embarba Blázquez,Embarba,Rayo Vallecano,11,Spain,Spanish Segunda División
1467,Gian-Luca Waldschmidt,L. Waldschmidt,Sport-Club Freiburg,11,Germany,German 1. Bundesliga
1468,Enner Remberto Valencia Lastra,E. Valencia,Tigres U.A.N.L.,13,Ecuador,Mexican Liga MX
1469,Óscar David Romero Villamayor,Ó. Romero,San Lorenzo de Almagro,10,Paraguay,Argentina Primera División
1470,Jaume Doménech Sánchez,Jaume,Valencia CF,1,Spain,Spain Primera Division
1471,Andrija Živković,A. Živković,SL Benfica,17,Serbia,Portuguese Liga ZON SAGRES
1472,Papa Alioune N'Diaye,B. Ndiaye,Stoke City,27,Senegal,English League Championship
1473,Luciano Federico Acosta,L. Acosta,D.C. United,10,Argentina,USA Major League Soccer
1474,Manuel Locatelli,M. Locatelli,U.S. Sassuolo Calcio,73,Italy,Italian Serie A
1475,Breel-Donald Embolo,B. Embolo,Borussia Mönchengladbach,36,Switzerland,German 1. Bundesliga
1476,Timothy Castagne,T. Castagne,Atalanta,21,Belgium,Italian Serie A
1477,Otávio Henrique Passos Santos,Otávio,FC Girondins de Bordeaux,5,Brazil,French Ligue 1
1478,Marvelous Nakamba,M. Nakamba,Aston Villa,11,Zimbabwe,English Premier League
1479,Ángel Israel Mena Delgado,Á. Mena,Club León,13,Ecuador,Mexican Liga MX
1480,Franco Emanuel Cervi,F. Cervi,SL Benfica,11,Argentina,Portuguese Liga ZON SAGRES
1481,Anthony Briançon,A. Briançon,Nîmes Olympique,23,France,French Ligue 1
1482,Robin Everardus Gosens,R. Gosens,Atalanta,8,Germany,Italian Serie A
1483,François Kamano,F. Kamano,FC Girondins de Bordeaux,11,Guinea,French Ligue 1
1484,Yeimar Pastor Gómez Andrade,Y. Gómez Andrade,Unión de Santa Fe,28,Colombia,Argentina Primera División
1485,Mehmet Zeki Çelik,M. Çelik,LOSC Lille,17,Turkey,French Ligue 1
1486,Unai Bustinza Martínez,Bustinza,CD Leganés,3,Spain,Spain Primera Division
1487,Florin Andone,F. Andone,Brighton & Hove Albion,10,Romania,English Premier League
1488,Duje Ćaleta-Car,D. Ćaleta-Car,Olympique de Marseille,15,Croatia,French Ligue 1
1489,İrfan Can Kahveci,İ. Kahveci,İstanbul Başakşehir FK,17,Turkey,Turkish Süper Lig
1490,Rolando Mandragora,R. Mandragora,Udinese Calcio,38,Italy,Italian Serie A
1491,Jean-Kévin Augustin,J. Augustin,RB Leipzig,29,France,German 1. Bundesliga
1492,Marcos Guillermo Díaz,M. Díaz,Boca Juniors,12,Argentina,Argentina Primera División
1493,Kieran Tierney,K. Tierney,Arsenal,3,Scotland,English Premier League
1494,Rubén Duarte Sánchez,Rubén Duarte,Deportivo Alavés,3,Spain,Spain Primera Division
1495,Alejandro Remiro Gargallo,Álex Remiro,Real Sociedad,1,Spain,Spain Primera Division
1496,Frédéric Guilbert,F. Guilbert,Aston Villa,24,France,English Premier League
1497,Rob Holding,R. Holding,Arsenal,16,England,English Premier League
1498,Alfonso Pedraza Sag,Pedraza,Real Betis Balompié,6,Spain,Spain Primera Division
1499,Matheus Fellipe Costa Pereira,Matheus Pereira,West Bromwich Albion,12,Brazil,English League Championship
1500,Kasper Dolberg Rasmussen,K. Dolberg,Ajax,25,Denmark,Holland Eredivisie
1501,Víctor Alfonso Guzmán Guzmán,V. Guzmán,Pachuca,5,Mexico,Mexican Liga MX
1502,Dalbert Henrique Chagas Estevão,Dalbert,Inter,29,Brazil,Italian Serie A
1503,João Maria Lobo Alves Palhinha Gonçalves,Palhinha,SC Braga,60,Portugal,Portuguese Liga ZON SAGRES
1504,Waldemar Anton,W. Anton,Hannover 96,31,Germany,German 2. Bundesliga
1505,Laureano Antonio Villa Suárez,Toni Villa,Real Valladolid CF,19,Spain,Spain Primera Division
1506,Gianluca Mancini,G. Mancini,Roma,3,Italy,Italian Serie A
1507,Alexander Nahuel Barboza Ullúa,A. Barboza,Club Atlético Independiente,26,Argentina,Argentina Primera División
1508,Eduardo Expósito Jaén,Edu Expósito,SD Eibar,10,Spain,Spain Primera Division
1509,Eduardo Henrique da Silva,Eduardo Henrique,Sporting CP,5,Brazil,Portuguese Liga ZON SAGRES
1510,Youssef Aït Bennasser,Y. Aït Bennasser,AS Monaco,15,Morocco,French Ligue 1
1511,Alessandro Baia Marques,Alexo Baia,Cruzeiro,2,Brazil,Campeonato Brasileiro Série A
1512,Julio Leonardo Dourado de Freitas,Juli Freitinho,Bahia,3,Brazil,Campeonato Brasileiro Série A
1513,Eltildo Lucas Correia Pitta,Eltildo Correia,Clube Atlético Mineiro,3,Brazil,Campeonato Brasileiro Série A
1514,Emilio Alex Piodão Esser,Emilio Piodão,Bahia,6,Brazil,Campeonato Brasileiro Série A
1515,Fred Marcos Aníbal Dias,Fred Aníbão,Club Athletico Paranaense,1,Brazil,Campeonato Brasileiro Série A
1516,Nelson Arturo Reis Lopes,Nelsildo Reis,Botafogo,1,Brazil,Campeonato Brasileiro Série A
1517,Andeson Jaime Trigo Gonçalves,Andeson Trigo,Fluminense,5,Brazil,Campeonato Brasileiro Série A
1518,Victor Martin Maia Padilha,Victildinho,Goiás,2,Brazil,Campeonato Brasileiro Série A
1519,Davi Alexandre Parrela Ferreira,Davi Parrela,Avaí FC,3,Brazil,Campeonato Brasileiro Série A
1520,David Jefferson Seijalbo Vaz,David Seijalbo,Cruzeiro,6,Brazil,Campeonato Brasileiro Série A
1521,Dênis Rubens Stein Rebelo,Dênildo Stein,Cruzeiro,9,Brazil,Campeonato Brasileiro Série A
1522,Rafael Jorgino Cachoira Rebelo,Rafael Cachoira,Fortaleza,3,Brazil,Campeonato Brasileiro Série A
1523,Ademola Lookman,A. Lookman,RB Leipzig,17,England,German 1. Bundesliga
1524,Ludovic Blas,L. Blas,En Avant de Guingamp,10,France,French Ligue 2
1525,Tammy Bakumo-Abraham,T. Abraham,Chelsea,9,England,English Premier League
1526,Donyell Malen,D. Malen,PSV,9,Netherlands,Holland Eredivisie
1527,Amine Harit,A. Harit,FC Schalke 04,25,Morocco,German 1. Bundesliga
1528,Denys Boyko,D. Boyko,Dynamo Kyiv,71,Ukraine,Rest of World
1529,Santiago Lionel Ascacíbar,S. Ascacíbar,VfB Stuttgart,6,Argentina,German 2. Bundesliga
1530,Theo Bernard François Hernández,T. Hernández,AC Milan,19,France,Italian Serie A
1531,柴崎 岳,G. Shibasaki,Deportivo de La Coruña,22,Japan,Spanish Segunda División
1532,Caio Lucas Fernandes,Caio,SL Benfica,7,Brazil,Portuguese Liga ZON SAGRES
1533,Tyler Shaan Adams,T. Adams,RB Leipzig,14,United States,German 1. Bundesliga
1534,Rodrigo Germán Aliendro,R. Aliendro,Club Atlético Colón,29,Argentina,Argentina Primera División
1535,Carles Aleñá Castillo,Aleñá,FC Barcelona,19,Spain,Spain Primera Division
1536,小林 悠,Y. Kobayashi,Kawasaki Frontale,11,Japan,Japanese J. League Division 1
1537,Xaver Schlager,X. Schlager,VfL Wolfsburg,24,Austria,German 1. Bundesliga
1538,Riccardo Orsolini,R. Orsolini,Bologna,7,Italy,Italian Serie A
1539,Amath Ndiaye Diedhiou,A. Ndiaye,Getafe CF,11,Senegal,Spain Primera Division
1540,Igor Zubeldía Elorza,Zubeldia,Real Sociedad,5,Spain,Spain Primera Division
1541,Patrik Schick,P. Schick,Roma,14,Czech Republic,Italian Serie A
1542,Gedson Carvalho Fernandes,Gedson Fernandes,SL Benfica,83,Portugal,Portuguese Liga ZON SAGRES
1543,Florentino Ibrain Morris Luís,Florentino,SL Benfica,61,Portugal,Portuguese Liga ZON SAGRES
1544,Josip Brekalo,J. Brekalo,VfL Wolfsburg,7,Croatia,German 1. Bundesliga
1545,Idrissa Doumbia,I. Doumbia,Sporting CP,98,Côte d'Ivoire,Portuguese Liga ZON SAGRES
1546,Zack Thomas Steffen,Z. Steffen,Fortuna Düsseldorf,24,United States,German 1. Bundesliga
1547,Fedor Chalov,F. Chalov,PFC CSKA Moscow,9,Russia,Rest of World
1548,Ibrahim Sangaré,I. Sangaré,Toulouse Football Club,17,Côte d'Ivoire,French Ligue 1
1549,Youssef En-Nesyri,Y. En-Nesyri,CD Leganés,26,Morocco,Spain Primera Division
1550,Malang Sarr,M. Sarr,OGC Nice,23,France,French Ligue 1
1551,Edson Omar Álvarez Velázquez,E. Álvarez,Ajax,4,Mexico,Holland Eredivisie
1552,Arnaut Danjuma Groeneveld,A. Danjuma Groeneveld,AFC Bournemouth,14,Netherlands,English Premier League
1553,Obite Evan N'Dicka,E. N'Dicka,Eintracht Frankfurt,2,France,German 1. Bundesliga
1554,Moise Bioty Kean,M. Kean,Everton,27,Italy,English Premier League
1555,Miguel Ângelo da Silva Rocha,Xeka,LOSC Lille,8,Portugal,French Ligue 1
1556,Martin Terrier,M. Terrier,Olympique Lyonnais,7,France,French Ligue 1
1557,Davidson da Luz Pereira,Davidson,Vitória de Guimarães,91,Brazil,Portuguese Liga ZON SAGRES
1558,Yordan Hernando Osorio Paredes,Y. Osorio,FC Porto,23,Venezuela,Portuguese Liga ZON SAGRES
1559,Alan Javier Franco,A. Franco,Club Atlético Independiente,2,Argentina,Argentina Primera División
1560,Arne Maier,A. Maier,Hertha BSC,23,Germany,German 1. Bundesliga
1561,Philip Foden,P. Foden,Manchester City,47,England,English Premier League
1562,Nikola Milenković,N. Milenković,Fiorentina,4,Serbia,Italian Serie A
1563,Amadou Haïdara,A. Haidara,RB Leipzig,8,Mali,German 1. Bundesliga
1564,Weston James Earl McKennie,W. McKennie,FC Schalke 04,2,United States,German 1. Bundesliga
1565,Alexis Mac Allister,A. Mac Allister,Boca Juniors,8,Argentina,Argentina Primera División
1566,Pablo Renan dos Santos,Pablo Santos,SC Braga,14,Brazil,Portuguese Liga ZON SAGRES
1567,Teun Koopmeiners,T. Koopmeiners,AZ Alkmaar,8,Netherlands,Holland Eredivisie
1568,Unai Núñez Gestoso,Unai Núñez,Athletic Club de Bilbao,3,Spain,Spain Primera Division
1569,Jules Koundé,J. Koundé,Sevilla FC,12,France,Spain Primera Division
1570,Anthony Nuatuzor Nwakaeme,A. Nwakaeme,Trabzonspor,9,Nigeria,Turkish Süper Lig
1571,이강인 Kang-In Lee,Kangin Lee,Valencia CF,16,Korea Republic,Spain Primera Division
1572,Rodrygo Silva de Goes,Rodrygo,Real Madrid CF,27,Brazil,Spain Primera Division
1573,Andriy Lunin,A. Lunin,Real Valladolid CF,13,Ukraine,Spain Primera Division
1574,Filip Benković,F. Benković,Leicester City,16,Croatia,English Premier League
1575,Vladimír Coufal,V. Coufal,SK Slavia Praha,5,Czech Republic,Czech Republic Gambrinus Liga
1576,Samuel Chimerenka Chukwueze,S. Chukwueze,Villarreal CF,11,Nigeria,Spain Primera Division
1577,Claudio Miguel Pizarro Bossio,C. Pizarro,SV Werder Bremen,14,Peru,German 1. Bundesliga
1578,Allan James McGregor,A. McGregor,Rangers FC,1,Scotland,Scottish Premiership
1579,Artur Boruc,A. Boruc,AFC Bournemouth,1,Poland,English Premier League
1580,Jonathan Soriano Casas,Jonatan Soriano,Al Hilal,25,Spain,Saudi Abdul L. Jameel League
1581,Renaud Cohade,R. Cohade,FC Metz,24,France,French Ligue 1
1582,Jesper Hansen,J. Hansen,FC Midtjylland,1,Denmark,Danish Superliga
1583,Scott Brown,S. Brown,Celtic,8,Scotland,Scottish Premiership
1584,Simon Francis,S. Francis,AFC Bournemouth,2,England,English Premier League
