,common_entity,entity1,entity2,entity3
584,git it on brother,dillard & clark,1968,country/folk
585,jimmy's gang,parov stelar,2012,blues/jazz
586,the one that got away,katy perry,2010,pop/rock
587,ain’t got no money,justin townes earle,2019,blues/jazz
588,the devil is singing our song,james gang,1973,country/folk
589,i got one for ya',kid rock,1998,pop/rock
590,as we go along,the monkees,1968,pop/rock
591,do you love me still?,the kooks,2006,pop/rock
592,old dan tucker's daughter,tanya tucker,1972,country/folk
593,our ages or our hearts,roberta flack,1969,blues/jazz
594,unsteady,x ambassadors,2015,pop/rock
595,opm medley: when i met you,freestyle,1950,pop/rock
596,looks like we made it,barry manilow,1974,pop/rock
597,holy cow,lee dorsey,2000,blues/jazz
598,strange fruit,billie holiday,1956,blues/jazz
599,maniac,kid cudi,2010,pop/rock
600,two steps from the blues,"bobby ""blue"" bland",2001,blues/jazz
601,hey tomorrow,jim croce,1972,pop/rock
602,deja vu (all over again),john fogerty,2004,blues/jazz
603,baby did you hear,dinah washington,1987,blues/jazz
604,this one's for the girls,martina mcbride,2003,country/folk
605,dig,mudvayne,2000,pop/rock
606,outta my mind,des rocs,2019,blues/jazz
607,let me down easy,the stranglers,1984,pop/rock
608,adult diversion,alvvays,2014,pop/rock
609,words and music,porter wagoner,1967,country/folk
610,piss on the wall,the j. geils band,1981,pop/rock
611,new york state of mind (with billy joel),tony bennett,2001,blues/jazz
612,crua chan,sumo,1987,country/folk
613,nobody's real,powerman 5000,1999,pop/rock
614,clean,incubus,1999,pop/rock
615,the sky is crying / have you ever loved a woman / rambling on my mind,eric clapton,1974,blues/jazz
616,hideaway,moonchild,2017,blues/jazz
617,bernadette,four tops,1999,pop/rock
618,lip addiction,shag rock,2017,country/folk
619,true love,soja,2002,country/folk
620,"if you gotta go, go now",manfred mann,1965,pop/rock
621,smile,brian hughes,1999,blues/jazz
622,beautiful,willie clayton,2006,blues/jazz
623,over and over,jean shepard,1956,country/folk
624,it ain't necessarily so,grant green,1980,blues/jazz
625,yes i do,rascal flatts,2006,country/folk
626,out of my system,gary moore,1985,blues/jazz
627,con man,dispatch,2011,country/folk
628,one kiss (with dua lipa),calvin harris,2018,pop/rock
629,the blackboard of my heart,hank thompson,1960,country/folk
630,don’t let me be lonely,the band perry,2013,country/folk
631,living on memories of you,dolly parton,1974,country/folk
632,too fast for love,mötley crüe,1981,pop/rock
633,where are you?,brenda lee,1963,blues/jazz
634,you did the crime,buddy guy,2018,blues/jazz
635,tabloid junkie,michael jackson,1995,pop/rock
636,straight up,paula abdul,1988,pop/rock
637,check,zebrahead,1998,pop/rock
638,show me the way to go home,"emerson, lake & palmer",1977,blues/jazz
639,generals and majors,xtc,1980,pop/rock
640,my mic sounds nice,salt-n-pepa,1986,pop/rock
641,same old fool,dolly parton,1980,country/folk
642,good ambition,ub40,1998,country/folk
643,blue moon,beck,2014,pop/rock
644,moggio,frank zappa,1983,blues/jazz
645,cities in dust,siouxsie and the banshees,1986,pop/rock
646,razor boy,steely dan,1973,blues/jazz
647,southern ways,lynyrd skynyrd,2009,country/folk
648,purgatory,iron maiden,1981,pop/rock
649,stay awhile,journey,1980,pop/rock
650,velvet light,jakob ogawa,2018,pop/rock
651,trap star,jeezy,2005,pop/rock
652,johnny law,wayne hancock,1997,country/folk
653,crying over you,ub40,1998,country/folk
654,i'm above,mad season,1995,blues/jazz
655,a house without love,george jones,1962,country/folk
656,hold back the rain,duran duran,1982,pop/rock
657,"good morning, captain",slint,1991,pop/rock
658,are you sleeping?,harry nilsson,1970,pop/rock
659,leanin' on the old top rail,eddy arnold,1963,country/folk
660,ole man trouble,otis redding,1965,blues/jazz
661,my happy ending,avril lavigne,2004,pop/rock
662,the next kiss (is the last goodbye),conway twitty,1962,country/folk
663,millworker,james taylor,1979,pop/rock
664,in my blood,shawn mendes,2018,pop/rock
665,1-2-3,gloria estefan,1984,pop/rock
666,nice & slow,brian culbertson,2001,blues/jazz
667,(gotta get a) meal ticket,elton john,1975,pop/rock
668,don't pity me,dion & the belmonts,1959,pop/rock
669,i'm the one who loves you,the impressions,1963,pop/rock
670,easy silence,dixie chicks,2006,country/folk
671,a national acrobat,black sabbath,1973,pop/rock
672,if you walked away,cliff richard,1976,pop/rock
673,still a g thang,snoop dogg,2017,hip hop/reggae
674,after you've gone,judy garland,1955,blues/jazz
675,take me home country roads,honeybrowne,2006,country/folk
676,out in the cold,tom petty and the heartbreakers,1991,pop/rock
677,walking on the moon,the police,1979,pop/rock
678,earnings,rahn harper,2016,hip hop/reggae
679,we all stand,new order,1983,pop/rock
680,the buzz feeling,ub40,1985,country/folk
681,fight for your rights,mötley crüe,1985,pop/rock
682,beggar's game,dan fogelberg,1979,country/folk
683,the call,cantoma,2005,blues/jazz
684,the signs part i,david axelrod,1970,blues/jazz
685,supermarket fantasy,screeching weasel,1988,pop/rock
686,peace blossom boogy,babe rainbow,2017,country/folk
687,sex & super smash bros.,kyle,2013,pop/rock
688,one night in a lifetime,donna summer,1979,pop/rock
689,good times,sam cooke,1960,pop/rock
690,build your nest,"earth, wind & fire",1973,blues/jazz
691,big-legged woman,chris duarte,1994,blues/jazz
692,you don't have far to go,merle haggard,1965,country/folk
693,don't mine at night,brad knauber,2012,pop/rock
694,i hip hop,thundamentals,2009,hip hop/reggae
695,power to the music,mötley crüe,1994,pop/rock
696,chapters,brett young,2018,country/folk
697,raining blood,slayer,1986,pop/rock
698,chosen ones,megadeth,1985,pop/rock
699,young and wild,zac brown band,2015,country/folk
700,in care of the blues,patsy cline,1957,country/folk
701,all the way,new order,1989,pop/rock
702,pain,jimmy eat world,2004,pop/rock
703,past my prime,greensky bluegrass,2016,pop/rock
704,billy's brother,cody johnson,2016,country/folk
705,love is the queen,seeed,2003,country/folk
706,georgia warhorse,jj grey & mofro,2010,blues/jazz
707,the christian life,sanchez,1999,country/folk
708,all the answers,social distortion,1982,pop/rock
709,prelude to a kiss,billie holiday,1991,blues/jazz
710,broken hearted me,england dan,1978,pop/rock
711,just one fix,ministry,1992,pop/rock
712,gone ride with me,juvenile,1998,pop/rock
713,chanson,art farmer,1977,blues/jazz
714,i've wasted so much time,enjoy,2010,pop/rock
715,concrete jungle,bob marley & the wailers,1973,country/folk
716,welcome to tha concrete jungle,lil wayne,2014,hip hop/reggae
717,pastime paradise,ray barretto,1979,blues/jazz
718,are you lonely for me baby,otis redding,1967,blues/jazz
719,hop out (feat. curren$y),lndn drgs,2018,hip hop/reggae
720,the sinking feeling,the the,1983,pop/rock
721,of mind,tesseract,2013,blues/jazz
722,dream attack,new order,1989,pop/rock
723,"one year, six months",yellowcard,2003,pop/rock
724,the deep end,crossfade,2004,pop/rock
725,window of my eyes,boosie badazz,2017,hip hop/reggae
726,water,joe henderson,1974,blues/jazz
727,second choice,stonewall jackson,1962,country/folk
728,do it again,terrace martin,2011,blues/jazz
729,so far away,dire straits,1985,pop/rock
730,wonderful christmas time,kelly rowland,2017,hip hop/reggae
731,legends,kelsea ballerini,2018,country/folk
732,counting the days,marah,1954,country/folk
733,stuck in these shoes,aaron lewis,2016,country/folk
734,gettin' hungry (mono),the beach boys,1967,pop/rock
735,never be alone,shawn mendes,2015,pop/rock
736,sunset,sonny stitt,1982,blues/jazz
737,hummingbird,seals and crofts,1972,pop/rock
738,putty in your hands,the shirelles,1962,pop/rock
739,nobody makes money,fantastic negrito,2014,blues/jazz
740,i'm not afraid to die,gillian welch,1998,country/folk
741,they still like me,lil wayne,2014,hip hop/reggae
742,please read the letter,robert plant,2007,blues/jazz
743,breathe you in,dierks bentley,2012,country/folk
744,hatef--k,the bravery,2009,pop/rock
745,only you (and you alone),travis tritt,1995,country/folk
746,it's on,mary j. blige,1997,pop/rock
747,try it,black uhuru,1984,country/folk
748,the spark of the archon,native construct,2015,blues/jazz
749,jah is always there,warrior king,2005,country/folk
750,soft serve,soul coughing,1996,pop/rock
751,fifteen keys,uncle tupelo,1993,country/folk
752,sit awhile,the band steele,2017,country/folk
753,sweat,oingo boingo,1983,pop/rock
754,everything will be alright,j.j. cale,1972,blues/jazz
755,when we all get to heaven,brad paisley,2007,country/folk
756,congratulations,traveling wilburys,1988,blues/jazz
757,flowers on the wall,johnny cash,1968,country/folk
758,make me smile (come up and see me),steve harley,1975,pop/rock
759,outta mind,night beats,2013,blues/jazz
760,love never changes,the chordettes,1957,pop/rock
761,crash course in brain surgery,metallica,1998,pop/rock
762,i'm sitting on top of the world,aretha franklin,1962,blues/jazz
763,the river of dreams,billy joel,1993,pop/rock
764,right back,brick,1981,blues/jazz
765,the line,black rebel motorcycle club,2005,blues/jazz
766,it's not love (but it's not bad),merle haggard,2007,country/folk
767,what am i living for,conway twitty,1963,country/folk
768,i'm gonna lock my heart (and throw away the key),billie holiday,1980,blues/jazz
769,all of a sudden,josh abbott band,2010,country/folk
770,lay down,priestess,2006,pop/rock
771,you ain't foolin' me,screamin' jay hawkins,1991,blues/jazz
772,bloodstone,judas priest,1982,pop/rock
773,texas strut,gary moore,1990,blues/jazz
774,blue spirit blues,bessie smith,1993,blues/jazz
775,when we was fab,george harrison,1987,pop/rock
776,tiger rag,the mills brothers,1995,blues/jazz
777,there's not a problem my squad can't fix,busta rhymes,2017,hip hop/reggae
778,she's leaving,orchestral manoeuvres in the dark,1981,pop/rock
779,i've been tired,pixies,1987,pop/rock
780,get it right the first time,billy joel,1977,pop/rock
781,one from the heart,nazareth,1986,blues/jazz
782,out of africa,capital letters,1979,country/folk
783,frankie's gun!,the felice brothers,2008,country/folk
784,free to be me,francesca battistelli,2008,pop/rock
785,gone home,lester flatt,1951,country/folk
786,song about the moon,paul simon,1983,pop/rock
787,bridges burned,the expendables,2004,country/folk
788,i made it (cash money heroes),kevin rudolf,2010,pop/rock
789,a lesson in gravity,ballyhoo!,2013,country/folk
790,this is the right time,lisa stansfield,1989,pop/rock
791,violence,blink-182,2003,pop/rock
792,no fear,terri clark,2000,country/folk
793,tomorrow,ronnie laws,1980,blues/jazz
794,room a thousand years wide,soundgarden,1991,pop/rock
795,we sing hallelujah,richard thompson,1974,country/folk
796,lookin' back,bob seger,1976,pop/rock
797,suite-pee,system of a down,1998,pop/rock
798,flowers on the wall,nancy sinatra,1966,pop/rock
799,jack of diamonds,scott h. biram,2014,blues/jazz
800,luv (sic) pt4 lastorder remix,nujabes,2015,blues/jazz
801,ram dancehall,shabba ranks,1991,country/folk
802,i believe in love,matisyahu,2012,country/folk
803,i'm free,merle haggard,1969,country/folk
804,lovely cruise,jimmy buffett,1977,pop/rock
805,everything,mary j. blige,1997,pop/rock
806,adrenaline,nate millyunz,2013,hip hop/reggae
807,feelins',loretta lynn,1975,country/folk
808,i'll wait for you,frankie avalon,1960,pop/rock
809,got soul,robert randolph & the family band,2016,blues/jazz
810,hard times,boz scaggs,1977,pop/rock
811,"i can't help myself (sugar pie, honey bunch)",dolly parton,1984,country/folk
812,let's call this,thelonious monk,1954,blues/jazz
813,a house without love,hank williams,1966,country/folk
814,guitars and tiki bars,kenny chesney,2005,country/folk
815,mona lisa,johnny burnette,1961,pop/rock
816,summer days,blackfoot,1984,country/folk
817,sacred trickster,sonic youth,2009,blues/jazz
818,take these chains from my heart,hank williams,1978,country/folk
819,red light,siouxsie and the banshees,1980,pop/rock
820,out of my way,seether,2004,pop/rock
821,ain't no love in the heart of the city,"bobby ""blue"" bland",1974,blues/jazz
822,glass,thompson square,2011,country/folk
823,intro,hieroglyphics,1998,blues/jazz
824,thank god for hometowns,carrie underwood,2012,country/folk
825,before the bullets fly,coco montoya,2017,blues/jazz
826,something more,sugarland,2004,pop/rock
827,"turn, turn, turn! / to everything there is a season",judy collins,1964,pop/rock
828,her,stan getz,1962,blues/jazz
829,positive touch,journey,1986,pop/rock
830,atomic,blondie,1979,pop/rock
831,sweet dream woman,waylon jennings,1972,country/folk
832,million reasons,lady gaga,2016,pop/rock
833,pretend we're dead,l7,1992,pop/rock
834,god bless america,lee greenwood,1992,country/folk
835,champs-elysées,zaz,2014,blues/jazz
836,21 days in jail,magic sam,2001,blues/jazz
837,it's a hard life,queen,1984,pop/rock
838,it takes two (re-recorded),rob base,2010,hip hop/reggae
839,throwing it all away,genesis,1986,pop/rock
840,someone like you,emmylou harris,1984,country/folk
841,should i stay,indigenous,2008,blues/jazz
842,big mama,left lane cruiser,2006,blues/jazz
843,how's my ex treating you,"hank williams, jr.",1981,country/folk
844,summer song,roy orbison,1962,pop/rock
845,heaven knows,when in rome,1988,pop/rock
846,isn't it a pity,galaxie 500,1989,pop/rock
847,(there's gotta be) more to life,stacie orrico,2003,pop/rock
848,on the run,"royce da 5'9""",2009,hip hop/reggae
849,you and i,anarbor,2009,pop/rock
850,tattoos & scars,montgomery gentry,1999,country/folk
851,good to be me (feat. kid rock),uncle kracker,2009,pop/rock
852,still standing,michael franti & spearhead,2016,country/folk
853,it came upon a midnight clear,ella fitzgerald,1967,blues/jazz
854,first things first,"crosby, stills & nash",1980,country/folk
855,caryatid easy,son volt,1997,country/folk
856,searchin,matisyahu,2012,country/folk
857,heart on,eagles of death metal,2008,blues/jazz
858,leading me back to you,joe sample,1989,blues/jazz
859,every time she whispers,michael franks,1999,blues/jazz
860,this ain't no love song,trace adkins,2010,country/folk
861,moon walk,the hippy boys,1969,country/folk
862,fresh feeling,eels,2001,pop/rock
863,i'm through with love,dion & the belmonts,1960,pop/rock
864,massacre,thin lizzy,1976,blues/jazz
865,"the good, the bad and the ugly",blues traveler,1994,blues/jazz
866,fu xi,thee oh sees,2019,blues/jazz
867,after all this time,rodney crowell,1988,country/folk
868,lollipops and roses,jack jones,1995,blues/jazz
869,on your face,konshens,2012,country/folk
870,someone watching over you,the big bopper,1958,pop/rock
871,blood beach,groovie ghoulies,1957,pop/rock
872,my first night alone without you,bonnie raitt,1975,blues/jazz
873,pink maggit,deftones,2000,pop/rock
874,lady evil,black sabbath,1980,pop/rock
875,timber,phish,1988,blues/jazz
876,buon natale (means merry christmas to you),nat king cole,1962,blues/jazz
877,stella by starlight,nat king cole,1956,blues/jazz
878,i want to be with you always,willie nelson,1977,country/folk
879,lonely little mansion,willie nelson,1963,country/folk
880,saturday night,bay city rollers,1974,pop/rock
881,erykah’s gun,dj harrison,2014,blues/jazz
882,good + bad times,inxs,1985,pop/rock
883,soul searching,average white band,1976,blues/jazz
884,winter,khalid,2017,pop/rock
885,to the kill,violent femmes,1983,pop/rock
886,bell bottom blues,derek & the dominos,1970,country/folk
887,if i had you,adam lambert,2009,pop/rock
888,two,ryan adams,2007,country/folk
889,colder weather (feat. little big town),zac brown band,2010,country/folk
890,help,jah shaka,1984,country/folk
891,too much,drake,2013,pop/rock
892,one of these days,john lee hooker,1960,blues/jazz
893,indians,anthrax,1987,pop/rock
894,red like roses,jeff williams,2013,pop/rock
895,somebody to love,justin bieber,2010,pop/rock
896,i wish i didn't love you so,k.d. lang,1988,country/folk
897,amaryllis,shinedown,2012,pop/rock
898,no swallerin' place,june carter cash,1952,country/folk
899,"promises, promises",dionne warwick,1968,pop/rock
900,non dimenticar,connie francis,1959,pop/rock
901,thirteen days,j.j. cale,1979,blues/jazz
902,easy to love,taj mahal,1976,blues/jazz
903,house of memories,panic! at the disco,2016,pop/rock
904,hurt (dedicated to johnny cash),sevendust,2004,pop/rock
905,merry mending,nina simone,1962,blues/jazz
906,tek him,mad cobra,2005,country/folk
907,echo,trapt,2002,pop/rock
908,sing swan song,can,1972,pop/rock
909,in a sentimental mood,sarah vaughan,1980,blues/jazz
910,precious memories,tammy wynette,1964,country/folk
911,the way through,deca,2017,blues/jazz
912,slither,metallica,1997,pop/rock
913,hurting each other,carpenters,1972,pop/rock
914,down on love,foreigner,1984,pop/rock
915,you & me,j-kwon,2004,hip hop/reggae
916,hip hop,damos,2009,hip hop/reggae
917,until it's time for you to go,willie nelson,1984,country/folk
918,hangover heart,hank thompson,1966,country/folk
919,warning,incubus,2001,pop/rock
920,come hell or high water,native construct,2015,blues/jazz
921,if not for love,johnny cash,1971,country/folk
922,when my last song is sung,merle haggard,1977,country/folk
923,breaking skin,nonpoint,2014,pop/rock
924,"winkin, blinkin and nod",jonathan edwards,1987,country/folk
925,yesterday when i was young,roy clark,1996,country/folk
926,walking in l.a.,missing persons,1982,pop/rock
927,for the last time,rory gallagher,1971,blues/jazz
928,here's that rainy day,paul desmond,2002,blues/jazz
929,transdermal celebration,ween,2003,pop/rock
930,blue rain,glenn miller,1991,blues/jazz
931,one in a million,pete rock,1993,blues/jazz
932,smoke gets in your eyes,the platters,1959,pop/rock
933,strap me in,the cars,1987,pop/rock
934,gimme love,kash'd out,2019,country/folk
935,born to lose,don gibson,1961,country/folk
936,the great southern trendkill,pantera,1996,pop/rock
937,bits and pieces,the dave clark five,1964,pop/rock
938,something to hold on to,the jeff healey band,1990,blues/jazz
939,missing you,brandy,1996,pop/rock
940,tropical,chuck loeb,2005,blues/jazz
941,blue moon,elvis presley,1956,pop/rock
942,the general (live),dispatch,2001,country/folk
943,nights on broadway,bee gees,1975,pop/rock
944,landslide,dixie chicks,2002,country/folk
945,whisper my name,randy travis,1994,country/folk
946,hold him joe,ziggy marley,2009,country/folk
947,valse de bamboula,angelo debarre,1989,blues/jazz
948,gotta serve somebody,bob dylan,1979,pop/rock
949,live and give,israel vibration,1981,country/folk
950,a figure walks,the fall,1979,blues/jazz
951,"for a pessimist, i'm pretty optimistic",paramore,2007,pop/rock
952,that day,nonpoint,2012,pop/rock
953,jealous of the angels,donna taggart,2013,country/folk
954,before i believe it's true,randy rogers band,2006,country/folk
955,it's the game,the game,2007,hip hop/reggae
956,pride,soil,2004,pop/rock
957,rocky road,alborosie,2016,country/folk
958,regret,new order,1993,pop/rock
959,dance,super cat,1995,country/folk
960,pledge allegiance to the hag,eric church,2006,country/folk
961,we saw the sea,fred astaire,2010,blues/jazz
962,amazing,aerosmith,1993,pop/rock
963,bring the sun/toussaint l'ouverture,swans,2014,blues/jazz
964,cocaine,jackson browne,1977,pop/rock
965,jody,del shannon,1961,pop/rock
966,angel,amanda perez,2002,pop/rock
967,i can let go now,michael mcdonald,1982,pop/rock
968,diamonds aren't forever,bring me the horizon,2008,pop/rock
969,headhunter,krokus,1983,blues/jazz
970,far away truths,"albert hammond, jr.",2018,blues/jazz
971,captivity,jah shaka,1984,country/folk
972,hip-hop drunkies,tha alkaholiks,2008,hip hop/reggae
973,someone's looking at you,the boomtown rats,1979,pop/rock
974,crowd control,phish,2004,blues/jazz
975,don't you (forget about me),simple minds,1985,pop/rock
976,world so cold,12 stones,2007,pop/rock
977,"anywhere is ""home""",hank locklin,1966,country/folk
978,slippery st. paul,the doobie brothers,1971,country/folk
979,dark ages,jethro tull,1979,blues/jazz
980,white lines,grandmaster melle mel,2008,hip hop/reggae
981,i'm lonely (but i ain't that lonely yet),the white stripes,2005,blues/jazz
982,maagata maagata janm gele,lata mangeshkar,1953,pop/rock
983,i love my shirt,donovan,1969,pop/rock
984,sleigh ride,carpenters,1978,pop/rock
985,just one time,don gibson,1960,country/folk
986,i heard that lonesome whistle,johnny cash,1957,country/folk
987,take me down to the infirmary,cracker,1993,country/folk
988,love takes time,mariah carey,1990,pop/rock
989,zilch,the monkees,1967,pop/rock
990,the passion,billy bragg,1986,country/folk
991,sweat (a la la la la long),inner circle,2010,country/folk
992,courtesy call,thousand foot krutch,2012,pop/rock
993,honky-tonk girl,johnny cash,1960,country/folk
994,into happiness,phantogram,2019,pop/rock
995,violins,lagwagon,1995,pop/rock
996,daydream interlude,mariah carey,1995,pop/rock
997,thrown out of the bar,hank williams iii,2006,country/folk
998,ace of hearts,chris rea,1984,blues/jazz
999,with love (remember),gary moore,1994,blues/jazz
1000,not right,jonny lang,2013,blues/jazz
1001,mama nantucket,michael nesmith,1970,pop/rock
1002,foggy river,conway twitty,1961,country/folk
1003,black,pearl jam,1991,pop/rock
1004,future breed machine,meshuggah,1995,blues/jazz
1005,do it all the time,i dont know how but they found me,2018,pop/rock
1006,chromazone,mike stern,1988,blues/jazz
1007,bad love,eric clapton,1989,blues/jazz
1008,driving home for christmas,chris rea,1988,blues/jazz
1009,die by the sword,slayer,1983,pop/rock
1010,no regrets,phoebe snow,1976,blues/jazz
1011,let's fall in love for the night,finneas,2018,pop/rock
1012,still,bill anderson,1996,country/folk
1013,countdown to extinction,megadeth,1992,pop/rock
1014,i love you so,b.b. king,1958,blues/jazz
1015,pd world tour (feat. puff daddy),black rob,2017,hip hop/reggae
1016,ask any girl,the supremes,1964,pop/rock
1017,semper fi,trace adkins,2011,country/folk
1018,hold on,tom waits,1999,pop/rock
1019,small paradise,john mellencamp,1979,pop/rock
1020,natty dread taking over,culture,1977,country/folk
1021,puttin' on the ritz,gypsy swing revue,2007,blues/jazz
1022,brand new funk 2k7 feat. peedi crakk,dj jazzy jeff,2007,hip hop/reggae
1023,violent love,ted nugent,1980,blues/jazz
1024,angel,casey donahew,2009,country/folk
1025,hole in the wall,mel waiters,1999,blues/jazz
1026,(when your heart's on fire) smoke gets in your eyes,vic damone,1956,blues/jazz
1027,it's you or no one,chet baker,1954,blues/jazz
1028,"tighter, tighter",alive 'n kickin',1970,pop/rock
1029,down came the world,waylon jennings,1966,country/folk
1030,fame and fortune,elvis presley,1963,pop/rock
1031,the wanderer,eden ahbez,1960,pop/rock
1032,somewhere in my broken heart,randy travis,1989,country/folk
1033,she's always singing,the dear hunter,2011,blues/jazz
1034,what did you expect me to do,george strait,1984,country/folk
1035,the big battle,johnny cash,1963,country/folk
1036,hate goes on,jelly roll,2017,country/folk
1037,sweet little mystery,john martyn,1980,pop/rock
1038,paper wings,gillian welch,1996,country/folk
1039,spoonman,soundgarden,1994,pop/rock
1040,on the lips,jd mcpherson,2017,blues/jazz
1041,piece of my heart,sammy hagar,1981,pop/rock
1042,pet politics,silver jews,1996,pop/rock
1043,wasted,pacific dub,2012,country/folk
1044,the honeydripper,cab calloway,1974,blues/jazz
1045,shit bubba,upchurch,2016,country/folk
1046,breakaway,donna summer,1989,pop/rock
1047,stormtroopin',ted nugent,1975,blues/jazz
1048,hood love,"royce da 5'9""",2009,hip hop/reggae
1049,venus as a boy,björk,1993,pop/rock
1050,moments like this,dean martin,1954,blues/jazz
1051,king's vengeance,thin lizzy,1975,blues/jazz
1052,every lie,my darkest days,2010,pop/rock
1053,flute loop,beastie boys,1994,pop/rock
1054,"sick, sick, sick",bayside,2011,pop/rock
1055,take your time,buddy holly,1958,pop/rock
1056,smoke,a thousand horses,2015,country/folk
1057,black money,culture club,1983,pop/rock
1058,all the places,pete rock & c.l. smooth,1994,blues/jazz
1059,dream a little dream of me,ella fitzgerald,1957,blues/jazz
1060,thinkin' about love,small faces,1978,blues/jazz
1061,walk out,ub40,1981,country/folk
1062,rhythm of life,third world,1993,country/folk
1063,(they call you) gigolette,roy orbison,1963,pop/rock
1064,lupine dominus,thee oh sees,2012,blues/jazz
1065,playing the part,jamey johnson,2010,country/folk
1066,in the wee small hours of the morning,stacey kent,2015,blues/jazz
1067,"here, there and everywhere",the beatles,1966,pop/rock
1068,bad news,rosemary clooney,1954,blues/jazz
1069,slip of the tongue,faster pussycat,1989,pop/rock
1070,crying,don mclean,1988,pop/rock
1071,that's why they make jack daniels,ronnie dunn,2016,country/folk
1072,what it is,gorilla zoe,2017,hip hop/reggae
1073,land of confusion,genesis,1986,pop/rock
1074,can't promise you the world,drivin n cryin,1988,country/folk
1075,it's all good,boney james,1997,blues/jazz
1076,fifteen years going up (and one night coming down),george strait,1983,country/folk
1077,simmer down,bob marley & the wailers,1964,country/folk
1078,i'll stay,funkadelic,1974,pop/rock
1079,betcha can't do it like me,d4l,2017,hip hop/reggae
1080,no regrets,tom rush,1962,country/folk
1081,dream girl,kolohe kai,2009,pop/rock
1082,is there any chance,marty robbins,1991,country/folk
1083,from my heart,jah cure,2011,country/folk
1084,wicked young man,alice cooper,2000,blues/jazz
1085,strangelove,depeche mode,1987,pop/rock
1086,under suspicion,delbert mcclinton,1999,blues/jazz
1087,"in the cold, cold night",the white stripes,2003,blues/jazz
1088,this time,bryan adams,1983,pop/rock
1089,hopes & dreams,wiz khalifa,2011,pop/rock
1090,vitamin,incubus,1997,pop/rock
1091,fall into me,emerson drive,2002,country/folk
1092,hard habit to break,chicago,1984,pop/rock
1093,queen of spades,styx,1978,pop/rock
1094,outside the rain,stevie nicks,1981,pop/rock
1095,raise hell,(hed) p.e.,2005,pop/rock
1096,blessed,lewis brice,2018,country/folk
1097,apache tears,johnny cash,1964,country/folk
1098,turnin on the screw,queens of the stone age,2007,blues/jazz
1099,sleeping with the television on,billy joel,1980,pop/rock
1100,it don't mean a thing (if it ain't got that swing),nina simone,1962,blues/jazz
1101,i wouldn't treat a dog (the way you treat me),mike zito,2018,blues/jazz
1102,apartment,young the giant,2011,pop/rock
1103,every song’s a drinkin’ song,midland,2019,country/folk
1104,sweets' blues,jimmy witherspoon,1959,blues/jazz
1105,these arms of mine,otis redding,1964,blues/jazz
1106,pretty girl,atlanta rhythm section,1981,country/folk
1107,i'm livin' for you girl,the grass roots,2004,country/folk
1108,mysterons,portishead,1994,pop/rock
1109,"mama, keep your big mouth shut",the pretty things,1965,country/folk
1110,is this love,whitesnake,1987,blues/jazz
1111,take me as i am,don gibson,1958,country/folk
1112,the wall,johnny cash,1965,country/folk
1113,sharp dressed man,molly hatchet,2008,blues/jazz
1114,come see about me,don covay,1965,blues/jazz
1115,send me the pillow you dream on,willie nelson,1985,country/folk
1116,because he lives (amen),matt maher,2015,pop/rock
1117,"try, try, try",the smashing pumpkins,2000,pop/rock
1118,shoot to thrill,ac/dc,1980,pop/rock
1119,somebody,depeche mode,1985,pop/rock
1120,standing soldier,demarco,2013,country/folk
1121,tommy can you hear me?,the who,1969,pop/rock
1122,sing my songs to me,jackson browne,1973,pop/rock
1123,i can't stay away from you,the impressions,1967,pop/rock
1124,hold tight!,"dave dee, dozy, beaky, mick & tich",1966,pop/rock
1125,may 16,lagwagon,1998,pop/rock
1126,the real revenge (i alithini ekdikisi),terror x crew,2012,hip hop/reggae
1127,dad's gonna kill me,richard thompson,2009,country/folk
1128,ain't you a mess,mose allison,1957,blues/jazz
1129,i feel you,depeche mode,1993,pop/rock
1130,light infatuation,bobby vee,1961,pop/rock
1131,hip hop based freestyle,lil b,2012,hip hop/reggae
1132,smoke gets in your eyes,thelonious monk,1954,blues/jazz
1133,planet of my dreams,frank zappa,1984,blues/jazz
1134,absence makes the heart grow fonder (for somebody else),dean martin,1950,blues/jazz
1135,lickin',the black crowes,2001,blues/jazz
1136,the trumpet,sound nomaden,2011,blues/jazz
1137,(i got the) same old blues,lynyrd skynyrd,1976,country/folk
1138,douggie mayu's,dispatch,2000,country/folk
1139,"five months, two weeks, two days",louis prima,1991,blues/jazz
1140,if you were the only girl (in the world),dean martin,1964,blues/jazz
1141,"are you lonely for me, baby",al green,1971,blues/jazz
1142,distopian dream girl,built to spill,1994,pop/rock
1143,believe,staind,2008,pop/rock
1144,love's silhouette,pieces of a dream,2002,blues/jazz
1145,just for you,can't hang,2009,country/folk
1146,chopsticks,jeff lorber,2001,blues/jazz
1147,somebody help me,the impressions,1964,blues/jazz
1148,last night i dreamt that somebody loved me,the smiths,1987,pop/rock
1149,where is the love,macka b,1992,country/folk
1150,money cannot make the man,waylon jennings,1967,country/folk
1151,blow up your mind,the cramps,1991,blues/jazz
1152,wait till you see him,blossom dearie,1957,blues/jazz
1153,let's do it (let's fall in love),billie holiday,1996,blues/jazz
1154,no panties (feat. tweet),trina,2017,hip hop/reggae
1155,i'm a memory,willie nelson,1978,country/folk
1156,livin' easy (feat. stick figure),kbong,2014,country/folk
1157,indian summer,tommy dorsey,1990,blues/jazz
1158,don't you quit,t-pain,2012,hip hop/reggae
1159,upside down,a*teens,2001,pop/rock
1160,it's all in the game,louis armstrong,1989,blues/jazz
