,common_entity,entity1,entity2,entity3,entity4,rag_text
432,Lilo & Stitch,2002,Dean DeBlois,USA,animation,"Lilo & Stitch is a 2002 American animated science fiction comedy-drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It was written and directed by Chris Sanders and Dean DeBlois (in their directorial debuts) and produced by Clark Spencer, based on an original story created by Sanders. It features Daveigh Chase and Sanders as the voices of the title characters, and also features the voices of Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames, Jason Scott Lee, and Kevin Michael Richardson. It was the second of three Disney animated feature films (the first being Mulan, and the third Brother Bear) produced primarily at the Florida animation studio in Disney's Hollywood Studios (named ""Disney-MGM Studios"" during its production) at Walt Disney World near Orlando, Florida.The film's story revolves around two individuals: an orphaned Hawaiian girl named Lilo Pelekai, who is raised by her older sister Nani after their parents' deaths, and the extraterrestrial creature Experiment 626, who is adopted by Lilo as her ""dog"" and renamed ""Stitch"". Stitch, who was genetically engineered to cause chaos and destruction, initially uses Lilo to avoid recapture by the intergalactic federation. They develop a close bond through the Hawaiian concept of ʻohana, or extended family, causing Stitch to reconsider his intended destructive purpose in order to keep his newfound family together.
The film is based on an idea by Sanders, who originally conceived the character Stitch in the 1980s, and the film's design and aesthetics are based on his personal art style. Lilo & Stitch premiered at the El Capitan Theatre in Los Angeles on June 16, 2002, and was released worldwide on June 21. The film received positive reviews from critics, who praised its story, humor, charm, and originality. Produced on an $80 million budget and promoted with a marketing campaign that played up its oddities, it was a box-office success, grossing over $273 million worldwide. It was nominated for Best Animated Feature at the 75th Academy Awards, but lost to Spirited Away.The film's success made it a highlight of Disney's post-animation renaissance era in the 2000s, spawning a franchise that includes three direct-to-video sequels, starting with Stitch! The Movie, and three television series, including the sequel series Lilo & Stitch: The Series and spin-offs Stitch! and Stitch & Ai. A live-action adaptation is in development."
433,Charlotte's Web,2006,Gary Winick,USA,non-animation,"Charlotte's Web is a 2006 American fantasy comedy-drama film based on the 1952 novel of the same name by E. B. White. Directed by Gary Winick and written by Susannah Grant and Karey Kirkpatrick, it is the second film adaptation of E. B. White's book, and live-action/CGI remake of Paramount's 1973 animated feature film of the same name produced by Hanna-Barbera Productions. The film stars Dakota Fanning, Kevin Anderson, and Beau Bridges, with voices provided by Dominic Scott Kay, Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey, Thomas Haden Church, André Benjamin, Cedric the Entertainer, Kathy Bates, Reba McEntire, and Robert Redford. Danny Elfman composed the film's score.
Produced by Walden Media, Jordan Kerner's The K Entertainment Company and Nickelodeon Movies, the film premiered in Australia on December 7, 2006 and was released theatrically by Paramount Pictures on December 15, 2006 in the United States. The film received mostly positive reviews from critics, yet was only modestly and commercially successful. It grossed $83 million at the US box office and $61 million elsewhere for a worldwide total of $144 million against an $85 million budget, as well as grossing an additional $95.2 million in home media sales."
434,Deep Impact,1998,Mimi Leder,USA,non-animation,"Deep Impact is a 1998 American science fiction disaster film directed by Mimi Leder, written by Bruce Joel Rubin and Michael Tolkin, and starring Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave, Maximilian Schell, and Morgan Freeman. Steven Spielberg served as an executive producer of this film. It was released by Paramount Pictures in North America and by DreamWorks Pictures internationally on May 8, 1998. The film depicts the attempts to prepare for and destroy a 7-mile (11 km) wide comet set to collide with Earth and cause a mass extinction.
Deep Impact was released in the same summer as the similarly themed Armageddon, which fared better at the box office, while astronomers described Deep Impact as being more accurate. Both films were similarly received by critics, with Armageddon scoring 43% and Deep Impact scoring 45% on Rotten Tomatoes. Deep Impact grossed over $349.5 million worldwide on an $80 million production budget, becoming the sixth highest-grossing film of 1998.
It was the final film by cinematographer Dietrich Lohmann, who died before the film's release."
435,RED 2,2013,Dean Parisot,USA,non-animation,"Red 2 is a 2013 American action comedy film and sequel to the 2010 film Red. It was based on the limited comic book series of the same name, created by Warren Ellis and Cully Hamner, and published by the DC Comics imprint Homage. The film stars Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Lee Byung-hun, Anthony Hopkins, and Helen Mirren, with Dean Parisot directing a screenplay by Jon and Erich Hoeber. Red 2 was released on July 19, 2013."
436,The Longest Yard,2005,Peter Segal,USA,non-animation,"The Longest Yard is a 2005 American sports comedy film directed by Peter Segal and written by Sheldon Turner. A remake of 1974's The Longest Yard, it stars Adam Sandler as a washed-up former professional quarterback who, in exchange for a reduced prison sentence, is forced to assemble a football team to play against the guards. The film co-stars Chris Rock, James Cromwell, Nelly, William Fichtner and Burt Reynolds, who played Sandler's role in the original.
It was released by Paramount Pictures in the United States and Sony Pictures Releasing–under the Columbia Pictures label–in other territories on May 27, 2005."
437,Alvin and the Chipmunks: Chipwrecked,2011,Mike Mitchell,USA,animation,"Alvin and the Chipmunks: Chipwrecked is a 2011 American live-action/animated jukebox musical adventure comedy film directed by Mike Mitchell and written by the writing team of Jonathan Aibel and Glenn Berger, based on the characters Alvin and the Chipmunks created by Ross Bagdasarian Sr. and the Chipettes created by Janice Karman. It is the third installment in the live-action Alvin and the Chipmunks film series following the 2009 film Alvin and the Chipmunks: The Squeakquel and the first film. The film stars Jason Lee, David Cross and Jenny Slate. Justin Long, Matthew Gray Gubler, Jesse McCartney, Amy Poehler, Anna Faris and Christina Applegate return to voice the Chipmunks and Chipettes, respectively. In the film, playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical island, where they discover their new turf is not as deserted as it seems.
Alvin and the Chipmunks: Chipwrecked was released in the United States on December 16, 2011, by 20th Century Fox. The film received generally negative reviews from critics. However, it grossed over $342 million worldwide against a $80 million budget. A fourth and final film, The Road Chip, was released on December 18, 2015 with Kaley Cuoco replacing Amy Poehler as the voice of Eleanor."
438,Grown Ups 2,2013,Dennis Dugan,USA,non-animation,"Grown Ups 2 is a 2013 American comedy film directed by Dennis Dugan, written by Adam Sandler, Fred Wolf, and Tim Herlihy, and produced by Sandler and Jack Giarraputo. It is a sequel to the 2010 film Grown Ups and stars Sandler, Kevin James, Chris Rock, David Spade, Salma Hayek, Maya Rudolph, Maria Bello, and Nick Swardson with supporting roles done by Colin Quinn, Tim Meadows, Shaquille O'Neal, Alexander Ludwig, and Georgia Engel. It follows Lenny, who moves his family to his old hometown. While spending time with his old friends, he and his companions must soon face bizarre situations and new enemies in the form of a local fraternity.
Produced by Sandler's production company Happy Madison Productions and distributed by Sony Pictures Releasing through its Columbia Pictures label, Grown Ups 2 was released  on July 12, 2013, to overwhelmingly negative reviews from critics. The film grossed $247 million on an $80 million budget. It was nominated for nine Razzies at the 2014 Golden Raspberry Awards."
439,Get Smart,2008,Peter Segal,USA,non-animation,"Get Smart is a 2008 American spy action comedy film directed by Peter Segal, written by Tom J. Astle and Matt Ember and produced by Leonard B. Stern, who is also the producer of the original series. The film is based on Mel Brooks and Buck Henry's television series of the same name.
The film stars Steve Carell, Anne Hathaway, Dwayne Johnson, and Alan Arkin, with Terence Stamp and James Caan in supporting roles. Bernie Kopell, who played Siegfried in the original series, also appeared in the film. The film centers on an analyst named Maxwell Smart (Carell) who dreams of becoming a real field agent and a better spy. The film was released in North America on June 20, 2008.
Get Smart received mixed reviews from critics but was a commercial success, earning $230 million on an $80 million budget.

"
440,Something's Gotta Give,2003,Nancy Meyers,USA,non-animation,"Something's Gotta Give is a 2003 American romantic comedy-drama film written, produced and directed by Nancy Meyers. It stars Jack Nicholson and Diane Keaton as professionals who find love for each other in later life, despite being complete opposites. Keanu Reeves and Amanda Peet co-star, with Frances McDormand, Paul Michael Glaser, Jon Favreau, and KaDee Strickland playing key supporting roles.
Something's Gotta Give received positive reviews from critics, and was a box office hit, grossing $266 million worldwide. For her performance, Keaton received a nomination for the Academy Award for Best Actress, and won the Golden Globe Award for Best Actress – Motion Picture Comedy or Musical, while Nicholson received a nomination for the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy."
441,Shutter Island,2010,Martin Scorsese,USA,non-animation,"Shutter Island is a 2010 American neo-noir psychological thriller film directed by Martin Scorsese and adapted by Laeta Kalogridis, based on the 2003 novel of the same name by Dennis Lehane. Leonardo DiCaprio stars as Deputy U.S. Marshal Edward ""Teddy"" Daniels, who is investigating a psychiatric facility on Shutter Island after one of the patients goes missing. Mark Ruffalo plays his partner and fellow deputy marshal, Ben Kingsley plays the facility's lead psychiatrist, Max von Sydow plays a German doctor, and Michelle Williams plays Daniels' wife.
Released on February 19, 2010, Shutter Island received generally positive reviews from critics, was chosen by the National Board of Review as one of the top ten films of 2010, and grossed $295 million worldwide. The film is noted for its soundtrack, which prominently used classical music, such as that of Gustav Mahler, Krzysztof Penderecki, György Ligeti, John Cage, Ingram Marshall, and Max Richter.

"
442,Four Christmases,2008,Seth Gordon,Germany,non-animation,"Four Christmases is a 2008 American Christmas comedy film starring Vince Vaughn and Reese Witherspoon with Robert Duvall, Jon Favreau, Mary Steenburgen, Dwight Yoakam, Tim McGraw, Kristin Chenoweth, Jon Voight, and Sissy Spacek in supporting roles. The film is director Seth Gordon's first studio feature film. It tells the story of a couple who must travel to four family parties after their vacation plans get canceled due to dense fog. The film was produced by New Line Cinema and Spyglass Entertainment and released by Warner Bros. Pictures on November 26, 2008.
It received generally negative reviews from critics but earned $163 million worldwide."
443,Robots,2005,Chris Wedge,USA,animation,"Robots is a 2005 American animated science fiction adventure comedy film produced by Blue Sky Studios and distributed by 20th Century Fox. The film was directed by Chris Wedge and co-directed by Carlos Saldanha from a screenplay by David Lindsay-Abaire and the writing team of Lowell Ganz and Babaloo Mandel, based on a story conceived by Lindsay-Abaire, Ron Mita, and Jim McClain. It stars the voices of Ewan McGregor, Halle Berry, Greg Kinnear, Mel Brooks, Amanda Bynes, Drew Carey and Robin Williams. The story follows an ambitious inventor robot named Rodney Copperbottom (McGregor), who seeks out his idol Bigweld (Brooks) to work for his company in Robot City, only to discover a plot by its new owner Ratchet (Kinnear) and his mother (Jim Broadbent) to cheat older robots into buying expensive upgrades.
Development on the film began in 2000, when Wedge and children's author William Joyce failed to adapt Joyce's 1993 children's book Santa Calls, thus scrapping the idea and instead doing a story on robots.
Robots premiered at the Mann Village Theatre in Westwood, Los Angeles on March 6, 2005, and was released in the United States on March 11. The film received favorable reviews from critics, who praised the film's humor and creativity, but generally deemed its story and characters to be somewhat unoriginal and forgettable. The film was commercially successful, grossing over $262 million worldwide against a $75–80 million budget. A sequel was discussed, but never produced due to the studio's heavier focus on its flagship franchise, Ice Age."
444,Face/Off,1997,John Woo,USA,non-animation,"Face/Off is a 1997 American science fiction action thriller film directed by John Woo, written by Mike Werb and Michael Colleary, and starring John Travolta and Nicolas Cage.Face/Off was the first Hollywood film in which Woo was given major creative control. It earned critical acclaim for the performances by Cage and Travolta and its stylized action sequences. The film earned $245 million worldwide, making it the 11th highest-grossing film of 1997, and was nominated for an Academy Award for Sound Effects Editing (Mark Stoeckinger and Per Hallberg) at the 70th Academy Awards. Since its release, the film gained a strong cult following and it is considered by many as one of John Woo's best films."
445,Bedtime Stories,2008,Adam Shankman,USA,non-animation,"Bedtime Stories is a 2008 American fantasy comedy film directed by Adam Shankman from a screenplay by Matt Lopez and Tim Herlihy based on a story by Lopez. It stars Adam Sandler in his first appearance in a family film alongside Keri Russell, Guy Pearce, Aisha Tyler, Russell Brand, Richard Griffiths, Teresa Palmer, Lucy Lawless, and Courteney Cox. In the film, when a hotel handyman's stories to his niece and nephew come true, his stories that become more outlandish. Sandler's production company Happy Madison and Andrew Gunn's company Gunn Films co-produced the film with Walt Disney Pictures.
The film was theatrically released on December 25, 2008, by Disney. Despite the film being a box office success, earning $212.9 million against an $80 million budget, it was panned by critics."
446,Road to Perdition,2002,Sam Mendes,USA,non-animation,"Road to Perdition is a 2002 American crime drama film directed by Sam Mendes and written by David Self, based on the graphic novel of the same name by Max Allan Collins and Richard Piers Rayner. It stars Tom Hanks, Paul Newman (in his final live-action theatrical film role), Jude Law, Jennifer Jason Leigh, Stanley Tucci, Daniel Craig and Tyler Hoechlin in his film debut. Set in 1931 during the Great Depression, the film follows a mob enforcer and his son as they seek vengeance against the mobster who murdered the rest of their family.
Principal photography began in March 2001 in Chicago and concluded in June. Having recently finished his debut feature film American Beauty, Mendes expressed interest in pursuing a story that had minimal dialogue and conveyed emotion in the imagery. The cinematographer Conrad L. Hall took advantage of the environment to create symbolism. The film explores the themes of relationships between fathers and sons, and the consequences of violence. This was Conrad Hall's final film before his death in 2003.
Road to Perdition was screened at the 59th Venice International Film Festival on August 31, 2002, where it was nominated for the Golden Lion. The film was theatrically released in the United States on July 12, 2002, and was a box office success, grossing over $181 million against its $80 million budget. It was well received by critics, who praised Mendes' direction, Hall's cinematography, and the performances of the cast. At the 75th Academy Awards, the film was nominated for Best Supporting Actor for Newman, Best Original Score, Best Sound Editing, Best Sound Mixing, and Best Art Direction, while Hall was posthumously awarded Best Cinematography.

"
447,Just Go with It,2011,Dennis Dugan,USA,non-animation,"Just Go with It is a 2011 American romantic comedy film directed by Dennis Dugan, written by Allan Loeb and Timothy Dowling, and produced by Adam Sandler, Jack Giarraputo, and Heather Parry. It is a remake of the 1969 film Cactus Flower, and stars Sandler and Jennifer Aniston with Nicole Kidman, Nick Swardson, Brooklyn Decker, Bailee Madison, Griffin Gluck, and Heidi Montag in supporting roles. It tells the story of a plastic surgeon who enlists his assistant into helping him woo a sixth-grade math teacher.
Production of the film began on March 2, 2010. Originally titled ""Holiday in Hawaii"", and then ""Pretend Wife"", it was produced by Sandler's Happy Madison Productions and released in North America on February 11, 2011, by Columbia Pictures. The film grossed over $214 million, making it a box office success. However, it received negative reviews with criticism for its plot and editing but praise for its writing and acting. It won two Golden Raspberry Awards for Worst Actor and Worst Director."
448,Con Air,1997,Simon West,USA,non-animation,"Con Air is a 1997 American action thriller film directed by Simon West and starring Nicolas Cage, John Cusack and John Malkovich. Written by Scott Rosenberg and produced by Jerry Bruckheimer, the film centers on a prison break aboard a Justice Prisoner and Alien Transportation System aircraft, nicknamed ""con air"". It features an ensemble supporting cast  including Steve Buscemi, Ving Rhames, Colm Meaney, Mykelti Williamson, Dave Chappelle, Rachel Ticotin, Danny Trejo, and Monica Potter.
Con Air was released theatrically on June 6, 1997, by Buena Vista Pictures through Touchstone Pictures and was a box office success, grossing over $224 million against a production budget of $75 million. The film received mixed reviews, though the cast, the score and action sequences were praised. The film gained a strong cult following among Nicolas Cage's aficionados. It received Oscar nominations for Best Sound and Best Original Song for ""How Do I Live"", performed on the soundtrack by Trisha Yearwood."
449,Eagle Eye,2008,D.J. Caruso,USA,non-animation,
450,Cold Mountain,2003,Anthony Minghella,USA,non-animation,"Cold Mountain is a 2003 epic period war drama written and directed by Anthony Minghella. The film is based on the bestselling 1997 novel of the same name by Charles Frazier. It stars Jude Law, Nicole Kidman, and Renée Zellweger with Eileen Atkins, Brendan Gleeson, Kathy Baker, Philip Seymour Hoffman, Natalie Portman, Jack White, Giovanni Ribisi, Donald Sutherland, and Ray Winstone in supporting roles. The film tells the story of a wounded deserter from the Confederate army close to the end of the American Civil War, who journeys home to reunite with the woman he loves. The film was a co-production of companies in Italy, Romania, and the United States.
Cold Mountain was released theatrically on December 25, 2003 by Miramax Films. It emerged a critical and commercial success grossing over $173 million. It received seven nominations at the 76th Academy Awards, including Best Actor (Law), with Zellweger winning Best Supporting Actress."
451,The Book of Eli,2010,Albert Hughes,USA,non-animation,
452,Flubber,1997,Les Mayfield,USA,non-animation,"Flubber is a 1997 American science-fiction comedy film directed by Les Mayfield (who had previously directed another John Hughes scripted remake, Miracle on 34th Street) and written by Hughes and Bill Walsh. A remake of The Absent-Minded Professor (1961), the film was produced by Walt Disney Pictures and stars Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine, Raymond J. Barry, Wil Wheaton, and Clancy Brown with Jodi Benson providing a voice. The film grossed $178 million worldwide and received negative reviews from critics. In selected theaters, the Pepper Ann episode ""Old Best Friend"" was featured before the film."
453,The Haunting,1999,Jan de Bont,USA,non-animation,"The Haunting is a 1999 American supernatural horror film directed by Jan de Bont, and starring Liam Neeson, Catherine Zeta-Jones, Owen Wilson, and Lili Taylor, with Marian Seldes, Bruce Dern, Todd Field, and Virginia Madsen appearing in supporting roles. Its plot follows a group of people who gather at a sprawling estate in western Massachusetts for an apparent volunteer study on insomnia, only to find themselves plagued by paranormal events connected to the home's grim history. Based on the 1959 novel The Haunting of Hill House by Shirley Jackson, it is the second feature film adaptation of the source material after Robert Wise's 1963 film adaptation of the same name.
Development for The Haunting originally began as a collaboration between filmmaker Steven Spielberg and writer Stephen King, who together began writing a new adaptation of Jackson's novel, largely inspired by Wise's 1963 film version. After creative differences, the project was aborted, with King retooling his screenplay to form the 2002 miniseries Rose Red. Spielberg meanwhile commissioned a new screenplay for the project, written by David Self, to be produced under Spielberg's studio, DreamWorks Pictures. Filming of The Haunting began in the fall of 1998, with some location shoots occurring in England at Harlaxton Manor and Belvoir Castle, though the majority of the film was shot in specially-crafted sets in Los Angeles by esteemed Argentine production designer Eugenio Zanetti.
The Haunting premiered theatrically in North America in July 1999. The film received generally negative reviews from contemporary critics, but it was a financial success, grossing $180 million worldwide against a production budget of $80 million."
454,Space Jam,1996,Joe Pytka,USA,animation,"Space Jam is a 1996 American live-action/animated sports comedy film directed by Joe Pytka and written by Leo Benvenuti, Steve Rudnick, Timothy Harris, and Herschel Weingrod. The film stars basketball player Michael Jordan as a fictional version of himself; the live-action cast also includes Wayne Knight and Theresa Randle, as well as cameos by Bill Murray and several NBA players, while Billy West, Dee Bradley Baker, Kath Soucie and Danny DeVito headline the voice cast. The film follows Jordan as he is brought out of retirement by the Looney Tunes characters to help them win a basketball match against invading aliens intent on enslaving them as amusement park attractions.
Space Jam was the first film to be produced by Warner Bros. Feature Animation and was released theatrically in the United States on November 15, 1996, by Warner Bros. under its Family Entertainment label. The film received mixed reviews from critics, who were divided over its premise of combining Jordan and his profession with the Looney Tunes characters, while the technical achievements of its intertwining of live-action and animation were praised. It was a commercial success, grossing over $250 million worldwide, becoming so the highest-grossing basketball film of all time until 2022, as well the tenth-highest-grossing film of 1996.
A standalone sequel, Space Jam: A New Legacy, was released in 2021, with LeBron James in the lead role. The sequel was met with negative reviews and failed to match the commercial success of the first film."
455,The Pink Panther,2006,Shawn Levy,USA,non-animation,"The Pink Panther is a 2006 American comedy-mystery film and a reboot of The Pink Panther franchise, marking the tenth installment in the series. It is also the first Pink Panther film to be released since Son of the Pink Panther in 1993. In this film, Inspector Jacques Clouseau is assigned to solve the murder of a famous soccer coach and the theft of the famous Pink Panther diamond. The film was directed by Shawn Levy, stars Steve Martin as Clouseau and also co-stars Kevin Kline, Jean Reno, Emily Mortimer, and Beyoncé Knowles.
The film received mostly negative reviews but was a commercial success, earning $164 million worldwide. The Pink Panther was released theatrically in United States on February 10, 2006, by Sony Pictures Releasing under the Columbia Pictures banner with 20th Century Fox and Metro-Goldwyn-Mayer handling the international distribution, and was released on DVD and Blu-ray on June 13, 2006. A sequel was released on February 6, 2009.

"
456,The Day the Earth Stood Still,2008,Scott Derrickson,USA,non-animation,"The Day the Earth Stood Still is a 2008 American science fiction film and an adaptation of the 1951 film of the same name (which itself was based on the 1940 short story ""Farewell to the Master""). Directed by Scott Derrickson from a screenplay by David Scarpa, it stars Keanu Reeves as Klaatu, an alien sent to try to change human behavior in an effort to save Earth from environmental degradation; this version replaces the Cold War-era theme of nuclear warfare with the contemporary issue of negative human impact on the environment. It co-stars Jennifer Connelly, Jaden Smith, John Cleese, Jon Hamm, and Kathy Bates.
It was originally scheduled for release on May 9, 2008, but was released on a roll-out schedule beginning December 12, 2008, screening in both conventional and IMAX theaters. It was met with generally negative reviews from critics, and grossed over $233 million worldwide.

"
457,Conspiracy Theory,1997,Richard Donner,USA,non-animation,"Conspiracy Theory is a 1997 American political action thriller film directed by Richard Donner. Starring Mel Gibson, Julia Roberts and Patrick Stewart, the original screenplay by Brian Helgeland centers on an eccentric taxi driver who believes many world events are triggered by government conspiracies, and the Justice Department attorney who becomes involved in his life. The film was a financial success, but critical reviews were mixed."
458,Fury,2014,David Ayer,USA,non-animation,"Fury is a 2014 American war film written and directed by David Ayer. It stars Brad Pitt with Shia LaBeouf, Logan Lerman, Michael Peña, and Jon Bernthal as members of an American tank crew fighting in Nazi Germany during the final weeks of the European theater of World War II. Ayer was influenced by the service of military veterans in his family and by reading books such as Belton Y. Cooper's Death Traps, a 1998 memoir that underscores the high casualty rates suffered by American tank crews in combat against their better-equipped German counterparts.
Production began in England in early September 2013. Initial filming in Hertfordshire led to the start of principal photography in Oxfordshire on September 30, 2013. Filming continued in the city of Oxford and elsewhere and concluded on November 13, 2013. Fury was released on October 17, 2014, receiving generally positive reviews and grossing US$211 million worldwide."
459,Six Days Seven Nights,1998,Ivan Reitman,USA,non-animation,"Six Days, Seven Nights is a 1998 American action-adventure comedy film directed by Ivan Reitman, produced by Reitman and Roger Birnbaum, and starring Harrison Ford and Anne Heche. The screenplay was written by Michael Browning. It was filmed on location in Kauai, and released on June 12, 1998. The film received overall mixed reviews, with praise directed towards Ford's and Heche's performances and chemistry, but criticism directed towards the screenplay's predictability. The film was a box-office success, grossing $164.8 million worldwide.

"
460,Yogi Bear,2010,Eric Brevig,USA,animation,
461,Spirit: Stallion of the Cimarron,2002,Kelly Asbury,USA,animation,"Spirit: Stallion of the Cimarron (also known as Spirit) is a 2002 American animated western film produced by DreamWorks Animation and distributed by DreamWorks Pictures. The film was directed by Kelly Asbury and Lorna Cook (in their feature directorial debuts) from a screenplay by John Fusco, based on an idea by Jeffrey Katzenberg, who produced the film alongside Mireille Soria.Set in the Old West in the late 19th century, the film follows Spirit, a Kiger mustang stallion (voiced by Matt Damon as a narrator), who is captured during the American Indian Wars by the United States Cavalry; he is eventually freed by a Lakota man named Little Creek with whom he bonds, as well as a mare named Rain. In contrast to the anthropomorphic style of animal characters in other animated features, Spirit and his fellow horses communicate with each other through non-linguistic sounds and body language (albeit with many human facial expressions and reactions).
Spirit: Stallion of the Cimarron was released in theaters on May 24, 2002, and was a box office disappointment, earning only $122 million on an $80 million budget. It was nominated for the Academy Award for Best Animated Feature. The film also launched a media franchise using computer animation, with a Netflix spin-off television series Spirit Riding Free premiering on May 5, 2017, followed by  a spin-off of the original film, titled Spirit Untamed, released on June 4, 2021."
462,Zookeeper,2011,Frank Coraci,USA,non-animation,"Zookeeper is a 2011 American fantasy comedy film directed by Frank Coraci, with a screenplay by Nick Bakay, Rock Reuben, Kevin James, Jay Scherick, and David Ronn, from a story by Scherick and Ronn, and produced by  Todd Garner, James, Adam Sandler, Jack Giarraputo, and Walt Becker. The film stars James, Rosario Dawson, and Leslie Bibb with supporting roles by Ken Jeong, Donnie Wahlberg, Joe Rogan, Nat Faxon, and Tom Woodruff Jr., alongside the voices of Cher, Nick Nolte, Sandler, Sylvester Stallone, Judd Apatow, Jim Breuer, Jon Favreau, Faizon Love, Richie Minervini, Maya Rudolph, and Bas Rutten. It is about an unlucky zookeeper and the talking animals at his zoo who break their silence to help him find love.
Filming began in Boston on August 17, 2009. It was the first Metro-Goldwyn-Mayer (MGM) film to be co-produced with Happy Madison (as well as their first production to be released after the company had filed for bankruptcy the year prior), though the film, like a majority of the Happy Madison output, was distributed by Columbia Pictures. Zookeeper was released in the United States on July 8, 2011. It received mostly negative reviews from critics and earned $169.8 million on an $80 million budget."
463,Lost in Space,1998,Stephen Hopkins,USA,non-animation,
464,The Manchurian Candidate,2004,Jonathan Demme,USA,non-animation,"The Manchurian Candidate is a 2004 American neo-noir psychological political 
thriller film   directed by Jonathan Demme. The film, based on Richard Condon's 1959 novel of the same name and a reworking of the previous 1962 film, stars Denzel Washington as Bennett Marco, a tenacious, virtuous soldier; Liev Schreiber as Raymond Shaw, a U.S. Representative from New York, manipulated into becoming a vice-presidential candidate; Jon Voight as U.S. Senator Tom Jordan, a challenger for vice president; and Meryl Streep as Eleanor Prentiss Shaw, also a U.S. Senator and Raymond's manipulative, ruthless mother.
While the name of the novel and the earlier film was retained, the significance of ""Manchurian"" was changed. In the original, the protagonist was captured in the Korean War and brainwashed by the Chinese in the actual Manchuria. In the 2004 film, with the Korean War replaced by the Gulf War, Manchurian is used, instead, as the name of a sinister multinational company."
465,Déjà Vu,1997,Henry Jaglom,USA,non-animation,"Déjà Vu is a 1997 American dramatic romance film directed by Henry Jaglom. It stars Stephen Dillane, Victoria Foyt, and Vanessa Redgrave. It premiered at the American Film Institute Festival on 25 October 1997 and was released theatrically on 22 April 1998."
466,Hotel Transylvania 2,2015,Genndy Tartakovsky,USA,animation,"Hotel Transylvania 2 is a 2015 American animated monster comedy film produced by Columbia Pictures and Sony Pictures Animation in association with LStar Capital, animated by Sony Pictures Imageworks, and distributed by Sony Pictures Releasing. Directed by Genndy Tartakovsky and written by Robert Smigel and Adam Sandler, it is the second installment in the Hotel Transylvania franchise, serving as the sequel to Hotel Transylvania (2012).
Hotel Transylvania 2 takes place several years after the events of the first film. Mavis and Johnny have a young son named Dennis, whose lack of any vampire abilities worries both Mavis and his maternal grandfather Dracula for differing reasons. When Mavis and Johnny travel to Johnny's hometown in Santa Cruz, California, Drac calls his friends to help him make Dennis a vampire, much to Mavis's dismay.
Original voices from the first film — Sandler, Andy Samberg, Selena Gomez, Kevin James, David Spade, Steve Buscemi, Molly Shannon, Fran Drescher, Rob Riggle, Sadie Sandler, Jonny Solomon, Luenell, Chris Parnell and Jon Lovitz — returned for the sequel, with Keegan-Michael Key replacing CeeLo Green as Murray. New additions to the cast include Asher Blinkoff, Nick Offerman, Megan Mullally, Dana Carvey and Mel Brooks.
Hotel Transylvania 2 was released on September 25, 2015, by Sony Pictures Releasing under the Columbia Pictures label. Like its predecessor, it received mixed, but this time slightly better, reviews from critics, though some deemed it inferior to the original film, while some considered it an improvement. The film grossed over $474 million worldwide on an $80 million budget. A sequel, Hotel Transylvania 3: Summer Vacation, was released in July 2018."
467,Fantasia 2000,1999,James Algar,USA,animation,
468,The Time Machine,2002,Simon Wells,USA,non-animation,"The Time Machine is a 2002 American post-apocalyptic science fiction film loosely adapted by John Logan from the 1895 novel of the same name by H. G. Wells and the screenplay of the 1960 film of the same name by David Duncan. Arnold Leibovit served as executive producer and Simon Wells, the great-grandson of the original author, served as director. The film stars Guy Pearce, Orlando Jones, Samantha Mumba, Mark Addy, and Jeremy Irons, and includes a cameo by Alan Young, who also appeared in the 1960 film adaptation. The film is set in New York City instead of London, and contains new story elements not present in the original novel nor the 1960 film adaptation, including a romantic subplot, a new scenario about how civilization was destroyed, and several new characters such as an artificially intelligent hologram and a Morlock leader.
The film received generally negative reviews from critics and grossed $123 million worldwide. It was nominated for the Academy Award for Best Makeup (John M. Elliot Jr. and Barbara Lorenz) at the 75th Academy Awards, but lost to Frida.

"
469,Mighty Joe Young,1998,Ron Underwood,USA,non-animation,"Mighty Joe Young is a 1998 American epic adventure film based on the 1949 film of the same name about a giant mountain gorilla brought to a wildlife preserve in Los Angeles by a young woman who raised him, and a zoologist, to protect him from the threat of poachers until one seeks Joe out in order to take his revenge. It was directed by Ron Underwood and stars Bill Paxton, Charlize Theron, and creature suit actor John Alexander as the title character. In this version, the ape is much larger than in the original. The film received mixed reviews and grossed $50.6 million in the United States against a production budget of $90 million, making it a box-office bomb."
470,Swordfish,2001,Dominic Sena,USA,non-animation,"Swordfish is a 2001 American action thriller film directed by Dominic Sena, written by Skip Woods, produced by Joel Silver, and starring John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Vinnie Jones, and Sam Shepard. The film centers on Stanley Jobson, an ex-con and computer hacker who is targeted for recruitment into a bank robbery conspiracy because of his formidable hacking skills."
