,common_entity,entity1,entity2,entity3,entity4
455,The Pink Panther,2006,Shawn Levy,USA,non-animation
456,The Day the Earth Stood Still,2008,Scott Derrickson,USA,non-animation
457,Conspiracy Theory,1997,Richard Donner,USA,non-animation
458,Fury,2014,David Ayer,USA,non-animation
459,Six Days Seven Nights,1998,Ivan Reitman,USA,non-animation
460,Yogi Bear,2010,Eric Brevig,USA,animation
461,Spirit: Stallion of the Cimarron,2002,Kelly Asbury,USA,animation
462,Zookeeper,2011,Frank Coraci,USA,non-animation
463,Lost in Space,1998,Stephen Hopkins,USA,non-animation
464,The Manchurian Candidate,2004,Jonathan Demme,USA,non-animation
465,Déjà Vu,1997,Henry Jaglom,USA,non-animation
466,Hotel Transylvania 2,2015,Genndy Tartakovsky,USA,animation
467,Fantasia 2000,1999,James Algar,USA,animation
468,The Time Machine,2002,Simon Wells,USA,non-animation
469,Mighty Joe Young,1998,Ron Underwood,USA,non-animation
470,Swordfish,2001,Dominic Sena,USA,non-animation
471,The Legend of Zorro,2005,Martin Campbell,USA,non-animation
472,What Dreams May Come,1998,Vincent Ward,USA,non-animation
473,Little Nicky,2000,Steven Brill,USA,non-animation
474,The Brothers Grimm,2005,Terry Gilliam,USA,non-animation
475,Mars Attacks!,1996,Tim Burton,USA,non-animation
476,Evolution,2015,Lucile Hadzihalilovic,France,non-animation
477,The Edge,1997,Lee Tamahori,USA,non-animation
478,Surrogates,2009,Jonathan Mostow,USA,non-animation
479,Thirteen Days,2000,Roger Donaldson,USA,non-animation
480,Daylight,1996,Rob Cohen,USA,non-animation
481,Walking with Dinosaurs 3D,2013,Barry Cook,USA,animation
482,Battlefield Earth,2000,Roger Christian,USA,non-animation
483,Looney Tunes: Back in Action,2003,Joe Dante,Germany,animation
484,Nine,2009,Rob Marshall,USA,non-animation
485,Timeline,2003,Richard Donner,USA,non-animation
486,The Postman,1997,Kevin Costner,USA,non-animation
487,Babe: Pig in the City,1998,George Miller,Australia,non-animation
488,The Last Witch Hunter,2015,Breck Eisner,USA,non-animation
489,Red Planet,2000,Antony Hoffman,USA,non-animation
490,Arthur and the Invisibles,2006,Luc Besson,France,animation
491,Oceans,2009,Jacques Perrin,France,non-animation
492,A Sound of Thunder,2005,Peter Hyams,UK,non-animation
493,Pompeii,2014,Paul W.S. Anderson,Canada,non-animation
494,Top Cat Begins,2015,Andrés Couturier,Mexico,animation
495,A Beautiful Mind,2001,Ron Howard,USA,non-animation
496,The Lion King,1994,Roger Allers,USA,animation
497,Journey 2: The Mysterious Island,2012,Brad Peyton,USA,non-animation
498,Cloudy with a Chance of Meatballs 2,2013,Cody Cameron,USA,animation
499,Red Dragon,2002,Brett Ratner,Germany,non-animation
500,Hidalgo,2004,Joe Johnston,USA,non-animation
501,Jack and Jill,2011,Dennis Dugan,USA,non-animation
502,2 Fast 2 Furious,2003,John Singleton,USA,non-animation
503,The Little Prince,2015,Mark Osborne,France,animation
504,The Invasion,2007,Oliver Hirschbiegel,USA,non-animation
505,The Adventures of Rocky & Bullwinkle,2000,Des McAnuff,USA,animation
506,The Secret Life of Pets,2016,Yarrow Cheney,Japan,animation
507,The League of Extraordinary Gentlemen,2003,Stephen Norrington,USA,non-animation
508,Despicable Me 2,2013,Pierre Coffin,USA,animation
509,Independence Day,1996,Roland Emmerich,USA,non-animation
510,The Lost World: Jurassic Park,1997,Steven Spielberg,USA,non-animation
511,Madagascar,2005,Eric Darnell,USA,animation
512,Children of Men,2006,Alfonso Cuarón,USA,non-animation
513,X-Men,2000,Bryan Singer,USA,non-animation
514,Wanted,2008,Timur Bekmambetov,USA,non-animation
515,The Rock,1996,Michael Bay,USA,non-animation
516,Ice Age: The Meltdown,2006,Carlos Saldanha,USA,animation
517,50 First Dates,2004,Peter Segal,USA,non-animation
518,Hairspray,2007,Adam Shankman,USA,non-animation
519,Exorcist: The Beginning,2004,Renny Harlin,USA,non-animation
520,Inspector Gadget,1999,David Kellogg,USA,non-animation
521,Now You See Me,2013,Louis Leterrier,USA,non-animation
522,Grown Ups,2010,Dennis Dugan,USA,non-animation
523,The Terminal,2004,Steven Spielberg,USA,non-animation
524,Hotel for Dogs,2009,Thor Freudenthal,USA,non-animation
525,Vertical Limit,2000,Martin Campbell,USA,non-animation
526,Charlie Wilson's War,2007,Mike Nichols,USA,non-animation
527,Shark Tale,2004,Bibo Bergeron,USA,animation
528,Dreamgirls,2006,Bill Condon,USA,non-animation
529,Be Cool,2005,F. Gary Gray,USA,non-animation
530,Munich,2005,Steven Spielberg,France,non-animation
531,Tears of the Sun,2003,Antoine Fuqua,USA,non-animation
532,Killers,2010,Robert Luketic,USA,non-animation
533,The Man from U.N.C.L.E.,2015,Guy Ritchie,USA,non-animation
534,Spanglish,2004,James L. Brooks,USA,non-animation
535,Monster House,2006,Gil Kenan,USA,animation
536,Bandits,2001,Barry Levinson,USA,non-animation
537,First Knight,1995,Jerry Zucker,USA,non-animation
538,Anna and the King,1999,Andy Tennant,USA,non-animation
539,Immortals,2011,Tarsem Singh,USA,non-animation
540,Hostage,2005,Florent-Emilio Siri,USA,non-animation
541,Titan A.E.,2000,Don Bluth,USA,animation
542,Hollywood Homicide,2003,Ron Shelton,USA,non-animation
543,Soldier,1998,Paul W.S. Anderson,UK,non-animation
544,Carriers,2009,David Pastor,USA,non-animation
545,Monkeybone,2001,Henry Selick,USA,animation
546,Flight of the Phoenix,2004,John Moore,USA,non-animation
547,Unbreakable,2000,M. Night Shyamalan,USA,non-animation
548,Minions,2015,Kyle Balda,USA,animation
549,Sucker Punch,2011,Zack Snyder,USA,non-animation
550,Snake Eyes,1998,Brian De Palma,USA,non-animation
551,Sphere,1998,Barry Levinson,USA,non-animation
552,The Angry Birds Movie,2016,Clay Kaytis,USA,animation
553,Fool's Gold,2008,Andy Tennant,USA,non-animation
554,Funny People,2009,Judd Apatow,USA,non-animation
555,The Kingdom,2007,Peter Berg,USA,non-animation
556,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,USA,non-animation
557,Dr. Dolittle 2,2001,Steve Carr,USA,non-animation
558,Braveheart,1995,Mel Gibson,USA,non-animation
559,Jarhead,2005,Sam Mendes,Germany,non-animation
560,The Simpsons Movie,2007,David Silverman,USA,animation
561,The Majestic,2001,Frank Darabont,USA,non-animation
562,Driven,2001,Renny Harlin,USA,non-animation
563,Two Brothers,2004,Jean-Jacques Annaud,France,non-animation
564,The Village,2004,M. Night Shyamalan,USA,non-animation
565,Doctor Dolittle,1998,Betty Thomas,USA,non-animation
566,Signs,2002,M. Night Shyamalan,USA,non-animation
567,Shrek 2,2004,Andrew Adamson,USA,animation
568,Cars,2006,John Lasseter,USA,animation
569,Runaway Bride,1999,Garry Marshall,USA,non-animation
570,xXx,2002,Rob Cohen,USA,non-animation
571,The SpongeBob Movie: Sponge Out of Water,2015,Paul Tibbitt,USA,animation
572,Ransom,1996,Ron Howard,USA,non-animation
573,Inglourious Basterds,2009,Quentin Tarantino,USA,non-animation
574,Hook,1991,Steven Spielberg,USA,non-animation
575,Die Hard 2,1990,Renny Harlin,USA,non-animation
576,S.W.A.T.,2003,Clark Johnson,USA,non-animation
577,Vanilla Sky,2001,Cameron Crowe,USA,non-animation
578,Lady in the Water,2006,M. Night Shyamalan,USA,non-animation
579,AVP: Alien vs. Predator,2004,Paul W.S. Anderson,USA,non-animation
580,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,USA,animation
581,We Were Soldiers,2002,Randall Wallace,USA,non-animation
582,Olympus Has Fallen,2013,Antoine Fuqua,USA,non-animation
583,Star Trek: Insurrection,1998,Jonathan Frakes,USA,non-animation
584,Battle Los Angeles,2011,Jonathan Liebesman,USA,non-animation
585,Big Fish,2003,Tim Burton,USA,non-animation
586,Wolf,1994,Mike Nichols,USA,non-animation
587,War Horse,2011,Steven Spielberg,USA,non-animation
588,The Monuments Men,2014,George Clooney,USA,non-animation
589,The Abyss,1989,James Cameron,USA,non-animation
590,Wall Street: Money Never Sleeps,2010,Oliver Stone,USA,non-animation
591,Dracula Untold,2014,Gary Shore,USA,non-animation
592,The Siege,1998,Edward Zwick,USA,non-animation
593,Stardust,2007,Matthew Vaughn,UK,non-animation
594,Seven Years in Tibet,1997,Jean-Jacques Annaud,USA,non-animation
595,The Dilemma,2011,Ron Howard,USA,non-animation
596,Bad Company,2002,Joel Schumacher,USA,non-animation
597,Doom,2005,Andrzej Bartkowiak,UK,non-animation
598,I Spy,2002,Betty Thomas,USA,non-animation
599,Underworld: Awakening,2012,Måns Mårlind,USA,non-animation
600,Rock of Ages,2012,Adam Shankman,USA,non-animation
601,Hart's War,2002,Gregory Hoblit,USA,non-animation
602,Killer Elite,2011,Gary McKendry,UK,non-animation
603,Rollerball,2002,John McTiernan,USA,non-animation
604,Ballistic: Ecks vs. Sever,2002,Wych Kaosayananda,USA,non-animation
605,Hard Rain,1998,Mikael Salomon,USA,non-animation
606,Osmosis Jones,2001,Bobby Farrelly,USA,animation
607,Legends of Oz: Dorothy's Return,2013,Will Finn,USA,animation
608,Blackhat,2015,Michael Mann,USA,non-animation
609,Sky Captain and the World of Tomorrow,2004,Kerry Conran,USA,non-animation
610,Basic Instinct 2,2006,Michael Caton-Jones,UK,non-animation
611,Escape Plan,2013,Mikael Håfström,USA,non-animation
612,The Legend of Hercules,2014,Renny Harlin,USA,non-animation
613,The Sum of All Fears,2002,Phil Alden Robinson,USA,non-animation
614,The Twilight Saga: Eclipse,2010,David Slade,USA,non-animation
615,The Score,2001,Frank Oz,USA,non-animation
616,Despicable Me,2010,Pierre Coffin,USA,animation
617,Money Train,1995,Joseph Ruben,USA,non-animation
618,Ted 2,2015,Seth MacFarlane,USA,non-animation
619,Agora,2009,Alejandro Amenábar,Spain,non-animation
620,Mystery Men,1999,Kinka Usher,USA,non-animation
621,Hall Pass,2011,Bobby Farrelly,USA,non-animation
622,The Insider,1999,Michael Mann,USA,non-animation
623,The Finest Hours,2016,Craig Gillespie,USA,non-animation
624,Body of Lies,2008,Ridley Scott,USA,non-animation
625,Dinner for Schmucks,2010,Jay Roach,USA,non-animation
626,Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,USA,non-animation
627,Entrapment,1999,Jon Amiel,USA,non-animation
628,The X Files,1998,Rob Bowman,USA,non-animation
629,The Last Legion,2007,Doug Lefler,UK,non-animation
630,Saving Private Ryan,1998,Steven Spielberg,USA,non-animation
631,Need for Speed,2014,Scott Waugh,USA,non-animation
632,What Women Want,2000,Nancy Meyers,USA,non-animation
633,Ice Age,2002,Chris Wedge,USA,animation
634,Dreamcatcher,2003,Lawrence Kasdan,USA,non-animation
635,Lincoln,2012,Steven Spielberg,USA,non-animation
636,The Matrix,1999,Lana Wachowski,USA,non-animation
637,Apollo 13,1995,Ron Howard,USA,non-animation
638,The Santa Clause 2,2002,Michael Lembeck,USA,non-animation
639,Les Misérables,2012,Tom Hooper,USA,non-animation
640,You've Got Mail,1998,Nora Ephron,USA,non-animation
641,Step Brothers,2008,Adam McKay,USA,non-animation
642,The Mask of Zorro,1998,Martin Campbell,USA,non-animation
643,Due Date,2010,Todd Phillips,USA,non-animation
644,Unbroken,2014,Angelina Jolie Pitt,USA,non-animation
645,Space Cowboys,2000,Clint Eastwood,USA,non-animation
646,Cliffhanger,1993,Renny Harlin,USA,non-animation
647,Broken Arrow,1996,John Woo,USA,non-animation
648,The Kid,2000,Jon Turteltaub,USA,non-animation
649,World Trade Center,2006,Oliver Stone,USA,non-animation
650,Mona Lisa Smile,2003,Mike Newell,USA,non-animation
651,The Dictator,2012,Larry Charles,USA,non-animation
652,Eyes Wide Shut,1999,Stanley Kubrick,UK,non-animation
653,Annie,2014,Will Gluck,USA,non-animation
654,Focus,2015,Glenn Ficarra,USA,non-animation
655,This Means War,2012,McG,USA,non-animation
656,Blade: Trinity,2004,David S. Goyer,USA,non-animation
657,Red Dawn,1984,John Milius,USA,non-animation
658,Primary Colors,1998,Mike Nichols,France,non-animation
659,Resident Evil: Retribution,2012,Paul W.S. Anderson,Germany,non-animation
660,Death Race,2008,Paul W.S. Anderson,USA,non-animation
661,The Long Kiss Goodnight,1996,Renny Harlin,USA,non-animation
662,Proof of Life,2000,Taylor Hackford,USA,non-animation
663,Zathura: A Space Adventure,2005,Jon Favreau,USA,non-animation
664,Fight Club,1999,David Fincher,USA,non-animation
665,We Are Marshall,2006,McG,USA,non-animation
666,Hudson Hawk,1991,Michael Lehmann,USA,non-animation
667,Lucky Numbers,2000,Nora Ephron,France,non-animation
668,"I, Frankenstein",2014,Stuart Beattie,Australia,non-animation
669,Oliver Twist,2005,Roman Polanski,UK,non-animation
670,Elektra,2005,Rob Bowman,Canada,non-animation
671,Sin City: A Dame to Kill For,2014,Frank Miller,USA,non-animation
672,Random Hearts,1999,Sydney Pollack,USA,non-animation
673,Everest,2015,Baltasar Kormákur,UK,non-animation
674,Perfume: The Story of a Murderer,2006,Tom Tykwer,Germany,non-animation
675,Austin Powers in Goldmember,2002,Jay Roach,USA,non-animation
676,Astro Boy,2009,David Bowers,Hong Kong,animation
677,Jurassic Park,1993,Steven Spielberg,USA,non-animation
678,Wyatt Earp,1994,Lawrence Kasdan,USA,non-animation
679,Clear and Present Danger,1994,Phillip Noyce,USA,non-animation
680,Dragon Blade,2015,Daniel Lee,China,non-animation
681,Littleman,2006,Keenen Ivory Wayans,USA,non-animation
682,U-571,2000,Jonathan Mostow,France,non-animation
683,The American President,1995,Rob Reiner,USA,non-animation
684,The Love Guru,2008,Marco Schnabel,USA,non-animation
685,3000 Miles to Graceland,2001,Demian Lichtenstein,USA,non-animation
686,The Hateful Eight,2015,Quentin Tarantino,USA,non-animation
687,Blades of Glory,2007,Josh Gordon,USA,non-animation
688,Hop,2011,Tim Hill,USA,animation
689,300,2006,Zack Snyder,USA,non-animation
690,Meet the Fockers,2004,Jay Roach,USA,non-animation
691,Marley & Me,2008,David Frankel,USA,non-animation
692,The Green Mile,1999,Frank Darabont,USA,non-animation
693,Wild Hogs,2007,Walt Becker,USA,non-animation
694,Chicken Little,2005,Mark Dindal,USA,animation
695,Gone Girl,2014,David Fincher,USA,non-animation
696,The Bourne Identity,2002,Doug Liman,USA,non-animation
697,GoldenEye,1995,Martin Campbell,UK,non-animation
698,The General's Daughter,1999,Simon West,USA,non-animation
699,The Truman Show,1998,Peter Weir,USA,non-animation
700,The Prince of Egypt,1998,Brenda Chapman,USA,animation
701,Daddy Day Care,2003,Steve Carr,USA,non-animation
702,2 Guns,2013,Baltasar Kormákur,USA,non-animation
703,Cats & Dogs,2001,Lawrence Guterman,USA,non-animation
704,The Italian Job,2003,F. Gary Gray,USA,non-animation
705,Two Weeks Notice,2002,Marc Lawrence,USA,non-animation
706,Antz,1998,Eric Darnell,USA,animation
707,Couples Retreat,2009,Peter Billingsley,USA,non-animation
708,Days of Thunder,1990,Tony Scott,USA,non-animation
709,Cheaper by the Dozen 2,2005,Adam Shankman,USA,non-animation
710,The Scorch Trials,2015,Wes Ball,USA,non-animation
711,Eat Pray Love,2010,Ryan Murphy,USA,non-animation
712,The Family Man,2000,Brett Ratner,USA,non-animation
713,RED,2010,Robert Schwentke,USA,non-animation
714,Any Given Sunday,1999,Oliver Stone,USA,non-animation
715,The Horse Whisperer,1998,Robert Redford,USA,non-animation
716,Collateral,2004,Michael Mann,USA,non-animation
717,The Scorpion King,2002,Chuck Russell,USA,non-animation
718,Ladder 49,2004,Jay Russell,USA,non-animation
719,Jack Reacher,2012,Christopher McQuarrie,USA,non-animation
720,Deep Blue Sea,1999,Renny Harlin,USA,non-animation
721,This Is It,2009,Kenny Ortega,USA,non-animation
722,Contagion,2011,Steven Soderbergh,USA,non-animation
723,Kangaroo Jack,2003,David McNally,USA,non-animation
724,Coraline,2009,Henry Selick,USA,animation
725,The Happening,2008,M. Night Shyamalan,USA,non-animation
726,Man on Fire,2004,Tony Scott,USA,non-animation
727,The Shaggy Dog,2006,Brian Robbins,USA,non-animation
728,Starsky & Hutch,2004,Todd Phillips,USA,non-animation
729,Jingle All the Way,1996,Brian Levant,USA,non-animation
730,Hellboy,2004,Guillermo del Toro,USA,non-animation
731,A Civil Action,1998,Steven Zaillian,USA,non-animation
732,ParaNorman,2012,Chris Butler,USA,animation
733,The Jackal,1997,Michael Caton-Jones,USA,non-animation
734,Paycheck,2003,John Woo,USA,non-animation
735,Up Close & Personal,1996,Jon Avnet,USA,non-animation
736,The Tale of Despereaux,2008,Sam Fell,UK,animation
737,The Tuxedo,2002,Kevin Donovan,USA,non-animation
738,Under Siege 2: Dark Territory,1995,Geoff Murphy,USA,non-animation
739,Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,USA,non-animation
740,Joy,2015,David O. Russell,USA,non-animation
741,London Has Fallen,2016,Babak Najafi,UK,non-animation
742,Alien: Resurrection,1997,Jean-Pierre Jeunet,USA,non-animation
743,Shooter,2007,Antoine Fuqua,USA,non-animation
744,The Boxtrolls,2014,Graham Annable,USA,animation
745,Practical Magic,1998,Griffin Dunne,USA,non-animation
746,The Lego Movie,2014,Phil Lord,Australia,animation
747,Miss Congeniality 2: Armed and Fabulous,2005,John Pasquin,USA,non-animation
748,Reign of Fire,2002,Rob Bowman,USA,non-animation
749,Gangster Squad,2013,Ruben Fleischer,USA,non-animation
750,Year One,2009,Harold Ramis,USA,non-animation
751,Invictus,2009,Clint Eastwood,USA,non-animation
752,State of Play,2009,Kevin Macdonald,USA,non-animation
753,Duplicity,2009,Tony Gilroy,USA,non-animation
754,My Favorite Martian,1999,Donald Petrie,USA,non-animation
755,The Sentinel,2006,Clark Johnson,USA,non-animation
756,Planet 51,2009,Jorge Blanco,Spain,animation
757,Star Trek: Nemesis,2002,Stuart Baird,USA,non-animation
758,Intolerable Cruelty,2003,Joel Coen,USA,non-animation
759,Trouble with the Curve,2012,Robert Lorenz,USA,non-animation
760,Edge of Darkness,2010,Martin Campbell,UK,non-animation
761,The Relic,1997,Peter Hyams,UK,non-animation
762,Analyze That,2002,Harold Ramis,USA,non-animation
763,Righteous Kill,2008,Jon Avnet,USA,non-animation
764,Mercury Rising,1998,Harold Becker,USA,non-animation
765,The Soloist,2009,Joe Wright,UK,non-animation
766,The Legend of Bagger Vance,2000,Robert Redford,USA,non-animation
767,Almost Famous,2000,Cameron Crowe,USA,non-animation
768,Garfield 2,2006,Tim Hill,UK,animation
769,xXx: State of the Union,2005,Lee Tamahori,USA,non-animation
770,Priest,2011,Scott Stewart,USA,non-animation
771,Sinbad: Legend of the Seven Seas,2003,Patrick Gilmore,USA,animation
772,Event Horizon,1997,Paul W.S. Anderson,UK,non-animation
773,Dragonfly,2002,Tom Shadyac,USA,non-animation
774,The Black Dahlia,2006,Brian De Palma,Germany,non-animation
775,Flyboys,2006,Tony Bill,UK,non-animation
776,The Last Castle,2001,Rod Lurie,USA,non-animation
777,Supernova,2000,Walter Hill,USA,non-animation
778,Winter's Tale,2014,Akiva Goldsman,USA,non-animation
779,The Mortal Instruments: City of Bones,2013,Harald Zwart,USA,non-animation
780,Meet Dave,2008,Brian Robbins,USA,non-animation
781,Dark Water,2005,Walter Salles,USA,non-animation
782,Edtv,1999,Ron Howard,USA,non-animation
783,Inkheart,2008,Iain Softley,Germany,non-animation
784,The Spirit,2008,Frank Miller,USA,non-animation
785,Mortdecai,2015,David Koepp,UK,non-animation
786,In the Name of the King: A Dungeon Siege Tale,2007,Uwe Boll,Germany,non-animation
787,Beyond Borders,2003,Martin Campbell,USA,non-animation
788,Xi you ji zhi: Sun Wukong san da Baigu Jing,2016,Pou-Soi Cheang,China,non-animation
789,The Great Raid,2005,John Dahl,USA,non-animation
790,Deadpool,2016,Tim Miller,USA,non-animation
791,Holy Man,1998,Stephen Herek,USA,non-animation
792,American Sniper,2014,Clint Eastwood,USA,non-animation
793,Goosebumps,2015,Rob Letterman,USA,non-animation
794,Just Like Heaven,2005,Mark Waters,USA,non-animation
795,The Flintstones in Viva Rock Vegas,2000,Brian Levant,USA,non-animation
796,Rambo III,1988,Peter MacDonald,USA,non-animation
797,Leatherheads,2008,George Clooney,USA,non-animation
798,The Ridiculous 6,2015,Frank Coraci,USA,non-animation
799,Did You Hear About the Morgans?,2009,Marc Lawrence,USA,non-animation
800,The Internship,2013,Shawn Levy,USA,non-animation
801,Resident Evil: Afterlife,2010,Paul W.S. Anderson,Germany,non-animation
802,Red Tails,2012,Anthony Hemingway,USA,non-animation
803,The Devil's Advocate,1997,Taylor Hackford,USA,non-animation
804,That's My Boy,2012,Sean Anders,USA,non-animation
805,DragonHeart,1996,Rob Cohen,USA,non-animation
806,After the Sunset,2004,Brett Ratner,USA,non-animation
807,Ghost Rider: Spirit of Vengeance,2011,Mark Neveldine,USA,non-animation
808,Captain Corelli's Mandolin,2001,John Madden,UK,non-animation
809,The Pacifier,2005,Adam Shankman,Canada,non-animation
810,Walking Tall,2004,Kevin Bray,USA,non-animation
811,Forrest Gump,1994,Robert Zemeckis,USA,non-animation
812,Alvin and the Chipmunks,2007,Tim Hill,USA,animation
813,Meet the Parents,2000,Jay Roach,USA,non-animation
814,Pocahontas,1995,Mike Gabriel,USA,animation
815,Superman,1978,Richard Donner,USA,non-animation
816,The Nutty Professor,1996,Tom Shadyac,USA,non-animation
817,Hitch,2005,Andy Tennant,USA,non-animation
818,George of the Jungle,1997,Sam Weisman,USA,non-animation
819,American Wedding,2003,Jesse Dylan,USA,non-animation
820,Captain Phillips,2013,Paul Greengrass,USA,non-animation
821,Date Night,2010,Shawn Levy,USA,non-animation
822,Casper,1995,Brad Silberling,USA,non-animation
823,The Equalizer,2014,Antoine Fuqua,USA,non-animation
824,Maid in Manhattan,2002,Wayne Wang,USA,non-animation
825,Crimson Tide,1995,Tony Scott,USA,non-animation
826,The Pursuit of Happyness,2006,Gabriele Muccino,USA,non-animation
827,Flightplan,2005,Robert Schwentke,USA,non-animation
828,Disclosure,1994,Barry Levinson,USA,non-animation
829,City of Angels,1998,Brad Silberling,Germany,non-animation
830,Kill Bill: Vol. 1,2003,Quentin Tarantino,USA,non-animation
831,Bowfinger,1999,Frank Oz,USA,non-animation
832,Kill Bill: Vol. 2,2004,Quentin Tarantino,USA,non-animation
833,Tango & Cash,1989,Andrey Konchalovskiy,USA,non-animation
834,Death Becomes Her,1992,Robert Zemeckis,USA,non-animation
835,Shanghai Noon,2000,Tom Dey,USA,non-animation
836,Executive Decision,1996,Stuart Baird,USA,non-animation
837,Mr. Popper's Penguins,2011,Mark Waters,USA,non-animation
838,The Forbidden Kingdom,2008,Rob Minkoff,USA,non-animation
839,Free Birds,2013,Jimmy Hayward,USA,animation
840,Alien 3,1992,David Fincher,USA,non-animation
841,Evita,1996,Alan Parker,USA,non-animation
842,Ronin,1998,John Frankenheimer,UK,non-animation
843,The Ghost and the Darkness,1996,Stephen Hopkins,USA,non-animation
844,Paddington,2014,Paul King,UK,animation
845,The Watch,2012,Akiva Schaffer,USA,non-animation
846,The Hunted,2003,William Friedkin,USA,non-animation
847,Instinct,1999,Jon Turteltaub,USA,non-animation
848,Stuck on You,2003,Bobby Farrelly,USA,non-animation
849,Semi-Pro,2008,Kent Alterman,USA,non-animation
850,The Pirates! Band of Misfits,2012,Peter Lord,UK,animation
851,Changeling,2008,Clint Eastwood,USA,non-animation
852,Chain Reaction,1996,Andrew Davis,USA,non-animation
853,The Fan,1996,Tony Scott,USA,non-animation
854,The Phantom of the Opera,2004,Joel Schumacher,UK,non-animation
855,Elizabeth: The Golden Age,2007,Shekhar Kapur,UK,non-animation
856,Æon Flux,2005,Karyn Kusama,USA,non-animation
857,Gods and Generals,2003,Ron Maxwell,USA,non-animation
858,Turbulence,1997,Robert Butler,USA,non-animation
859,Imagine That,2009,Karey Kirkpatrick,USA,non-animation
860,Muppets Most Wanted,2014,James Bobin,USA,non-animation
861,Thunderbirds,2004,Jonathan Frakes,UK,non-animation
862,Burlesque,2010,Steve Antin,USA,non-animation
863,A Very Long Engagement,2004,Jean-Pierre Jeunet,France,non-animation
864,Lolita,1962,Stanley Kubrick,UK,non-animation
865,Eye See You,2002,Jim Gillespie,USA,non-animation
866,Blade II,2002,Guillermo del Toro,USA,non-animation
867,Seven Pounds,2008,Gabriele Muccino,USA,non-animation
868,Bullet to the Head,2012,Walter Hill,USA,non-animation
869,The Godfather: Part III,1990,Francis Ford Coppola,USA,non-animation
870,Elizabethtown,2005,Cameron Crowe,USA,non-animation
871,"You, Me and Dupree",2006,Anthony Russo,USA,non-animation
872,Superman II,1980,Richard Lester,USA,non-animation
873,Gigli,2003,Martin Brest,USA,non-animation
874,All the King's Men,2006,Steven Zaillian,Germany,non-animation
875,Shaft,2000,John Singleton,Germany,non-animation
876,Anastasia,1997,Don Bluth,USA,animation
877,Moulin Rouge!,2001,Baz Luhrmann,USA,non-animation
878,Domestic Disturbance,2001,Harold Becker,USA,non-animation
879,Black Mass,2015,Scott Cooper,USA,non-animation
880,Flags of Our Fathers,2006,Clint Eastwood,USA,non-animation
881,Law Abiding Citizen,2009,F. Gary Gray,USA,non-animation
882,Grindhouse,2007,Robert Rodriguez,USA,non-animation
883,Beloved,1998,Jonathan Demme,USA,non-animation
884,Lucky You,2007,Curtis Hanson,USA,non-animation
885,Catch Me If You Can,2002,Steven Spielberg,USA,non-animation
886,Zero Dark Thirty,2012,Kathryn Bigelow,USA,non-animation
887,The Break-Up,2006,Peyton Reed,USA,non-animation
888,Mamma Mia!,2008,Phyllida Lloyd,USA,non-animation
889,Valentine's Day,2010,Garry Marshall,USA,non-animation
890,The Dukes of Hazzard,2005,Jay Chandrasekhar,USA,non-animation
891,The Thin Red Line,1998,Terrence Malick,USA,non-animation
892,The Change-Up,2011,David Dobkin,USA,non-animation
893,Man on the Moon,1999,Milos Forman,UK,non-animation
894,Casino,1995,Martin Scorsese,USA,non-animation
895,From Paris with Love,2010,Pierre Morel,France,non-animation
896,Bulletproof Monk,2003,Paul Hunter,USA,non-animation
897,"Me, Myself & Irene",2000,Bobby Farrelly,USA,non-animation
898,Barnyard,2006,Steve Oedekerk,Germany,animation
899,Deck the Halls,2006,John Whitesell,USA,non-animation
900,The Twilight Saga: New Moon,2009,Chris Weitz,USA,non-animation
901,Shrek,2001,Andrew Adamson,USA,animation
902,The Adjustment Bureau,2011,George Nolfi,USA,non-animation
903,Robin Hood: Prince of Thieves,1991,Kevin Reynolds,USA,non-animation
904,Jerry Maguire,1996,Cameron Crowe,USA,non-animation
905,Ted,2012,Seth MacFarlane,USA,non-animation
906,As Good as It Gets,1997,James L. Brooks,USA,non-animation
907,Patch Adams,1998,Tom Shadyac,USA,non-animation
908,Anchorman 2: The Legend Continues,2013,Adam McKay,USA,non-animation
909,Mr. Deeds,2002,Steven Brill,USA,non-animation
910,Super 8,2011,J.J. Abrams,USA,non-animation
911,Erin Brockovich,2000,Steven Soderbergh,USA,non-animation
912,How to Lose a Guy in 10 Days,2003,Donald Petrie,USA,non-animation
913,22 Jump Street,2014,Phil Lord,USA,non-animation
914,Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,USA,non-animation
915,Yes Man,2008,Peyton Reed,USA,non-animation
916,Central Intelligence,2016,Rawson Marshall Thurber,USA,non-animation
917,Stepmom,1998,Chris Columbus,USA,non-animation
918,Daddy's Home,2015,Sean Anders,USA,non-animation
919,Into the Woods,2014,Rob Marshall,USA,non-animation
920,Inside Man,2006,Spike Lee,USA,non-animation
921,Payback,1999,Brian Helgeland,USA,non-animation
922,Congo,1995,Frank Marshall,USA,non-animation
923,We Bought a Zoo,2011,Cameron Crowe,USA,non-animation
924,Knowing,2009,Alex Proyas,USA,non-animation
925,Failure to Launch,2006,Tom Dey,USA,non-animation
926,The Ring Two,2005,Hideo Nakata,USA,non-animation
927,"Crazy, Stupid, Love.",2011,Glenn Ficarra,USA,non-animation
