,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
1941,Alexander Nübel,A. Nübel,FC Schalke 04,35,Germany,German 1. Bundesliga,
1942,André Luís Gomes Simões,André Simões,AEK Athens,8,Portugal,Rest of World,
1943,Kalvin Phillips,K. Phillips,Leeds United,23,England,English League Championship,
1944,Jarrod Bowen,J. Bowen,Hull City,20,England,English League Championship,
1945,Marius Wolf,M. Wolf,Borussia Dortmund,27,Germany,German 1. Bundesliga,
1946,颜骏凌,Yan Junling,Shanghai Port FC,1,China PR,Chinese Super League,
1947,Temitayo Olufisayo Olaoluwa Aina,O. Aina,Torino F.C.,34,Nigeria,Italian Serie A,
1948,Mason Holgate,M. Holgate,Everton,2,England,English Premier League,
1949,Percy Muzi Tau,P. Tau,Club Brugge KV,35,South Africa,Belgian Jupiler Pro League,
1950,Vincent Edouard André Koziello,V. Koziello,1. FC Köln,21,France,German 1. Bundesliga,
1951,Emiliano Daniel Velázquez Maldonado,E. Velázquez,Rayo Vallecano,20,Uruguay,Spanish Segunda División,
1952,Anuar Mohamed Tuhami,Anuar,Real Valladolid CF,8,Morocco,Spain Primera Division,
1953,Ainsley Maitland-Niles,A. Maitland-Niles,Arsenal,15,England,English Premier League,
1954,Moussa Niakhaté,M. Niakhaté,1. FSV Mainz 05,19,France,German 1. Bundesliga,
1955,Thiago Maia Alencar,Thiago Maia,LOSC Lille,20,Brazil,French Ligue 1,
1956,Denis Athanase Bouanga,D. Bouanga,AS Saint-Étienne,20,Gabon,French Ligue 1,
1957,Roger Claver Djapone Assalé,R. Assalé,BSC Young Boys,17,Côte d'Ivoire,Swiss Super League,
1958,Alejandro Sebastián Romero Gamarra,Kaku,New York Red Bulls,10,Paraguay,USA Major League Soccer,
1959,Marcus Coco,M. Coco,FC Nantes,8,France,French Ligue 1,
1960,Vincent Janssen,V. Janssen,CF Monterrey,9,Netherlands,Mexican Liga MX,
1961,Jakub Jankto,J. Jankto,U.C. Sampdoria,14,Czech Republic,Italian Serie A,
1962,南野 拓実,T. Minamino,FC Red Bull Salzburg,18,Japan,Austrian Football Bundesliga,
1963,Angelo Fulgini,A. Fulgini,Angers SCO,10,France,French Ligue 1,
1964,Sada Thioub,S. Thioub,Angers SCO,20,Senegal,French Ligue 1,
1965,Cristián Alexis Borja González,C. Borja,Sporting CP,26,Colombia,Portuguese Liga ZON SAGRES,
1966,David Matías Barbona,D. Barbona,Racing Club,11,Argentina,Argentina Primera División,
1967,Jacob Bruun Larsen,J. Larsen,Borussia Dortmund,34,Denmark,German 1. Bundesliga,
1968,Gonzalo Julián Melero Manzanares,Melero,Levante Unión Deportiva,22,Spain,Spain Primera Division,
1969,Gastón Claudio Giménez,G. Giménez,Vélez Sarsfield,30,Argentina,Argentina Primera División,
1970,Marcus Lilian Thuram-Ulien,M. Thuram,Borussia Mönchengladbach,10,France,German 1. Bundesliga,
1971,Luis Ezequiel Ávila,E. Ávila,CA Osasuna,9,Argentina,Spain Primera Division,
1972,Benjamin Henrichs,B. Henrichs,AS Monaco,39,Germany,French Ligue 1,
1973,Lucas Martínez Quarta,L. Martínez Quarta,River Plate,28,Argentina,Argentina Primera División,
1974,武藤 嘉紀,Y. Mutō,Newcastle United,13,Japan,English Premier League,
1975,Oussama Idrissi,O. Idrissi,AZ Alkmaar,11,Morocco,Holland Eredivisie,
1976,Borja Valle Balonga,Borja Valle,Deportivo de La Coruña,7,Spain,Spanish Segunda División,
1977,Karim Onisiwo,K. Onisiwo,1. FSV Mainz 05,21,Austria,German 1. Bundesliga,
1978,João Pedro Barradas Novais,João Novais,SC Braga,17,Portugal,Portuguese Liga ZON SAGRES,
1979,Michel Vlap,M. Vlap,RSC Anderlecht,10,Netherlands,Belgian Jupiler Pro League,
1980,Marko Pjaca,M. Pjaca,Juventus,36,Croatia,Italian Serie A,
1981,Mathias Jensen,M. Jensen,Brentford,8,Denmark,English League Championship,
1982,Alexandru Ionuț Mitriță,A. Mitriță,New York City FC,28,Romania,USA Major League Soccer,
1983,Tom Davies,T. Davies,Everton,26,England,English Premier League,
1984,Suat Serdar,S. Serdar,FC Schalke 04,8,Germany,German 1. Bundesliga,
1985,Falaye Sacko,F. Sacko,Vitória de Guimarães,17,Mali,Portuguese Liga ZON SAGRES,
1986,Simão Alvin Donatinho Garcia,Simão Donatinho,Cruzeiro,1,Brazil,Campeonato Brasileiro Série A,
1987,Silas Enaldo Barros de Almeida,Silas Almeim,Goiás,5,Brazil,Campeonato Brasileiro Série A,
1988,Caio Rodrigo Nunes Anjos,Caio Nunson,Goiás,3,Brazil,Campeonato Brasileiro Série A,
1989,Otávio Alberto Cairinho Monteiro,Otávio Cairinho,Internacional,4,Brazil,Campeonato Brasileiro Série A,
1990,Jorgino Silas Ruiz Prestes,Jorginhson,Goiás,6,Brazil,Campeonato Brasileiro Série A,
1991,Danilo Manuel Aldair Rochela,Dani Rochelinhas,Associação Chapecoense de Futebol,10,Brazil,Campeonato Brasileiro Série A,
1992,Kaíque Osvaldo Castro Rodrigues,Kaíquão Castro,Fluminense,1,Brazil,Campeonato Brasileiro Série A,
1993,Erick Sebastião Laforte Medeiros,Lafortiscinho,Botafogo,5,Brazil,Campeonato Brasileiro Série A,
1994,Kauê Enaldo Lima Rodrigues,Kaimo Lima,Fluminense,3,Brazil,Campeonato Brasileiro Série A,
1995,Fabrio Sandro Farinha Donatelo,Fabrio Farinha,Clube Atlético Mineiro,8,Brazil,Campeonato Brasileiro Série A,
1996,Gabriel Jairo Aníbal Rangel,Gabrisco Aníbal,Fortaleza,6,Brazil,Campeonato Brasileiro Série A,
1997,Allan Norberto Bardini Paneira,Allan Bardinho,Botafogo,10,Brazil,Campeonato Brasileiro Série A,
1998,José Emerson Mirazar Coelho,José Mirazar,Grêmio,7,Brazil,Campeonato Brasileiro Série A,
1999,Ailton Sérgio Guevara Muscato,Ailton Guevara,Centro Sportivo Alagoano,10,Brazil,Campeonato Brasileiro Série A,
2000,Adilson Patrick Edrada Pereira,Adilson Edrada,Santos,7,Brazil,Campeonato Brasileiro Série A,
2001,Nicholas Júlio Aldair Leal,Nicholas Aldair,Fluminense,9,Brazil,Campeonato Brasileiro Série A,
2002,Amadou Diawara,A. Diawara,Roma,16,Guinea,Italian Serie A,
2003,Renato Júnior Luz Sanches,Renato Sanches,FC Bayern München,35,Portugal,German 1. Bundesliga,
2004,Ádám Nagy,Á. Nagy,Bristol City,4,Hungary,English League Championship,
2005,Filip Krovinović,F. Krovinović,West Bromwich Albion,7,Croatia,English League Championship,
2006,Jhon Janer Lucumí Bonilla,J. Lucumi,KRC Genk,33,Colombia,Belgian Jupiler Pro League,
2007,Kelvin Amian Adou,K. Amian,Toulouse Football Club,2,France,French Ligue 1,
2008,Adam Ounas,A. Ounas,Napoli,11,Algeria,Italian Serie A,
2009,Gonzalo Ariel Montiel,G. Montiel,River Plate,29,Argentina,Argentina Primera División,
2010,Joris Gnagnon,J. Gnagnon,Sevilla FC,15,France,Spain Primera Division,
2011,Dodi Lukébakio,D. Lukébakio,Hertha BSC,28,Belgium,German 1. Bundesliga,
2012,João Miguel Macedo da Silva,Miguel Silva,Vitória de Guimarães,56,Portugal,Portuguese Liga ZON SAGRES,
2013,Landry Nany Dimata,L. Dimata,RSC Anderlecht,9,Belgium,Belgian Jupiler Pro League,
2014,Yann Dorgelès Isaac Karamoh,Y. Karamoh,Parma,7,France,Italian Serie A,
2015,Saman Ghoddos,S. Ghoddos,Amiens SC,7,Iran,French Ligue 1,
2016,Ohis Felix Uduokhai,F. Uduokhai,VfL Wolfsburg,17,Germany,German 1. Bundesliga,
2017,Federico Ricca Rostagnol,F. Ricca,Club Brugge KV,18,Uruguay,Belgian Jupiler Pro League,
2018,Bernardo Fernandes da Silva Junior,Bernardo,Brighton & Hove Albion,30,Brazil,English Premier League,
2019,昌子 源,G. Shoji,Toulouse Football Club,3,Japan,French Ligue 1,
2020,伊东 纯也,J. Ito,KRC Genk,7,Japan,Belgian Jupiler Pro League,
2021,Mason Mount,M. Mount,Chelsea,19,England,English Premier League,
2022,Rémi Oudin,R. Oudin,Stade de Reims,18,France,French Ligue 1,
2023,Dean Henderson,D. Henderson,Sheffield United,1,England,English Premier League,
2024,Miha Zajc,M. Zajc,Fenerbahçe SK,21,Slovenia,Turkish Süper Lig,
2025,Ionuţ Andrei Radu,I. Radu,Genoa,97,Romania,Italian Serie A,
2026,Luiz de Araujo Guimarães Neto,Luiz Araújo,LOSC Lille,11,Brazil,French Ligue 1,
2027,Marcos do Nascimento Teixeira,Marcão,Galatasaray SK,45,Brazil,Turkish Süper Lig,
2028,José Diogo Dalot Teixeira,Diogo Dalot,Manchester United,20,Portugal,English Premier League,
2029,Harvey Lewis Barnes,H. Barnes,Leicester City,19,England,English Premier League,
2030,Konstantinos Laifis,K. Laifis,Standard de Liège,34,Cyprus,Belgian Jupiler Pro League,
2031,Florian Müller,F. Müller,1. FSV Mainz 05,1,Germany,German 1. Bundesliga,
2032,Christian Fassnacht,C. Fassnacht,BSC Young Boys,16,Switzerland,Swiss Super League,
2033,Panagiotis Retsos,P. Retsos,Bayer 04 Leverkusen,3,Greece,German 1. Bundesliga,
2034,Dylan Daniel Mahmoud Bronn,D. Bronn,KAA Gent,28,Tunisia,Belgian Jupiler Pro League,
2035,Ghislain Konan,G. Konan,Stade de Reims,3,Côte d'Ivoire,French Ligue 1,
2036,Guus Berend Til,G. Til,Spartak Moskva,8,Netherlands,Rest of World,
2037,Christian Michael Kouamé Kouakou,C. Kouamé,Genoa,11,Côte d'Ivoire,Italian Serie A,
2038,Kouassi Ryan Sessegnon,R. Sessegnon,Tottenham Hotspur,19,England,English Premier League,
2039,Francisco José Beltrán Peinado,Fran Beltrán,RC Celta de Vigo,8,Spain,Spain Primera Division,
2040,Darko Brašanac,D. Brašanac,CA Osasuna,20,Serbia,Spain Primera Division,
2041,Alberth Josué Elis Martínez,A. Elis,Houston Dynamo,17,Honduras,USA Major League Soccer,
2042,Marko Rog,M. Rog,Cagliari,6,Croatia,Italian Serie A,
2043,Erick Cathriel Cabaco Almada,E. Cabaco,Levante Unión Deportiva,18,Uruguay,Spain Primera Division,
2044,Yves Bissouma,Y. Bissouma,Brighton & Hove Albion,8,Mali,English Premier League,
2045,Mattéo Elias Kenzo Guendouzi Olié,M. Guendouzi,Arsenal,29,France,English Premier League,
2046,Calvin Stengs,C. Stengs,AZ Alkmaar,7,Netherlands,Holland Eredivisie,
2047,Justin Kluivert,J. Kluivert,Roma,34,Netherlands,Italian Serie A,
2048,Boubacar Bernard Kamara,B. Kamara,Olympique de Marseille,4,France,French Ligue 1,
2049,Juan Camilo Hernández Suárez,J. Hernández,Watford,38,Colombia,English Premier League,
2050,Samuel Kalu Ojim,S. Kalu,FC Girondins de Bordeaux,10,Nigeria,French Ligue 1,
2051,Omar Maher Khribin,O. Kharbin,Al Hilal,77,Syria,Saudi Abdul L. Jameel League,
2052,Rodrigo Alves Soares,Rodrigo,PAOK,2,Brazil,Rest of World,
2053,Nicolás Martín Domínguez,N. Domínguez,Vélez Sarsfield,8,Argentina,Argentina Primera División,
2054,Florin Constantin Niţă,F. Niță,AC Sparta Praha,1,Romania,Czech Republic Gambrinus Liga,
2055,Krépin Diatta,K. Diatta,Club Brugge KV,11,Senegal,Belgian Jupiler Pro League,
2056,Bruno Vinícius Souza Ramos,Bruno Tabata,Portimonense SC,10,Brazil,Portuguese Liga ZON SAGRES,
2057,Emmanuel Bonaventure Dennis,E. Dennis,Club Brugge KV,42,Nigeria,Belgian Jupiler Pro League,
2058,Marc Cucurella Saseta,Cucurella,Getafe CF,15,Spain,Spain Primera Division,
2059,Vasilis Cornelius Barkas,V. Barkas,AEK Athens,1,Greece,Rest of World,
2060,Alfa Semedo Esteves,Alfa Semedo,Nottingham Forest,17,Guinea Bissau,English League Championship,
2061,Pierre Kunde Malong,K. Malong,1. FSV Mainz 05,14,Cameroon,German 1. Bundesliga,
2062,Cláudio Falcão Santos,Cláudio Falcão,Desportivo das Aves,29,Brazil,Portuguese Liga ZON SAGRES,
2063,Marcelo Josemir Saracchi Pintos,M. Saracchi,RB Leipzig,3,Uruguay,German 1. Bundesliga,
2064,Luis Fernando Díaz Marulanda,L. Díaz,FC Porto,7,Colombia,Portuguese Liga ZON SAGRES,
2065,Sandro Tonali,S. Tonali,Brescia,4,Italy,Italian Serie A,
2066,Ferrán Torres García,Ferrán Torres,Valencia CF,20,Spain,Spain Primera Division,
2067,Manuel Javier Vallejo Galván,Manu Vallejo,Valencia CF,2,Spain,Spain Primera Division,
2068,Rafael Alexandre Conceição Leão,Rafael Leão,AC Milan,17,Portugal,Italian Serie A,
2069,Martín Aguirregabiria Padilla,Martín,Deportivo Alavés,21,Spain,Spain Primera Division,
2070,Tiago Magalhães de Sá,Tiago Sá,SC Braga,12,Portugal,Portuguese Liga ZON SAGRES,
2071,Luis Milla Manzanares,Luis Milla,CD Tenerife,6,Spain,Spanish Segunda División,
2072,Lukáš Masopust,L. Masopust,SK Slavia Praha,28,Czech Republic,Czech Republic Gambrinus Liga,
2073,Jovane Eduardo Borges Cabral,Jovane Cabral,Sporting CP,77,Cape Verde Islands,Portuguese Liga ZON SAGRES,
2074,Ivan Šunjić,I. Šunjić,Birmingham City,34,Croatia,English League Championship,
2075,Vitaliy Buyalskyi,V. Buyalskyi,Dynamo Kyiv,29,Ukraine,Rest of World,
2076,Mykyta Burda,M. Burda,Dynamo Kyiv,26,Ukraine,Rest of World,
2077,Léandre Geal Tawamba Kana,L. Tawamba,Al Taawoun,3,Cameroon,Saudi Abdul L. Jameel League,
2078,Ivanildo Jorge Mendes Fernandes,Ivanildo Fernandes,Trabzonspor,14,Portugal,Turkish Süper Lig,
2079,Felipe Dias da Silva dal Belo,Felipe,SPAL,27,Brazil,Italian Serie A,
2080,Ricardo José Vaz Alves Monteiro,Tarantini,Rio Ave FC,8,Portugal,Portuguese Liga ZON SAGRES,
2081,Raphaël Nuzzolo,R. Nuzzolo,Neuchâtel Xamax FCS,14,Switzerland,Swiss Super League,
2082,Ricardo Miguel Moreira da Costa,Ricardo Costa,Boavista FC,22,Portugal,Portuguese Liga ZON SAGRES,
2083,Ludovic Butelle,L. Butelle,Angers SCO,16,France,French Ligue 1,
2084,Yohann Pelé,Y. Pelé,Olympique de Marseille,16,France,French Ligue 1,
2085,Maximiliano Rubén Rodríguez,M. Rodríguez,Newell's Old Boys,11,Argentina,Argentina Primera División,
2086,Diego Orlando Benaglio,D. Benaglio,AS Monaco,16,Switzerland,French Ligue 1,
2087,Roman Hubník,R. Hubník,FC Viktoria Plzeň,4,Czech Republic,Czech Republic Gambrinus Liga,
2088,Fernando Daniel Belluschi,F. Belluschi,San Lorenzo de Almagro,16,Argentina,Argentina Primera División,
2089,Daniel Giménez Hernández,Dani Giménez,Deportivo de La Coruña,1,Spain,Spanish Segunda División,
2090,Christian Maggio,C. Maggio,Benevento,11,Italy,Italian Serie B,
2091,Francesco Magnanelli,F. Magnanelli,U.S. Sassuolo Calcio,4,Italy,Italian Serie A,
2092,Romain Jules Salin,R. Salin,Stade Rennais FC,1,France,French Ligue 1,
2093,Steven Davis,S. Davis,Rangers FC,10,Northern Ireland,Scottish Premiership,
2094,Aaron Lennon,A. Lennon,Burnley,25,England,English Premier League,
2095,Alfredo Talavera Díaz,A. Talavera,Deportivo Toluca,1,Mexico,Mexican Liga MX,
2096,Ibrahim Afellay,I. Afellay,PSV,17,Netherlands,Holland Eredivisie,
2097,Oribe Peralta Morones,O. Peralta,Club Deportivo Guadalajara,24,Mexico,Mexican Liga MX,
2098,Willem Marco Janssen,W. Janssen,FC Utrecht,14,Netherlands,Holland Eredivisie,
2099,Gökhan İnler,G. İnler,İstanbul Başakşehir FK,88,Switzerland,Turkish Süper Lig,
2100,Pirmin Schwegler,P. Schwegler,Western Sydney Wanderers,19,Switzerland,Australian Hyundai A-League,
2101,José Manuel Jurado Marín,Jurado,Cádiz CF,18,Spain,Spanish Segunda División,
2102,Daniele Padelli,D. Padelli,Inter,27,Italy,Italian Serie A,
2103,Billy Sharp,B. Sharp,Sheffield United,10,England,English Premier League,
2104,David Limberský,D. Limberský,FC Viktoria Plzeň,8,Czech Republic,Czech Republic Gambrinus Liga,
2105,Curtis Davies,C. Davies,Derby County,33,England,English League Championship,
2106,Sebastian Bengt Ulf Larsson,S. Larsson,AIK,7,Sweden,Swedish Allsvenskan,
2107,Stéphane M'Bia Etoundi,S. M'Bia,Wuhan FC,25,Cameroon,Chinese Super League,
2108,Ron Peter Vlaar,R. Vlaar,AZ Alkmaar,4,Netherlands,Holland Eredivisie,
2109,Scott Sinclair,S. Sinclair,Celtic,11,England,Scottish Premiership,
2110,Shane Patrick Long,S. Long,Southampton,7,Republic of Ireland,English Premier League,
2111,Andreas Ulmer,A. Ulmer,FC Red Bull Salzburg,17,Austria,Austrian Football Bundesliga,
2112,Felix Bastians,F. Bastians,Tianjin Jinmen Tiger FC,15,Germany,Chinese Super League,
2113,Paul Nicolás Aguilar Rojas,P. Aguilar,Club América,22,Mexico,Mexican Liga MX,
2114,Pablo Nicolás Mouche,P. Mouche,Colo-Colo,15,Argentina,Chilian Campeonato Nacional,
2115,Moussa Sow,M. Sow,Gazişehir Gaziantep F.K.,78,Senegal,Turkish Süper Lig,
2116,Perparim Hetemaj,P. Hetemaj,Chievo Verona,21,Finland,Italian Serie B,
2117,José Ángel Crespo Rincón,Crespo,PAOK,15,Spain,Rest of World,
2118,Keiren Westwood,K. Westwood,Sheffield Wednesday,1,Republic of Ireland,English League Championship,
2119,Óscar Guido Trejo,Ó. Trejo,Rayo Vallecano,8,Argentina,Spanish Segunda División,
2120,Luca Cigarini,L. Cigarini,Cagliari,8,Italy,Italian Serie A,
2121,Luca Antonelli,L. Antonelli,Empoli,13,Italy,Italian Serie B,
2122,José Luis Sanmartín Mato,Joselu,Deportivo Alavés,9,Spain,Spain Primera Division,
2123,Mariano Gonzalo Andújar,M. Andújar,Estudiantes de La Plata,21,Argentina,Argentina Primera División,
2124,Wanderson Souza Carneiro,Baiano,Aytemiz Alanyaspor,14,Brazil,Turkish Süper Lig,
2125,Kaiansu Kei Kamara,K. Kamara,Colorado Rapids,23,Sierra Leone,USA Major League Soccer,
2126,Mevlüt Erdinç,M. Erdinç,İstanbul Başakşehir FK,30,Turkey,Turkish Süper Lig,
2127,Simone Missiroli,S. Missiroli,SPAL,7,Italy,Italian Serie A,
2128,Federico Rafael González,F. González,Estudiantes de La Plata,9,Argentina,Argentina Primera División,
2129,Bojan Krkić Pérez,Bojan,Club de Foot Montréal,9,Spain,USA Major League Soccer,
2130,Nuno Miguel Prata Coelho,Nuno Coelho,Belenenses SAD,66,Portugal,Portuguese Liga ZON SAGRES,
2131,Tore Reginiussen,T. Reginiussen,Rosenborg BK,4,Norway,Norwegian Eliteserien,
2132,Haris Medunjanin,H. Medunjanin,Philadelphia Union,6,Bosnia and Herzegovina,USA Major League Soccer,
2133,Gustav Svensson,G. Svensson,Seattle Sounders FC,4,Sweden,USA Major League Soccer,
2134,Tobias Sippel,T. Sippel,Borussia Mönchengladbach,21,Germany,German 1. Bundesliga,
2135,Nicolás Santiago Bertolo,N. Bertolo,Club Atlético Banfield,8,Argentina,Argentina Primera División,
2136,Gaëtan Bong Songo,G. Bong,Brighton & Hove Albion,3,Cameroon,English Premier League,
2137,Kamil Grosicki,K. Grosicki,Hull City,11,Poland,English League Championship,
2138,Abel Enrique Aguilar Tapia,A. Aguilar,Club Unión Magdalena S.A,14,Colombia,Colombian Liga Postobón,
2139,Paul Baysse,P. Baysse,FC Girondins de Bordeaux,43,France,French Ligue 1,
2140,Lucas Deaux,L. Deaux,En Avant de Guingamp,8,France,French Ligue 2,
2141,Lazaros Christodoulopoulos,L. Christodoulopoulos,Olympiacos CFP,77,Greece,Rest of World,
2142,Olívio Da Rosa,Ivo,Henan Songshan Longmen FC,29,Brazil,Chinese Super League,
2143,Scott Harry Nathaniel Arfield,S. Arfield,Rangers FC,37,Canada,Scottish Premiership,
2144,Adrián González Morales,Adrián González,Málaga CF,8,Spain,Spanish Segunda División,
2145,Rouwen Hennings,R. Hennings,Fortuna Düsseldorf,28,Germany,German 1. Bundesliga,
2146,Luis Robles,L. Robles,New York Red Bulls,31,United States,USA Major League Soccer,
2147,Cristian Chagas Tarouco,Titi,Göztepe SK,4,Brazil,Turkish Süper Lig,
2148,Oier Olazábal Paredes,Oier,Levante Unión Deportiva,1,Spain,Spain Primera Division,
2149,Henri Saivet,H. Saivet,Newcastle United,28,Senegal,English Premier League,
2150,Aurélien Bayard Chedjou Fongang,A. Chedjou,İstanbul Başakşehir FK,22,Cameroon,Turkish Süper Lig,
2151,Fabian Frei,F. Frei,FC Basel 1893,20,Switzerland,Swiss Super League,
2152,Barry Ryan Bannan,B. Bannan,Sheffield Wednesday,10,Scotland,English League Championship,
2153,Andreas Bjelland,A. Bjelland,F.C. København,5,Denmark,Danish Superliga,
2154,Nicolai Müller,N. Müller,Eintracht Frankfurt,27,Germany,German 1. Bundesliga,
2155,Jonathan Ludovic Biabiany,J. Biabiany,Parma,77,France,Italian Serie A,
2156,Sergio Tejera Rodríguez,Sergio Tejera,Real Oviedo,20,Spain,Spanish Segunda División,
2157,Harry Nicholas Arter,H. Arter,Fulham,18,Republic of Ireland,English League Championship,
2158,Fábio José Ferreira Pacheco,Fábio Pacheco,Moreirense FC,6,Portugal,Portuguese Liga ZON SAGRES,
2159,Johnny Russell,J. Russell,Sporting Kansas City,7,Scotland,USA Major League Soccer,
2160,Yoel Rodríguez Oterino,Yoel,SD Eibar,13,Spain,Spain Primera Division,
2161,James Chester,J. Chester,Aston Villa,5,Wales,English Premier League,
2162,Jan-Arie van der Heijden,J. van der Heijden,Feyenoord,6,Netherlands,Holland Eredivisie,
2163,Fernando Navarro Morán,F. Navarro,Club León,5,Mexico,Mexican Liga MX,
2164,Bruno Ferreira Bonfim,Dentinho,Shakhtar Donetsk,9,Brazil,Rest of World,
2165,Gustavo Matías Alustiza,M. Alustiza,Puebla FC,11,Argentina,Mexican Liga MX,
2166,Ángel Montoro Sánchez,Montoro,Granada CF,19,Spain,Spain Primera Division,
2167,Rafik Halliche,R. Halliche,Moreirense FC,23,Algeria,Portuguese Liga ZON SAGRES,
2168,Jesús Alberto Dueñas Manzo,J. Dueñas,Tigres U.A.N.L.,29,Mexico,Mexican Liga MX,
2169,Sean Morrison,S. Morrison,Cardiff City,4,England,English League Championship,
2170,Aatif Chahechouhe,A. Chahechouhe,Antalyaspor,92,Morocco,Turkish Süper Lig,
2171,Juan Francisco Moreno Fuertes,Juanfran,Aytemiz Alanyaspor,24,Spain,Turkish Süper Lig,
2172,Leon Aderemi Balogun,L. Balogun,Brighton & Hove Albion,14,Nigeria,English Premier League,
2173,Bruno Écuélé Manga,B. Ecuélé Manga,Dijon FCO,25,Gabon,French Ligue 1,
2174,Thomas Kaminski,T. Kaminski,KAA Gent,1,Belgium,Belgian Jupiler Pro League,
2175,Benoît Guy Jean Poulain,B. Poulain,Yukatel Kayserispor,6,France,Turkish Süper Lig,
2176,Mirko Valdifiori,M. Valdifiori,SPAL,16,Italy,Italian Serie A,
2177,Alfred John Momar N'Diaye,A. N'Diaye,Málaga CF,21,Senegal,Spanish Segunda División,
2178,Alejandro Bergantiños García,Alex Bergantiños,Deportivo de La Coruña,4,Spain,Spanish Segunda División,
2179,Eloy Victor Room,E. Room,Columbus Crew,1,Curacao,USA Major League Soccer,
2180,Ryan Jack,R. Jack,Rangers FC,8,Scotland,Scottish Premiership,
2181,Bruno Fornaroli Mezza,B. Fornaroli,Perth Glory,10,Uruguay,Australian Hyundai A-League,
2182,Marcel Risse,M. Risse,1. FC Köln,7,Germany,German 1. Bundesliga,
2183,Dennis Diekmeier,D. Diekmeier,SV Sandhausen,18,Germany,German 2. Bundesliga,
2184,Liam Cooper,L. Cooper,Leeds United,6,Scotland,English League Championship,
2185,David Junior Hoilett,J. Hoilett,Cardiff City,33,Canada,English League Championship,
2186,Mehmet Ekici,M. Ekici,Fenerbahçe SK,8,Turkey,Turkish Süper Lig,
2187,Josef Hušbauer,J. Hušbauer,SK Slavia Praha,10,Czech Republic,Czech Republic Gambrinus Liga,
2188,Pedro Alcalá Guirado,Alcalá,Girona FC,5,Spain,Spanish Segunda División,
2189,Mikel Balenziaga Oruesagasti,Balenziaga,Athletic Club de Bilbao,24,Spain,Spain Primera Division,
2190,Stoppila Sunzu,S. Sunzu,FC Metz,13,Zambia,French Ligue 1,
2191,Miguel Alfonso Herrero Javaloyas,Míchel,Real Valladolid CF,21,Spain,Spain Primera Division,
2192,Osvaldo David Martínez Arce,O. Martínez,Club Atlas,10,Paraguay,Mexican Liga MX,
2193,Pedro Antonio Sánchez Moñino,Pedro Sánchez,Deportivo de La Coruña,15,Spain,Spanish Segunda División,
2194,Ike Opara,I. Opara,Minnesota United FC,3,United States,USA Major League Soccer,
2195,Matías Nicolás Caruzzo,M. Caruzzo,Rosario Central,2,Argentina,Argentina Primera División,
2196,Marco Silvestri,M. Silvestri,Hellas Verona,1,Italy,Italian Serie A,
2197,Sandro Raniere Guimarães Cordeiro,Sandro,Genoa,31,Brazil,Italian Serie A,
2198,Celso Borges Mora,C. Borges,Göztepe SK,6,Costa Rica,Turkish Süper Lig,
2199,Peter Pekarík,P. Pekarík,Hertha BSC,2,Slovakia,German 1. Bundesliga,
2200,Gökhan Töre,G. Töre,Yeni Malatyaspor,4,Turkey,Turkish Süper Lig,
2201,Samba Sow,S. Sow,Nottingham Forest,21,Mali,English League Championship,
2202,Alejandro Bedoya,A. Bedoya,Philadelphia Union,11,United States,USA Major League Soccer,
2203,Sébastien Corchia,S. Corchia,Sevilla FC,2,France,Spain Primera Division,
2204,José Antonio Rodríguez Romero,J. Rodríguez,Club Deportivo Guadalajara,4,Mexico,Mexican Liga MX,
2205,Georgiy Schennikov,G. Schennikov,PFC CSKA Moscow,42,Russia,Rest of World,
2206,Bo Niklas Hult,N. Hult,AEK Athens,23,Sweden,Rest of World,
2207,Ludovic Lamine Sané,L. Sané,Orlando City Soccer Club,22,Senegal,USA Major League Soccer,
2208,Renato Ribeiro Calixto Aguiar,Renatinho,Tianjin Quanjian FC,11,Brazil,Chinese Super League,
2209,Fabián Andrés Rinaudo,F. Rinaudo,Rosario Central,21,Argentina,Argentina Primera División,
2210,Milton Joel Caraglio,M. Caraglio,Cruz Azul,9,Argentina,Mexican Liga MX,
2211,Rafael Cabral Barbosa,Rafael,Reading,33,Brazil,English League Championship,
2212,Enda Stevens,E. Stevens,Sheffield United,3,Republic of Ireland,English Premier League,
2213,Fabian Klos,F. Klos,DSC Arminia Bielefeld,9,Germany,German 2. Bundesliga,
2214,Allan Roméo Nyom,A. Nyom,Getafe CF,12,Cameroon,Spain Primera Division,
2215,Marvin Zeegelaar,M. Zeegelaar,Watford,39,Netherlands,English Premier League,
2216,Christian Clemens,C. Clemens,1. FC Köln,17,Germany,German 1. Bundesliga,
2217,Jens Stryger Larsen,J. Larsen,Udinese Calcio,19,Denmark,Italian Serie A,
2218,Joel Chukwuma Obi,J. Obi,Chievo Verona,4,Nigeria,Italian Serie B,
2219,Diafra Sakho,D. Sakho,Stade Rennais FC,25,Senegal,French Ligue 1,
2220,Conor Hourihane,C. Hourihane,Aston Villa,14,Republic of Ireland,English Premier League,
2221,Filip Đuričić,F. Đuričić,U.S. Sassuolo Calcio,10,Serbia,Italian Serie A,
2222,Jano Ananidze,J. Ananidze,Spartak Moskva,49,Georgia,Rest of World,
2223,Daniel Sánchez Ayala,Daniel Ayala,Middlesbrough,4,Spain,English League Championship,
2224,Stefan Ilsanker,S. Ilsanker,RB Leipzig,13,Austria,German 1. Bundesliga,
