,index,common_entity,entity1,entity2
672,2127,cliff richard,if you walked away,1976
673,28102,snoop dogg,still a g thang,2017
674,17280,judy garland,after you've gone,1955
675,11530,honeybrowne,take me home country roads,2006
676,3766,tom petty and the heartbreakers,out in the cold,1991
677,24358,the police,walking on the moon,1979
678,27983,rahn harper,earnings,2016
679,2944,new order,we all stand,1983
680,21499,ub40,the buzz feeling,1985
681,24848,mötley crüe,fight for your rights,1985
682,9041,dan fogelberg,beggar's game,1979
683,19863,cantoma,the call,2005
684,17922,david axelrod,the signs part i,1970
685,3485,screeching weasel,supermarket fantasy,1988
686,23288,babe rainbow,peace blossom boogy,2017
687,6229,kyle,sex & super smash bros.,2013
688,2419,donna summer,one night in a lifetime,1979
689,374,sam cooke,good times,1960
690,18113,"earth, wind & fire",build your nest,1973
691,15161,chris duarte,big-legged woman,1994
692,7809,merle haggard,you don't have far to go,1965
693,6120,brad knauber,don't mine at night,2012
694,27677,thundamentals,i hip hop,2009
695,25546,mötley crüe,power to the music,1994
696,12387,brett young,chapters,2018
697,24978,slayer,raining blood,1986
698,24869,megadeth,chosen ones,1985
699,12203,zac brown band,young and wild,2015
700,7173,patsy cline,in care of the blues,1957
701,3559,new order,all the way,1989
702,5260,jimmy eat world,pain,2004
703,27157,greensky bluegrass,past my prime,2016
704,12229,cody johnson,billy's brother,2016
705,22311,seeed,love is the queen,2003
706,16266,jj grey & mofro,georgia warhorse,2010
707,22120,sanchez,the christian life,1999
708,2805,social distortion,all the answers,1982
709,14960,billie holiday,prelude to a kiss,1991
710,24273,england dan,broken hearted me,1978
711,25467,ministry,just one fix,1992
712,4607,juvenile,gone ride with me,1998
713,18324,art farmer,chanson,1977
714,26633,enjoy,i've wasted so much time,2010
715,21081,bob marley & the wailers,concrete jungle,1973
716,27883,lil wayne,welcome to tha concrete jungle,2014
717,18434,ray barretto,pastime paradise,1979
718,13217,otis redding,are you lonely for me baby,1967
719,28210,lndn drgs,hop out (feat. curren$y),2018
720,2893,the the,the sinking feeling,1983
721,20465,tesseract,of mind,2013
722,3580,new order,dream attack,1989
723,5105,yellowcard,"one year, six months",2003
724,26292,crossfade,the deep end,2004
725,28002,boosie badazz,window of my eyes,2017
726,18140,joe henderson,water,1974
727,7437,stonewall jackson,second choice,1962
728,20305,terrace martin,do it again,2011
729,24893,dire straits,so far away,1985
730,28145,kelly rowland,wonderful christmas time,2017
731,12386,kelsea ballerini,legends,2018
732,7099,marah,counting the days,1954
733,12245,aaron lewis,stuck in these shoes,2016
734,1094,the beach boys,gettin' hungry (mono),1967
735,6559,shawn mendes,never be alone,2015
736,18576,sonny stitt,sunset,1982
737,1686,seals and crofts,hummingbird,1972
738,619,the shirelles,putty in your hands,1962
739,16576,fantastic negrito,nobody makes money,2014
740,11001,gillian welch,i'm not afraid to die,1998
741,27889,lil wayne,they still like me,2014
742,15978,robert plant,please read the letter,2007
743,11998,dierks bentley,breathe you in,2012
744,26596,the bravery,hatef--k,2009
745,10747,travis tritt,only you (and you alone),1995
746,4512,mary j. blige,it's on,1997
747,21476,black uhuru,try it,1984
748,20597,native construct,the spark of the archon,2015
749,22434,warrior king,jah is always there,2005
750,4389,soul coughing,soft serve,1996
751,10502,uncle tupelo,fifteen keys,1993
752,12296,the band steele,sit awhile,2017
753,2870,oingo boingo,sweat,1983
754,13551,j.j. cale,everything will be alright,1972
755,11643,brad paisley,when we all get to heaven,2007
756,14760,traveling wilburys,congratulations,1988
757,8190,johnny cash,flowers on the wall,1968
758,2015,steve harley,make me smile (come up and see me),1975
759,16459,night beats,outta mind,2013
760,127,the chordettes,love never changes,1957
761,25858,metallica,crash course in brain surgery,1998
762,12966,aretha franklin,i'm sitting on top of the world,1962
763,25531,billy joel,the river of dreams,1993
764,18550,brick,right back,1981
765,15810,black rebel motorcycle club,the line,2005
766,11647,merle haggard,it's not love (but it's not bad),2007
767,7610,conway twitty,what am i living for,1963
768,14100,billie holiday,i'm gonna lock my heart (and throw away the key),1980
769,11817,josh abbott band,all of a sudden,2010
770,26374,priestess,lay down,2006
771,14926,screamin' jay hawkins,you ain't foolin' me,1991
772,24572,judas priest,bloodstone,1982
773,14891,gary moore,texas strut,1990
774,15038,bessie smith,blue spirit blues,1993
775,25075,george harrison,when we was fab,1987
776,19237,the mills brothers,tiger rag,1995
777,28062,busta rhymes,there's not a problem my squad can't fix,2017
778,2714,orchestral manoeuvres in the dark,she's leaving,1981
779,3409,pixies,i've been tired,1987
780,24168,billy joel,get it right the first time,1977
781,14584,nazareth,one from the heart,1986
782,21250,capital letters,out of africa,1979
783,11729,the felice brothers,frankie's gun!,2008
784,5645,francesca battistelli,free to be me,2008
785,7061,lester flatt,gone home,1951
786,2905,paul simon,song about the moon,1983
787,22403,the expendables,bridges burned,2004
788,5892,kevin rudolf,i made it (cash money heroes),2010
789,22975,ballyhoo!,a lesson in gravity,2013
790,3600,lisa stansfield,this is the right time,1989
791,5164,blink-182,violence,2003
792,11119,terri clark,no fear,2000
793,18458,ronnie laws,tomorrow,1980
794,25313,soundgarden,room a thousand years wide,1991
795,8589,richard thompson,we sing hallelujah,1974
796,24128,bob seger,lookin' back,1976
797,25848,system of a down,suite-pee,1998
798,1002,nancy sinatra,flowers on the wall,1966
799,16587,scott h. biram,jack of diamonds,2014
800,20598,nujabes,luv (sic) pt4 lastorder remix,2015
801,21717,shabba ranks,ram dancehall,1991
802,22946,matisyahu,i believe in love,2012
803,8211,merle haggard,i'm free,1969
804,24198,jimmy buffett,lovely cruise,1977
805,4525,mary j. blige,everything,1997
806,27868,nate millyunz,adrenaline,2013
807,8728,loretta lynn,feelins',1975
808,414,frankie avalon,i'll wait for you,1960
809,16776,robert randolph & the family band,got soul,2016
810,2148,boz scaggs,hard times,1977
811,9661,dolly parton,"i can't help myself (sugar pie, honey bunch)",1984
812,17193,thelonious monk,let's call this,1954
813,7942,hank williams,a house without love,1966
814,11498,kenny chesney,guitars and tiki bars,2005
815,447,johnny burnette,mona lisa,1961
816,9610,blackfoot,summer days,1984
817,16129,sonic youth,sacred trickster,2009
818,8988,hank williams,take these chains from my heart,1978
819,2508,siouxsie and the banshees,red light,1980
820,26287,seether,out of my way,2004
821,13698,"bobby ""blue"" bland",ain't no love in the heart of the city,1974
822,11925,thompson square,glass,2011
823,19388,hieroglyphics,intro,1998
824,11994,carrie underwood,thank god for hometowns,2012
825,16861,coco montoya,before the bullets fly,2017
826,5280,sugarland,something more,2004
827,810,judy collins,"turn, turn, turn! / to everything there is a season",1964
828,17618,stan getz,her,1962
829,25005,journey,positive touch,1986
830,2453,blondie,atomic,1979
831,8449,waylon jennings,sweet dream woman,1972
832,6706,lady gaga,million reasons,2016
833,25429,l7,pretend we're dead,1992
834,10430,lee greenwood,god bless america,1992
835,20567,zaz,champs-elysées,2014
836,15470,magic sam,21 days in jail,2001
837,24775,queen,it's a hard life,1984
838,27715,rob base,it takes two (re-recorded),2010
839,24941,genesis,throwing it all away,1986
840,9611,emmylou harris,someone like you,1984
841,16012,indigenous,should i stay,2008
842,15861,left lane cruiser,big mama,2006
843,9359,"hank williams, jr.",how's my ex treating you,1981
844,622,roy orbison,summer song,1962
845,3443,when in rome,heaven knows,1988
846,3616,galaxie 500,isn't it a pity,1989
847,5182,stacie orrico,(there's gotta be) more to life,2003
848,27688,"royce da 5'9""",on the run,2009
849,5798,anarbor,you and i,2009
850,11076,montgomery gentry,tattoos & scars,1999
851,5771,uncle kracker,good to be me (feat. kid rock),2009
852,23188,michael franti & spearhead,still standing,2016
853,13236,ella fitzgerald,it came upon a midnight clear,1967
854,9248,"crosby, stills & nash",first things first,1980
855,10847,son volt,caryatid easy,1997
856,22927,matisyahu,searchin,2012
857,16099,eagles of death metal,heart on,2008
858,18931,joe sample,leading me back to you,1989
859,19470,michael franks,every time she whispers,1999
860,11837,trace adkins,this ain't no love song,2010
861,21011,the hippy boys,moon walk,1969
862,26076,eels,fresh feeling,2001
863,390,dion & the belmonts,i'm through with love,1960
864,13802,thin lizzy,massacre,1976
865,15140,blues traveler,"the good, the bad and the ugly",1994
866,17075,thee oh sees,fu xi,2019
867,10069,rodney crowell,after all this time,1988
868,19274,jack jones,lollipops and roses,1995
869,22916,konshens,on your face,2012
870,23508,the big bopper,someone watching over you,1958
871,101,groovie ghoulies,blood beach,1957
872,13745,bonnie raitt,my first night alone without you,1975
873,25968,deftones,pink maggit,2000
874,24462,black sabbath,lady evil,1980
875,14775,phish,timber,1988
876,17588,nat king cole,buon natale (means merry christmas to you),1962
877,17350,nat king cole,stella by starlight,1956
878,8866,willie nelson,i want to be with you always,1977
879,7577,willie nelson,lonely little mansion,1963
880,1913,bay city rollers,saturday night,1974
881,20500,dj harrison,erykah’s gun,2014
882,3116,inxs,good + bad times,1985
883,18274,average white band,soul searching,1976
884,6762,khalid,winter,2017
885,2986,violent femmes,to the kill,1983
886,8274,derek & the dominos,bell bottom blues,1970
887,5841,adam lambert,if i had you,2009
888,11631,ryan adams,two,2007
889,11820,zac brown band,colder weather (feat. little big town),2010
890,21450,jah shaka,help,1984
891,6308,drake,too much,2013
892,12886,john lee hooker,one of these days,1960
893,25061,anthrax,indians,1987
894,6248,jeff williams,red like roses,2013
895,5923,justin bieber,somebody to love,2010
896,9971,k.d. lang,i wish i didn't love you so,1988
897,26800,shinedown,amaryllis,2012
898,7090,june carter cash,no swallerin' place,1952
899,1253,dionne warwick,"promises, promises",1968
900,271,connie francis,non dimenticar,1959
901,14046,j.j. cale,thirteen days,1979
902,13826,taj mahal,easy to love,1976
903,6721,panic! at the disco,house of memories,2016
904,26293,sevendust,hurt (dedicated to johnny cash),2004
905,12936,nina simone,merry mending,1962
906,22440,mad cobra,tek him,2005
907,26163,trapt,echo,2002
908,1717,can,sing swan song,1972
909,18455,sarah vaughan,in a sentimental mood,1980
910,7729,tammy wynette,precious memories,1964
911,20737,deca,the way through,2017
912,25762,metallica,slither,1997
913,23944,carpenters,hurting each other,1972
914,24798,foreigner,down on love,1984
915,27546,j-kwon,you & me,2004
916,27707,damos,hip hop,2009
917,9572,willie nelson,until it's time for you to go,1984
918,7947,hank thompson,hangover heart,1966
919,4959,incubus,warning,2001
920,20635,native construct,come hell or high water,2015
921,8357,johnny cash,if not for love,1971
922,8883,merle haggard,when my last song is sung,1977
923,26959,nonpoint,breaking skin,2014
924,9913,jonathan edwards,"winkin, blinkin and nod",1987
925,10840,roy clark,yesterday when i was young,1996
926,2818,missing persons,walking in l.a.,1982
927,13465,rory gallagher,for the last time,1971
928,19703,paul desmond,here's that rainy day,2002
929,26227,ween,transdermal celebration,2003
930,19013,glenn miller,blue rain,1991
931,19176,pete rock,one in a million,1993
932,284,the platters,smoke gets in your eyes,1959
933,3342,the cars,strap me in,1987
934,23385,kash'd out,gimme love,2019
935,7386,don gibson,born to lose,1961
936,25723,pantera,the great southern trendkill,1996
937,848,the dave clark five,bits and pieces,1964
938,14869,the jeff healey band,something to hold on to,1990
939,4454,brandy,missing you,1996
940,19907,chuck loeb,tropical,2005
941,23445,elvis presley,blue moon,1956
942,22220,dispatch,the general (live),2001
943,24114,bee gees,nights on broadway,1975
944,11299,dixie chicks,landslide,2002
945,10637,randy travis,whisper my name,1994
946,22709,ziggy marley,hold him joe,2009
947,18937,angelo debarre,valse de bamboula,1989
948,24330,bob dylan,gotta serve somebody,1979
949,21338,israel vibration,live and give,1981
950,14011,the fall,a figure walks,1979
951,5618,paramore,"for a pessimist, i'm pretty optimistic",2007
952,26808,nonpoint,that day,2012
953,12066,donna taggart,jealous of the angels,2013
954,11560,randy rogers band,before i believe it's true,2006
955,27587,the game,it's the game,2007
956,26272,soil,pride,2004
957,23205,alborosie,rocky road,2016
958,4059,new order,regret,1993
959,21913,super cat,dance,1995
960,11589,eric church,pledge allegiance to the hag,2006
961,20245,fred astaire,we saw the sea,2010
962,25528,aerosmith,amazing,1993
963,20517,swans,bring the sun/toussaint l'ouverture,2014
964,2224,jackson browne,cocaine,1977
965,499,del shannon,jody,1961
966,5046,amanda perez,angel,2002
967,24613,michael mcdonald,i can let go now,1982
968,26486,bring me the horizon,diamonds aren't forever,2008
969,14394,krokus,headhunter,1983
970,16985,"albert hammond, jr.",far away truths,2018
971,21442,jah shaka,captivity,1984
972,27633,tha alkaholiks,hip-hop drunkies,2008
973,2430,the boomtown rats,someone's looking at you,1979
974,15695,phish,crowd control,2004
975,3125,simple minds,don't you (forget about me),1985
976,26442,12 stones,world so cold,2007
977,7936,hank locklin,"anywhere is ""home""",1966
978,8391,the doobie brothers,slippery st. paul,1971
979,14048,jethro tull,dark ages,1979
980,27636,grandmaster melle mel,white lines,2008
981,15830,the white stripes,i'm lonely (but i ain't that lonely yet),2005
982,29,lata mangeshkar,maagata maagata janm gele,1953
983,1340,donovan,i love my shirt,1969
984,24303,carpenters,sleigh ride,1978
985,7362,don gibson,just one time,1960
986,7174,johnny cash,i heard that lonesome whistle,1957
987,10565,cracker,take me down to the infirmary,1993
988,3731,mariah carey,love takes time,1990
989,1112,the monkees,zilch,1967
990,9783,billy bragg,the passion,1986
991,22800,inner circle,sweat (a la la la la long),2010
992,26843,thousand foot krutch,courtesy call,2012
993,7355,johnny cash,honky-tonk girl,1960
994,27417,phantogram,into happiness,2019
995,4343,lagwagon,violins,1995
996,4286,mariah carey,daydream interlude,1995
997,11597,hank williams iii,thrown out of the bar,2006
998,14459,chris rea,ace of hearts,1984
999,15118,gary moore,with love (remember),1994
1000,16464,jonny lang,not right,2013
1001,1489,michael nesmith,mama nantucket,1970
1002,7396,conway twitty,foggy river,1961
1003,25362,pearl jam,black,1991
1004,19282,meshuggah,future breed machine,1995
1005,27379,i dont know how but they found me,do it all the time,2018
1006,18884,mike stern,chromazone,1988
1007,14818,eric clapton,bad love,1989
1008,14751,chris rea,driving home for christmas,1988
1009,24666,slayer,die by the sword,1983
1010,13829,phoebe snow,no regrets,1976
1011,6950,finneas,let's fall in love for the night,2018
1012,10839,bill anderson,still,1996
1013,25428,megadeth,countdown to extinction,1992
1014,12755,b.b. king,i love you so,1958
1015,28007,black rob,pd world tour (feat. puff daddy),2017
1016,774,the supremes,ask any girl,1964
1017,11909,trace adkins,semper fi,2011
1018,25952,tom waits,hold on,1999
1019,2376,john mellencamp,small paradise,1979
1020,21202,culture,natty dread taking over,1977
1021,20038,gypsy swing revue,puttin' on the ritz,2007
1022,27603,dj jazzy jeff,brand new funk 2k7 feat. peedi crakk,2007
1023,14076,ted nugent,violent love,1980
1024,11746,casey donahew,angel,2009
1025,15397,mel waiters,hole in the wall,1999
1026,17358,vic damone,(when your heart's on fire) smoke gets in your eyes,1956
1027,17195,chet baker,it's you or no one,1954
1028,1497,alive 'n kickin',"tighter, tighter",1970
1029,7979,waylon jennings,down came the world,1966
1030,23627,elvis presley,fame and fortune,1963
1031,371,eden ahbez,the wanderer,1960
1032,10140,randy travis,somewhere in my broken heart,1989
1033,20285,the dear hunter,she's always singing,2011
1034,9617,george strait,what did you expect me to do,1984
1035,7598,johnny cash,the big battle,1963
1036,12337,jelly roll,hate goes on,2017
1037,2514,john martyn,sweet little mystery,1980
1038,10759,gillian welch,paper wings,1996
1039,25591,soundgarden,spoonman,1994
1040,16884,jd mcpherson,on the lips,2017
1041,24509,sammy hagar,piece of my heart,1981
1042,4364,silver jews,pet politics,1996
1043,22893,pacific dub,wasted,2012
1044,18135,cab calloway,the honeydripper,1974
1045,12228,upchurch,shit bubba,2016
1046,3566,donna summer,breakaway,1989
1047,13775,ted nugent,stormtroopin',1975
1048,27673,"royce da 5'9""",hood love,2009
1049,4080,björk,venus as a boy,1993
1050,17272,dean martin,moments like this,1954
1051,13785,thin lizzy,king's vengeance,1975
1052,26667,my darkest days,every lie,2010
1053,25547,beastie boys,flute loop,1994
1054,26735,bayside,"sick, sick, sick",2011
1055,184,buddy holly,take your time,1958
1056,12171,a thousand horses,smoke,2015
1057,2931,culture club,black money,1983
1058,19217,pete rock & c.l. smooth,all the places,1994
1059,12630,ella fitzgerald,dream a little dream of me,1957
1060,13945,small faces,thinkin' about love,1978
1061,21341,ub40,walk out,1981
1062,21808,third world,rhythm of life,1993
1063,684,roy orbison,(they call you) gigolette,1963
1064,16377,thee oh sees,lupine dominus,2012
1065,11858,jamey johnson,playing the part,2010
1066,20619,stacey kent,in the wee small hours of the morning,2015
1067,23730,the beatles,"here, there and everywhere",1966
1068,17220,rosemary clooney,bad news,1954
1069,25178,faster pussycat,slip of the tongue,1989
1070,25127,don mclean,crying,1988
1071,12267,ronnie dunn,that's why they make jack daniels,2016
1072,28127,gorilla zoe,what it is,2017
1073,24960,genesis,land of confusion,1986
1074,9975,drivin n cryin,can't promise you the world,1988
1075,19343,boney james,it's all good,1997
1076,9518,george strait,fifteen years going up (and one night coming down),1983
1077,20939,bob marley & the wailers,simmer down,1964
1078,24064,funkadelic,i'll stay,1974
1079,28016,d4l,betcha can't do it like me,2017
1080,7482,tom rush,no regrets,1962
1081,5747,kolohe kai,dream girl,2009
1082,10305,marty robbins,is there any chance,1991
1083,22877,jah cure,from my heart,2011
1084,15431,alice cooper,wicked young man,2000
1085,25078,depeche mode,strangelove,1987
1086,15367,delbert mcclinton,under suspicion,1999
1087,15646,the white stripes,"in the cold, cold night",2003
1088,2979,bryan adams,this time,1983
1089,6016,wiz khalifa,hopes & dreams,2011
1090,4486,incubus,vitamin,1997
1091,11305,emerson drive,fall into me,2002
1092,24800,chicago,hard habit to break,1984
1093,24240,styx,queen of spades,1978
1094,24507,stevie nicks,outside the rain,1981
1095,26321,(hed) p.e.,raise hell,2005
1096,12380,lewis brice,blessed,2018
1097,7722,johnny cash,apache tears,1964
1098,15985,queens of the stone age,turnin on the screw,2007
1099,24400,billy joel,sleeping with the television on,1980
1100,12968,nina simone,it don't mean a thing (if it ain't got that swing),1962
1101,16992,mike zito,i wouldn't treat a dog (the way you treat me),2018
1102,5972,young the giant,apartment,2011
1103,12425,midland,every song’s a drinkin’ song,2019
1104,12793,jimmy witherspoon,sweets' blues,1959
1105,13081,otis redding,these arms of mine,1964
1106,9366,atlanta rhythm section,pretty girl,1981
1107,11406,the grass roots,i'm livin' for you girl,2004
1108,4232,portishead,mysterons,1994
1109,7774,the pretty things,"mama, keep your big mouth shut",1965
1110,14695,whitesnake,is this love,1987
1111,7231,don gibson,take me as i am,1958
1112,7841,johnny cash,the wall,1965
1113,16021,molly hatchet,sharp dressed man,2008
1114,13117,don covay,come see about me,1965
1115,9683,willie nelson,send me the pillow you dream on,1985
1116,27086,matt maher,because he lives (amen),2015
1117,25988,the smashing pumpkins,"try, try, try",2000
1118,24446,ac/dc,shoot to thrill,1980
1119,24879,depeche mode,somebody,1985
1120,22976,demarco,standing soldier,2013
1121,23821,the who,tommy can you hear me?,1969
1122,1819,jackson browne,sing my songs to me,1973
1123,1182,the impressions,i can't stay away from you,1967
1124,1045,"dave dee, dozy, beaky, mick & tich",hold tight!,1966
1125,4572,lagwagon,may 16,1998
1126,27784,terror x crew,the real revenge (i alithini ekdikisi),2012
1127,11768,richard thompson,dad's gonna kill me,2009
1128,12614,mose allison,ain't you a mess,1957
1129,25534,depeche mode,i feel you,1993
1130,441,bobby vee,light infatuation,1961
1131,27832,lil b,hip hop based freestyle,2012
1132,17245,thelonious monk,smoke gets in your eyes,1954
1133,18687,frank zappa,planet of my dreams,1984
1134,17099,dean martin,absence makes the heart grow fonder (for somebody else),1950
1135,15458,the black crowes,lickin',2001
1136,20283,sound nomaden,the trumpet,2011
1137,8819,lynyrd skynyrd,(i got the) same old blues,1976
1138,22170,dispatch,douggie mayu's,2000
1139,14942,louis prima,"five months, two weeks, two days",1991
1140,17708,dean martin,if you were the only girl (in the world),1964
1141,13513,al green,"are you lonely for me, baby",1971
1142,4228,built to spill,distopian dream girl,1994
1143,26496,staind,believe,2008
1144,19694,pieces of a dream,love's silhouette,2002
1145,22711,can't hang,just for you,2009
1146,19639,jeff lorber,chopsticks,2001
1147,13093,the impressions,somebody help me,1964
1148,25084,the smiths,last night i dreamt that somebody loved me,1987
1149,21742,macka b,where is the love,1992
1150,8105,waylon jennings,money cannot make the man,1967
1151,14915,the cramps,blow up your mind,1991
1152,17398,blossom dearie,wait till you see him,1957
1153,15262,billie holiday,let's do it (let's fall in love),1996
1154,28131,trina,no panties (feat. tweet),2017
1155,8936,willie nelson,i'm a memory,1978
1156,23082,kbong,livin' easy (feat. stick figure),2014
1157,18968,tommy dorsey,indian summer,1990
1158,27807,t-pain,don't you quit,2012
1159,4945,a*teens,upside down,2001
1160,18944,louis armstrong,it's all in the game,1989
1161,18211,chocolate milk,action speaks louder than words,1975
1162,22361,lucky dube,ding ding licky licky bong,2003
1163,28289,denzel curry,this life,2019
1164,7600,jim reeves,memories are made of this,1963
1165,19267,fatback band,gotta get my hands on some (money),1995
1166,10161,little river band,listen to your heart,1990
1167,10016,reba mcentire,everytime you touch her,1988
1168,27747,jagged edge,where the party at? (re-recorded) [remastered],2011
1169,13002,bukka white,poor boy long ways from home,1963
1170,28246,jeru the damaja,me or the papes,2018
1171,27,asha bhosle,gullyachi shapath,1952
1172,9743,nanci griffith,the last of the true believers,1985
1173,8355,jonathan edwards,don't cry blue,1971
1174,13255,ten years after,i can't keep from crying sometimes,1967
1175,21593,peter tosh,reggaemylitis,1988
1176,24245,prince,so blue,1978
1177,15383,the white stripes,sugar never tasted so good,1999
1178,1728,the supremes,automatically sunshine,1972
1179,9521,vern gosdin,way down deep,1983
1180,23448,elvis presley,i'm counting on you,1956
1181,7612,marty robbins,lovely hula hands,1963
1182,24534,the police,spirits in the material world,1981
1183,2184,shaun cassidy,hey there lonely girl,1977
1184,18077,gentle giant,a reunion,1973
1185,10961,wade hayes,she's actin' single (i'm drinkin' doubles),1998
1186,27637,foxy brown,the quan,2008
1187,523,dee clark,hey little girl,1961
1188,27697,gane rimatore,pretres,2009
1189,19146,con funk shun,straight from the heart,1993
1190,24328,the clash,the guns of brixton,1979
1191,12248,miranda lambert,well-rested,2016
1192,14486,aretha franklin,just right tonight,1984
1193,20652,the dear hunter,the march,2016
1194,17429,blossom dearie,you for me,1957
1195,17560,dean martin,hear my heart,1961
1196,15260,the brian jonestown massacre,monster,1996
1197,8154,connie smith,burning a hole in my mind,1968
1198,14330,"crosby, stills & nash",into the darkness (45 version),1982
1199,23845,mavis staples,i have learned to do without you,1970
1200,20461,tesseract,of matter,2013
1201,17614,sammy davis jr.,what kind of fool am i,1962
1202,22991,the green,always & forever,2013
1203,15606,the kills,black rooster,2003
1204,4316,björk,it's oh so quiet,1995
1205,39,andy williams,it's the most wonderful time of the year,1953
1206,21597,ub40,matter of time,1988
1207,23014,jah sun,top rankin (feat. chronixx),2013
1208,27123,the last shadow puppets,miracle aligner,2016
1209,15571,the action,brain,2002
1210,2630,tom petty and the heartbreakers,letting you go,1981
1211,19990,pink martini,hang on little tomato,2006
1212,7957,love,no matter what you do,1966
1213,27778,apogonoi tou omirou,break the needle (spase ti velona),2012
1214,26892,the neighbourhood,staying up,2013
1215,1622,karen dalton,how sweet it is,1971
1216,7310,don gibson,it only hurts for a little while,1960
1217,17722,dean martin,here comes my baby,1965
1218,5622,garbage,stupid girl,2007
1219,24012,daryl hall & john oates,she's gone,1973
1220,28329,dmx,we in here (feat. swizz beatz),2019
1221,17323,june christy,i'll take romance,1955
1222,9653,david allan coe,thief in my bedroom,1984
1223,8667,asleep at the wheel,choo choo ch'boogie,1974
1224,14147,pat travers,your love can't be right,1980
1225,12682,woody guthrie,race you down the mountain,1958
1226,1698,ricky nelson,garden party,1972
1227,24816,twisted sister,the price,1984
1228,20691,miles davis,silence is the way,2016
1229,11913,eric church,i'm gettin' stoned,2011
1230,25598,pink floyd,wearing the inside out,1994
1231,11882,miranda lambert,easy living,2011
1232,12165,zac brown band,tomorrow never comes,2015
1233,11693,lady antebellum,home is where the heart is,2008
1234,13733,eric clapton,the sky is crying,1975
1235,22167,pato banton,mama nature,2000
1236,2654,duran duran,late bar,1981
1237,13760,bonnie raitt,good enough,1975
1238,13686,b.b. king,don't cry no more,1974
1239,6773,russ,do it myself,2017
1240,22890,christafari,hosanna (feat. avion blackman & jennifer howland),2012
1241,27721,prop dylan,trueschool,2010
1242,13558,joe cocker,woman to woman,1972
1243,13376,john mayall,sleeping by her side,1969
1244,7778,hank locklin,the wild side of life,1965
1245,9908,the replacements,birthday gal,1987
1246,11048,dolly parton,steady as the rain,1999
1247,4249,coolio,fantastic voyage,1994
1248,10971,terri clark,now that i found you,1998
1249,27755,blackstreet,no diggity,2011
1250,11291,daryle singletary,a-11,2002
1251,13106,aretha franklin,"cold, cold heart",1964
1252,15086,lightnin' hopkins,my starter won't start this morning,1993
1253,18707,wynton marsalis,for all we know,1984
1254,21891,musical youth,shanty town (007),1994
1255,3400,debbie gibson,only in my dreams,1987
1256,18660,yellowjackets,claire's song,1983
1257,17223,rosemary clooney,snow,1954
1258,11116,chris smither,killing the blues,2000
1259,26795,shinedown,my name (wearing me out),2012
1260,14662,etta james,"baby, baby, everynight",1987
1261,23373,katastro,i.s.s.u.e.s.,2018
1262,24418,black sabbath,walk away,1980
1263,15840,status quo,caroline,2005
1264,25599,kyuss,demon cleaner,1994
1265,20326,stéphane pompougnac,one by one,2011
1266,23719,the who,heat wave,1966
1267,21735,cocoa tea,i'm wanted,1992
1268,16524,jamie n commons,wash me in the water,2013
1269,1502,glen campbell,it's only make believe,1970
1270,9235,alabama,feels so right,1980
1271,23814,sly & the family stone,stand!,1969
1272,17535,bill evans,someday my prince will come,1960
1273,4506,blur,beetlebum,1997
1274,9863,johnny cash,i will always love you (in my own crazy way),1986
1275,10646,clay walker,if i could make a living,1994
1276,22178,shaggy,hey love,2000
1277,18857,the andrews sisters,beer barrel polka ( roll out the barrel ),1987
1278,18101,chick corea,spain,1973
1279,860,? & the mysterians,96 tears,1964
1280,10685,shania twain,leaving is the only way out,1995
1281,12043,kenny chesney,life on a rock,2013
1282,18110,roberta flack,river,1973
1283,11690,gordon mote,mercy walked in,2008
1284,9957,warren zevon,boom boom mancini,1987
1285,10549,dwight yoakam,fast as you,1993
1286,973,smokey robinson & the miracles,whole lot of shakin' in my heart (since i met you),1966
1287,25416,biohazard,punishment,1992
1288,8055,mickey gilley,i'm to blame,1967
1289,9128,willie nelson,pretty paper,1979
1290,27765,killah priest,do the damn thing,2011
1291,1649,todd rundgren,sweeter memories,1972
1292,23189,sticky fingers,outcast at last,2016
1293,4808,avant,my first love,2000
1294,12553,ella fitzgerald,get out of town,1956
1295,13366,b.b. king,no good,1969
1296,15990,the black keys,the wicked messenger,2007
1297,27107,shinedown,how did you love,2015
1298,12757,b.b. king,the fool,1958
1299,9642,dan fogelberg,believe in me,1984
1300,8051,charley pride,life turned her that way,1967
1301,3876,cher,save up all your tears,1991
1302,4731,britney spears,from the bottom of my broken heart,1999
1303,6278,generationals,put a light on,2013
1304,23339,beres hammond,i'm alive,2018
1305,26434,mgmt,pieces of what,2007
1306,22685,eddy grant,romancing the stone,2008
1307,20717,catherine russell,don't take your love from me,2016
1308,11702,chris cagle,no love songs,2008
1309,4541,yo la tengo,autumn sweater,1997
1310,15744,eagles of death metal,speaking in tongues,2004
1311,21274,steel pulse,blasphemy (selah),1979
1312,27362,i am they,scars,2018
1313,21072,the wailers,pass it on,1973
1314,9877,kathy mattea,untold stories,1987
1315,4803,nickel creek,when you come back down,2000
1316,8140,merle haggard,fool's castle,1968
1317,10803,ty herndon,i have to surrender,1996
1318,7525,marty robbins,almost persuaded,1963
1319,17542,tina brooks,up tight's creek,1960
1320,8019,gene clark,is yours is mine,1967
1321,5464,the icicle works,whisper to a scream (birds fly),2006
1322,9999,patty loveless,i'll never grow tired of you,1988
1323,13981,ted nugent,venom soup,1978
1324,7916,ray price,don't you believe her,1966
