,common_entity,entity1,entity2
24906,Winning at Work Without Losing at Love,"Arterburn, Stephen","January, 1995"
13823,Building Your Church,"Cousins, Don","November, 1992"
12702,Matt Christopher's Baseball Jokes and Riddles,"Christopher, Matt, Vasconcellos, Daniel (ILT), and True, S. (EDT)","April, 1996"
96136,Oasis: A Spa for Body and Soul,"Everson, Eva Marie","March, 2007"
13287,Poseidon's Shadow,"Kobryn, A. P.","July, 1979"
52022,The Master of all Desires,"Riley, Judith Merkle","November, 1999"
53277,Stepping Stones,"Marshall, Lillian","March, 1984"
58870,Standard Operating Procedure,"Gourevitch, Philip and Morris, Errol","April, 2008"
48685,New Mercies: A Novel,"Dallas, Sandra","February, 2006"
55486,Honey Moon,"Phillips, Susan Elizabeth","June, 1993"
64616,Manual of Clinical Psychopharmacology,"Schatzberg, Alan F. and Cole, Jonathan O.","May, 1986"
26962,While Shepherds Washed Their Flocks : And Other Funny Things Kids Say and Do,"Higas, Liz Curtis","January, 1998"
37181,The Prince of Egypt,"McCafferty, Catherine","January, 1998"
7552,The Pursuit of Loneliness: American Culture at the Breaking Point,"Slater, Philip","January, 1971"
42957,Sweet Summer: Growing Up With and Without My Dad,"Campbell, Bebe Moore","May, 1990"
77554,Think You're the Only One? Oddball Groups Where Outsiders Fit In,"Brown, Seth","January, 2004"
69803,Two Little Lies,"Carlyle, Liz","January, 2006"
39695,Tales of the South Carolina Low Country,"Rhyne, Nancy","January, 1982"
37291,If I Were President,Peggy Gavan,"January, 1994"
69790,Cape Cod,"Martin, William","July, 1992"
16690,A history of economic thought,"Bell, John Fred","January, 1953"
35738,Gone: An FBI Profiler Novel,"Gardner, Lisa","December, 2006"
611,Stencil Source Book 2: Over 200 New Designs,"Meehan, Patricia","September, 1995"
86013,Child's Garden of Verses,"Stevenson, Robert Louis","January, 1989"
92037,The Very Best Hanukkah Gift,"Rocklin, Joanne and O'Neill, Catharine (ILT)","October, 1999"
16801,American Blessings: A Celebration of Our Country's Spirit,"Running Press, Washburn, Michael (EDT), and Oyama, Susan (EDT)","February, 1994"
94824,Kingdom of Cages,"Zettel, Sarah","June, 2002"
89481,Crockpot Recipe Collection,Publications International (COR),"September, 2008"
77943,Another Language: Poetry,"Elkind, Sue Saniel and Burkhalter-Lackey, Lori (PHT)","March, 1989"
4022,Villages: A novel,"Updike, John","October, 2004"
43124,Prayers from a Mother's Heart,"Graham, Ruth Bell (EDT)","March, 1999"
43609,Children of the Storm,"Peters, Elizabeth","March, 2004"
17660,Abe Lincoln and the Muddy Pig,"Krensky, Stephen and Griffith, Greshom (ILT)","January, 2002"
21882,Dinosaur and Other Prehistoric Animal Fact Finder,"Benton, M. J.","August, 1993"
94648,Palace Circle: A Novel,"Dean, Rebecca","March, 2009"
33330,Approval Addiction: Overcoming Your Need to Please Everyone,"Meyer, Joyce","April, 2005"
61744,Angels Fall,"Roberts, Nora","May, 2007"
82077,The Passionate Gardener,"Raimondi, Georgia","February, 1999"
29497,Women and Psychotherapy: An Assessment of Research and Practice,"Brodsky, Annette M. and Hare-Mustin, Rachel T.","October, 1980"
65755,The Most Important Thing I've Learned in Life,"Bauman, Beau (COM)","June, 1994"
64117,The Ultimate Book of Martial Arts,Fay And Mike James Goodman,"January, 2004"
60426,Gestures: The Do's and Taboos of Body Language Around the World,"Axtell, Roger E. and Fornwald, Mike (ILT)","August, 1991"
80214,Dear John,"Sparks, Nicholas","December, 2009"
35591,Christmas Ornaments to Make: 101 Sparkling Holiday Trims,"Better Homes and Gardens Books, Dahlstrom, Carol Field (EDT), and Banker, Susan (EDT)","July, 2002"
49794,All New People,"Lamott, Anne","December, 1999"
34684,Outsmart High Cholesterol,Prevention Magazine Health Books (EDT),"March, 2003"
92275,Pictures of You,"Leavitt, Caroline","January, 2011"
71584,Daniel in the Lions' Den,The Clever Factory,"January, 2007"
79039,The Power of Positive Productivity,Dennis E. Hensley,"June, 2006"
73930,Complete Book of Home Decorating,"Mayer, Barbara","January, 1992"
54327,Under and Alone: The True Story of the Undercover Agent Who Infiltrated America's Most Violent Outlaw Motorcycle Gang,"Queen, William","April, 2005"
88663,Annuals You Should Grow,"King, Julius","January, 1937"
24903,Aupres De Ma Blonde,"Freeling, Nicolas","August, 1979"
47291,Stained glass primer,Peter Mollica,"January, 1971"
38165,Aunts: A Celebration of Those Special Women in Our Lives,"Cunningham, Annette Sara","November, 1997"
16489,The Final Judgment,"Patterson, Richard North and Mehta, Sonny (EDT)","November, 1995"
101671,The Trial Lawyers: The Nation's Top Litigators Tell How They Win,"Couric, Emily","October, 1990"
67405,Armchair Reader: The Amazing Book of History: Extraordinary Facts and Stories,"J.K. Kelley, Jonathan W. Jordan, William David, Robert Bullington, William Martin, William Sasser","July, 2008"
69837,Dies the Fire: A Novel of the Change,"Stirling, S. M.","September, 2005"
95184,Just Wait Till You Have Children of Your Own,"Bombeck, Erma and Keane, Bil","January, 1972"
54937,The Secret Between Us,"Delinsky, Barbara","November, 2008"
91111,24: The Unofficial Guide,"Sangster, Jim","April, 2003"
48439,The Nativity Story,"Voiland, Stephanie (EDT)","October, 2006"
6206,More Memories,"Emery, Ralph and Carter, Tom","September, 1993"
65867,False Impression,"Archer, Jeffrey","November, 2006"
50718,Dear Birthmother: Thank You for Our Baby,"Silber, Kathleen and Speedlin, Phylis","May, 1991"
77050,Many Loves Have I,William Brown Meloney,"January, 1955"
22543,The Body: Being Light in Darkness,"Colson, Charles and Vaughn, Ellen Santilli","August, 1992"
93264,These Demented Lands,"Warner, Alan","January, 1997"
42045,Child's Play,"Hamilton, Leslie","May, 1989"
58039,The Shirley Temple Story,"David, Lester","March, 1983"
19887,On Economics and Society,Harry G. Johnson,"January, 1975"
8521,Balance Of Power,"Patterson, Richard North","October, 2003"
93052,Fifty Great American Short Stories,"Crane, Milton (EDT)","August, 1984"
47286,Hollywood Musicals,"Sennett, Ted","November, 1985"
65449,Do You Want to Know a Secret?,"Clark, Mary Jane","November, 1998"
88515,Whitney Museum of American Art: Selected works from the permanent collection,Whitney Museum of American Art,"January, 1985"
56952,Single Over Thirty,"Husband, John D.","February, 2007"
8186,Great Carrier Aircraft,"Darman, Peter","January, 1996"
9888,Monet: The Artist Speaks,"Monet, Claude and Morgan, Genevieve (EDT)","April, 1996"
67968,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,"January, 1967"
41411,Dancing at the Rascal Fair: A Novel,"Doig, Ivan","September, 1988"
17792,Concerning Death: A Practical Guide for the Living,"Grollman, Earl A.","May, 1974"
95284,Awakening Corporate Soul: Four Paths to Unleash the Power of People at Work,"Izzo, John B. and Klein, Eric","December, 1998"
29879,Big Doctoring in America: Profiles in Primary Care,"Mullan, Fitzhugh","October, 2002"
39566,The Magnificent Seven: The Authorized Story of American Gold,"Kleinbaum, N. H.","October, 1996"
85939,In pictures Death Valley: The Continuing Story,"Cinkoske, Cheri and Cook, Kayci","June, 1997"
48886,A Fierce Green Fire: The American Environmental Movement,"Shabecoff, Philip","January, 1993"
101875,Complete 35Mm Sourcebook,"Busselle, Michael","August, 1992"
26441,The Peacemaking Struggle,"Stone, Ronald and Wilbanks, Dana","June, 1985"
9787,Timeless Healing: The Power and Biology of Belief,"Stark, Marg and Benson, Herbert","April, 1996"
94272,Portfolio Planner,"Jasmine, Julia","July, 1995"
96633,The World's Worst Cars,"Cheetham, Craig","January, 2005"
66574,Captain Grey,,"August, 1993"
48976,Give to Live: How Giving Can Change Your Life,"Lawson, Douglas M.","April, 1998"
24732,The Carousel: A Novel,"Evans, Richard Paul","October, 2000"
22224,Quiet Places With Mary,"Powers, Isaias","September, 1986"
10593,Photography Catalog,"Snyder, Norman, Kismaric, Carole, and Myrus, Donald","January, 1976"
6400,The Book of Breakfasts and Brunches,"Harries, Karenza and Newnham, Alan (PHT)","January, 1990"
73460,They Flew to Fame,"Bowen, Robert Sidney","January, 1963"
96587,SELECTED WORKS OF JOHN DRYDEN,ed. William Frost,"January, 1963"
62087,Duende Meadow,"Cook, Paul","October, 1985"
85054,Crude World: The Violent Twilight of Oil,"Maass, Peter","August, 2010"
14137,Home Lands: Portraits of the New Jewish Diaspora,"Tye, Larry","September, 2001"
1743,Cooking With Hot Flashes: And Other Ways to Make Middle Age Profitable,"Bolton, Martha","September, 2004"
4100,Intrusions,"Hegi, Ursula","March, 1997"
47740,Lost Horizon,"Hilton, James","June, 2004"
74826,The Potato Experience,"Tanner, Lisa","May, 1986"
75330,Skills for New Managers,"Stettner, Morey","April, 2000"
46354,Guests of the Ayatollah: The First Battle in America's War with Militant Islam,"Bowden, Mark","April, 2006"
10708,The Woman Who Cut Off Her Leg at the Maidstone Club and Other Stories,"Slavin, Julia","July, 1999"
80367,Power Networking: 55 Secrets for Personal and Professional Success,"Vilas, Sandy","December, 1992"
95487,Quench not the spirit,"Augsburger, Myron S.","January, 1975"
101712,100 Things You Should Know About Weather,"Oliver, Clare","March, 2004"
1235,Questions of Heaven: The Chinese Journeys of an American Buddhist,"Ehrlich, Gretel","April, 1997"
73997,West Meets East: Americans Adopt Chinese Children,"Tessler, Richard C., Gamache, Gail, and Liu, Liming","May, 1999"
46456,Jesus,"Wangerin, Walter","November, 2005"
63302,Stolen Figs: And Other Adventures in Calabria,"Rotella, Mark","May, 2004"
27259,MLA Handbook for Writers of Research Papers,"Gibaldi, Joseph","April, 1995"
32892,The Widow's Club,"Cannell, Dorothy","April, 1988"
49306,Israel's fateful hour,"Harkabi, Yehoshafat","January, 1988"
71103,In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,"Kessler, Ronald","August, 2009"
22219,Goliath:The Life of Robert Schuller,"Penner, James","September, 1992"
77745,McSweeney's Mammoth Treasury of Thrilling Tales,"Chabon, Michael (EDT)","March, 2003"
9223,Charms for the Easy Life,"Gibbons, Kaye","June, 1995"
65094,MY VERY FIRST NUMBER BOOK,"Wilkes, Angela","March, 2001"
63933,Pate the New Main Course for the Eighties,"Cutler, Carol","July, 1983"
74411,The Rising Hope,"Swindoll, Charles R.","December, 2008"
29680,The Cat Who Came to Breakfast,"Braun, Lilian Jackson","February, 1994"
82516,The Giant Hug,"Horning, Sandra and Gorbachev, Valeri (ILT)","September, 2008"
13293,Champions of American Sport,Marc Pachter,"January, 1981"
42126,The Turkey Cookbook,"Rodgers, Rick","October, 1991"
35419,Oriental Antiques and Collectibles: A Guide,"Chu, Arthur","January, 1973"
92736,Deep Breath,"Kent, Alison","April, 2006"
45377,Earth From Space: Smithsonian National Air and Space Museum,"Johnston, Andrew K.","October, 2004"
34784,Barbie: The Pyramid Adventure,Rita Balducci,"January, 1998"
25025,At Play in the Fields of the Lord,"Matthiessen, Peter","December, 1987"
11170,The Wealth of Choices: How the New Economy Puts Power in Your Hands and Money in Your Pocket,"Murray, Alan S.","June, 2000"
44967,Hidden Prey,"Sandford, John","May, 2004"
69197,The Killer Angels,"Shaara, Michael","October, 1980"
25738,Glorious Needlepoint: Extraordinary Stitchery Designs from the Author of Glorious Knits,"Fassett, Kaffe and Lovi, Steve","August, 1987"
28835,Photographing baby and child,"Hornby, George","January, 1977"
61244,Louisiana Real and Rustic,"Lagasse, Emeril, Bienvenu, Marcelle, and Smale, Brian (PHT)","September, 1996"
96368,London from the Air,Barbara Roveda,"January, 2005"
39881,Lonely Planet Italy,"Williams, Nicola (EDT), Simonis, Damien (EDT), Adams, Fiona (EDT), Roddis, Miles (EDT), and Webb, Sally (EDT)","March, 2002"
64743,Today's Military Wife,"Cline, Lydia Sloan","January, 2003"
1068,Family Words: The Dictionary for People Who Don't Know a Frone from a Brinkle,"Dickson, Paul","October, 1988"
92475,Bless This Food: Ancient and Contemporary Graces from Around the World,"Butash, Adrian","September, 2007"
32383,The Twelve Teas of Christmas,"Barnes, Emilie and Clough, Sandy Lynam (ILT)","June, 1999"
80462,Congratulations Graduate,Hallmark,"January, 2002"
96463,The Presidential Transcripts with Commentary by the staff of the Washington Post,"Bob Woodward, Carl Bernstein, Haynes Johnson, Lawrence Meyer","May, 1974"
87376,Sexual Healing,"Nelson, Jill","June, 2003"
52343,The Quickie,"Patterson, James and Ledwidge, Michael","April, 2008"
421,550 Home Landscaping Ideas,"Fell, Derek and Erler, Catriona","February, 1992"
12181,Out of the Ashes: The Resurrection of Saddam Hussein,"Cockburn, Andrew and Cockburn, Patrick","March, 1999"
89670,The Country Bride Quilt,"Pellman, Rachel T. and Heisey, Craig N.","May, 2013"
14044,The Wilson Plot,"Leigh, David","December, 1988"
94099,The Broker,"Grisham, John","November, 2005"
5127,What Jackie Taught Us: Lessons from the Remarkable Life of Jacqueline Kennedy Onassis,"Flaherty, Tina Santi","March, 2004"
27701,The Winged Horse Anthology,"Joseph Auslander, Frank Ernest Hill","January, 1929"
42452,Hide This French Book,"Roustang-Stoller, Eve-Alice","August, 2004"
53113,How To Start A Conversation And Make Friends,"Gabor, Don and Power, Mary (ILT)","January, 2001"
18530,A Photographic and Comprehensive Guide to Yellowstone National Park,Editor,"January, 1976"
50936,Bridges Not Walls: A Book About Interpersonal Communication,"Stewart, John Robert (EDT)","January, 1990"
28330,Inside the Real Estate Deal,"Miller, Peter G","August, 1991"
19177,The Abby Aldrich Rockefeller Folk Art Collection Gallery Book,Various,"January, 1965"
64651,The Fannie Farmer Baking Book,"Cunningham, Marion","September, 1984"
64873,The Garden Angel,"Friddle, Mindy","June, 2005"
29368,The Oxford Companion to the Theatre,"Hartnoll, Phyllis (EDT)","October, 1983"
17497,Different Mothers: Sons and Daughters of Lesbians Talk About Their Lives,"Rafkin, Louise (EDT)","November, 1990"
53296,The Maytrees: A Novel,"Dillard, Annie","June, 2008"
16045,The Obvious Diet: Your Personal Way to Lose Weight Fast Without Changing Your Lifestyle,"Victor, Ed","September, 2002"
95643,Breastfeeding Pure and Simple:,"Gotsch, Gwen","January, 2000"
62749,The Consultant's Guide to Proposal Writing: How to Satisfy Your Client and Double Your Income,"Holtz, Herman","March, 1990"
52148,Come to the farm,"Tensen, Ruth Marjorie","January, 1949"
68971,The New Yorkers: A Novel,"Schine, Cathleen","April, 2008"
23061,Faithful Travelers,"Dodson, James","May, 1998"
37866,Potatoes: A Special Collection,n/a,"January, 2000"
38167,Joy of Parenthood,"Blaustone, Jan","May, 1993"
2661,The Stones Of Summer,"Mossman, Dow","January, 2004"
12568,License to Sell,"Ilvento, Joe, Price, Doug","September, 1999"
21228,Golf Resorts of the World,"McCallen, Brian","September, 1993"
9828,Combat,"Coonts, Stephen","September, 2003"
47760,Silent Night,"Clark, Mary Higgins","November, 1996"
70943,Watergate: The Full Inside Story,"Shawcross, William, Chester, Lewis, McCrystal, Cal, and Aris, Stephen","September, 1973"
26072,I have a friend,"Muntean, Michaela","January, 1993"
19343,Mirror and Mirage: Fiction By Nineteen,Albert J. (editor) Guerard,"January, 1980"
86751,Secrets of a Fulfilled Woman: Finding True Contentment in Your Life,"Peretti, Barbara, Missler, Nancy, Thomas, Bonnie, Impe, Rexella Van, Barker, Barbara, McDowell, Dottie, Ankerberg, Darlene, Newbold, Elizabeth, and Perkins, Susie (COM)","September, 1997"
11204,That None Should Perish: How to Reach Entire Cities for Christ Through Prayer Evangelism,"Silvoso, Ed","April, 1995"
98530,Navigating Through Change,"Woodward, Harry, Ph.D. and Woodward, Mary Beckman","April, 1994"
69167,The Complete Book of the Horse,"Roberts, Peter (EDT)","April, 1994"
18463,Plutonium Murders: An Alex Seacourt Thriller,"Davis, Robert Charles","March, 1997"
14583,O'Hara: A biography,"Farr, Finis","January, 1973"
53841,The Teddy Bear Story,"Keyes, Josephine","November, 1985"
67700,Too Much Tuscan Sun: Confessions Of A Chianti Tour Guide,"Castagno, Dario","September, 2004"
88797,CURE FOR THE COMMON LIFE,"Lucado, Max","November, 2010"
93447,Max and Ruby Play School: Picture Reader,"Wells, Rosemary","July, 2003"
7910,King Charles III: A Biography,"Holden, Anthony","December, 1988"
76845,How to Read the Financial Pages,"Passell, Peter","April, 1989"
41497,Tenderwire,"Kilroy, Claire","June, 2006"
74831,The Story of the Night: Studies in Shakespeare's Major Trajedies,"Holloway, John","January, 1961"
81962,Brewing Quality Beers: The Home Brewer's Essential Guidebook,"Burch, ron","January, 1989"
12687,Greenland: Island at the Top of the World,"Anderson, Madelyn Klein","August, 1983"
58049,Nothing But the Truth,"Keating, Karl","October, 1999"
7589,All About the Sea,Ferdinand C. Lane,"January, 1953"
77559,And Then They Were Nuns: A Novel,"Leonardi, Susan J.","June, 2003"
16896,Handbook Plus: The Handbook for Today's Driver,Charles D. Torreiro,"January, 1997"
4255,The Five Minute Hair Stylist,"Moodie, Christine","February, 1991"
21674,Matter of Opinion,"Navasky, Victor S.","May, 2006"
46500,Two Men from Eden,Morris Cerullo,"January, 1977"
16900,The Breakdown Lane,"Mitchard, Jacquelyn","April, 2005"
7482,Prevention's New Foods for Healing: Capture the Powerful Cures of More Than 100 Common Foods,"Prevention Magazine Health Books (COR), Vantine, Julia, Yeager, Selene, and Mount, Bridget","February, 1998"
52286,What to Write to Make Meaningful Albums,,"January, 2004"
50992,Ageless: Take Control of Your Age and Stay Youthful for Life,"Miles, Elizabeth and Schneider, Edward L.","April, 2003"
75796,True Green Kids: 100 Things You Can Do to Save the Planet,"Mckay, Kim, Bonnin, Jenny, and De Rothschild, David (FRW)","September, 2008"
76423,The Coming Conflict with China,"Bernstein, Richard and Munro, Ross H.","February, 1998"
9219,The Frequency of Souls,"Zuravleff, Mary Kay","April, 1996"
21598,Where She Came From: A Daughter's Search for Her Mother's History,"Epstein, Helen","November, 1998"
100497,Match Wits with Mensa®: Test Your Trivia Smarts,"Gordon, Peter","September, 2004"
46635,Partnerships for Profit: Structuring and Managing Strategic Alliances,"Lewis, Jordan D.","April, 1990"
58893,The Reluctant Belligerent: American Entry Into World War II,"Divine, Robert A","July, 1979"
40942,Scarlet Feather,"Binchy, Maeve","January, 2001"
50928,Bech: a Book,"Updike, John","January, 1970"
71601,The Girl with the Golden Gun,"Major, Ann","October, 2005"
79427,A Christmas Treasury,"Elder, Sam","January, 1985"
31023,The Elements of Feng Shui,Man-Ho Kwok,"January, 1997"
78500,Awesome Facts About Sharks,"Llewellyn, Claire","January, 2004"
69259,The Gift of Asher Lev,"Potok, Chaim","June, 1991"
9927,Zen for Americans,"Shaku, Soyen","August, 1989"
25704,Quintessence,"Edwards, Owen and Cornfeld, Betty","February, 1983"
90488,The Way Home,"Rossiter, Nan Parson","September, 1999"
44137,Dream Makers: UntamedLess Of A Stranger,"Roberts, Nora","October, 2006"
66689,Jericho's Fall,"Carter, Stephen L.","July, 2009"
48482,Stones from the River,"Hegi, Ursula","April, 1995"
61548,Icky Bug Shapes,"Pallotta, Jerry and Bersani, Shennen (ILT)","April, 2004"
89019,The Deity Formerly Known as God,"Stevens, Jarrett","August, 2006"
46501,Friendship 911 Helping Friends Who Struggle With Life's Toughest Issues,"McDowell, Josh, Hostetler, Bob, and Bellis, Dave","July, 2000"
26651,Halliwell's Film Guide,"Walker, James","January, 1992"
33267,A River Town,"Keneally, Thomas","May, 1996"
89779,The Little Engine That Could,"Piper, Watty and Smouse, Phil A. (ILT)","December, 2002"
4259,The Wild Christmas Reindeer,"Brett, Jan","November, 1990"
74386,The Virgin of Small Plains: A Novel of Suspense,"Pickard, Nancy","April, 2006"
26594,Fete Fatale,"Barnard, Robert","November, 1985"
19457,Computer Wars: The Fall of IBM and the Future of Western Technology,"Morris, Charles R. and Ferguson, Charles H.","February, 1993"
81163,The Gift of Nothing,"McDonnell, Patrick","October, 2005"
61444,How to Use Qualitative Methods in Evaluation,"Patton, Michael Quinn","December, 1987"
101072,Litanies and Other Prayers for the Revised Common Lectionary Year B,"Cole, Phyllis and Tilson, Everett.","August, 1993"
41281,Low Back Pain Syndrome,"Cailliet, Ren'e","January, 1968"
39888,Keep It Simple,"Burros, Marian","May, 1981"
21418,The Cat Owner's Manual,"Allan, Eric and Bonning, Lynda","May, 1994"
102929,Nice Work If You Can Get It: My Life in Rhythm and Rhyme,"Feinstein, Michael","October, 1995"
95493,Seducing the Duchess,"March, Ashley","October, 2010"
94630,A More Perfect Constitution: Why the Constitution Must Be Revised: Ideas to Inspire a New Generation,"Sabato, Larry J.","September, 2008"
90560,Hiking the Big Sur Country: The Ventana Wilderness,"Schaffer, Jeffrey P.","May, 1988"
16475,The Prayer of Jabez: Devotional,"Wilkinson, Bruce and Kopp, David","May, 2001"
84790,The College Dorm Survival Guide: How to Survive and Thrive in Your New Home Away from Home,"Devillers, Julia","May, 2006"
15974,Perfect Women: Hidden Fears of Inadequacy and the Drive to Perform,"Dowling, Colette","September, 1988"
68466,Beauty from Ashes,"Price, Eugenia","June, 1996"
71001,Janet's Horses,"Denton, Kady MacDonald","March, 1991"
101738,Unlikely Friendships: 47 Remarkable Stories from the Animal Kingdom,"Holland, Jennifer S.","June, 2011"
19221,No Second Chance,"Coben, Harlan","April, 2003"
54217,Steel Guitar,"Barnes, Linda","December, 1992"
37396,Pippi in the South Seas,"Lindgren, Astrid","January, 1974"
91256,Letters from Vatican City,"Rynne, Xavier","January, 1963"
27304,52 Dates for You and Your Mate,"Arp, Dave and Arp, Claudia","January, 1993"
77379,What Research Has to Say About Reading Instruction,"Farstrup, Alan E. (EDT), Samuels, S. Jay (EDT), and Samuels, Jay (EDT)","March, 2002"
25534,The Darwin Awards Evolution In Action,"Norcutt, Wendy.","January, 2000"
25715,Bush on the Couch: Inside the Mind of the President,"Frank, Justin A.","July, 2005"
97961,Model Railroads,"Freezer, Cyril","November, 1991"
43258,Sixth Sense: Including the Secrets of the Etheric Subtle Body,"Wilde, Stuart","March, 2000"
74500,Miss Manners' Guide to Excruciatingly Correct Behavior: The Ultimate Handbook on Modern Etiquette,"Martin, Judith and Kamen, Gloria (ILT)","March, 1997"
3492,Cats: An Owner's Guide,"Atkins, Carla, Fresak, Nikki (PHT), and Robinson, Alan (PHT)","October, 2003"
29459,Murder Most,"Greenberg, Martin H., Et. Al. (Edited by)","January, 2005"
85789,1000 Classic Recipes: The Complete Cookbook for Every Meal and Any Occasion,,"January, 1999"
58494,Hurry Down Sunshine: A Memoir,"Greenberg, Michael","September, 2008"
12876,Pain: The Challenge and the Gift,"Matthews, Marti Lynn","September, 1991"
50038,The Erotic Secrets of a French Maid,"Cach, Lisa","February, 2007"
9211,Precious Moments of Christmas: Nine Stories that Celebrate the Season,"Butcher, Samuel J. (ILT) and Wiersma, Debbie Butcher","August, 1990"
46268,Gone But Not Forgotten,"Fox-Sheinwold, Patricia","December, 1988"
68894,The Wishing Horse of Oz,L. Frank Baum,"January, 1935"
80762,Holistic Medicine: A Meeting of East and West,"Altenberg, Henry Edward","June, 1998"
54030,The Moon and Sixpence,W Somerset Maugham,"May, 1977"
11432,The Tribute: What Every Parent Longs to Hear,"Rainey, Dennis and Boehi, David","April, 1994"
51920,The Q Document: A Novel,"Roberts, James Hall","January, 1964"
88347,How Sweet It Is,"Wisler, Alice J.","May, 2009"
64473,The Pain and the Privilege: Diary of a City Priest,"Gallagher, Joseph","September, 1983"
67340,Shadowfires,"Koontz, Dean R.","August, 2008"
68135,The Silken Web,"Brown, Sandra","October, 1993"
41021,The Demon of Scattery,"Poul Anderson, Mildred Downey Broxon","June, 1980"
95831,Dragon Lady: The Life and Legend of the Last Empress of China,"Seagrave, Sterling and Seagrave, Peggy","August, 1993"
47832,Venus Envy,"Brown, Rita Mae","January, 1994"
14262,One Police Plaza,"Caunitz, William J.","August, 1986"
15775,The Homocysteine Revolution: Medicine for the New Millennium,"McCully, Kilmer S.","June, 1997"
4504,Nightline:: History in the Making and the Making of Television,"Koppel, Ted and Gibson, Kyle","May, 1996"
71596,Cooks Quotations: A Collection of Fine Paintings and the Best Cooking Quotes,Helen Exley,"January, 1994"
99802,Must Love Shoes: A Collection of Stories About Life in a Woman's Shoes,Julie Gaver,"December, 2009"
14985,Who Will Run The Frog Hospital?,"Moore, Lorrie","September, 1994"
83419,The Zen of CSS Design: Visual Enlightenment for the Web,"Holzschlag, Molly E. and Shea, Dave","February, 2005"
48760,Mercy: A Novel,"Picoult, Jodi","April, 2001"
56965,Sisters and Brothers: Sibling Relationships in the Animal World,"Page, Robin and Jenkins, Steve","April, 2008"
50978,Embattled Confederates: An Illustrated History of Southerners at War,Wiley,"January, 1977"
11096,Blow Fly,"Cornwell, Patricia Daniels","October, 2003"
72572,After,"Efaw, Amy","August, 2009"
48853,Gates of Mitzvah: Shaarei Mitzvah: A Guide to the Jewish Life Cycle,"Maslin, Simeon J. (EDT)","September, 1986"
25849,Exploding the myths that could destroy America,"Lutzer, Erwin W.","January, 1986"
7845,Ring of Truth,"Pickard, Nancy","June, 2001"
95658,Mystic Tide,Angela Dorsey,"January, 2007"
92340,Displaying Australia and New Guinea,"Fox, Matt J","January, 1945"
3330,Sunset Boulevard: From Movie to Musical,"Perry, George C.","November, 1993"
32304,Zoology,"Dolnick, Ben","May, 2007"
34985,Building Your Baby's Brain: A Parent's Guide to the First Five Years,"Dodge, Diane Trister and Heroman, Cate","January, 1999"
49857,Brand Warfare: 10 Rules for Building the Killer Brand,"D'Alessandro, David F. and Owens, Michele","March, 2001"
102122,There's a Dead Person Following My Sister Around,"Vande Velde, Vivian","August, 2001"
87878,Radical Gratitude: Discovering Joy through Everyday Thankfulness,"Vaughn, Ellen Santilli","March, 2005"
36388,Love for a Lifetime: Building a Marriage That Will Go the Distance,"Dobson, James C.","February, 1993"
30341,Garden Color Book,"Williams, Paul","April, 2000"
17134,The Possible She,"Jacoby, Susan","March, 1979"
11671,The Ultimate Frankenstein: New Stories by Some of the World's Leading Authors,"Preiss, ron, Keller, David, Miller, Megan, and Betancourt, John (EDT)","September, 1991"
308,The uncommon cookbook,"Mellinkoff, Ruth","January, 1968"
14133,Second Draft of My Life: A Novel,"Lewis, Sara","April, 2002"
20440,Love of Labs: The Ultimate Tribute to Labrador Retrievers,"Berger, Todd R. (EDT)","June, 1999"
9702,The Female Advantage: Women's Ways of Leadership,"Helgesen, Sally","April, 1990"
23050,Home from Nowhere: Remaking Our Everyday World for the 21st Century,"Kunstler, James Howard","March, 1998"
55730,Dinosaur Brains: Dealing With All the Impossible People at Work,"Bernstein, Albert J.","February, 1992"
79234,Longarm 018: Yellowstone,"Evans, Tabor","March, 1980"
42613,Handbook for Writers,"Millward, C. M.","January, 1983"
17605,The Soviet Crucible: Soviet Government in Theory and Practice,Samuel (Edited by) Hendel,"January, 1959"
54053,In Search of Love and Beauty,"Jhabvala, Ruth Prawer","June, 1983"
56229,Innocent in Death,"Robb, J. D.","February, 2007"
32042,The Street Lawyer: A Novel,"Grisham, John","February, 1998"
61732,House of Gold,"Macfarlane Jr., Bud","June, 1999"
9623,Thunder in the Desert,"Blackwell, James","September, 1991"
55358,Tiptionary,"Hunt, Mary","November, 1997"
58538,Houdinis Escapes,Walter B. Gibson,"March, 1977"
67667,Slowness: A Novel,"Kundera, Milan and Asher, Linda (TRN)","April, 1997"
16437,The Leadership Engine,"Tichy, Noel M. and Cohen, Eli B.","August, 2002"
100903,The Prentice Hall Encyclopedia of Garden Flowers,"Pereire, Anita","June, 1989"
11457,The assertive woman,"Phelps, Stanlee, Austin, Nancy","January, 1975"
93848,The Wonderful Crisis of Middle age: Some Personal Reflections,"Leshan, Eda","June, 1976"
7007,Fireside,"Summer Rain, Mary","May, 1998"
62903,Spiritual Economics: The Prosperity Process,"Butterworth, Eric","June, 1983"
87788,Designing Storage Area Networks,"Clark, Tom","September, 1999"
22394,Understanding the Enneagram: The Practical Guide to Personality Types,"Riso, Don Richard","February, 1990"
83058,How Did You Get This Number,"Crosley, Sloane","May, 2011"
14766,The Book of Calm,Time-Life Books,"September, 1997"
848,John Clancy's Christmas Cookbook,"Clancy, John","February, 1986"
