,entity1,entity2,content
696,Gary Cole,Tim Hill,"Gary Michael Cole (born September 20, 1956) is an American actor. He began his professional acting career on stage at Chicago's Steppenwolf Theatre Company in 1985. His breakout role was as Jack 'Nighthawk' Killian in the NBC series Midnight Caller (1988-1991).
Further prominent television roles include Sheriff Lucas Buck in American Gothic (1995–1996), Vice President Bob Russell in The West Wing (2003–2006), Kurt McVeigh in both The Good Wife (2010–2016) and The Good Fight (2017–2022), Kent Davison in Veep (2013–2019), and Special Agent Alden Parker in NCIS (2021–present ). A prolific voice actor, Cole's voice roles include Harvey Birdman in Harvey Birdman, Attorney at Law (2000–2007, 2018), Principal Shepherd in Family Guy (2000–present), Dr. James Possible in Kim Possible (2002–2007), Mayor Fred Jones Sr. in Scooby-Doo! Mystery Incorporated (2010–2013) and Sergeant Bosco in Bob's Burgers (2012–present).
One of his most notable film roles is Bill Lumbergh in Office Space (1999). Other film appearances include In the Line of Fire (1993), A Simple Plan (1998), One Hour Photo (2002), Dodgeball: A True Underdog Story (2004), Talladega Nights: The Ballad of Ricky Bobby (2006) and Pineapple Express (2008).

Timothy Joseph Hill (born May 21, 1958) is an American animator, film director, screenwriter, voice actor and producer.

"
697,Gerard Butler,Zack Snyder,"Gerard James Butler (born 13 November 1969) is a Scottish actor and film producer. After studying law, he turned to acting in the mid-1990s with small roles in productions such as Mrs Brown (1997), the James Bond film Tomorrow Never Dies (1997), and Tale of the Mummy (1998). In 2000, he starred as Count Dracula in the gothic horror film Dracula 2000 with Christopher Plummer and Jonny Lee Miller.
He played Attila the Hun in the miniseries Attila (2001), then appeared in the films Reign of Fire with Christian Bale (2002) and Lara Croft: Tomb Raider – The Cradle of Life with Angelina Jolie (2003) before playing André Marek in the adaptation of Michael Crichton's science fiction adventure Timeline (2003). He then was cast as Erik, The Phantom in Joel Schumacher's 2004 film adaptation of the musical The Phantom of the Opera, with Emmy Rossum; it earned him a Satellite Award nomination for Best Actor.
Butler gained worldwide recognition for his portrayal of King Leonidas in Zack Snyder's fantasy war film 300. That role earned him nominations for an Empire Award for Best Actor and a Saturn Award for Best Actor and a win for MTV Movie Award for Best Fight. He voiced Stoick the Vast in the critically and commercially successful How to Train Your Dragon franchise (2010–2019). Also in the 2010s, he portrayed Secret Service agent Mike Banning in the action thriller series Olympus Has Fallen, London Has Fallen, Angel Has Fallen and the upcoming Night Has Fallen. He played military leader Tullus Aufidius in the 2011 film Coriolanus, a modern adaptation of Shakespeare's tragedy of the same name, and Sam Childers in the 2011 action biopic Machine Gun Preacher.

Zack Snyder's Justice League (colloquially referred to as the Snyder Cut) is the 2021 director's cut of the 2017 American superhero film Justice League, the fifth film set within the DC Extended Universe (DCEU) based on the team of the same name appearing in DC Comics publications. It is intended to match director Zack Snyder's original vision for the film, prior to his departure from the production and subsequent studio interference. The film follows Batman (Ben Affleck), Wonder Woman (Gal Gadot), Cyborg (Ray Fisher), Aquaman (Jason Momoa), The Flash (Ezra Miller), and Superman (Henry Cavill) as they form an alliance to stop the extradimensional New God Steppenwolf (Ciarán Hinds) and his army of Parademons from conquering Earth for his overlord Darkseid (Ray Porter).
Released by Warner Bros. Pictures in 2017, Justice League had a difficult production. Its script underwent major changes before and during production between 2016 and 2017. In May 2017, Snyder stepped down during post-production following the death of his daughter, Autumn Snyder, and Joss Whedon was hired to finish the film, completing it as an uncredited director. Whedon oversaw reshoots and other changes that incorporated a brighter tone and more humor while reducing the runtime significantly in accordance with a mandate from Warner Bros. The theatrical version polarized critics and underperformed at the box office; this resulted in WB opting to prioritize developing future films around individual characters, with less regard for consistency and continuity within the wider shared universe.
Many people expressed interest in Snyder's version of the film, often referred to as the ""Snyder Cut"". Although most industry insiders reported its release unlikely, WB moved ahead with it in February 2020; in May, Snyder announced it would be released as Zack Snyder's Justice League as an HBO Max Original Film. $70 million was spent to complete the visual effects, score and editing, with new material being shot in October 2020. The release was originally planned as both a six-episode miniseries and a long feature-length film, with the former concept being cancelled in January 2021 in favor of releasing it as the latter. The film is dedicated to the memory of Autumn Snyder.
Zack Snyder's Justice League was released on HBO Max in the United States on March 18, 2021. It became the fourth-most-streamed film on the platform that year. The film was considered by most to be superior to the 2017 theatrical release, and critics praised Snyder's direction, visual style, action sequences, performances, improved characterizations, musical score, and balance of emotional weight and humor, although the runtime received some criticism.

"
698,Robert De Niro,Jay Roach,"Robert Henry De Niro (May 3, 1922 – May 3, 1993), better known as Robert De Niro Sr., was an American abstract expressionist painter and the father of actor Robert De Niro.



Mathew Jay Roach (born June 14, 1957) is an American filmmaker. He is best known for directing the Austin Powers film series, Meet the Parents, Dinner for Schmucks, The Campaign, Trumbo, and Bombshell.Roach also earned critical acclaim for directing and producing the political television drama films Recount, Game Change, and All the Way. He produced these films under his Everyman Pictures banner. For his work, he has received four Primetime Emmy Awards from six nominations.

"
699,Eric Dane,David Frankel,"Eric William Dane (born November 9, 1972) is an American actor. After multiple television roles in the 1990s and 2000s, which included his recurring role as Jason Dean in Charmed, Dane was cast as Dr. Mark Sloan on the ABC medical drama television series Grey's Anatomy. Following this, he made appearances in films such as Marley & Me (2008), Valentine's Day (2010), and Burlesque (2010). Dane has since played Captain Tom Chandler in the post-apocalyptic drama The Last Ship and currently stars as Cal Jacobs in the HBO series Euphoria.

David Frankel (born April 2, 1959) is an American filmmaker. He directed the 2006 film The Devil Wears Prada, as well as Marley & Me (2008), Hope Springs (2012), Jerry & Marge Go Large (2022), and the first and fourth episodes of the Netflix miniseries Inventing Anna (2022).



"
700,Tom Hanks,Frank Darabont,"Colin Lewes Hanks (born November 24, 1977) is an American actor. He has starred in films including Orange County, King Kong, The House Bunny, The Great Buck Howard, and the Jumanji film series. His television credits include Roswell, Band of Brothers, Mad Men, Dexter, Fargo, The Good Guys, Life in Pieces, Impeachment: American Crime Story, The Offer, and A Friend of the Family.  Hanks also provided the voice of Talking Tom, the title character in the web series Talking Tom & Friends.
He is the eldest son of actor Tom Hanks.

Frank Árpád Darabont (born Ferenc Árpád Darabont, January 28, 1959) is an American screenwriter, director and producer. He has been nominated for three Academy Awards and a Golden Globe Award. In his early career, he was primarily a screenwriter for such horror films as A Nightmare on Elm Street 3: Dream Warriors (1987), The Blob (1988) and The Fly II (1989). As a director, he is known for his film adaptations of Stephen King novellas and novels, such as The Shawshank Redemption (1994), The Green Mile (1999), and The Mist (2007).
Darabont also developed and executive-produced the first season and first half of the second season of the AMC horror series The Walking Dead (2010–2011).



"
701,Jill Hennessy,Walt Becker,"Jillian Noel Hennessy (born November 25, 1968) is a Canadian actress and singer. She is most known for her roles on the American television series Law & Order, on which she played prosecutor Claire Kincaid for three seasons, and Crossing Jordan, on which she played the lead character, Jordan Cavanaugh, for six seasons. She has also acted in films such as RoboCop 3 and Most Wanted, and the independent films Chutney Popcorn and The Acting Class, the latter of which she also wrote and co-directed.



Walter William Becker is an American filmmaker and novelist, whose directorial credits include the films Van Wilder (2002), Wild Hogs (2007), and Old Dogs (2009).



"
702,Catherine O'Hara,Mark Dindal,"Catherine Anne O'Hara  (born March 4, 1954) is a Canadian and American actress. She is known for her comedy work on Second City Television (1976–1984) and Schitt's Creek (2015–2020) and in films such as After Hours (1985), Beetlejuice (1988), The Nightmare Before Christmas (1993), and the first two installments of the Home Alone franchise: Home Alone (1990) and Home Alone 2: Lost in New York (1992). Her other film appearances include the mockumentary films written and directed by Christopher Guest: Waiting for Guffman (1996), Best in Show (2000), A Mighty Wind (2003), and For Your Consideration (2006).
O'Hara won the 1982 Primetime Emmy Award for Outstanding Writing for a Variety Series for SCTV Network, the Genie Award for Best Supporting Actress for the 1999 film The Life Before This, and was nominated for an Emmy Award for the 2010 television film Temple Grandin. From 2015 to 2020, she starred as Moira Rose on the CBC sitcom Schitt's Creek, for which she won a Primetime Emmy Award, Golden Globe Award, Screen Actors Guild Award, TCA Award, and six consecutive Canadian Screen Awards.

Mark Dindal is an American filmmaker, animator, and voice actor, who is famous for having directed three animated films, Cats Don't Dance (1997), The Emperor's New Groove (2000), and Chicken Little (2005). He worked in many Disney projects as an effects animator, and also led the special effects for several films, such as The Little Mermaid (1989) and The Rescuers Down Under (1990).



"
703,Patrick Fugit,David Fincher,"Patrick Raymond Fugit (; born October 27, 1982) is an American actor.  He has appeared in the films Almost Famous (2000), White Oleander (2002), Spun (2003), Saved! (2004) and Wristcutters: A Love Story (2006), and portrayed Kyle Barnes in the Cinemax series Outcast. He also played Owen in the video game The Last of Us Part II.

David Andrew Leo Fincher (born August 28, 1962) is an American film director. His films, most of which are psychological thrillers, have collectively grossed over $2.1 billion worldwide and have received 40 Academy Award nominations; this includes three Best Director nominations for him. He has also received four Primetime Emmy Awards, two Grammy Awards, a BAFTA Award, and a Golden Globe Award.
Fincher co-founded the production company Propaganda Films in 1986. He directed numerous music videos for the company, including Madonna's ""Express Yourself"" in 1989 and ""Vogue"" in 1990, both of which won him the MTV Video Music Award for Best Direction. He received two Grammy Awards for Best Music Video for ""Love Is Strong"" (1994) by the Rolling Stones and ""Suit & Tie"" (2013) by Justin Timberlake featuring Jay-Z.
He made his feature film debut with Alien 3 (1992) and gained his breakthrough with Seven (1995). He has since directed The Game (1997), Fight Club (1999), Panic Room (2002), Zodiac (2007), The Girl with the Dragon Tattoo (2011), Gone Girl (2014), and The Killer (2023). He received nominations for the Academy Award for Best Director for the dramas The Curious Case of Benjamin Button (2008), The Social Network (2010), and Mank (2020).
In television, Fincher has served as an executive producer and director for the Netflix series House of Cards (2013–2018) and Mindhunter (2017–2019), winning the Primetime Emmy Award for Outstanding Directing for a Drama Series for the pilot episode of the former. He also executive produced and co-created the Netflix animated series Love, Death & Robots (2019–present) which received three Primetime Emmy Awards for Outstanding Short Form Animated Program.

"
704,Matt Damon,Doug Liman,"American actor Matt Damon made his film debut with a small role in Mystic Pizza (1988), after which he played several supporting roles. His first leading role was in the legal drama film The Rainmaker (1997). His breakthrough came later that year when he played the title role of an unrecognized genius in Good Will Hunting, which he also co-wrote with Ben Affleck. They won the Academy Award for Best Original Screenplay and Damon was nominated for Best Actor. He followed it by playing the title roles of a soldier in Steven Spielberg's war drama Saving Private Ryan (1998) and of the criminal Tom Ripley in the thriller The Talented Mr. Ripley (1999), both of which gained critical and commercial success. Damon and Sean Bailey worked on the television series Project Greenlight since 2000, helping newcomers make their first film.Damon's profile continued to expand in the 2000s, as he took on starring roles in two lucrative film franchises. He played a con man in Steven Soderbergh's Ocean's Trilogy (2001–2007) and played the titular spy Jason Bourne in four films of the Bourne series (2002–2016). Damon played an energy analyst in the thriller film Syriana (2005) and starred in Martin Scorsese's acclaimed crime film The Departed (2006). He played the rugby player Francois Pienaar in the sports film Invictus (2009), gaining a nomination for the Academy Award for Best Supporting Actor. Damon continued to gain praise for his collaborations with Soderbergh on the crime film The Informant! (2009) and the drama Behind the Candelabra (2013). His portrayal of Scott Thorson in the latter earned him a  Primetime Emmy Award nomination.Damon's biggest commercial successes in the 2010s came with the western True Grit (2010), and the science fiction films Elysium (2013) and The Martian (2015). In the latter, which earned over $630 million to become his highest-grossing release, he played a botanist stranded on Mars, for which he received an Oscar nomination and won a Golden Globe Award for Best Actor. Interstellar (2014) earned over $670 million, with Damon in a minor role. Following a series of poorly received films, Damon had a success in the sports drama Ford v Ferrari (2019), in which he portrayed Carroll Shelby. He co-wrote, produced, and starred as Jean de Carrouges in the period drama The Last Duel (2021), which despite positive reviews was not financially profitable. In 2023, Damon portrayed Nike executive Sonny Vaccaro in Affleck's acclaimed sports drama Air, as well as Leslie Groves in Christopher Nolan's Oppenheimer.

Douglas Eric Liman (; born July 24, 1965) is an American film director and producer. He is known for directing the films Swingers (1996), Go (1999), The Bourne Identity (2002), Mr. & Mrs. Smith (2005), Jumper (2008), Edge of Tomorrow (2014), and American Made (2017).
Most of his career has been associated with the production company Hypnotic. He is co-owner with Dave Bartis, whom he met as an undergraduate at Brown University where they co-founded Brown Television (BTV) and the National Association of College Broadcasters (NACB).
Liman is on the advisory board of the Legal Action Center and the Arthur Liman Public Interest Program at Yale Law School.

"
705,Izabella Scorupco,Martin Campbell,"Izabella Scorupco (born Izabela Dorota Skorupko; 4 June 1970) is a Polish-Swedish actress, singer and model. She is best known for having played a Bond girl, Natalya Simonova, in the 1995 James Bond film GoldenEye. She is also known for her cover of the Shirley & Company song ""Shame, Shame, Shame"" which was released in 1992 and became a European hit.

Martin Campbell (born 24 October 1943) is a New Zealand film and television director based in the United Kingdom. He is known for having directed The Mask of Zorro as well as the James Bond films GoldenEye and Casino Royale. He won a BAFTA for his direction of the 1985 television serial Edge of Darkness.

"
706,Daniel von Bargen,Simon West,"Daniel von Bargen (June 5, 1950 – March 1, 2015) was an American character actor of film, stage and television. He was known for his roles as Mr. Kruger on Seinfeld, Commandant Edwin Spangler on Malcolm in the Middle, and Chief Grady in Super Troopers.

Simon Alexander West (born 17 July 1961) is an English film director and producer. He has primarily worked in the action genre, most notably as the director of the films Con Air, Lara Croft: Tomb Raider, The Mechanic, and The Expendables 2. Outside of action, he also directed the films The General's Daughter and When a Stranger Calls. Prior to his film career, West served as the director for music videos, including ""Never Gonna Give You Up"" by Rick Astley.

"
707,Natascha McElhone,Peter Weir,"Natascha Abigail Taylor (born 14 December 1969), known professionally as Natascha McElhone (), is a British actress. She is a graduate of the London Academy of Music and Dramatic Art. In film, she is best known for her roles in Ronin (1998), The Truman Show (1998), and Solaris (2002).
On television, she has portrayed Karen van der Beek, the long-time partner of Hank Moody, in the Showtime comedy-drama series Californication (2007–2014), First Lady of the United States Alex Kirkman in the ABC political drama Designated Survivor (2016–2017), and Laz Ingram in Beau Willimon's Hulu science-fiction series The First (2018). McElhone also portrayed Penelope Knatchbull in season 5 of The Crown.

Peter Lindsay Weir  ( WEER; born August 21, 1944) is an Australian retired film director. He is known for directing films crossing various genres over forty years with films such as Picnic at Hanging Rock (1975), Gallipoli (1981),  The Year of Living Dangerously (1982), Witness (1985), Dead Poets Society (1989), Fearless (1993), The Truman Show (1998), Master and Commander: The Far Side of the World (2003), and The Way Back (2010). He has received six Academy Award nominations, ultimately being awarded the Academy Honorary Award in 2022 for his lifetime achievement career.Early in his career as a director, Weir was a leading figure in the Australian New Wave cinema movement (1970–1990). Weir made his feature film debut with Homesdale and continued with the mystery drama Picnic at Hanging Rock (1975), the supernatural thriller The Last Wave (1977) and the historical drama Gallipoli (1981). Weir gained tremendous success with the multinational production The Year of Living Dangerously (1982).
After the success of The Year of Living Dangerously, Weir directed a diverse group of American and international films covering most genres–many of them major box office hits–including Academy Award-nominated films such as the thriller Witness (1985), the drama Dead Poets Society (1989), the romantic comedy Green Card (1990), the social science fiction comedy-drama The Truman Show (1998) and the epic historical drama Master and Commander: The Far Side of the World (2003). His final feature before his retirement was the well-received The Way Back (2010).



"
708,Martin Short,Brenda Chapman,"Martin Hayter Short  (born March 26, 1950) is a Canadian-American actor, comedian, singer, and writer. Short is known as an energetic comedian who gained prominence for his roles in sketch comedy. He has also acted in numerous films and television shows. He has received various awards including two Primetime Emmy Awards, and a Tony Award. Short was awarded as an Officer of the Order of Canada in 2019.
He is known for his work on the television programs SCTV and Saturday Night Live. Short created the characters Jiminy Glick and Ed Grimley. He also acted in the sitcom Mulaney (2014–2015), the variety series Maya & Marty (2016), and The Morning Show (2019). He has also had an active career on stage, starring in Broadway productions including Neil Simon's musicals The Goodbye Girl (1993) and Little Me (1998–1999). The latter earned him a Tony Award for Best Actor in a Musical and the former a nomination in the same category.
He has starred in comedy films such as Three Amigos (1986), Innerspace (1987), Three Fugitives (1989), Father of the Bride (1991), Captain Ron (1992), Clifford (1994), Mars Attacks! (1996), Jungle 2 Jungle (1997), and The Santa Clause 3: The Escape Clause (2006). Short also provided voice-work for films like The Pebble and the Penguin (1995), The Prince of Egypt (1998), Jimmy Neutron: Boy Genius (2001), Treasure Planet (2002), 101 Dalmatians II: Patch's London Adventure (2003), Barbie as the Princess and the Pauper (2004), The Spiderwick Chronicles (2008), Madagascar 3: Europe's Most Wanted, Frankenweenie (both 2012), and The Wind Rises (2013).
In 2015, Short started touring nationally with fellow comedian Steve Martin. In 2018, they released their Netflix special An Evening You Will Forget for the Rest of Your Life for which they received four Primetime Emmy Award nominations. Since 2021, he has co-starred in the Hulu comedy series Only Murders in the Building alongside Martin and Selena Gomez. For his performance he has earned nominations for the Primetime Emmy Award, the Golden Globe Award, the Screen Actors Guild Award and a Critics' Choice Television Award.



Brenda Chapman (born 1962 or 1963) is an American animator, screenwriter, storyboard artist, and director.  In 1998, she became the first woman to direct an animated feature from a major studio, DreamWorks Animation's The Prince of Egypt. In 2012, she directed the Disney/Pixar film Brave with Mark Andrews (and co-direction from Steve Purcell), becoming the first woman to win the Academy Award for Best Animated Feature.



"
709,Anjelica Huston,Steve Carr,"Anjelica Huston (  HEW-stən; born July 8, 1951) is an American actress and director known for often portraying eccentric and distinctive characters.
She has received multiple accolades, including an Academy Award and a Golden Globe Award, as well as nominations for three British Academy Film Awards and six Primetime Emmy Awards. In 2010, she was awarded a star on the Hollywood Walk of Fame.The daughter of director John Huston and granddaughter of actor Walter Huston, she reluctantly made her big screen debut in her father's A Walk with Love and Death (1969). Huston moved from London to New York City, where she worked as a model throughout the 1970s. She decided to actively pursue acting in the early 1980s, and subsequently, had her breakthrough with her performance as a mobster moll in Prizzi's Honor (1985), also directed by her father, for which she became the third generation of her family to receive an Academy Award, when she won Best Supporting Actress, joining both John and Walter Huston in this recognition. She achieved further critical and popular recognition for playing a mistress in Crimes and Misdemeanors (1989), a long-vanished wife in Enemies, A Love Story (1989), a con artist in The Grifters (1990), the Grand High Witch in The Witches (1990), Morticia Addams in the Addams Family films (1991–93), and an adventurous writer in Manhattan Murder Mystery (1993).
Huston directed the films Bastard Out of Carolina (1996) and Agnes Browne (1999); collaborated with director Wes Anderson in The Royal Tenenbaums (2001), The Life Aquatic with Steve Zissou (2004), and The Darjeeling Limited (2007); and lent her voice to several animated films, mainly the Tinker Bell franchise (2008–2015). Her other films include The Crossing Guard (1995), Ever After (1998), Choke (2008), 50/50 (2011) and John Wick: Chapter 3 – Parabellum (2019). She has also acted in the miniseries Family Pictures (1993), Buffalo Girls (1995), and The Mists of Avalon (2001), as well as the series Huff (2006), Medium (2008–2009), and Transparent (2015–2016). She won a Golden Globe for playing Carrie Chapman Catt in the cable film Iron Jawed Angels (2004), and a Gracie Award for her portrayal of Eileen Rand in Smash (2012–2013). She has written the memoirs A Story Lately Told (2013) and Watch Me (2014).

Steven Harold Carr (born April 7, 1965) is an American film director, music video director, and film producer from Brooklyn, New York. After studying fine arts on a full scholarship to Manhattan’s School of Visual Arts, Carr founded design firm The Drawing Board with Cey Adam to create iconic album artwork for Def Jam Recordings artists such as Beastie Boys, Public Enemy, LL Cool J and more. Asked to take his vision to film, Carr created groundbreaking videos for influential hip-hop artists from Slick Rick to Jay-Z, and was signed to Quentin Tarantino's A Band Apart Music Video production company in Los Angeles, CA.In 2000 Steve Carr made his feature film directorial debut with comedy Next Friday starring rapper Ice Cube, that became the most successful film in the Friday franchise for box office earnings. Carr has since directed many box office hits including Dr. Doolittle 2, Daddy Day Care, and Paul Blart: Mall Cop and is currently working on an unnamed Netflix film project.

"
710,Denzel Washington,Baltasar Kormákur,"Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, producer and director. In a career spanning over four decades, Washington has received numerous accolades, including a Tony Award, two Academy Awards, three Golden Globe Awards and two Silver Bears. He was honored with the Cecil B. DeMille Lifetime Achievement Award in 2016, the AFI Life Achievement Award in 2019, and in 2020 The New York Times named him the greatest actor of the 21st century. In 2022, Washington received the Presidential Medal of Freedom.
After training at the American Conservatory Theater, Washington began his career in theatre, acting in performances off-Broadway. He first came to prominence in the NBC medical drama series St. Elsewhere (1982–1988), and in the war film A Soldier's Story (1984). Washington won Academy Awards for Best Supporting Actor for his role as an American Civil War soldier in Glory (1989) and for Best Actor for playing a corrupt cop in Training Day (2001). His other Oscar-nominated roles were in Cry Freedom (1987), Malcolm X (1992), The Hurricane (1999), Flight (2012), Fences (2015), Roman J. Israel, Esq. (2017) and The Tragedy of Macbeth (2021). 
He established himself as a leading man with starring roles in Mo' Better Blues (1990), Mississippi Masala (1991), Philadelphia (1993), Courage Under Fire (1996), Remember the Titans (2000), Man on Fire (2004), Inside Man (2006), and American Gangster (2007). He starred in The Equalizer trilogy (2014–2023). Washington directed and starred in the films Antwone Fisher (2002), The Great Debaters (2007), and Fences (2015).
Washington made his Broadway debut in Checkmates (1988). He won the Tony Award for Best Actor in a Play for starring in the Broadway revival of August Wilson's play Fences in 2010. He later directed, produced, and starred in the film adaptation in 2016. Washington has since returned to Broadway in the revivals of Lorraine Hansberry play A Raisin in the Sun (2014) and the Eugene O'Neill play The Iceman Cometh (2018).



Baltasar Kormákur Baltasarsson (born 27 February 1966) is an Icelandic actor, theater and film director, and film producer. He is best known for directing the films 101 Reykjavík, The Sea, A Little Trip to Heaven, Contraband, 2 Guns, Everest, and Katla series.



"
711,Carol Ann Susi,Lawrence Guterman,"Carol Ann Susi (February 2, 1952 – November 11, 2014) was an American actress whose career spanned 40 years. Her best known roles were probably her first and last; she debuted as the recurring character of semi-competent but likable intern Monique Marmelstein on Kolchak: The Night Stalker.  More than three decades and countless supporting roles later, her level of celebrity was elevated for having provided the voice of recurring off-screen character Mrs. Wolowitz, mother of Howard Wolowitz, on the television series The Big Bang Theory.



Lawrence Guterman (born July 18, 1966) is a Canadian film director known for his work with companies like DreamWorks, Warner Bros., New Line Cinema and Universal. He directed the feature films Cats & Dogs (2001) and Son of the Mask (2005), as well as several episodes of Out of Jimmy's Head (between 2007 and 2008).



"
712,Jason Statham,F. Gary Gray,"Jason Statham ( STAY-thəm; born 26 July 1967) is an English actor. He is known for portraying characters in various action-thriller films who are typically tough, gritty, or violent. Statham has been credited for leading the resurgence of action films during the 2000s and 2010s. His film career through 2017 generated over $1.5 billion (£1.1 billion) in ticket sales, making him one of the film industry's most bankable stars.Statham began practising Chinese martial arts, kickboxing, and karate recreationally in his youth while working at local market stalls. An avid footballer and diver, he was a member of Britain's national diving team and competed for England in the 1990 Commonwealth Games. Shortly after, he was asked to model for French Connection, Tommy Hilfiger, and Levi's in various advertising campaigns. His past history working at market stalls inspired his casting in the Guy Ritchie crime films Lock, Stock and Two Smoking Barrels (1998) and Snatch (2000).
The commercial success of these films led Statham to star as Frank Martin in the Transporter trilogy (2002–2008). After starring in a variety of heist and action-thriller films such as The Italian Job (2003), Crank (2006), War (2007), The Bank Job (2008), The Mechanic (2011), Spy (2015), and Mechanic: Resurrection (2016), he established himself as a Hollywood leading man. However, he has also starred in commercially and critically unsuccessful films such as Revolver (2005), Chaos (2005), In the Name of the King (2007), 13 (2010), Blitz (2011), Killer Elite (2011), Hummingbird (2013), and Wild Card (2015). He regained commercial success as a part of the ensemble action series The Expendables (2010–2014) and the Fast & Furious franchise, playing Deckard Shaw in several films, including the spin-off Hobbs & Shaw (2019).



Felix Gary Gray (born July 17, 1969) is an American film director, film producer, and music video director. Gray began his career as a director on numerous critically acclaimed and award-winning music videos, including ""It Was a Good Day"" by Ice Cube, ""Natural Born Killaz"" by Dr. Dre and Ice Cube, ""Keep Their Heads Ringin'"" by Dr. Dre, ""Waterfalls"" by TLC, and ""Ms. Jackson"" by Outkast.
Gray made his feature film directorial debut with the comedy Friday (1995). He has since directed the films Set It Off (1996), The Negotiator (1998), The Italian Job (2003), Be Cool (2005), Law Abiding Citizen (2009), and Straight Outta Compton (2015). He also directed the eighth installment of the Fast & Furious franchise, The Fate of the Furious (2017), which is the 23rd-highest-grossing film of all time.

"
713,Dorian Missick,Marc Lawrence,"Dorian Crossmond Missick (born January 15, 1976) is an American actor known for his role as Damian in the television series Six Degrees (2006) and for voicing Victor Vance in the 2006 video game Grand Theft Auto: Vice City Stories. He is also known for his starring role in the film Premium (2006) and his supporting roles in films such as The Manchurian Candidate (2004) and Lucky Number Slevin (2006).



Marc Lawrence (born October 22, 1959) is an American director, screenwriter, and producer. 
Lawrence is best known for his numerous collaborations with Sandra Bullock and Hugh Grant. He wrote the comedy films Forces of Nature (1999), Miss Congeniality (2000), and Miss Congeniality 2: Armed and Fabulous (2005). He wrote and directed the comedy films Two Weeks Notice (2002), Music and Lyrics (2007), Did You Hear About the Morgans? (2009), The Rewrite (2014), and Noelle (2019).

"
714,Sylvester Stallone,Eric Darnell,"American actor and filmmaker Sylvester Stallone has appeared in over 81 films. This is a list of his acting roles as well as directing, screenwriting, producing credits.

Eric Darnell (born August 21, 1961) is an American animator, storyboard artist, director, screenwriter, songwriter and occasional voice actor best known for co-directing Antz with Tim Johnson, as well as co-directing and co-writing Madagascar, Madagascar: Escape 2 Africa and Madagascar 3: Europe's Most Wanted with Tom McGrath, as well as the spin off Penguins of Madagascar (2014) with Simon J. Smith.

"
715,Jon Favreau,Peter Billingsley,"Jonathan Kolia Favreau ( FAV-roh; born October 19, 1966) is an American filmmaker and actor. As an actor, Favreau has appeared in films such as Rudy (1993), PCU (1994), Swingers (1996), Very Bad Things (1998), Deep Impact (1998), The Replacements (2000), Daredevil (2003), The Break-Up (2006), Four Christmases (2008), Couples Retreat (2009), I Love You, Man (2009), People Like Us (2012), The Wolf of Wall Street (2013), Chef (2014), and several films created by Marvel Studios.
As a filmmaker, Favreau has been significantly involved with the Marvel Cinematic Universe. He directed, produced, and appeared as Happy Hogan in the films Iron Man (2008) and Iron Man 2 (2010). He also served as an executive producer for or appeared as the character in the films The Avengers (2012), Iron Man 3 (2013), Avengers: Age of Ultron (2015), Spider-Man: Homecoming (2017), Avengers: Infinity War (2018), Avengers: Endgame (2019), Spider-Man: Far From Home (2019), and Spider-Man: No Way Home (2021).
He has also directed the films Elf (2003), Zathura: A Space Adventure (2005), Cowboys & Aliens (2011), Chef (2014), The Jungle Book (2016), and The Lion King (2019). Favreau is the creator of the Star Wars Disney+ original series The Mandalorian (2019–present) as well as one of its executive producers and directors. He also serves as a writer and executive producer for its spin-off series The Book of Boba Fett. He produces films under his production company banner, Fairview Entertainment, and also presents the television cooking series The Chef Show.



Peter Billingsley (born April 16, 1971), also known as Peter Michaelsen and Peter Billingsley-Michaelsen, is an American actor and filmmaker. He is best known for portraying Ralphie Parker in the 1983 movie A Christmas Story and its 2022 sequel A Christmas Story Christmas. He also played Jack Simmons in The Dirt Bike Kid, Billy in Death Valley, and Messy Marvin in a series of commercials for Hershey's Syrup in the 1980s. While an infant, he began acting in television commercials.

"
