,common_entity,entity3,entity2,entity1,entity4
435,The Hangover Part II,2011.0,Todd Phillips,Bradley Cooper,1970
436,Batman Returns,1992.0,Tim Burton,Michael Gough,1958
438,Lilo & Stitch,2002.0,Dean DeBlois,Tia Carrere,1970
439,Charlotte's Web,2006.0,Gary Winick,Steve Buscemi,1961
440,Deep Impact,1998.0,Mimi Leder,Morgan Freeman,1952
441,RED 2,2013.0,Dean Parisot,Bruce Willis,1952
444,Grown Ups 2,2013.0,Dennis Dugan,Steve Buscemi,1946
446,Something's Gotta Give,2003.0,Nancy Meyers,Keanu Reeves,1949
447,Shutter Island,2010.0,Martin Scorsese,Leonardo DiCaprio,1942
449,Robots,2005.0,Chris Wedge,Jim Broadbent,1957
450,Face/Off,1997.0,John Woo,Nicolas Cage,1946
451,Bedtime Stories,2008.0,Adam Shankman,Adam Sandler,1964
452,Road to Perdition,2002.0,Sam Mendes,Tom Hanks,1965
453,Just Go with It,2011.0,Dennis Dugan,Adam Sandler,1946
454,Con Air,1997.0,Simon West,Steve Buscemi,1961
455,Eagle Eye,2008.0,D.J. Caruso,Rosario Dawson,1965
456,Cold Mountain,2003.0,Anthony Minghella,Philip Seymour Hoffman,1954
457,The Book of Eli,2010.0,Albert Hughes,Denzel Washington,1972
458,Flubber,1997.0,Les Mayfield,Robin Williams,1959
459,The Haunting,1999.0,Jan de Bont,Liam Neeson,1943
460,Space Jam,1996.0,Joe Pytka,Bill Murray,1938
461,The Pink Panther,2006.0,Shawn Levy,Roger Rees,1968
462,The Day the Earth Stood Still,2008.0,Scott Derrickson,Keanu Reeves,1966
463,Conspiracy Theory,1997.0,Richard Donner,Julia Roberts,1930
464,Fury,2014.0,David Ayer,Brad Pitt,1968
465,Six Days Seven Nights,1998.0,Ivan Reitman,Harrison Ford,1946
467,Spirit: Stallion of the Cimarron,2002.0,Kelly Asbury,Matt Damon,1960
468,Zookeeper,2011.0,Frank Coraci,Rosario Dawson,1966
470,The Manchurian Candidate,2004.0,Jonathan Demme,Denzel Washington,1944
471,Déjà Vu,1997.0,Henry Jaglom,Vanessa Redgrave,1938
472,Hotel Transylvania 2,2015.0,Genndy Tartakovsky,Steve Buscemi,1970
473,Fantasia 2000,1999.0,James Algar,Quincy Jones,1912
475,Mighty Joe Young,1998.0,Ron Underwood,Charlize Theron,1953
476,Swordfish,2001.0,Dominic Sena,Hugh Jackman,1949
477,The Legend of Zorro,2005.0,Martin Campbell,Michael Emerson,1943
480,The Brothers Grimm,2005.0,Terry Gilliam,Matt Damon,1940
481,Mars Attacks!,1996.0,Tim Burton,Natalie Portman,1958
482,Evolution,2015.0,Lucile Hadzihalilovic,Nissim Renard,1961
484,Surrogates,2009.0,Jonathan Mostow,Bruce Willis,1961
485,Thirteen Days,2000.0,Roger Donaldson,Bruce Greenwood,1945
486,Daylight,1996.0,Rob Cohen,Sylvester Stallone,1949
487,Walking with Dinosaurs 3D,2013.0,Barry Cook,Charlie Rowe,1958
489,Looney Tunes: Back in Action,2003.0,Joe Dante,Brendan Fraser,1946
490,Nine,2009.0,Rob Marshall,Fergie,1960
491,Timeline,2003.0,Richard Donner,Paul Walker,1930
492,The Postman,1997.0,Kevin Costner,Olivia Williams,1955
494,The Last Witch Hunter,2015.0,Breck Eisner,Vin Diesel,1970
496,Arthur and the Invisibles,2006.0,Luc Besson,Mia Farrow,1959
497,Oceans,2009.0,Jacques Perrin,Pedro Armendáriz Jr.,1941
498,A Sound of Thunder,2005.0,Peter Hyams,David Oyelowo,1943
499,Pompeii,2014.0,Paul W.S. Anderson,Sasha Roiz,1965
501,A Beautiful Mind,2001.0,Ron Howard,Adam Goldberg,1954
502,The Lion King,1994.0,Roger Allers,Matthew Broderick,1949
503,Journey 2: The Mysterious Island,2012.0,Brad Peyton,Josh Hutcherson,1978
504,Cloudy with a Chance of Meatballs 2,2013.0,Cody Cameron,Will Forte,1970
505,Red Dragon,2002.0,Brett Ratner,Philip Seymour Hoffman,1969
507,Jack and Jill,2011.0,Dennis Dugan,Al Pacino,1946
508,2 Fast 2 Furious,2003.0,John Singleton,Paul Walker,1968
510,The Invasion,2007.0,Oliver Hirschbiegel,Roger Rees,1957
511,The Adventures of Rocky & Bullwinkle,2000.0,Des McAnuff,Robert De Niro,1952
514,Despicable Me 2,2013.0,Pierre Coffin,Steve Carell,1967
515,Independence Day,1996.0,Roland Emmerich,Will Smith,1955
516,The Lost World: Jurassic Park,1997.0,Steven Spielberg,Ariana Richards,1946
517,Madagascar,2005.0,Eric Darnell,Jada Pinkett Smith,1961
518,Children of Men,2006.0,Alfonso Cuarón,Charlie Hunnam,1961
519,X-Men,2000.0,Bryan Singer,Hugh Jackman,1965
520,Wanted,2008.0,Timur Bekmambetov,Angelina Jolie Pitt,1961
521,The Rock,1996.0,Michael Bay,Nicolas Cage,1965
522,Ice Age: The Meltdown,2006.0,Carlos Saldanha,Denis Leary,1965
524,Hairspray,2007.0,Adam Shankman,Jerry Stiller,1964
525,Exorcist: The Beginning,2004.0,Renny Harlin,James D'Arcy,1959
527,Now You See Me,2013.0,Louis Leterrier,Morgan Freeman,1973
528,Grown Ups,2010.0,Dennis Dugan,Steve Buscemi,1946
529,The Terminal,2004.0,Steven Spielberg,Tom Hanks,1946
530,Hotel for Dogs,2009.0,Thor Freudenthal,Don Cheadle,1972
531,Vertical Limit,2000.0,Martin Campbell,Nicholas Lea,1943
532,Charlie Wilson's War,2007.0,Mike Nichols,Philip Seymour Hoffman,1931
533,Shark Tale,2004.0,Bibo Bergeron,Robert De Niro,1965
534,Dreamgirls,2006.0,Bill Condon,Loretta Devine,1955
535,Be Cool,2005.0,F. Gary Gray,Dwayne Johnson,1969
536,Munich,2005.0,Steven Spielberg,Ayelet Zurer,1946
537,Tears of the Sun,2003.0,Antoine Fuqua,Bruce Willis,1965
538,Killers,2010.0,Robert Luketic,Tom Selleck,1973
539,The Man from U.N.C.L.E.,2015.0,Guy Ritchie,Henry Cavill,1968
540,Spanglish,2004.0,James L. Brooks,Adam Sandler,1940
541,Monster House,2006.0,Gil Kenan,Steve Buscemi,1976
542,Bandits,2001.0,Barry Levinson,Bruce Willis,1942
543,First Knight,1995.0,Jerry Zucker,Julia Ormond,1950
544,Anna and the King,1999.0,Andy Tennant,Bai Ling,1955
545,Immortals,2011.0,Tarsem Singh,Henry Cavill,1961
546,Hostage,2005.0,Florent-Emilio Siri,Jimmy Bennett,1965
547,Titan A.E.,2000.0,Don Bluth,Matt Damon,1937
548,Hollywood Homicide,2003.0,Ron Shelton,Harrison Ford,1945
549,Soldier,1998.0,Paul W.S. Anderson,Connie Nielsen,1965
550,Carriers,2009.0,David Pastor,Christopher Meloni,2000
551,Monkeybone,2001.0,Henry Selick,Brendan Fraser,1952
553,Unbreakable,2000.0,M. Night Shyamalan,Robin Wright,1970
554,Minions,2015.0,Kyle Balda,Steve Carell,1971
555,Sucker Punch,2011.0,Zack Snyder,Jon Hamm,1966
556,Snake Eyes,1998.0,Brian De Palma,Nicolas Cage,1940
557,Sphere,1998.0,Barry Levinson,Peter Coyote,1942
558,The Angry Birds Movie,2016.0,Clay Kaytis,Peter Dinklage,1973
559,Fool's Gold,2008.0,Andy Tennant,Matthew McConaughey,1955
560,Funny People,2009.0,Judd Apatow,Adam Sandler,1967
561,The Kingdom,2007.0,Peter Berg,Jennifer Garner,1964
562,Talladega Nights: The Ballad of Ricky Bobby,2006.0,Adam McKay,Will Ferrell,1968
563,Dr. Dolittle 2,2001.0,Steve Carr,Raven-Symoné,1965
564,Braveheart,1995.0,Mel Gibson,Mhairi Calvey,1956
565,Jarhead,2005.0,Sam Mendes,Jake Gyllenhaal,1965
567,The Majestic,2001.0,Frank Darabont,Martin Landau,1959
568,Driven,2001.0,Renny Harlin,Sylvester Stallone,1959
569,Two Brothers,2004.0,Jean-Jacques Annaud,David Gant,1943
570,The Village,2004.0,M. Night Shyamalan,Bryce Dallas Howard,1970
571,Doctor Dolittle,1998.0,Betty Thomas,Oliver Platt,1947
572,Signs,2002.0,M. Night Shyamalan,Rory Culkin,1970
573,Shrek 2,2004.0,Andrew Adamson,Rupert Everett,1966
574,Cars,2006.0,John Lasseter,John Ratzenberger,1957
575,Runaway Bride,1999.0,Garry Marshall,Julia Roberts,1934
576,xXx,2002.0,Rob Cohen,Vin Diesel,1949
577,The SpongeBob Movie: Sponge Out of Water,2015.0,Paul Tibbitt,Tim Conway,1968
578,Ransom,1996.0,Ron Howard,Lili Taylor,1954
579,Inglourious Basterds,2009.0,Quentin Tarantino,Michael Fassbender,1963
580,Hook,1991.0,Steven Spielberg,Robin Williams,1946
581,Hercules,2014.0,Brett Ratner,Dwayne Johnson,1969
582,Die Hard 2,1990.0,Renny Harlin,Bruce Willis,1959
583,S.W.A.T.,2003.0,Clark Johnson,Jeremy Renner,1954
584,Vanilla Sky,2001.0,Cameron Crowe,Tom Cruise,1957
585,Lady in the Water,2006.0,M. Night Shyamalan,Bryce Dallas Howard,1970
586,AVP: Alien vs. Predator,2004.0,Paul W.S. Anderson,Sanaa Lathan,1965
587,Alvin and the Chipmunks: The Squeakquel,2009.0,Betty Thomas,Amy Poehler,1947
588,We Were Soldiers,2002.0,Randall Wallace,Jon Hamm,1949
589,Olympus Has Fallen,2013.0,Antoine Fuqua,Gerard Butler,1965
590,Star Trek: Insurrection,1998.0,Jonathan Frakes,LeVar Burton,1952
591,Battle Los Angeles,2011.0,Jonathan Liebesman,Noel Fisher,1976
592,Big Fish,2003.0,Tim Burton,Steve Buscemi,1958
593,Wolf,1994.0,Mike Nichols,David Hyde Pierce,1931
594,War Horse,2011.0,Steven Spielberg,Jeremy Irvine,1946
595,The Monuments Men,2014.0,George Clooney,Bill Murray,1961
596,The Abyss,1989.0,James Cameron,Michael Biehn,1954
597,Wall Street: Money Never Sleeps,2010.0,Oliver Stone,Frank Langella,1946
599,The Siege,1998.0,Edward Zwick,Denzel Washington,1952
600,Stardust,2007.0,Matthew Vaughn,Henry Cavill,1971
601,Seven Years in Tibet,1997.0,Jean-Jacques Annaud,Brad Pitt,1943
602,The Dilemma,2011.0,Ron Howard,Channing Tatum,1954
603,Bad Company,2002.0,Joel Schumacher,Anthony Hopkins,1939
604,Doom,2005.0,Andrzej Bartkowiak,Dwayne Johnson,1950
605,I Spy,2002.0,Betty Thomas,Gary Cole,1947
606,Underworld: Awakening,2012.0,Måns Mårlind,Theo James,1969
607,Rock of Ages,2012.0,Adam Shankman,James Martin Kelly,1964
608,Hart's War,2002.0,Gregory Hoblit,Bruce Willis,1944
610,Rollerball,2002.0,John McTiernan,LL Cool J,1951
612,Hard Rain,1998.0,Mikael Salomon,Morgan Freeman,1945
613,Osmosis Jones,2001.0,Bobby Farrelly,Ron Howard,1958
615,Blackhat,2015.0,Michael Mann,Chris Hemsworth,1943
617,Basic Instinct 2,2006.0,Michael Caton-Jones,Charlotte Rampling,1957
619,The Legend of Hercules,2014.0,Renny Harlin,Roxanne McKee,1959
620,The Sum of All Fears,2002.0,Phil Alden Robinson,Morgan Freeman,1950
621,The Twilight Saga: Eclipse,2010.0,David Slade,Robert Pattinson,1969
622,The Score,2001.0,Frank Oz,Robert De Niro,1944
623,Despicable Me,2010.0,Pierre Coffin,Steve Carell,1967
624,Money Train,1995.0,Joseph Ruben,Vincent Pastore,1950
625,Ted 2,2015.0,Seth MacFarlane,Liam Neeson,1973
626,Agora,2009.0,Alejandro Amenábar,Max Minghella,1972
628,Hall Pass,2011.0,Bobby Farrelly,Jenna Fischer,1958
629,The Insider,1999.0,Michael Mann,Al Pacino,1943
630,The Finest Hours,2016.0,Craig Gillespie,Michael Raymond-James,1967
631,Body of Lies,2008.0,Ridley Scott,Leonardo DiCaprio,1937
632,Dinner for Schmucks,2010.0,Jay Roach,Steve Carell,1957
633,Abraham Lincoln: Vampire Hunter,2012.0,Timur Bekmambetov,Rufus Sewell,1961
634,Entrapment,1999.0,Jon Amiel,Will Patton,1948
637,Saving Private Ryan,1998.0,Steven Spielberg,Tom Hanks,1946
638,Need for Speed,2014.0,Scott Waugh,Rami Malek,1970
639,What Women Want,2000.0,Nancy Meyers,Judy Greer,1949
640,Ice Age,2002.0,Chris Wedge,Goran Visnjic,1957
641,Dreamcatcher,2003.0,Lawrence Kasdan,Morgan Freeman,1949
642,Lincoln,2012.0,Steven Spielberg,Joseph Gordon-Levitt,1946
643,The Matrix,1999.0,Lana Wachowski,Keanu Reeves,1965
644,Apollo 13,1995.0,Ron Howard,Tom Hanks,1954
645,Total Recall,1990.0,Paul Verhoeven,Ronny Cox,1938
646,The Santa Clause 2,2002.0,Michael Lembeck,Judge Reinhold,1948
647,Les Misérables,2012.0,Tom Hooper,Hugh Jackman,1972
648,You've Got Mail,1998.0,Nora Ephron,Tom Hanks,1941
649,Step Brothers,2008.0,Adam McKay,Will Ferrell,1968
650,The Mask of Zorro,1998.0,Martin Campbell,Anthony Hopkins,1943
651,Due Date,2010.0,Todd Phillips,Robert Downey Jr.,1970
652,Unbroken,2014.0,Angelina Jolie Pitt,Finn Wittrock,1975
653,Space Cowboys,2000.0,Clint Eastwood,Clint Eastwood,1930
654,Cliffhanger,1993.0,Renny Harlin,Sylvester Stallone,1959
655,Broken Arrow,1996.0,John Woo,Delroy Lindo,1946
656,The Kid,2000.0,Jon Turteltaub,Bruce Willis,1963
657,World Trade Center,2006.0,Oliver Stone,Nicolas Cage,1946
660,Eyes Wide Shut,1999.0,Stanley Kubrick,Tom Cruise,1928
661,Annie,2014.0,Will Gluck,Quvenzhané Wallis,1978
662,Focus,2015.0,Glenn Ficarra,Will Smith,1969
663,This Means War,2012.0,McG,Tom Hardy,1968
664,Blade: Trinity,2004.0,David S. Goyer,Ryan Reynolds,1965
665,Red Dawn,1984.0,John Milius,Lea Thompson,1944
666,Primary Colors,1998.0,Mike Nichols,Maura Tierney,1931
667,Resident Evil: Retribution,2012.0,Paul W.S. Anderson,Milla Jovovich,1965
668,Death Race,2008.0,Paul W.S. Anderson,Jason Statham,1965
669,The Long Kiss Goodnight,1996.0,Renny Harlin,Melina Kanakaredes,1959
670,Proof of Life,2000.0,Taylor Hackford,Pamela Reed,1944
671,Zathura: A Space Adventure,2005.0,Jon Favreau,Kristen Stewart,1966
672,Fight Club,1999.0,David Fincher,Brad Pitt,1962
673,We Are Marshall,2006.0,McG,Matthew McConaughey,1968
674,Hudson Hawk,1991.0,Michael Lehmann,Bruce Willis,1957
675,Lucky Numbers,2000.0,Nora Ephron,Michael Rapaport,1941
676,"I, Frankenstein",2014.0,Stuart Beattie,Caitlin Stasey,1971
677,Oliver Twist,2005.0,Roman Polanski,Ian McNeice,1933
679,Sin City: A Dame to Kill For,2014.0,Frank Miller,Joseph Gordon-Levitt,1957
680,Random Hearts,1999.0,Sydney Pollack,Harrison Ford,1934
681,Everest,2015.0,Baltasar Kormákur,Michael Kelly,1966
682,Perfume: The Story of a Murderer,2006.0,Tom Tykwer,Michael Smiley,1965
683,Austin Powers in Goldmember,2002.0,Jay Roach,Verne Troyer,1957
685,Jurassic Park,1993.0,Steven Spielberg,Wayne Knight,1946
686,Wyatt Earp,1994.0,Lawrence Kasdan,Dennis Quaid,1949
687,Clear and Present Danger,1994.0,Phillip Noyce,Harrison Ford,1950
689,Littleman,2006.0,Keenen Ivory Wayans,Chazz Palminteri,1958
690,U-571,2000.0,Jonathan Mostow,Matthew McConaughey,1961
691,The American President,1995.0,Rob Reiner,Shawna Waldron,1947
694,The Hateful Eight,2015.0,Quentin Tarantino,Craig Stark,1963
695,Blades of Glory,2007.0,Josh Gordon,Will Ferrell,1991
697,300,2006.0,Zack Snyder,Gerard Butler,1966
698,Meet the Fockers,2004.0,Jay Roach,Robert De Niro,1957
699,Marley & Me,2008.0,David Frankel,Eric Dane,1959
700,The Green Mile,1999.0,Frank Darabont,Tom Hanks,1959
703,Gone Girl,2014.0,David Fincher,Patrick Fugit,1962
704,The Bourne Identity,2002.0,Doug Liman,Matt Damon,1965
705,GoldenEye,1995.0,Martin Campbell,Izabella Scorupco,1943
706,The General's Daughter,1999.0,Simon West,Daniel von Bargen,1961
707,The Truman Show,1998.0,Peter Weir,Natascha McElhone,1944
709,Daddy Day Care,2003.0,Steve Carr,Anjelica Huston,1965
710,2 Guns,2013.0,Baltasar Kormákur,Denzel Washington,1966
711,Cats & Dogs,2001.0,Lawrence Guterman,Carol Ann Susi,1966
712,The Italian Job,2003.0,F. Gary Gray,Jason Statham,1969
713,Two Weeks Notice,2002.0,Marc Lawrence,Dorian Missick,1910
714,Antz,1998.0,Eric Darnell,Sylvester Stallone,1961
715,Couples Retreat,2009.0,Peter Billingsley,Jon Favreau,1971
716,Days of Thunder,1990.0,Tony Scott,Tom Cruise,1944
717,Cheaper by the Dozen 2,2005.0,Adam Shankman,Taylor Lautner,1964
718,The Scorch Trials,2015.0,Wes Ball,Ki Hong Lee,1980
720,The Family Man,2000.0,Brett Ratner,Nicolas Cage,1969
721,RED,2010.0,Robert Schwentke,Bruce Willis,1968
722,Any Given Sunday,1999.0,Oliver Stone,Al Pacino,1946
723,The Horse Whisperer,1998.0,Robert Redford,Scarlett Johansson,1936
724,Collateral,2004.0,Michael Mann,Tom Cruise,1943
725,The Scorpion King,2002.0,Chuck Russell,Dwayne Johnson,1958
726,Ladder 49,2004.0,Jay Russell,Billy Burke,1960
727,Jack Reacher,2012.0,Christopher McQuarrie,Tom Cruise,1968
728,Deep Blue Sea,1999.0,Renny Harlin,LL Cool J,1959
729,This Is It,2009.0,Kenny Ortega,Misha Gabriel Hamilton,1950
730,Contagion,2011.0,Steven Soderbergh,Matt Damon,1963
732,Coraline,2009.0,Henry Selick,Jennifer Saunders,1952
733,The Happening,2008.0,M. Night Shyamalan,Zooey Deschanel,1970
734,Man on Fire,2004.0,Tony Scott,Denzel Washington,1944
735,The Shaggy Dog,2006.0,Brian Robbins,Robert Downey Jr.,1963
736,Starsky & Hutch,2004.0,Todd Phillips,Snoop Dogg,1970
737,Jingle All the Way,1996.0,Brian Levant,Jim Belushi,1952
738,Hellboy,2004.0,Guillermo del Toro,James Babson,1964
739,A Civil Action,1998.0,Steven Zaillian,Robert Duvall,1953
741,The Jackal,1997.0,Michael Caton-Jones,J.K. Simmons,1957
742,Paycheck,2003.0,John Woo,Ivana Milicevic,1946
743,Up Close & Personal,1996.0,Jon Avnet,Joe Mantegna,1949
744,The Tale of Despereaux,2008.0,Sam Fell,Emma Watson,1965
745,The Tuxedo,2002.0,Kevin Donovan,Romany Malco,1971
746,Under Siege 2: Dark Territory,1995.0,Geoff Murphy,Peter Greene,1938
747,Jack Ryan: Shadow Recruit,2014.0,Kenneth Branagh,Colm Feore,1960
748,Joy,2015.0,David O. Russell,Jennifer Lawrence,1958
749,London Has Fallen,2016.0,Babak Najafi,Gerard Butler,1975
750,Alien: Resurrection,1997.0,Jean-Pierre Jeunet,Gary Dourdan,1953
751,Shooter,2007.0,Antoine Fuqua,Tate Donovan,1965
752,The Boxtrolls,2014.0,Graham Annable,Isaac Hempstead Wright,1970
753,Practical Magic,1998.0,Griffin Dunne,Goran Visnjic,1955
754,The Lego Movie,2014.0,Phil Lord,Morgan Freeman,1975
755,Miss Congeniality 2: Armed and Fabulous,2005.0,John Pasquin,Eileen Brennan,1944
757,Gangster Squad,2013.0,Ruben Fleischer,Ryan Gosling,1974
758,Year One,2009.0,Harold Ramis,Olivia Wilde,1944
759,Invictus,2009.0,Clint Eastwood,Matt Damon,1930
761,Duplicity,2009.0,Tony Gilroy,Julia Roberts,1956
762,My Favorite Martian,1999.0,Donald Petrie,Steven Anthony Lawrence,1954
763,The Sentinel,2006.0,Clark Johnson,Blair Brown,1954
765,Star Trek: Nemesis,2002.0,Stuart Baird,Tom Hardy,1947
766,Intolerable Cruelty,2003.0,Joel Coen,Cedric the Entertainer,1954
768,Edge of Darkness,2010.0,Martin Campbell,Bojana Novakovic,1943
769,The Relic,1997.0,Peter Hyams,John Kapelos,1943
770,Analyze That,2002.0,Harold Ramis,Robert De Niro,1944
771,Righteous Kill,2008.0,Jon Avnet,Robert De Niro,1949
772,Mercury Rising,1998.0,Harold Becker,Bruce Willis,1928
773,The Soloist,2009.0,Joe Wright,Robert Downey Jr.,1972
774,The Legend of Bagger Vance,2000.0,Robert Redford,Matt Damon,1936
775,Almost Famous,2000.0,Cameron Crowe,Philip Seymour Hoffman,1957
779,Sinbad: Legend of the Seven Seas,2003.0,Patrick Gilmore,Brad Pitt,1829
780,Event Horizon,1997.0,Paul W.S. Anderson,Sean Pertwee,1965
781,The Avengers,2012.0,Joss Whedon,Chris Hemsworth,1964
782,Dragonfly,2002.0,Tom Shadyac,Joe Morton,1958
783,The Black Dahlia,2006.0,Brian De Palma,Scarlett Johansson,1940
784,Flyboys,2006.0,Tony Bill,James Franco,1940
785,The Last Castle,2001.0,Rod Lurie,Clifton Collins Jr.,1962
786,Supernova,2000.0,Walter Hill,Robert Forster,1940
787,Winter's Tale,2014.0,Akiva Goldsman,Matt Bomer,1962
788,The Mortal Instruments: City of Bones,2013.0,Harald Zwart,Aidan Turner,1965
789,Meet Dave,2008.0,Brian Robbins,Marc Blucas,1963
790,Dark Water,2005.0,Walter Salles,Dougray Scott,1956
791,Edtv,1999.0,Ron Howard,Matthew McConaughey,1954
792,Inkheart,2008.0,Iain Softley,Brendan Fraser,1956
793,The Spirit,2008.0,Frank Miller,Scarlett Johansson,1957
794,Mortdecai,2015.0,David Koepp,Johnny Depp,1963
795,In the Name of the King: A Dungeon Siege Tale,2007.0,Uwe Boll,Jason Statham,1965
796,Beyond Borders,2003.0,Martin Campbell,Angelina Jolie Pitt,1943
797,Xi you ji zhi: Sun Wukong san da Baigu Jing,2016.0,Pou-Soi Cheang,Li Gong,1972
798,The Great Raid,2005.0,John Dahl,James Franco,1956
800,Holy Man,1998.0,Stephen Herek,Kelly Preston,1958
801,American Sniper,2014.0,Clint Eastwood,Bradley Cooper,1930
802,Goosebumps,2015.0,Rob Letterman,Odeya Rush,1970
803,Just Like Heaven,2005.0,Mark Waters,Jon Heder,1964
804,The Flintstones in Viva Rock Vegas,2000.0,Brian Levant,Taylor Negron,1952
806,Leatherheads,2008.0,George Clooney,Robert Baker,1961
807,The Ridiculous 6,2015.0,Frank Coraci,Taylor Lautner,1966
808,Did You Hear About the Morgans?,2009.0,Marc Lawrence,Michael Kelly,1910
809,The Internship,2013.0,Shawn Levy,Josh Gad,1968
810,Resident Evil: Afterlife,2010.0,Paul W.S. Anderson,Milla Jovovich,1965
812,The Devil's Advocate,1997.0,Taylor Hackford,Keanu Reeves,1944
813,That's My Boy,2012.0,Sean Anders,Adam Sandler,1969
814,DragonHeart,1996.0,Rob Cohen,Dennis Quaid,1949
815,After the Sunset,2004.0,Brett Ratner,Salma Hayek,1969
816,Ghost Rider: Spirit of Vengeance,2011.0,Mark Neveldine,Nicolas Cage,1973
817,Captain Corelli's Mandolin,2001.0,John Madden,Christian Bale,1936
818,The Pacifier,2005.0,Adam Shankman,Vin Diesel,1964
820,Forrest Gump,1994.0,Robert Zemeckis,Tom Hanks,1952
822,Meet the Parents,2000.0,Jay Roach,Robert De Niro,1957
823,Pocahontas,1995.0,Mike Gabriel,Christian Bale,1954
824,Superman,1978.0,Richard Donner,Marlon Brando,1930
825,The Nutty Professor,1996.0,Tom Shadyac,Jada Pinkett Smith,1958
826,Hitch,2005.0,Andy Tennant,Will Smith,1955
828,American Wedding,2003.0,Jesse Dylan,Alyson Hannigan,1966
829,Captain Phillips,2013.0,Paul Greengrass,Tom Hanks,1955
830,Date Night,2010.0,Shawn Levy,Mila Kunis,1968
831,Casper,1995.0,Brad Silberling,Eric Idle,1963
832,The Equalizer,2014.0,Antoine Fuqua,Denzel Washington,1965
833,Maid in Manhattan,2002.0,Wayne Wang,Bob Hoskins,1949
834,Crimson Tide,1995.0,Tony Scott,Denzel Washington,1944
835,The Pursuit of Happyness,2006.0,Gabriele Muccino,Will Smith,1967
836,Flightplan,2005.0,Robert Schwentke,Erika Christensen,1968
837,Disclosure,1994.0,Barry Levinson,Demi Moore,1942
838,City of Angels,1998.0,Brad Silberling,Nicolas Cage,1963
839,Kill Bill: Vol. 1,2003.0,Quentin Tarantino,David Carradine,1963
840,Bowfinger,1999.0,Frank Oz,Robert Downey Jr.,1944
841,Kill Bill: Vol. 2,2004.0,Quentin Tarantino,Vivica A. Fox,1963
842,Tango & Cash,1989.0,Andrey Konchalovskiy,Sylvester Stallone,1937
843,Death Becomes Her,1992.0,Robert Zemeckis,Bruce Willis,1952
844,Shanghai Noon,2000.0,Tom Dey,Xander Berkeley,1965
845,Executive Decision,1996.0,Stuart Baird,Oliver Platt,1947
846,Mr. Popper's Penguins,2011.0,Mark Waters,Madeline Carroll,1964
847,The Forbidden Kingdom,2008.0,Rob Minkoff,Jet Li,1962
848,Free Birds,2013.0,Jimmy Hayward,Amy Poehler,1970
849,Alien 3,1992.0,David Fincher,Charles S. Dutton,1962
850,Evita,1996.0,Alan Parker,Andrea Corr,1944
851,Ronin,1998.0,John Frankenheimer,Robert De Niro,1930
854,The Watch,2012.0,Akiva Schaffer,Will Forte,1977
855,The Hunted,2003.0,William Friedkin,Connie Nielsen,1935
856,Instinct,1999.0,Jon Turteltaub,Anthony Hopkins,1963
857,Stuck on You,2003.0,Bobby Farrelly,Matt Damon,1958
859,The Pirates! Band of Misfits,2012.0,Peter Lord,Salma Hayek,1953
860,Changeling,2008.0,Clint Eastwood,Angelina Jolie Pitt,1930
862,The Fan,1996.0,Tony Scott,Robert De Niro,1944
863,The Phantom of the Opera,2004.0,Joel Schumacher,Gerard Butler,1939
864,Elizabeth: The Golden Age,2007.0,Shekhar Kapur,Eddie Redmayne,1945
865,Æon Flux,2005.0,Karyn Kusama,Charlize Theron,1968
868,Imagine That,2009.0,Karey Kirkpatrick,Stephen Root,1964
870,Thunderbirds,2004.0,Jonathan Frakes,Sophia Myles,1952
871,Burlesque,2010.0,Steve Antin,Eric Dane,1958
872,A Very Long Engagement,2004.0,Jean-Pierre Jeunet,Denis Lavant,1953
873,Lolita,1962.0,Stanley Kubrick,James Mason,1928
875,Blade II,2002.0,Guillermo del Toro,Norman Reedus,1964
876,Seven Pounds,2008.0,Gabriele Muccino,Will Smith,1967
877,Bullet to the Head,2012.0,Walter Hill,Sylvester Stallone,1940
878,The Godfather: Part III,1990.0,Francis Ford Coppola,Al Pacino,1939
879,Elizabethtown,2005.0,Cameron Crowe,Orlando Bloom,1957
881,Superman II,1980.0,Richard Lester,Margot Kidder,1932
882,Gigli,2003.0,Martin Brest,Todd Giebenhain,1951
883,All the King's Men,2006.0,Steven Zaillian,Kate Winslet,1953
884,Shaft,2000.0,John Singleton,Christian Bale,1968
885,Anastasia,1997.0,Don Bluth,Kirsten Dunst,1937
886,Moulin Rouge!,2001.0,Baz Luhrmann,Jim Broadbent,1962
887,Domestic Disturbance,2001.0,Harold Becker,Steve Buscemi,1928
889,Flags of Our Fathers,2006.0,Clint Eastwood,Paul Walker,1930
890,Law Abiding Citizen,2009.0,F. Gary Gray,Gerard Butler,1969
891,Grindhouse,2007.0,Robert Rodriguez,Quentin Tarantino,1968
892,Beloved,1998.0,Jonathan Demme,Oprah Winfrey,1944
893,Lucky You,2007.0,Curtis Hanson,Robert Downey Jr.,1945
894,Catch Me If You Can,2002.0,Steven Spielberg,Leonardo DiCaprio,1946
895,Zero Dark Thirty,2012.0,Kathryn Bigelow,Jennifer Ehle,1951
896,The Break-Up,2006.0,Peyton Reed,Jon Favreau,1964
897,Mamma Mia!,2008.0,Phyllida Lloyd,Colin Firth,1957
898,Valentine's Day,2010.0,Garry Marshall,Bradley Cooper,1934
899,The Dukes of Hazzard,2005.0,Jay Chandrasekhar,Alice Greczyn,1968
